Lfd. Nr. ,Datum der Vers,Uhrzeit der Vers,Ort der Vers,Thema der Versammlung,Datum der Anmeldung
15.0,2017-01-16 00:00:00,19.00-21.00,Aufzug,Trauermarsch,2017-01-09 00:00:00
16.0,2017-01-16 00:00:00,15.00-15.45,Westfriedhof,Gedenkveranstaltung zum 72. Jahrestag der Zerstörung Magdeburgs ,2017-01-03 00:00:00
17.0,2017-01-16 00:00:00,18.00-20.00,Alter Markt,Mahnwache für die Opfer des NS,2017-01-11 00:00:00
18.0,2017-01-16 00:00:00,18.00-23.00,Domplatz,Kein Fußbreit den Faschisten!,2017-01-11 00:00:00
19.0,2017-01-16 00:00:00,17:00-22:00,Uni-Platz/Gareisstr.,Vielfalt und Akzeptanz - Für ein friedliches Miteinander,2017-01-11 00:00:00
20.0,2017-01-21 00:00:00,13.00-16.00,Nicolaiplatz,Meilenstein zum Gedenken der Bombardierung Magdeburgs,2017-01-11 00:00:00
21.0,2017-01-16 00:00:00,18.00-22.00,J.-Bremer-Straße,Mahnwache am Tag des Gedenkens an die Zerstörung Magdeburgs - Nie wieder Krieg und rechte Gewalt,2017-01-12 00:00:00
22.0,2017-02-14 00:00:00,10.00-13.00,Alter Markt,Tarif- und Besoldungsrunde 2017 im öffentlichen Dienst der Länder,2017-01-11 00:00:00
23.0,2017-01-16 00:00:00,18.00-22.00,Konrad-Adenauer-Platz,Gemeinsam gegen Nazis und Geschichtsrevisionismus,2017-01-12 00:00:00
24.0,2017-01-16 00:00:00,18.30-21.00,Bhf Neustadt,für ein offenes und buntes Magdeburg,2017-01-13 00:00:00
25.0,2017-01-16 00:00:00,19.00-21.00,Aufzug,"Nie wieder Faschismus, nie wieder Krieg",2017-01-13 00:00:00
26.0,2017-01-16 00:00:00,18.30-21.00,Liebknechtstraße,nicht vergeben und nicht vergessen,2017-01-13 00:00:00
27.0,2017-01-24 00:00:00,11.00-13.00,Breiter Weg,Warnstreik Tarifrunde der Länder,2017-01-16 00:00:00
28.0,23.01.2017,18.15-19.00,Aufzug,Demonstration gegen die Amtseinführung von Donald Trump,2017-01-18 00:00:00
29.0,2017-05-27 00:00:00,09.00-15.00,Aufzug,Ökumene rollt weiter - Für ein Miteinander in der Ökumene,2017-01-11 00:00:00
30.0,2017-01-23 00:00:00,11.00-12.30,Bahnhofstraße,CETA stoppen!,2017-01-20 00:00:00
31.0,2017-01-25 00:00:00,09.15-12.00,Leiterstraße,Echtpelz in der Mode,2017-01-20 00:00:00
32.0,2017-02-14 00:00:00,10.00-11.00,Aufzug,Tarif- und Besoldungsrunde 2017 im öffentlichen Dienst der Länder,2017-01-24 00:00:00
33.0,2017-02-08 00:00:00,16.00-17.00,"Haltestelle ""Klinikum Olvenstedt""",Gedenken und Kranzniederlegung am Todestag von Frank Böttcher,2017-01-30 00:00:00
34.0,2017-02-15 00:00:00,11.30-12.30,Ratswaageplatz,Tarif- und Besoldungsrunde 2017 im öffentlichen Dienst der Länder,2017-01-30 00:00:00
35.0,montags Februar 2017,17.45-20.00,Aufzug,Gemeinsam für eine bessere Zukunft,2017-02-02 00:00:00
36.0,2017-02-08 00:00:00,15:30-18:00,Konrad-Adenauer-Platz,Grundeinkommen für alle,2017-02-06 00:00:00
37.0,2017-02-11 00:00:00,14.00-17.00,Aufzug,Keine Abschiebungen nach Afghanistan,2017-02-09 00:00:00
38.0,2017-02-16 00:00:00,11.00-14.00,Domplatz,Sanierung der Giftschlammgrube Brüchau (Altmark),2017-02-10 00:00:00
39.0,2017-02-14 00:00:00,16.00-18.00,Allee-Center,One Billion Rising,2017-02-13 00:00:00
40.0,2017-06-15 00:00:00,12.30-15.00,Aufzug,"Tarifrunde Glas- und Gebäudereiniger, Ost-West-Angleich 2017",2017-02-14 00:00:00
41.0,2017-03-01 00:00:00,16.00-17.00,Flora-Park,Gedenken an die ermordeten Sinti und Roma,2017-02-16 00:00:00
42.0,2017-03-11 00:00:00,13.00-20.00,Alter Markt / Aufzug,Frauenrechte / Gleichberechtigung / Internationaler Frauentag,2017-02-24 00:00:00
43.0,2017-03-03 00:00:00,15.00-17.00,Alter Markt / E.-Reuter-Allee,Keine Abschiebungen nach Afghanistan,2017-03-01 00:00:00
44.0,montags     März 2017,17.45-20.00,Aufzug,Gemeinsam für eine bessere Zukunft,2017-03-02 00:00:00
45.0,2017-03-14 00:00:00,08.00-11.00,Landgericht,Solidarität mit den Angeklagten der 3. Oktober Demo 2015,2017-03-07 00:00:00
46.0,2017-03-14 00:00:00,12.00-18.00,Hasselbachplatz,Freiheit für Musa Asoglu,2017-03-07 00:00:00
47.0,2017-04-17 00:00:00,09.30-11.15,Aufzug,Ostermarsch (Autokorso),2017-03-07 00:00:00
48.0,2017-03-12 00:00:00,13.30-15.30,Breiter Weg,Zeichen setzen für Europa! #PulseOfEurope,2017-03-07 00:00:00
49.0,2017-03-19 00:00:00,14.00-15.00,Breiter Weg,#PulseOfEurope,2017-03-13 00:00:00
50.0,2017-03-26 00:00:00,14.00-15.00,Breiter Weg,#PulseOfEurope,2017-03-13 00:00:00
51.0,2017-04-02 00:00:00,14.00-14.30,Ulrichplatz,#PulseOfEurope,2017-03-27 00:00:00
52.0,2017-04-09 00:00:00,14.00-14.30,Ulrichplatz,#PulseOfEurope,2017-03-27 00:00:00
53.0,montags   April 2017,17.45-20.00,Aufzug,Gemeinsam für eine bessere Zukunft,2017-04-01 00:00:00
54.0,2017-04-17 00:00:00,06.00-11.45,Aufzug,Ostermarsch (Fahrradkorso),2017-04-03 00:00:00
55.0,2017-06-17 00:00:00,10.00-12.45,Aufzug,7. FahrRad-Aktionstag,2017-04-12 00:00:00
56.0,2017-05-17 00:00:00,11.30-15.00,W.-Brandt-Platz,Kundgebung zum IDAHIT 2017,2017-04-13 00:00:00
57.0,2017-05-01 00:00:00,10.00-14.00,Alter Markt,"Maikundgebung ""Wir sind viele. Wir sind eins.""",2017-04-18 00:00:00
58.0,2017-04-23 00:00:00,14.00-14.45,Ulrichplatz,#PulseOfEurope,2017-04-19 00:00:00
59.0,2017-04-29 00:00:00,11.00-11.45,Aufzug,Wir wollen nicht vergessen Hannes,2017-04-21 00:00:00
60.0,2017-05-01 00:00:00,13.00-16.00,Olvenstedter Platz,Heraus zum revolutionären 1. Mai ,2017-04-24 00:00:00
61.0,2017-04-26 00:00:00,14.00-19.00,Alter Markt,Türkisches Massaker im Gebiet Shingal,2017-04-25 00:00:00
62.0,2017-05-04 00:00:00,08.30-10.30,Domplatz,Volksinitiative für mehr Lehrer/-innen und pädagogische Mitarbeiter/-innen,2017-04-27 00:00:00
63.0,2017-04-30 00:00:00,16.00-21.00,Aufzug,Karneval der Kulturlosen - Fur kulturelle Freiräume!,2017-04-27 00:00:00
64.0,montags     Mai 2017,17.45-20.00,Aufzug,Gemeinsam für eine bessere Zukunft,2017-04-28 00:00:00
65.0,2017-05-09 00:00:00,16.00-17.00,Torsten-Lamprecht-Weg,"Gedenken an Torsten Lamprecht anlässlich des Jahrestages des Überfalls auf die ""Elbterrassen""",2017-05-02 00:00:00
66.0,2017-05-04 00:00:00,17.00-,Domplatz,Vollständige und nachhaltige Sanierung der Bohrschlammgrube Brüchau durch den Betreiber ENGIE E&P Deutschland GmbH,2017-05-02 00:00:00
67.0,2017-05-09 00:00:00,09.00-13.00,Halische Straße,Das schlechteste Dienstgebäude der Polizei in Deutschland,2017-05-02 00:00:00
68.0,2017-05-27 00:00:00,11.15-13.00,Aufzug,Friedenswege - Zivile Lösungen statt Krieg,2017-05-15 00:00:00
69.0,2017-05-24 00:00:00,08.30-12.00,Breiter Weg,Solidarität mit den Angeklagten der 3. Oktober Demo 2015,2017-05-17 00:00:00
70.0,2017-05-20 00:00:00,14.00-18.00,Herrenkrugstraße,"Was würden Sie arbeiten, wenn für Ihr Einkommen gesorgt wär?",2017-05-17 00:00:00
71.0,2017-05-20 00:00:00,18.00-23.00,Fraunhoferstraße,"Was würden Sie arbeiten, wenn für Ihr Einkommen gesorgt wär?",2017-05-17 00:00:00
72.0,2017-05-25 00:00:00,11.00-16.00 ,Elbpromenade,"Was würden Sie arbeiten, wenn für Ihr Einkommen gesorgt wär?",2017-05-23 00:00:00
73.0,2017-05-27 00:00:00,11.00-16.00,Elbpromenade,"Was würden Sie arbeiten, wenn für Ihr Einkommen gesorgt wär?",2017-05-23 00:00:00
74.0,2017-06-14 00:00:00,16.00-17.00,Liebknechtstraße,Gedenkveranstaltung der Frauen des ehemaligen Frauen-KZ,2017-05-24 00:00:00
75.0,2017-06-01 00:00:00,12.00-15.00,Am Großen Silberberg,Warnstreik KfZ Tarifrunde,2017-05-24 00:00:00
76.0,2017-05-31 00:00:00,10.00-12.00,E.-Reuter-Allee ,Gegen das Kükenschreddern in der Ei-Industrie,2017-05-24 00:00:00
77.0,2017-06-08 00:00:00,06.00-12.30,Leipziger Straße ,Warnstreik,2017-06-01 00:00:00
78.0,2017-06-11 00:00:00,10.30-12.00,Ulrichplatz,Zukunft der Europäischen Union,2017-06-02 00:00:00
79.0,2017-06-03 00:00:00,15.25,Breiter Weg,Unser Europa ist nicht eure Union,
80.0,2017-06-08 00:00:00,10.30-12.00,Domplatz,Vollständige und nachhaltige Sanierung der Bohrschlammgrube Brüchau durch den Betreiber ENGIE E&P Deutschland GmbH,2017-06-06 00:00:00
81.0,2017-09-16 00:00:00,11.00-14.00,Breiter Weg / E.-Reuter-Allee,"Aktionstag zur Bundestagswahl: ""5 vor 12: Wir sind unverhandelbar""",2017-06-06 00:00:00
82.0,2017-06-22 00:00:00,11.30-15.30,Breiter Weg,Politische Teilhabe,2017-06-12 00:00:00
83.0,2017-06-21 00:00:00,08.30-12.00,Breiter Weg,Solidarität mit den Angeklagten der 3. Oktober Demo 2015,"15.,06.2017"
84.0,2017-07-03 00:00:00,,Aufzug,unbekannt,2017-07-03 00:00:00
85.0,2017-09-08 00:00:00,15.00-21.00,Breiter Weg,Bundestagswahlkampf Internationale Liste / MLPD,2017-07-01 00:00:00
86.0,2017-08-06 00:00:00,14.00-14.45,Breiter Weg,#PulseOfEurope,2017-07-11 00:00:00
87.0,2017-09-03 00:00:00,14.00-14.45,Breiter Weg,#PulseOfEurope,2017-07-11 00:00:00
88.0,2017-08-16 00:00:00,16.00-17.00,Hektorweg,Gedenken an Rick L. / Opfer rechter Gewalt in Sachsen-Anhalt,2017-07-13 00:00:00
89.0,2017-07-18 00:00:00,11.00-12.30,Aufzug,EILVERSAMMLUNG - Streik wegen Tarifverhandlungen im Einzelhandel,2017-07-18 00:00:00
90.0,2017-08-25 00:00:00,,Aufzug,"Gemeinsam fahren, gemeinsam kämpfen für unsere Rechte",2017-07-11 00:00:00
91.0,2017-08-28 00:00:00,14.30-17.00,Alter Markt,"Kundgebung des SPD-Spitzenkandidaten zur Bundestagswahl, Martin Schulz",2017-07-26 00:00:00
92.0,2017-08-12 00:00:00,14.30-15.30,Kleiner Stadtmarsch,Magdeburg sagt NEIN zu Tierdressuren!,2017-08-03 00:00:00
93.0,2017-09-01 00:00:00,18:00-21:30,Aufzug,Antikriegstag / Weltfriedentag am 1. September,2017-08-09 00:00:00
94.0,2017-08-26 00:00:00,13:00-15:00,Aufzug,"CSD Demo, Mit Menschlichkeit leben",2017-08-16 00:00:00
95.0,2017-09-12 00:00:00,19.00-22.00,Domplatz + Aufzug,Demonstration gegen Politikversagen,2017-08-18 00:00:00
96.0,2017-09-01 00:00:00,13.00-14.30,Krähenstieg,Information zum aktuellen Tarifverhandlungsergebnis,2017-08-29 00:00:00
97.0,2017-10-11 00:00:00,08.15-09.00,Halberstädter Straße,Tierschutz,2017-08-30 00:00:00
98.0,2017-09-12 00:00:00,17.30-22.00,Domplatz + Aufzug,Hol dir deine Würde zurück,2017-08-30 00:00:00
99.0,2017-09-15 00:00:00,15.00-19.00,Breiter Weg,Mehr Freiräume und weniger MIV in Magdeburg!,2017-08-30 00:00:00
100.0,2017-09-15 00:00:00,14:30-19:00,Breiter Weg 174,Internationaler Parking-Day: mehr Lebensqualität in der Stadt,2017-08-23 00:00:00
101.0,2017-09-12 00:00:00,17:30-24:00,Domplatz Nord,Rechten Wa(h)lfang stoppen! - Hetzern nicht ins Netz gehen,2017-08-30 00:00:00
102.0,2017-09-15 00:00:00,15.00-19.00,Breiter Weg / Ulrichplatz,Frei - statt Parkräume in Magdeburg!,2017-09-04 00:00:00
103.0,2017-09-10 00:00:00,10.00-11.00,Westfriedhof,"Tag der Erinnerung, Mahnung und Begegnung",2017-09-05 00:00:00
104.0,2017-09-15 00:00:00,15.00-19.00,Breiter Weg 203,Für mehr Freiräume im öffentlichen Raum in Magdeburg,2017-09-05 00:00:00
105.0,2017-09-13 00:00:00,08.45-12.00,Breiter Weg,Solidarität mit den Angeklagten der 3. Oktober Demo 2015,2017-09-06 00:00:00
106.0,2017-09-13 00:00:00,17.00-21.00,Breiter Weg,Wahlkampfveranstaltung,2017-09-06 00:00:00
107.0,2017-09-15 00:00:00,15.00-19.00,Breiter Weg,Mehr Fahrradabstellanlagen statt KFZ-Parkplätzen!,2017-09-08 00:00:00
108.0,2017-09-15 00:00:00,14.30-20.00,Breiter Weg,Für mehr Freiräume im öffentlichen Raum in Magdeburg,2017-09-09 00:00:00
109.0,2017-09-15 00:00:00,16.00-20.00,Breiter Weg,Für mehr Freiräume im öffentlichen Raum in Magdeburg,2017-09-11 00:00:00
110.0,2017-09-15 00:00:00,16.00-20.00,Breiter Weg,Für mehr Freiräume im öffentlichen Raum in Magdeburg,2017-09-11 00:00:00
111.0,2017-09-22 00:00:00,18.00-24.00,Hasselbachplatz,Gegen repressive Sicherheitskonzepte und Verdrängung!,2017-09-11 00:00:00
112.0,2017-09-13 00:00:00,15.00-16.30,Domplatz + Aufzug,In Fahrt für die Zunkunft der Kinder,2017-09-11 00:00:00
113.0,2017-09-18 00:00:00,18:00-20:00,Domfelsen,Elbeandacht,2017-09-13 00:00:00
114.0,2017-09-21 00:00:00,08.30-09.00,Breiter Weg,Warnstreik Postbank Filialvertrieb,2017-09-15 00:00:00
115.0,2017-09-30 00:00:00,14.00-18.00,Breiter Weg,Tierschutz / gegen Massentierhaltung,2017-09-22 00:00:00
116.0,2017-10-03 00:00:00,14.00-17.00,Schellheimer Platz,"Mieten runter - Löhne hoch""",2017-09-26 00:00:00
117.0,2017-09-30 00:00:00,11.00-18.00,E.-Reuter-Allee,Christliche  Werte,2017-09-28 00:00:00
118.0,2017-10-07 00:00:00,14:00-17:00,MD HBhf,Freiheit für A. Öcalan,2017-10-02 00:00:00
119.0,2017-10-13 00:00:00,11:00-11:45,Domplatz,Raus aus der Massentierhaltung,2017-10-04 00:00:00
120.0,2017-10-18 00:00:00,08:45-12:00,AG MD,Solidarität mit den Angeklagten der 3. Oktober Demo 2015,2017-10-12 00:00:00
121.0,2017-10-16 00:00:00,12.00-18.00,W.-Brandt-Platz,Freiheit für Öcalan,2017-10-16 00:00:00
122.0,2017-10-21 00:00:00,14.30-17.00,Aufzug,Freiheit für Öcalan,2017-10-16 00:00:00
123.0,2017-10-17 00:00:00,12.00-18.00,W.-Brandt-Platz,Freiheit für Öcalan,2017-10-16 00:00:00
124.0,2017-10-18 00:00:00,12.00-18.00,W.-Brandt-Platz,Freiheit für Öcalan,2017-10-16 00:00:00
125.0,2017-10-19 00:00:00,12.00-18.00,W.-Brandt-Platz,Freiheit für Öcalan,2017-10-16 00:00:00
126.0,2017-10-20 00:00:00,12.00-18.00,W.-Brandt-Platz,Freiheit für Öcalan,2017-10-16 00:00:00
127.0,2017-10-21 00:00:00,12.00-18.00,W.-Brandt-Platz,Freiheit für Öcalan,2017-10-16 00:00:00
128.0,2017-10-27 00:00:00,14.00-17.00,Domplatz,Entsorgung Giftschlammgrube Brüchau,2017-10-23 00:00:00
129.0,2017-11-04 00:00:00,,BK - MD - JL,Revolution statt Krieg - 100 Jahre Oktoberrevolution,2017-10-19 00:00:00
130.0,2017-11-09 00:00:00,18.30-24.00,Aufzug,VergissMalNicht - Gemeinsam gegen eine blau-braune Verdrängungskultur,2017-10-30 00:00:00
131.0,2017-11-09 00:00:00,17.00-19.00,Aufzug,Pogromgedenken,2017-11-06 00:00:00
132.0,2017-11-21 00:00:00,16.00-18.00,Breiter Weg,Erinnerung an die Ermordeten des NSU,2017-11-14 00:00:00
133.0,2017-11-30 00:00:00,15.00-17.00,Annastraße,Der Infoladen ist bedroht,2017-11-21 00:00:00
134.0,2017-12-03 00:00:00,14.00-16.00,Aufzug,294. Friedensweg für eine ausschließlich zivile Nutzung der Colbitz-Letzlinger-Heide,2017-11-23 00:00:00
135.0,2017-12-16 00:00:00,16.30-22.00,Aufzug,Students for a future without racism vol. 2,2017-11-28 00:00:00
136.0,2017-12-02 00:00:00,14.30-16.00,Ernst-Reuter-Allee,Veganismus,2017-11-29 00:00:00
137.0,2017-12-07 00:00:00,09.30-12.00 ,Domplatz,Entsorgung der Giftschlammgrube Brüchau,2017-12-04 00:00:00
138.0,2017-12-30 00:00:00,16.00-18.00,Breiter Weg / Ernst-Reuter-Allee,Kundgebung gegen Massentierhaltung,2017-12-12 00:00:00
139.0,2017-12-20 00:00:00,12.30-13.30,Domplatz,"Errichtung eines ""Weihnachtsmangelwaldes"" zur Darstellung des Mangels an Lehrer/innen und päd. Personal in Sachsen-Anhalt",2017-12-15 00:00:00
140.0,2017-12-15 00:00:00,13.30-15.00,Johanniskirche,Übergewichtsepidemie stoppen,15.12.201
