Lfd. Nr. ,Datum der Vers,Uhrzeit der Vers,Ort der Vers,Thema der Versammlung,Datum der Anmeldung
,,,,,
1.0,2017-01-21 00:00:00,12.00-18.00,Breiter Weg,Meile der Demokratie ,2016-02-08 00:00:00
2.0,2017-01-21 00:00:00,,Bhf Eichenweiler,Meilenstein - Bahnhof Eichenweiler,2016-02-08 00:00:00
3.0,2017-01-21 00:00:00,,Bhf Herrenkrug,Meilenstein - Bahnof Herrenkrug,2016-02-08 00:00:00
4.0,2017-01-21 00:00:00,,Bhf Neustadt,Meilenstein - Bahnhof Neustadt,2016-02-08 00:00:00
5.0,2017-01-21 00:00:00,,Bhf Sudenburg,Meilenstein - Bahnhof Sudenburg,2016-02-08 00:00:00
6.0,2017-01-21 00:00:00,,Bhf Buckau,Meilenstein - Bahnhof Buckau,2016-02-08 00:00:00
7.0,2017-01-21 00:00:00,,Bhf Südost,Meilenstein - Bahnhof Südost,2016-02-08 00:00:00
8.0,21.01.2017,10.00-20.00,Uniplatz,Meilenstein des Studierendenrates der OvGU,2016-12-08 00:00:00
9.0,2017-01-12 00:00:00,11.00-12.00,Alter Markt,Tierfabriken? Nein Danke!,2016-12-22 00:00:00
10.0,montags 2017,18.00-19.00,E.-Reuter-Allee/Breiter Weg,Protest gegen die Hartz-Gesetze und andere Punkte der sozialen Lage und der Arbeitsplätze,2016-12-10 00:00:00
11.0,montags Januar 2017,17.45-20.00,Aufzug,Gemeinsam für eine bessere Zukunft,2016-12-29 00:00:00
12.0,2017-01-02 00:00:00,17.00-18.00,Nordeingang MDCC-Arena,Für Frieden und Gewaltfreiheit und Gedenken an die Opfer des Berliner Anschlags und an den verstorbenen FCM-Fan,2016-12-30 00:00:00
13.0,2017-01-21 00:00:00,10.00-17.00,Leipziger Straße ,Meilenstein anlässlich der Meile der Demokratie,2017-01-03 00:00:00
14.0,2017-01-21 00:00:00,10.30-19.00,Domplatz,Meilenstein für ein demokratisches und weltoffenes Magdeburg im Bündnis gegen Rechts und Friedenskundgebung,2017-01-03 00:00:00
