Lfd. Nr. ,Datum der Vers,Uhrzeit der Vers,Ort der Vers,Thema der Versammlung,Datum der Anmeldung
,,,,,
1.0,2020-01-19 00:00:00,12.00-22.00,Aufzug,Trauermarsch 16.000 unvergessen,2018-05-29
2.0,16.01.2020,17.00-18.00,Alter Markt,Offenes Singen für ein weltoffenens Magdeburg,2019-02-25
3.0,2020-01-17 00:00:00,19.00-02.00,Aufzug,Trauermarsch 16.000 unvergessen,2019-09-01
4.0,2020-01-17 00:00:00,17.00-19.00,Julius-Bremer-Straße  (alte Synagoge),Gegen Antisemitismus und für Weltoffenheit und Toleranz,2019-11-21
5.0,2020-01-17 00:00:00,17.15-19.00,Julius-Bremer-Straße  (neue Synagoge),Gegen Antisemitismus und für Weltoffenheit und Toleranz,2019-11-21
6.0,2020-01-17 00:00:00,16.00-20.00,Willy-Brandt-Platz,Samba-Trommeln für Friedensklima in Magdeburg,2019-11-25
7.0,2020-01-17 00:00:00,16.00-20.00,ZOB,Samba-Trommeln für Friedensklima in Magdeburg,2019-11-25
8.0,2020-01-17 00:00:00,18.00-21.00,Liebknechtstraße,Gegen Antisemitismus. Für Weltoffenheit und Toleranz,2019-11-25
9.0,2020-01-17 00:00:00,15.00-17.00,Aufzug,"Demo ""Solidarisches Klima für alle""",2019-12-08
10.0,2020-01-17 00:00:00,12.00-17.00,Hasselbachplatz,Kein Raum für Neue Rechte,2019-12-05
11.0,2020-01-17 00:00:00,18.00-21.00,Max-Otten-Straße,Solidarische Mahnwache,2019-12-10
12.0,2020-01-17 00:00:00,17.00-19.00,Nicolaiplatz,eine Stadt für alle - die Nicolaigemeinde für ein weltoffenes Magdeburg,2019-12-12
13.0,2020-01-17 00:00:00,10.00-20.00,Große Diesdorfer Straße ,Wir vergessen nicht! - Gegen rechte Geschichtsverfälscher,2019-12-12
14.0,2020-01-17 00:00:00,17.00-22.00,Aufzug,Für eine friedliche und solidarische Welt - gegen Rassismus und Gewalt,2019-12-13
15.0,2020-01-17 00:00:00,16.00-21.00,Bhf. Hasselbachplatz,"Solidarität mit geflüchteten Menschen; Gegenprotest gegen faschistische, Neo-Nationalistische Hetze in Magdeburg",2019-12-17
16.0,2020-01-17 00:00:00,14.00-22.00,ZOB,Solidarische Gesellschaft,2019-12-17
17.0,2020-01-18 00:00:00,11.00-16.00,Breiter Weg,"Präsentation des Netzwerkes ""Schulen ohne Rassismus - Schulen mit Courage""",2019-12-19
18.0,2020-01-17 00:00:00,18.00-22.00,Leipziger Straße ,Magdeburg ist bunt - Vereine des Uniklinikums stellen sich vor & protestieren,2019-12-19
19.0,2020-01-17 00:00:00,18.00-21.00,Breiter Weg/ Ernst-Reuter-Allee,Eine Stadt für alle unterm Regenbogen,2019-12-24
20.0,2020-01-17 00:00:00,17.00-23.00,Bahnhof Sudenburg,Bedingungsloses Mindesthirn für alle!,2019-12-30
21.0,2020-01-08 00:00:00,15.00-17.00,Alter Markt,Den Mangel beenden - Unseren Kindern Zukunft geben!,2020-01-02
22.0,2020-01-24 00:00:00,16.00-18.00,Alter Markt,Fridays gegen Altersarmut,2020-01-03
23.0,20.01.2020,17.00-18.30,Aufzug,Rettet den Stadtpark ROTEHORN!,2020-01-04
24.0,jeden Montag 2020,18.00-19.30,Breiter Weg/ Ernst-Reuter-Allee,Montagsdemonstrationen,2020-01-06
25.0,2020-01-17 00:00:00,17.30-22.00,Aufzug,Nazis wegbassen,2020-01-08
26.0,2020-01-17 00:00:00,,Aufzug,Traktorendemo,2020-01-07
27.0,2020-01-17 00:00:00,16.30-20.00,Otto-von-Guericke-Straße,Demokratie und Vielfalt in Magdeburg! Kein Platz für Nazis,2020-01-08
28.0,2020-01-18 00:00:00,10.30-16.00,Breiter Weg,Ein weltoffenes Magdeburg brauch kein Gefechtsübungszentrum,2020-01-09
29.0,2020-01-16 00:00:00,22.00-14.00,Hansehafen,Warnstreik Glencore Magdeburg GmbH,2020-01-10
30.0,2020-01-12 00:00:00,15.00-17.00,Ernst-Reuter-Allee,Gedenken der Opfer des Flugzeugabschusses,2020-01-11
31.0,2020-01-17 00:00:00,16.00-20.00,Bahnhof Neustadt,Für Frieden … gegen Fremdenhass,2020-01-14
32.0,2020-01-16 00:00:00,17.00-20.00,Alter Markt,Für Frieden … gegen Fremdenhass,2020-01-14
33.0,2020-01-23 00:00:00,13.00-14.15,Alter Markt,Rettet den Stadtpark ROTEHORN!,2020-01-14
34.0,2020-01-16 00:00:00,17.00-18.00,Aufzüge,"Sternmarsch zu ""Magdeburg sind für eine weltoffene Stadt""",2020-01-13
35.0,2020-01-18 00:00:00,10.00-15.00,Ernst-Reuter-Allee,Dem Faschismus keinen Fussbreit - in Magdeburg und überall.,2020-01-15
36.0,2020-01-17 00:00:00,17.00-22.00,Bahnhof SKET,Kundgebung gegen Rassismus und Menschenverachtung,2020-01-15
37.0,2020-01-17 00:00:00,17.00-22.00,Bahnhof Südost,Kundgebung gegen Rassismus und Menschenverachtung,2020-01-15
38.0,2020-01-17 00:00:00,06.00-09.00,SAW -MD,Traktorendemo,2020-01-15
39.0,2020-01-17 00:00:00,06.30-09.00,SDL - MD,Traktorendemo,2020-01-15
40.0,2020-01-17 00:00:00,19.00-22.00,Bahnhof Eichenweiler,Aufklärung über Geschichtsrevisionismus im postmodernen Zeitalter,2020-01-17
41.0,2020-01-25 00:00:00,15.30-18.00,Aufzug,Wir wollen eine echte Sozialpolitik für alle - Protest gegen die Veranstaltung der AfD,2020-01-17
42.0,2020-01-25 00:00:00,17.00-20.00,Halberstädter Straße ,Aufklärung gegen völkische und nationalistische Propaganda des Rechtsextremen Flügel der Alternative für Deutschland,2020-01-17
43.0,2020-01-25 00:00:00,14.00-16.00,Alter Markt,Pro-Videntia - kein G5 in Sachsen-Anhalt - Gesundheit und Umwelt vor Strahlungsschäden schützen!,2020-01-16
44.0,2020-02-07 00:00:00,18.00-19.30,Brenneckestraße,Gemeinsam stark: Ein Licht für die Tiere im Versuchslabor!,2020-01-14
45.0,2020-01-31 00:00:00,08.00-14.00,Domplatz,Abschaffung der Straßenausbaubeiträge ,2020-01-26
46.0,2020-01-30 00:00:00,08.00-15.00,Domplatz,Straßenausbaubeiträge,2020-01-26
47.0,2020-02-05 00:00:00,10.30-14.30,Aufzug,Aktionstag AMEOS-Kliniken,2020-01-28
48.0,2020-02-08 00:00:00,16.00-17.00,Birkenallee,Gedenken und Kranzniederlegung am Todestag von Frank Böttcher,2020-01-28
49.0,2020-02-01 00:00:00,11.00-12.30,Hasselbachplatz,Kein Krieg im Nahen Osten!,2020-01-29
50.0,2020-01-30 00:00:00,14.00-15.00,Domplatz,Düngeverordnung - aktueller Beschluss der Bundesregierung,2020-01-30
51.0,2020-02-20 00:00:00,16.00-20.00,Ernst-Reuter-Allee,Free Assange,2020-02-04
52.0,2020-03-01 00:00:00,16.00-17.00,Olvenstedter Graseweg,Gedenken an die ermordeten Sinti und Roma,2020-02-05
53.0,2020-02-29 00:00:00,11.00-13.00,Aufzug,Pro-Videntia - kein G5 in Sachsen-Anhalt - Gesundheit und Umwelt vor Strahlungsschäden schützen!,2020-02-06
54.0,2020-02-27 00:00:00,18.30-22.00,Domplatz,Demokratie im Parlament!,2020-02-10
55.0,2020-02-28 00:00:00,13.00-16.00,Aufzug,Klimagerechtigkeit,2020-02-12
56.0,2020-02-17 00:00:00,15.00-17.00,Ernst-Reuter-Allee,Gegen das NATO-Kriegsmanöver DEFENDER 2020,2020-02-15
57.0,2020-02-18 00:00:00,17.00-20.00,Domplatz,Gegen das NATO-Kriegsmanöver DEFENDER 2020,2020-02-15
58.0,2020-02-20 00:00:00,16.00-18.00,Ernst-Reuter-Allee,Gegen das NATO-Kriegsmanöver DEFENDER 2020,2020-02-15
59.0,2020-03-21 00:00:00,15.00-16.30,Aufzug,Mehr Kinder auf´s Rad - Mehr Sicherheit im Straßenraum Magdeburg,2020-02-19
60.0,2020-03-25 00:00:00,18.30-22.00,Domplatz,Demokratie im Parlament!,2020-02-19
61.0,2020-02-20 00:00:00,19.00-21.00,Aufzug,Rassismus tötet. Den rechten Terror stoppen. Demonstration in Gedenken an die Ermordeten von Hanau,2020-02-20
62.0,2020-02-22 00:00:00,16.00-18.00,Aufzug,Gemeinsam den rechten Rassismus stoppen,2020-02-21
63.0,2020-02-28 00:00:00,08:00-14:00,Domplatz,Abschaffung der Straßenausbaubeiträge ,2020-02-24
64.0,2020-02-27 00:00:00,09.00-17.00,Domplatz,Abschaffung Straßenausbaubeiträge ,2020-02-24
65.0,2020-05-01 00:00:00,12.00-14.00,Aufzug,"Gewerkschaftsdemo zum ersten Mai ""Viele Probleme - Eine Baustelle""",2020-02-20
66.0,2020-02-27 00:00:00,18.00-18.30,Domplatz,Gerechte Bezahlung für GS Lehrkräfte,2020-02-26
67.0,2020-03-08 00:00:00,14.30-18.00,Aufzug,"Demonstration zum Frauen*kampftag - Wir kämpften, kämpfen und werden kämpfen!",2020-02-27
68.0,2020-05-08 00:00:00,16:30-18:00,Nordpark,75 Jahre Befreiung vom Faschismus,2020-02-27
69.0,2020-03-12 00:00:00,17.00-21.00,Johannisbergstraße,Nein zu Kriegsmanöver! Ja zu Frieden Abrüstung Entspannungspolitik!,2020-02-27
70.0,2020-02-29 00:00:00,10.00-14.00,Otto-von-Guericke-Straße,Coronavirus-Quarantäne - eine neue Art der Verfolgung,2020-02-27
71.0,2020-03-09 00:00:00,12.00-12.30,Turmschanzenstraße,Unterschriftenübergabe zum Erhalt des Klinikums Havelberg,2020-03-02
72.0,2020-03-27 00:00:00,15.00-18.00,Hasselbachplatz,"Volksbegehren ""Den Mangel beenden""",2020-03-02
73.0,2020-03-06 00:00:00,17.00-19.00,Aufzug,Wir haben Platz - für ein solidarisches Europa,2020-03-03
74.0,2020-03-11 00:00:00,08.30-10.30,Domplatz,"Eltern protestieren gegen Kürzungspläne bei freien Schulen unter dem Motto: ""Wir lassen uns nicht zum Narren halten""",2020-03-04
75.0,2020-03-12 00:00:00,17.00-21.00,Johannisbergstraße,Gegen das NATO-Kriegsmanöver DEFENDER 2020,2020-03-09
76.0,2020-03-17 00:00:00,18.00-20.00,Breiter Weg,Cube of truth - Mahnwache gegen das wegsehen,2020-03-11
77.0,2020-03-20 00:00:00,13.00-15.00,Aufzug,Klimagerechtigkeit,2020-03-13
78.0,2020-04-01 00:00:00,16.00-17.30,Olvenstedter Platz,Grundrechte statt Ausgangsbeschränkungen,2020-03-30
79.0,2020-04-11 00:00:00,14.30-17.00,Sternbrücke,Coronavirus COVID 19 - Warum der Shutdown verfassungswidrig ist,2020-04-08
80.0,2020-09-05 00:00:00,13.00-15.30,Aufzug,CSD Magdeburg 2020,2020-04-16
81.0,2020-05-01 00:00:00,14.00-19.00,Thiemplatz,Kundgebung am 1. Mai,2020-04-20
82.0,2020-04-24 00:00:00,09.00-13.00,Domplatz,Mahnwache zur Unterstützung der Gastronosmischen Betriebe und ihrer Mitarbeiter in der LHS Magdeburg und dem Land Sachsen-Anhalt,2020-04-21
83.0,2020-05-01 00:00:00,12.00-13.30,Aufzug,1. Mai - Internationaler Kampftag der Arbeiterklasse,2020-04-21
84.0,2020-04-25 00:00:00,15.30-17.30,Alter Markt,Grundrechte und ihre Wertigkeit,2020-04-22
85.0,2020-05-01 00:00:00,14.00-15.30,Olvenstedter Platz,1. Mai - internationaler Kampftag der ArbeiterInnenklasse,2020-04-23
86.0,2020-04-24 00:00:00,12.00-13.00,Neue Strombrücke,Keine Wohnbebauung im Stadtpark ROTEHORN,2020-04-23
