Lfd. Nr. ,Datum der Vers,Uhrzeit der Vers,Ort der Vers,Thema der Versammlung,Datum der Anmeldung
87.0,2020-04-29 00:00:00,18.30-22.00,Domplatz,"Rücknahme der Freiheitsbeschränkungen, Rücksichtnahme auf die Risikogruppe und das Wiederhochfahren der Wirtschaft!",2020-04-24
88.0,2020-04-29 00:00:00,10.00-14.00,Domplatz + Buskorso,Rettet die Reisebüros und die Tourismuswirtschaft,2020-04-26
89.0,2020-05-01 00:00:00,15.30-17.30 ,Aufzug + Alter Markt,Grundrechte und ihre Wertigkeit,2020-04-26
90.0,2020-04-29 00:00:00,12.00-15.00,Domplatz,Schulboykott,2020-04-26
91.0,2020-04-30 00:00:00,16.00-17.00,Ernst-Reuter-Allee,"keine Aushebelung des Grundgesetzes, etc.",2020-04-27
92.0,2020-05-01 00:00:00,11.00-12.00,Domplatz,"friedliche Meditation für das, was uns alle verbindet – die Grundrechte",2020-04-28
93.0,2020-05-01 00:00:00,14.00,ZOB,,2020-04-28
94.0,2020-05-02 00:00:00,14.00-16.00,Aufzug,Menschenleben = Menschenleben - Leave no one behind,2020-04-28
95.0,2020-05-02 00:00:00,15.30-17.30,Alter Markt,"Mahnwache für Demokratie, Grundrechte und Freiheit",2020-04-28
96.0,2020-05-08 00:00:00,12.00-18.00,Ernst-Reuter-Allee,Nie wieder Krieg - für Frieden und Abrüstung,2020-04-29
97.0,2020-05-09 00:00:00,11.00-12.00,Domplatz,"Meditation für das, was uns alle verbindet!",2020-05-04
98.0,2020-05-09 00:00:00,14.30-16.00,Aufzug,Grundrechte/Impfung,2020-05-05
99.0,2020-05-08 00:00:00,11.00-12.00,Nordpark,Tag der Befreiung,2020-05-06
100.0,2020-05-09 00:00:00,15.30-17.30,Alter Markt,Pro Verfassung Sachsen-Anhalt,2020-05-07
101.0,2020-05-17 00:00:00,15.00-18.00,Domplatz,IDAHOBIT 20200,2020-05-07
102.0,2020-05-16 00:00:00,11.00-12.00,Domplatz,"Meditation für das, was uns alle verbindet!",2020-05-12
103.0,2020-05-16 00:00:00,10.00-14.00,Otto-von-Guericke-Straße,Corona-Quarantäne - Eine neue Art der Verfolgung,2020-05-12
104.0,2020-05-14 00:00:00,13.00-18.00,Alter Markt,"Für den Erhalt der Kleingartenanlage ""Am Zuckerbusch"" und einen schnellen Grundschulneubau in Cracau",2020-05-12
105.0,2020-05-16 00:00:00,15.30-18.00,"Alter Markt, Aufzug",Die Würde des Menschen ist unantastbar,2020-05-13
106.0,2020-05-23 00:00:00,14.00-17.00,Hasselbachplatz,"Klimakrise, Pandemie - we win in Solidarity",2020-05-14
107.0,2020-05-23 00:00:00,14.00-17.00,Elbbalkon,#LeaveNoOneBehind - Solidarität statt Rassismus,2020-05-14
108.0,2020-05-18 00:00:00,17.00-19.00,Domplatz,Grundrechte,2020-05-15
109.0,2020-05-23 00:00:00,14.00-17.00,Domplatz,#LeaveNoOneBehind  ,2020-05-18
110.0,2020-05-23 00:00:00,14.00-17.00,Aufzug,#LeaveNoOneBehind - On tour,2020-05-18
111.0,2020-05-23 00:00:00,14.00-17.00,Ernst-Reuter-Allee,#LeveNoOneBehind - Solidarity will win,2020-05-18
112.0,2020-05-23 00:00:00,14.00-17.00,Willy-Brandt-Platz,#LeaveNoOneBehind,2020-05-18
113.0,2020-05-23 00:00:00,13.00-17.00,Erhard-Hübner-Platz,#leavenoonebehind Klimaaktionstag,2020-05-19
114.0,2020-05-23 00:00:00,11.00-12.00,Domplatz,"Meditation für das, was uns alle verbindet!",2020-05-19
115.0,2020-05-23 00:00:00,15.30-18.00,Aufzug + Alter Markt,Die Würde des Menschen ist unantastbar,2020-05-20
116.0,2020-05-27 00:00:00,09.00-10.00,Domplatz,Die Freie Kulturszene - ein lebendiges Kunstbild,2020-05-26
117.0,2020-05-29 00:00:00,14.00-16.00,Breiter Weg/ Leiterstraße,"Nahverkehr stärken, Umwelt schützen!",2020-05-26
118.0,2020-05-29 00:00:00,14.00-16-00 ,Breiter Weg/ Alter Markt/ Leiterstraße ,"Nahverkehr stärken, Umwelt schützen!",2020-05-26
119.0,2020-05-29 00:00:00,11.00-12.00,Domplatz,"Meditation für das, was uns alle verbindet!",2020-05-27
120.0,2020-05-28 00:00:00,10.00-14.00,Aufzug,Rücktritt Svenja Schulze,2020-05-27
121.0,2020-05-30 00:00:00,15.30-17.30,Alter Markt,Grundrechte,2020-05-28
122.0,2020-06-02 00:00:00,16.00-19.00,Große Diesdorfer Straße ,Einrichtung einer temporären Protected Bikelane,2020-05-30
123.0,2020-06-04 00:00:00,13.00-18.00,Alter Markt,"Für den Erhalt der Kleingartenanlage ""Am Zuckerbusch"" und einen schnellen Grundschulneubau in Cracau",2020-05-29
124.0,2020-06-06 00:00:00,13.30-16.30,Aufzug,#BlackLivesMatter - Solidarität mit Opfern von rassistischer Polizeigewalt,2020-06-01
125.0,2020-06-06 00:00:00,15.30-17.30,Alter Markt,ProVerfassung ST,2020-06-02
126.0,2020-06-06 00:00:00,11.00-12.00,Domplatz,"Meditation für das, was uns alle verbindet!",2020-06-02
127.0,2020-06-08 00:00:00,10.30-14.00,Domplatz,"Studi-Nothilfen - Versagen beenden, Menschlichkeit spenden",2020-06-06
128.0,2020-06-12 00:00:00,08.30-09.00,Domplatz,Nach verantwortungsloser Verzögerung: Entgiftung JETZT!,2020-06-08
129.0,2020-06-26 00:00:00,15.00-18.00,Sternbrücke,Wertewandel nach der Corona-Krise,2020-06-08
130.0,2020-06-17 00:00:00,16.00-18.00,Breiter Weg/ Ernst-Reuter-Allee,Keine Profite mit der Gesundheit,2020-06-10
131.0,2020-06-20 00:00:00,22.00-24.00,Domplatz,Holo-Demo für Solidariät mit Geflüchteten,2020-06-10
132.0,2020-06-13 00:00:00,15.30-17.30,Alter Markt,Für Grundrechte,2020-06-10
133.0,2020-06-13 00:00:00,10.00-14.00,Breiter Weg/ Ernst-Reuter-Allee,Coronavirus-Quarantäne - eine neue Art der Verfolgung,2020-06-11
134.0,2020-06-13 00:00:00,11.00-12.00,Domplatz,"Meditation für das, was uns alle verbindet!",2020-06-12
135.0,2020-06-20 00:00:00,10.00-19.00,Elbweg,Demokratie-Update: Bürger:innenversammlung,2020-06-15
136.0,2020-06-17 00:00:00,17.00-17.30,Gedenkstätte Moritzplatz,Nichtöffentliche Gedenkveranstaltung zur Erinnerung an den niedergeschlagenen Volksaufstand in der DDR vom 17. Juni 1953,2020-06-12
137.0,2020-06-15 00:00:00,,Willy-Brandt-Platz,Stoppt Erdogans Krieg in Kurdistan,2020-06-15
138.0,2020-06-22 00:00:00,18.00-20.00,Breiter Weg,Cube of truth - Mahnwache für ermordete Lebewesen,2020-06-15
139.0,2020-06-20 00:00:00,15.30-17.30,Alter Markt,Für Grundrechte,2020-06-16
140.0,2020-06-27 00:00:00,15.00-19.00,An den Elbtreppen,Plopping und das Müllproblem,2020-06-17
141.0,2020-06-20 00:00:00,11.00-12.00,Domplatz,"Meditation für das, was uns alle verbindet!",2020-06-17
142.0,2020-06-27 00:00:00,11.00-12.00,Domplatz,"Meditation für das, was uns alle verbindet!",2020-06-22
143.0,2020-06-27 00:00:00,15.30-17.30,Alter Markt,Für Grundrechte,2020-06-23
144.0,2020-06-25 00:00:00,12.00,Domplatz,Nach verantwortungsloser Verzögerung: Entgiftung JETZT!,2020-06-23
145.0,15.09.2020   16.09.2020,15.00-15.00,Breitscheidstraße (Wiese),Ohne Kerosin nach Berlin - für eine nachhaltige (Verkehrs)Poitik,2020-06-17
146.0,2020-09-05 00:00:00,13.00-15.30,Aufzug,CSD Magdeburg 2020,2020-05-11
147.0,2020-07-01 00:00:00,11.00-14.00 ,Thiemstraße,Solidarität mit den Betroffenen der Tafel,2020-06-27
148.0,2020-07-04 00:00:00,15.30-17.30,Alter Markt,Menschenrechte,2020-06-29
149.0,2020-07-04 00:00:00,16.00-18.00,Breiter Weg/ Ernst-Reuter-Allee,Stoppt die Tötung von Afghan*innen im Iran,2020-06-30
150.0,2020-07-21 00:00:00,08.00-18.00,Halberstädter Straße ,Solidarität mit den Betroffenen - Keine Bühne dem Täter,2020-07-02
151.0,2020-07-04 00:00:00,10.00-14.00,Alleecenter,Coronavirus-Quarantäne - eine neue Art der Verfolgung,2020-07-02
152.0,2020-07-08 00:00:00,11.00-14.00,Thiemstraße,Solidarität mit den Nutzerinnen der Tafel,2020-07-03
153.0,2020-07-10 00:00:00,16.00-19.00,Aufzug,Kohleausstieg,2020-07-06
154.0,2020-07-11 00:00:00,15.30-17.30,Alter Markt,Menschenrechte,2020-07-06
155.0,2020-10-17 00:00:00,13.30-16.00,Domplatz,Demonstration gegen Menschenhandel,2020-06-11
156.0,2020-07-22 00:00:00,07.30-18.00,Halberstädter Straße ,Solidarität mit den Betroffenen! Keine Bühne dem Täter,2020-07-07
157.0,2020-07-09 00:00:00,13.00-14.00,Domplatz,Einsetzung eines Parlamentarischen Untersuchungsausschusses,2020-07-07
158.0,2020-08-06 00:00:00,17.00-19.00,Friedensplatz,Versammlung anlässlich des Atombombenabwurfs auf Hiroshima und Nagasaki vor 75 Jahren,2020-07-08
159.0,2020-07-11 00:00:00,15.00-18.00,Willy-Brandt-Platz,Protest für eine Humanitäre Asylpolitik,2020-07-08
160.0,2020-07-15 00:00:00,11.00-14.00,Thiemplatz,Solidarität mit den Nutzerinnen der Tafel,2020-07-13
161.0,2020-07-22 00:00:00,11.00-14.00,Thiemplatz,Solidarität mit den Nutzerinnen der Tafel,2020-07-13
162.0,2020-07-29 00:00:00,11.00-14.00,Thiemplatz,Solidarität mit den Nutzerinnen der Tafel,2020-07-13
163.0,2020-07-18 00:00:00,15.00-17.30,Alter Markt,Menschenrechte,2020-07-15
164.0,2020-07-17 00:00:00,17.00-20.00,Aufzug,offensiv gegen faschistischen Terror,2020-07-16
165.0,2020-07-18 00:00:00,14.00-15.30,Olvenstedter Platz,nicht auf unserem Rücken,2020-07-17
166.0,2020-07-25 00:00:00,16.00-22.00,Hasselbachplatz,Cornern am Hassel,2020-07-10
167.0,2020-07-25 00:00:00,15.30-17.30,Alter Markt,Recht auf Leben,2020-07-22
168.0,2020-08-06 00:00:00,12.00-20.00,Breiter Weg/ Ernst-Reuter-Allee,Mahnwache zum Gedenken an Hiroshima und Nagasaki,2020-07-21
169.0,2020-08-07 00:00:00,12.00-20.00,Breiter Weg/ Ernst-Reuter-Allee,Mahnwache zum Gedenken an Hiroshima und Nagasaki,2020-07-21
170.0,2020-08-08 00:00:00,12.00-20.00,Breiter Weg/ Ernst-Reuter-Allee,Mahnwache zum Gedenken an Hiroshima und Nagasaki,2020-07-21
171.0,2020-07-25 00:00:00,11.00-17.00,Breiter Weg/ Ernst-Reuter-Allee,Christliche Werte sind wertvoll für die Gesellschaft?!,2020-07-23
172.0,2020-07-28 00:00:00,07.30-18.00,Halberstädter Straße ,"Prozess: Solidarität mit den Betroffenen, Keine Bühne dem Täter",2020-07-24
173.0,2020-07-29 00:00:00,07.30-18.00,Halberstädter Straße ,Solidarität mit den Betroffenen! Keine Bühne dem Täter!,2020-07-26
174.0,2020-10-16 00:00:00,10.00-13.00,Domplatz,Härtere Strafen für Kinderschänder,2020-07-27
175.0,2020-08-29 00:00:00,08.00-11.00,Route in MD,Ostermarsch 2020,2020-07-27
176.0,2020-08-01 00:00:00,15.30-17.30,Alter Markt,Recht auf Leben,2020-07-29
177.0,2020-08-21 00:00:00,13.30-15.30,Domplatz,Konsumkritik zum Anlass des globalen Erdüberlastungstages am 22.08.2020,2020-07-30
178.0,2020-08-15 00:00:00,16.00-22.00,Glacis-Park,Kreisparteitag,2020-07-31
179.0,2020-08-03 00:00:00,08.00-11.00,Halberstädter Straße ,Solidarität mit den Betroffenen und Opfern des Attentats in Halle,2020-07-31
180.0,2020-08-05 00:00:00,11.00-14.00,Thiemplatz,Solidarität mit den Nutzer:innen der Tafel,2020-08-02
181.0,2020-08-12 00:00:00,11.00-14.00,Thiemplatz,Solidarität mit den Nutzer:innen der Tafel,2020-08-02
182.0,2020-08-16 00:00:00,16.00-17.00,Hektorweg,"Gedenken an Rick L., Todesopfer rechter Gewalt",2020-08-03
183.0,2020-08-06 00:00:00,16.00-19.00,diverse,Popup-Theater zu Bürger*innenversammlung und Klimaschutz,2020-07-31
184.0,2020-08-08 00:00:00,14.00-17.00,Alter Markt,Gegen die Coronamaßnahmen,2020-08-08
185.0,2020-08-15 00:00:00,14.00-19.00,Ulrichplatz,Solidarisch durch die Krise,2020-08-11
186.0,2020-08-15 00:00:00,15:30-18:30,Alter Markt,Recht auf Leben,2020-08-10
187.0,2020-09-25 00:00:00,12.00-15.00,Aufzug,Kein Grad weiter ,2020-08-17
188.0,2020-09-01 00:00:00,18.00-21.00,Aufzug,Aktion zum Weltfriedenstag: Geld für Gesundheit statt Rüstung,2020-08-17
189.0,2020-09-01 00:00:00,16.30-17.30,Aufzug,Weltfriedenstag/Antikriegstag,2020-08-17
190.0,2020-09-01 00:00:00,16.30-18.00,Friedensplatz,Nie wieder Krieg! In die Zukunft investieren statt aufrüsten!,
191.0,2020-08-22 00:00:00,15.30-17.30,Alter Markt,Recht auf Leben,2020-08-17
192.0,2020-08-28 00:00:00,14.00-16.30,Fahrraddemo,Fahrraddemo,2020-08-18
193.0,2020-08-28 00:00:00,16.00-19.00,Große Diesdorfer Straße ,Einrichtung einer temporären Protected Bikelane,2020-08-19
194.0,2020-08-25 00:00:00,07.30-18.00,Halberstädter Straße ,Solidarität mit den Betroffenen! Keine Bühne dem Täter!,2020-08-11
195.0,2020-08-26 00:00:00,08.00-18.00,Halberstädter Straße ,"Prozess: Solidarität mit den Betroffenen, Keine Bühne dem Täter",2020-08-23
196.0,2020-08-27 00:00:00,09.30-10.30,Domplatz,Zügige Umsetzung des Landtagsbeschlusses zur Auskofferung der Giftgrube Brüchau,2020-08-24
197.0,2020-08-29 00:00:00,10.00-16.00,Ernst-Reuter-Allee,Verfolgung von Falun Dafa,2020-08-25
198.0,2020-09-01 00:00:00,16.00-17.30,Domplatz,Sichtbarkeit Transidenter Menschen/ Ausstellung Landtag,2020-08-27
199.0,2020-09-09 00:00:00,07.30-18.00,Halberstädter Straße ,Solidarität mit den Betroffenen! Keine Bühne dem Täter. Mahnwache zum Prozess gegen den Attentäter von Halle,2020-08-27
200.0,2020-09-01 00:00:00,07.03-18.00,Halberstädter Straße ,"Prozess: Solidarität mit den Betroffenen, Keine Bühne dem Täter",2020-08-27
201.0,2020-09-02 00:00:00,07.30-18.00,Halberstädter Straße ,"Prozess: Solidarität mit den Betroffenen, Keine Bühne dem Täter",2020-08-27
202.0,2020-09-08 00:00:00,07.30-18.00 ,Halberstädter Straße ,Mahnwache zum Prozess gegen den Attentäter von Halle; Solidarität mit den Betroffenen! Keine Bühne dem Täter!,2020-08-28
203.0,2020-09-05 00:00:00,15.30-17.30,Alter Markt,Selbstbestimmung,2020-09-03
204.0,2020-09-22 00:00:00,07.00-20.00,Halberstädter Straße ,Mahnwache zum Gedenken an die Betroffenen des Halle-Anschlags vom 09. Oktober 2019,2020-08-30
205.0,2020-09-13 00:00:00,10.00-11.00,Westfriedhof,"Tag der Erinnerung, Mahnung und Begegnung",2020-09-02
206.0,2020-09-18 00:00:00,12.00-01.00,Sternstraße,Parking Day & lebenswerter Hassel,2020-09-03
207.0,2020-09-18 00:00:00,12.00-01.00,Sternstraße,Parking Day & lebenswerter Hassel,2020-09-03
208.0,2020-09-20 00:00:00,14.00-22.00,Aufzug,Fahrraddemo - Verbesserung der Fahrradinfrastruktur,2020-09-03
209.0,2020-09-18 00:00:00,12.00-01.00,Sternstraße,Parking Day  ,2020-09-03
210.0,2020-09-12 00:00:00,10.00-18.00,Ulrichsplatz,Verfolgung von Falun Dafa,2020-09-06
211.0,2020-09-26 00:00:00,15.00-22.00,Hasselbachplatz,Missing Perspectives - Wir beleuchten marginalisierte quere Perspektiven und sammeln für die LBTQIA+Community in Polen Geld,2020-09-05
212.0,2020-09-15 00:00:00,14.00-18.00,Aufzug,Denk mal Natur - gegen die Flächenversiegelung im Stadtpark,2020-09-05
