Lfd. Nr. ,Datum der Vers,Uhrzeit der Vers,Ort der Vers,Thema der Versammlung,Datum der Anmeldung,Unnamed: 6,Unnamed: 7
,,,,,,TN angemeldet,TN anwesend
1.0,22.01.2022,14.00-22.00,Aufzug,Gedenkmarsch 16.000 unvergessen,2021-09-17 00:00:00,500,400
2.0,2022-01-16 00:00:00,17:00-18:00,Alter Markt,Offenes Singen Für ein weltoffenes Magdeburg,2021-10-21 00:00:00,1000,100
3.0,2022-01-22 00:00:00,14.00-20.00,Johanniskirche,"Magdeburg ist eine Stadt für alle - für Frieden, Menschenfreundlichkeit und Gastfreundschaft",2021-11-09 00:00:00,40,10
4.0,2022-01-22 00:00:00,17.00-20.00,Breiter Weg/         Ernst-Reuter-Allee,Eine Stadt für alle unterm Regenbogen,2021-11-24 00:00:00,30,
5.0,2022-01-22 00:00:00,15.00-20.00,Nicolaiplatz,für ein tolerantes und weltoffenes Magdeburg,2021-11-30 00:00:00,20,
6.0,2022-01-22 00:00:00,14.00-19.00,Domplatz,Gedenken an die Opfer von Krieg und Gewalt,2021-11-30 00:00:00,30,
7.0,2022-01-22 00:00:00,15.00-22.00,Westfriedhof,Für demokratischen Verkehr,2021-12-04 00:00:00,200,
8.0,2022-01-22 00:00:00,10.00-21.00,Willy-Brandt-Platz,Klimagerechtigkeit,2021-12-06 00:00:00,950,
9.0,2022-01-22 00:00:00,12.00-16.00,Aufzug,Klimagerechtigkeit,2021-12-06 00:00:00,650,
10.0,2022-01-01 00:00:00,16:00-22:00,Aufzug,Ein Funken Hoffung,2021-11-23 00:00:00,300,318
11.0,2022-01-22 00:00:00,12.00-21.00,Bahnhof Buckau,Buckau Block - Gemeinsam für Demokratie,2021-12-14 00:00:00,200,
12.0,2022-01-22 00:00:00,14.00-20.00,Universitätsplatz,OvGU blockiert Opernplatz - studentische Solidarität gegen rechte Gruppen zum 22. Januar,2021-12-16 00:00:00,50,
13.0,2022-01-22 00:00:00,12.30-21.00,Otto-von-Guericke-Straße,"Solidarität und Weltoffenheit, statt rechter Hetze und Geschichtsverfälschung",2021-12-20 00:00:00,25,
14.0,2022-01-22 00:00:00,14.00-20.00,Julius-Bremer-Straße/ Otto-von-Guericke-Straße,Aufklärung gegen Geschichtsrevisionismus,2021-12-21 00:00:00,20,
15.0,2022-01-08 00:00:00,13.00-19.00,Aufzug,Transparenter politischer Dialog,2021-12-21 00:00:00,500,1500
16.0,2022-01-22 00:00:00,15.00-19.00,Thiemplatz,Aktion gegen Neonazismus,2021-12-27 00:00:00,20,
17.0,2022-01-08 00:00:00,12:30-16:00,L.-K.Str.,Recht auf Leben und Selbstbestimmung in Frieden,2022-01-03 00:00:00,100,120
18.0,2022-01-08 00:00:00,10:00-14:00,Aufzug,"Autokorso, kein Impfzwang, für unsere Grundrechte",2022-01-04 00:00:00,300,110
19.0,2022-01-08 00:00:00,12:00-18:00,Kundgebung,Kundgebung gegen Rechts,2022-01-06 00:00:00,50,46
20.0,2022-01-10 00:00:00,09:00-21:00,,"""Nur ein toter Schäfer, ist ein guter Schäfer""",2022-01-08 00:00:00,1?,
21.0,2022-01-17 00:00:00,17:00-21:00,Alter Markt,Zivilgesellschaftliche Kundgebung gegen die Corona-Proteste,2022-01-06 00:00:00,400,100
22.0,11.01.2022,16:30-19:00,Goldschmiedebrücke/Breiter Weg,Kundgebung gegen Rechts,2022-01-06 00:00:00,50,20
23.0,2022-01-18 00:00:00,16:30-19:00,Nikolaiplatz,Kundgebung gegen Rechts,2022-01-06 00:00:00,50,25
24.0,2022-01-15 00:00:00,14.30-16.30,Fürstenwallstraße,Recht auf Leben und Selbstbestimmung in Frieden,2022-01-10 00:00:00,100,50
25.0,2022-01-12 00:00:00,12.00-13.00,vor ddem Landtag,Medizinische Grundversorgung in Havelberg,2022-01-06 00:00:00,10,10
26.0,2022-01-22 00:00:00,13.00-18.00,Breiter Weg ,Unterschriftensammlung gegen Unterschriftensammlungen,2022-01-04 00:00:00,10,
27.0,2022-01-22 00:00:00,14.00-20.00,Bahnhof Neustadt,Gedenken der Opfer des Nationalsozialismus in der Stadt Magdeburg,2022-01-07 00:00:00,50,
28.0,2022-01-22 00:00:00,12.00-20.00,Bahnhof Hasselbachplatz,Kundgebung für ein solidarisches und demokratisches Magdeburg,2022-01-10 00:00:00,30,
29.0,2022-01-22 00:00:00,14.00-22.00,Julius-Bremer-Straße ,"Gegen Antisemitismus, Für Weltoffenheit und Toleranz.",2022-01-04 00:00:00,30,
30.0,2022-01-22 00:00:00,14.00-21.00,Alter Markt,Wir haben Platz! Solidarität verteidigen,2022-01-05 00:00:00,100,
31.0,2022-01-22 00:00:00,13.45-20.30,Bei der Hauptwache,Grüne für ein weltoffenes Magdeburg,2022-01-10 00:00:00,15,
32.0,2022-01-22 00:00:00,10.00-15.00,Aufzug,"Mahnwache für Frieden, Toleranz und Solidarität",2022-01-10 00:00:00,10,
33.0,2022-01-16 00:00:00,17:00-17:45,Menschenkette,Aktionswoche Eine Stadt für alle - weltoffenes Magdeburg,2022-01-10 00:00:00,300,100
34.0,2022-01-22 00:00:00,10.00-22.00,Konrad-Adenauer-Platz,Für eine solidarische Gesellschaft,2022-01-11 00:00:00,100,
