Lfd. Nr. ,Datum der Vers,Uhrzeit der Vers,Ort der Vers,Thema der Versammlung,Datum der Anmeldung
,,,,,
1.0,2019-01-19 00:00:00,12.00-22.00,Aufzug,Trauermarsch 16.000 unvergessen,2018-05-29 00:00:00
2.0,2019-01-19 00:00:00,16.00-22.00,Aufzug,Nazis wegbassen,2018-11-13 00:00:00
3.0,2019-01-19 00:00:00,08.00-20.00,Aufzug,Gedenken der Opfer des Nationalsozialismus und Erinnerung,2018-11-14 00:00:00
4.0,2019-01-19 00:00:00,08.00-20.00,Otto-von-Guericke-Straße,Demokratie und Gewerkschaften Magdeburg im und nach dem Nationalsozialismus,2018-11-15 00:00:00
5.0,2019-01-19 00:00:00,08.00-20.00,Julius-Bremer-Straße,Gedenken der Opfer des Nationalsozialismus und Erinnerung,2018-11-15 00:00:00
6.0,2019-01-19 00:00:00,11.00-16.00,Breiter Weg ,Schulen ohne Rassismus - Schulen mit Courage,2018-11-16 00:00:00
7.0,2019-04-06 00:00:00,19.00-24.00,Aufzug,gegen die islami. Magdeburgs,2018-11-16 00:00:00
8.0,16.01.2019,17.00-18.00,Alter Markt,Offenes Singen für ein weltoffenens Magdeburg,2018-11-27 00:00:00
9.0,2019-01-31 00:00:00,15.00-18.00,Domplatz,Weil Grundschullehrer*innen es verdienen - E13/A13 für alle!,2018-12-06 00:00:00
10.0,2019-01-19 00:00:00,10.00-17.00,Goldschmiedebrücke,#No Nazis #No War,2018-12-11 00:00:00
11.0,2019-01-19 00:00:00,10.00-18.00,Otto-von-Guericke-Straße / Danzstraße,Kinderfest und Kundgebung gegen Rechts ,2018-12-15 00:00:00
12.0,2019-01-30 00:00:00,11.30-13.30,Am Alten Theater,Aktionstag des DBB zur Einkommensrunde 2019,2018-12-17 00:00:00
13.0,2019-01-08 00:00:00,09.30-12.00,Domplatz,Landesverordnung Natura 2000,2018-12-20 00:00:00
14.0,2019-01-19 00:00:00,10.00-17.00,Willy-Brandt-Platz,"Eröffnung der Ausstellung ""Die Wölfe sind zurück""",2018-12-20 00:00:00
15.0,07.01.2019 und jeden weiteren Montag 2019,18.30-20.00,Breiter Weg ,Montagsdemo,2019-01-05 00:00:00
16.0,2019-01-19 00:00:00,15.30-18.00,Domplatz,Weltoffenheit braucht Erinnerung: Für eine aktive und kritische Auseinandersetzung mit der NS-Zeit,2019-01-07 00:00:00
17.0,2019-01-19 00:00:00,17.00-22.00,Otto-von-Guericke-Straße,"Bund Stadt Braun, Mode für alle",2019-01-07 00:00:00
18.0,,,,,
