Lfd. Nr. ,Datum der Vers,Uhrzeit der Vers,Ort der Vers,Thema der Versammlung,Datum der Anmeldung,Unnamed: 6,Unnamed: 7
,,,,,,TN angemeldet,TN anwesend
209.0,2021-05-22 00:00:00,11:00-12:30,Alter Markt,"Freiheit, Wetre, Zukunft: Sachsen-Anhalt voranbringen Hauptrednerin: Dana Guth, Mitglied des niedersächsischen Landtags",2021-05-17 00:00:00,20 - 30 ,11
210.0,2021-06-14 00:00:00,16:00-17:00,ehem. Frauen-KZ Liebknechtstraße 65,Gedenkveranstaltung der Frauen des ehemaligen Frauen-KZ,18.0.5.2021,20 - 30,43
211.0,2021-05-25 00:00:00,16:30-17:30,(Platz vor der) Lübecker Straße 32,Kunstprojekt für die Umsetzung der Corona-Maßnahmen,2021-05-18 00:00:00,10,7
212.0,2021-05-24 00:00:00,11:00-18:00,Breiter Weg/Ernst-Reuter Allee,Demokratie fördern,2021-05-18 00:00:00,10,k.A.
213.0,2021-05-22 00:00:00,13:00-17:00,Alt Salbke 33,Die Wahl ist nicht genug,2021-05-18 00:00:00,20,20
214.0,2021-05-25 00:00:00,09:00-13:00,Vor dem Landtag,"Landtagswahl 2021: Klima- und Naturschutz Landwirtschaft und Ernährung, Ländlicher Raum",2021-05-20 00:00:00,15,12
215.0,2021-05-28 00:00:00,15:00-16:30,Fahrradaufzug/Kundgebungen,Pfälzer Straße - Autofrei,2021-05-20 00:00:00,40,35
216.0,2021-05-25 00:00:00,15:00-16:00,"Landgericht, Halberstädter Straße 8",130 Jahre Abtreibungsverbot,2021-05-21 00:00:00,5,k.A.
217.0,2021-06-04 00:00:00,15:00-18:00,Fahrradaufzug/Kundgebungen,Vorfahrt fürs Klima,2021-05-20 00:00:00,100,100
218.0,2021-05-28 00:00:00,11:00-15:00,Hasselbachplatz,Hassel für Alle! Politische Teilhabe Selbstorganisiert!,2021-05-21 00:00:00,20,10
219.0,2021-06-05 00:00:00,11:00-15:00,Moritzplatz,Kinderrechte – Die Wahl ist nicht genug,2021-05-20 00:00:00,50,30
220.0,2021-05-30 00:00:00,14:00-15:00,Domplatz,"Gegen die Enteignung palästinensischer Familien in Sheikh, Jarrah, Jerusalem",2021-05-23 00:00:00,200,61
221.0,2021-06-01 00:00:00,13:00-16:00,Otto-von-Guericke-Straße 12a,Gegen Schikane im Jobcenter,2021-05-25 00:00:00,5,k.A.
222.0,2021-05-29 00:00:00,10:00-17:00,Allee Center/Goldschmiedebrücke,Die Lügen der Kommunistischen Partei China's in der Zeit der Corona-Pandemie,2021-05-21 00:00:00,2 bis 4,4
223.0,2021-05-29 00:00:00,10:00-17:00,"Domplatz, Nordseite","Lieder von Glück, Freiheit und Frieden ohne Entgelt",2021-05-22 00:00:00,10,4
224.0,2021-05-30 00:00:00,13:00-22:00,Schellheimerplatz,Solidarische Perspektiven,2021-05-17 00:00:00,50,200
225.0,2021-05-27 00:00:00,15:30-19:30,Ambrosiusplatz,Solidarische Stadtteiltour in Sudenburg,2021-05-18 00:00:00,30,20
226.0,2021-05-28 00:00:00,13:00-17:00,Fermersleber Weg,Sensibilisierung über gesundheitliche Auswirkung der Klimakrise vor dem Uniklinikum/ „Klimasprechstunde“ anlässlich der bevorstehenden Landtagswahlen,2021-05-25 00:00:00,10,k.A.
227.0,2021-06-23 00:00:00,12:00-17:00,Marientempel am Adolf-Mittag See,Ver.di Aktion Ruhestand,2021-05-25 00:00:00,30,k.A.
228.0,2021-05-29 00:00:00,14:30-18:30,Aufzug mit einem Schiff,Transparenz in der Politik,2021-05-22 00:00:00,20,6
229.0,2021-05-29 00:00:00,10:00-12:00,"Gartenweg 19 ´, Birkenweiler 4",Wir Fordern die Sanierung der Gartenwege - Für mehr Bürgerbeteiligung in der Politik,2021-05-26 00:00:00,25,20
230.0,2021-06-03 00:00:00,17:00-22:00,An der Elbe 14,Wahlkampfveranstaltung ,2021-05-25 00:00:00,100,50
231.0,2021-05-28 00:00:00,12:00-17:00,Ernst-Reuter-Allee Ecke Breiter Weg,Klimaschutz für Sachsen-Anhalt,2021-05-27 00:00:00,20,5
232.0,2021-06-19 00:00:00,16:00-18:00,Domplatz,Greenpeace gegen zu viel Verpackung,2021-05-27 00:00:00,4,
233.0,2021-06-04 00:00:00,17:00-23:00,Domplatz,Für eine solidarische Gesellschaft - Kein Fußbreit der extremen Rechten,2021-05-28 00:00:00,300,240
234.0,2021-06-03 00:00:00,12:00-14:00,Breiter Weg/Ernst-Reuter Allee,Landtagswahl in Sachsen-Anhalt 2021 ,2021-05-28 00:00:00,2 bis 50,5
235.0,2021-06-16 00:00:00,17:30-21:00,Autokorso,Autokorso für Demokratie,2021-05-30 00:00:00,300,65
236.0,2021-06-03 00:00:00,9:30-14:00,Domplatz,Forderung zur Förderung von bürgerschaftlichem Engagement und alternative Mobilität in Sachsen-Anhalt,2021-05-31 00:00:00,50,10
237.0,2021-06-08 00:00:00,13:00-15:30,Stern Auto GmbH Center Magdeburg Am Großen Silberberg 3 vor dem Werkstor,Warnstreik ,2021-05-31 00:00:00,120,k.A.
238.0,2021-06-06 00:00:00,18:00-22:00,"Domplatz, Nordseite",Kundgebung zum Wahlergebnis,2021-05-31 00:00:00,300,30
239.0,2021-06-03 00:00:00,17:00-19:00,Fahhradaufzug/Kundgebungen,Mobilitätswende in Sachsen-Anhalt jetzt!,2021-05-31 00:00:00,35,22
240.0,2021-06-05 00:00:00,15:30-17:30,"Domplatz, Nordseite",Recht auf selbstbetimmtes Leben,2021-06-01 00:00:00,100,25
241.0,2021-06-06 00:00:00,15:00-17:00,vor dem Thiembuktu (Thiemstr. 13),Nutze deine Stimme gegen Rechts,2021-06-01 00:00:00,15,
242.0,2021-06-05 00:00:00,15:00-199:00,Aufzug/Kundgebungen,Kultur schützen - AfD wegbassen,2021-06-01 00:00:00,200,110
243.0,2021-05-20 00:00:00,14.30-16.00,Alter Markt/ Breiter Weg,Keine deutschen Bomben auf Palästina,2021-05-20 00:00:00,,210
244.0,2021-05-09 00:00:00,17.00-17.30,Liebknechtstraße,Halt wach dein Gedächtnis,2021-05-09 00:00:00,,51
245.0,2021-06-12 00:00:00,15:00-18:00,an der Hubbrücke/Platz am Elbbahnhof,150 Jahre gegen § 218,2021-06-02 00:00:00,30,30
246.0,2021-05-26 00:00:00,20.00-22.00,Aufzug,Rechtem Terror entgegentreten! Solidarität mit den Betroffenen!,2021-05-26 00:00:00,50,120
247.0,2021-06-09 00:00:00,12:00-13:00,Halberstädter Chaussee 200,Warnstreik,2021-06-03 00:00:00,30,k.A.
248.0,2021-06-10 00:00:00,13:30-14:00,Alter Markt (vor Rathaus),Keine Bebauung der Rotehorninsel,2021-06-04 00:00:00,2 bis 50,25
249.0,2021-06-12 00:00:00,15:30-17:30,"Domplatz, Nordseite",Recht auf selbstbestimmtes Leben,2021-06-07 00:00:00,100,15
250.0,2021-06-11 00:00:00,18:00-21:00,"Ebendorfer Straße 3, Wilhelmstädter Platz",Nach der Wahl ist vir der Wahl,2021-06-07 00:00:00,50,30
251.0,2021-08-13 00:00:00,14:00-22:00,"Domplatz, Nordseite",Wahlkampfveranstaltung zur Bundestagswahl 2021,2021-06-08 00:00:00,50,
252.0,2021-06-18 00:00:00,15:00-21_00,Olvenstedter Platz,Solidarität mit den politischen Gefangenen in der Türkei,2021-06-10 00:00:00,120,30
253.0,2021-06-17 00:00:00,17:00-20:00,GlacisPark (Ecke Adelheidring/G.-Hauptmann Straße),Aufstellungsversammlung WB 69,2021-06-09 00:00:00,30,8
254.0,2021-06-06 00:00:00,20.41-20.55,Tessenowstraße,Kundgebung zum Wahlergebnis,,15,11
255.0,2021-06-06 00:00:00,20.59-21.14,Tessenowstraße,Kundgebung zum Wahlergebnis,,15,11
256.0,2021-06-19 00:00:00,15:30-17:30,"Domplatz, Nordseite",Recht auf selbstbestimmtes Leben,2021-06-14 00:00:00,100,20
257.0,2021-07-09 00:00:00,17:00-19:00,Thiemplatz,Wählerinitiative für die MLPD und Daniel Wiegenstein als Direktkandidat zur Bundestagswahl 2021,2021-06-14 00:00:00,25,
258.0,2021-06-20 00:00:00,17:00-19:00,Heinrich-Heine-Platz,Für den Erhalt der Kultur in der Corona-Zeit,2021-06-11 00:00:00,100,10
259.0,2021-06-19 00:00:00,15:00-19:00,Willy-Brandt-Platz,NEIN ZUR TÜRKISCHEN INVASION IN SÜDKURDISTAN (NORDIRAK),2021-06-16 00:00:00,10,6
