Lfd. Nr. ,Datum der Vers,Uhrzeit der Vers,Ort der Vers,Thema der Versammlung,Datum der Anmeldung,Unnamed: 6,Unnamed: 7
,,,,,,TN angemeldet,TN anwesend
339.0,2021-09-23 00:00:00,18:30-20:00,vor dem Rathaus,Klimaschutz ,2021-09-21 00:00:00,10,k.A.
340.0,2021-09-24 00:00:00,17:00-18:00,Zum Domfelsen 1,Gedenken an Ella,2021-09-23 00:00:00,50,90
341.0,2021-09-25 00:00:00,13:00-16:00,Breiter Weg/MVB-Häuschen,Kundgebung der MLPD / Internationalistischen Liste ,2021-09-25 00:00:00,20,10
342.0,2021-09-26 00:00:00,15.00-16.00,Domplatz,Mahnwache für Ella,2021-09-24 00:00:00,30,22
343.0,2021-10-02 00:00:00,15.30-17.30,Domplatz,Recht auf Leben und Selbstbestimmung in Frieden,2021-09-27 00:00:00,70,
344.0,2021-09-11 00:00:00,10.18-11.58,Domplatz,unbekannt,,,24
345.0,2021-10-28 00:00:00,14.00-15.30,Hegelstraße,Prozent-Lauf,2021-09-29 00:00:00,50,50
346.0,2021-11-13 00:00:00,13.00-14.00,Aufzug,Ein Volk steht auf für seine Freiheit Frieden Freiheit Souveränität,2021-09-29 00:00:00,100,
347.0,2021-10-04 00:00:00,04.45-14.30,O.-v.-Guericke-Straße,Arbeitskampf,2021-10-01 00:00:00,20,30
348.0,2021-10-04 00:00:00,12.30-15.30,O.-v.-Guericke-Straße,Gegen Schikane im Jobcenter,2021-10-01 00:00:00,5,k.A.
349.0,2021-10-21 00:00:00,11.00-13.30,Am Alten Theater,Aktionstag der DVG LSA zur Einkommensrunde 2021 mit der TdL,2021-10-04 00:00:00,20,k.A.
350.0,2021-10-09 00:00:00,15.30-17.30,Domplatz,Recht auf Selbstbestimmung und Souveränität,2021-10-04 00:00:00,70,20
351.0,2021-10-07 00:00:00,13.00-14.00,Alter Markt,Erhalt der Rotehorninsel als Klimaentstehungsgebiet - keine Bebauung,2021-10-04 00:00:00,20,10
352.0,2021-10-16 00:00:00,09.00-10.00,O.-v.-Guericke-Straße,Aufruf zum gemeinsamen Handeln der Sammlungsbewegung AUFSTEHEN,2021-10-04 00:00:00,8,k.A.
353.0,2021-10-12 00:00:00,14:00-16:00,Kleiner Stadtmarsch/Heinrich-Heine-Weg,Park statt Parkplatz,2021-10-05 00:00:00,30,65
354.0,2021-10-15 00:00:00,10:00-22:00,Petriförder (Monument der Freundschaft),Kundgebung für die Schaffung von Freiräumen für Jugendlicheund Subkulturen,2021-10-08 00:00:00,50,50
355.0,2021-10-16 00:00:00,15:30-17:30,"Domplatz, Nordseite",Recht auf Leben und Selbstbestimmung in Frieden,2021-10-11 00:00:00,70,50
356.0,2021-10-23 00:00:00,11:00-17:00,Hubbrücke,Kundgebung zur Situation im Gesundheitssektor in Sachsen-Anhalt,2021-10-11 00:00:00,30,50
357.0,2021-10-13 00:00:00,18:30-20:30,Olvenstedter Platz,Konsequenter Antifaschismus bleibt legitim und Notwendig,2021-10-13 00:00:00,50,40
358.0,2021-10-23 00:00:00,15:30-17:30,"Domplatz, Nordseite",Recht auf Leben und Selbstbestimmung in Frieden,2021-10-18 00:00:00,70,25
359.0,2021-10-22 00:00:00,12:05-13:30,Breiter Weg/Mc Donalds,Klimaschutz und Erhalt der ROTEHORNINSEL,2021-10-19 00:00:00,8,k.A.
360.0,2021-11-10 00:00:00,15:00-16:00,Leiterstraße 9 (Faunenbrunnen),Aktion gegen Tierleid in der Daunen-Produktion ,2021-10-22 00:00:00,8,k.A.
361.0,2021-11-01 00:00:00,18:00-19:30,Breiter Weg/MVB-Häuschen,Montagskundgebung,2021-10-25 00:00:00,15,k.A.
362.0,2021-10-30 00:00:00,15:30 bis 17:30,"Domplatz, Nordseite","Recht auf Leben in Selbstbestimmung, Souveränität und Frieden",2021-10-24 00:00:00,40,13
363.0,2021-11-06 00:00:00,14:00-17:00,Breiter Weg Haltestelle Alter Markt,Global Denken - Lokal handeln/Stadtgrün ist keine Deko!,2021-10-27 00:00:00,20,14
364.0,2021-11-03 00:00:00,17:00-18:00,vor der Johanniskirche,Keine Bebauung der Rotehorninsel,2021-10-31 00:00:00,8,k.A.
365.0,2021-11-20 00:00:00,14:00-20:00,Domplatz,Heimat und Weltfrieden,2021-11-01 00:00:00,500,68
366.0,2021-11-04 00:00:00,15:00-17:30,Otto-von-Guericke-Straße 12a,Gegen Schikane im Jobcenter,2021-11-01 00:00:00,5,k.A.
367.0,2021-11-06 00:00:00,15:00-17:00,"Goldschmiede Brücke Ecke Breiter Weg, Neben H&M",Gegen die Militär Junta in Myanmar #bloodmoney,2021-11-01 00:00:00,20,6
368.0,2021-11-06 00:00:00,14:30-16:30,"Domplatz, Nordseite",Recht auf Leben und Selbstbestimmung in Frieden,2021-11-01 00:00:00,70,20
369.0,2021-11-09 00:00:00,17:30-19:00,Aufzug,Progromgedenken,2021-11-01 00:00:00,200,95
370.0,2021-11-13 00:00:00,14:30-16:30,"Fürstenwallstraße, am Denkmal H.v.B.",Recht auf Leben und Selbstbestimmung in Frieden,2021-11-08 00:00:00,50,15
371.0,2021-11-20 00:00:00,12:00-22:00,Domplatz,Magdeburg hat Antisemitismus satt,2021-11-05 00:00:00,50,
372.0,2021-11-25 00:00:00,18:00-20:00,Goldschmiedebrücke,Laut gegen Gewalt an Frauen,2021-11-08 00:00:00,30,60
373.0,2021-11-18 00:00:00,10:00-21:00,vor dem Landtag,Friedlicher Protest gegen rechte Kräfte im Landtag,2021-11-12 00:00:00,50,11
374.0,2021-11-23 00:00:00,11:00-13:00,gegnüber dem MF LSA,Tarif- und Besoldungsrunde 2021 im öffentlichen Dienst der Länder,2021-11-11 00:00:00,800,700
375.0,2021-11-20 00:00:00,14:30-16:30,Wiese Fürstenwallstraße,Recht auf Leben und Selbstbestimmung in Frieden,2021-11-16 00:00:00,40,25
376.0,2021-11-18 00:00:00,12:00-14:00,"Domplatz, Südseite",Kundgebung zur Landtagssitzung,2021-11-16 00:00:00,30,20
377.0,2021-11-29 00:00:00,18:00-19:30,Goldschmiedebrücke,Montagskundgebung,2021-11-25 00:00:00,10,10
378.0,2021-11-22 00:00:00,18:00-19:30,Domplatz,Montagsspaziergang,,,30
379.0,2021-12-04 00:00:00,14:30-16:30,Fürstenwallstraße ,Recht auf Leben und Selbstbestimmung in Frieden,2021-11-29 00:00:00,40,35
380.0,2021-11-29 00:00:00,18:00-19:30,Domplatz,Montagsspaziergang,,,200
381.0,2021-12-16 00:00:00,18:00-22:00,Domplatz (Südseite),Zwangsmaßnahmen stoppen - Spaltung der Gesellschaft beenden!,2021-12-02 00:00:00,300,450
382.0,2021-12-07 00:00:00,12:00-13:00,Leipziger Straße (vor Uni-Klinik),Ohne uns geht nix!,2021-12-02 00:00:00,50,50
383.0,2021-12-04 00:00:00,14:00-20:00,Liebigstraße,Solidarität am Hassel,2021-12-03 00:00:00,30,
384.0,2021-12-06 00:00:00,18:00-19:00,Domplatz,"Gegenaktion gegen ""Mahnwache für die Freiheit""",2021-12-05 00:00:00,50,30
385.0,2021-12-10 00:00:00,15:00-18:00,Cracauer Str. 62 ,Jubiläum des Pariser Klimaabkommens,2021-12-03 00:00:00,10,5
386.0,2021-12-10 00:00:00,15:00-19:00,Alle-Center/Breiter Weg/E-R-Allee,Jubiläum des Pariser Klimaabkommens,2021-12-03 00:00:00,10,2
387.0,2021-12-06 00:00:00,18:00-20:30,Domplatz/Aufzug,Montagsspaziergang,,,1500
388.0,2021-12-11 00:00:00,14:30-16:30,Fürstenwallstraße,Recht auf Leben und Selbstbestimmung in Frieden,2021-12-06 00:00:00,40,15
389.0,2021-12-11 00:00:00,15:00-16:00,Neustädter Platz,Kampfkultur - Hol dir deine Stadt und dein Land zurück,2021-12-06 00:00:00,10,31
390.0,2021-12-11 00:00:00,14:00-20:00,Neustädter Platz,Antifaschistischer Gegenprotest,2021-12-09 00:00:00,100,127
391.0,2021-12-13 00:00:00,18:00-20:00,Domplatz,Menschenkette um den Domplatz,2021-12-09 00:00:00,300,110
392.0,2021-12-16 00:00:00,18:00-20:00,Domplatz,Menschenkette um den Domplatz,2021-12-09 00:00:00,300,90
393.0,2021-12-13 00:00:00,17:00-18:00,Domportal,Gegenaktion gegen Mahnwache für die Freiheit,2021-12-09 00:00:00,200,0
394.0,2021-12-18 00:00:00,15:00-17:00,Fürstenwallstraße,Recht auf Leben und Selbstbestimmung in Frieden,2021-12-13 00:00:00,40,36
395.0,2021-12-13 00:00:00,18:30-20:30,Aufzug/Domplatz,Montagsspaziergang,,,3500
396.0,2021-12-18 00:00:00,13:00-18:00,Breiter Weg vor Karstadt,PARTEInachten – gegen das Vergessen christlicher Traditionen und für den Konsum,2021-12-14 00:00:00,10,5
397.0,2021-12-20 00:00:00,18.00-21.00,Hasselbachplatz,Solidarisch gegen die Pandemie,2021-12-17 00:00:00,150,160
398.0,2021-12-20 00:00:00,18.15-20.17,Aufzug,"Montagsspaziergang ""Querdenker-Szene""",,,3000
399.0,2021-11-15 00:00:00,15.45-17.45,Turmschanzenstraße,"Raus aus den Büros, rein in die Schulen",,,45
400.0,2021-09-04 00:00:00,13.45-16.45,Domplatz,"""Querdenker""",,,70
401.0,2021-02-22 00:00:00,19.28-19.28,Warschauer Straße,Corona-Bezug,,,15
402.0,2021-02-10 00:00:00,18.50-19.25,Hegelstraße,Grundrechte sind keine Verhandlungsmasse für Parteien,,,6
403.0,2021-01-19 00:00:00,18.59-19.26,Hegelstraße,Grundrechte sind keine Verhandlungsmasse für Parteien,,,20
404.0,2021-02-01 00:00:00,19.28-20.07,Hegelstraße,Grundrechte sind keine Verhandlungsmasse für Parteien,,,35
405.0,2021-01-09 00:00:00,17.53-18.55,Autokorso,Stop den Coronawahnsinn,,,8
406.0,2021-12-15 00:00:00,13.15-14.20,Domplatz,Schulsozialarbeit erleben,,,16
407.0,2021-12-24 00:00:00,21.19-22.02,Domplatz,Corona-Bezug,,,35
