Lfd. Nr. ,Datum der Vers,Uhrzeit der Vers,Ort der Vers,Thema der Versammlung,Datum der Anmeldung
,,,,,
1.0,2016-01-16 00:00:00,09.00-19.00,Bhf Neustadt,Vielfalt statt Einfalt - Jüdisches Leben in Magdebureg bewahren,2015-01-30
2.0,2016-01-16 00:00:00,12.00-18.00,Breiter Weg,Meile der Demokratie 2016,2015-02-12
3.0,2016-01-16 00:00:00,,Bhf Eichenweiler,Meilenstein - Bahnhof Eichenweiler,2015-02-12
4.0,2016-01-16 00:00:00,11.30-18.00,Bhf Herrenkrug,Meilenstein - Bahnof Herrenkrug,2015-02-12
5.0,2016-01-16 00:00:00,,Bhf Neustadt,Meilenstein - Bahnhof Neustadt,2015-02-12
6.0,2016-01-16 00:00:00,,Bhf Sudenburg,Meilenstein - Bahnhof Sudenburg,2015-02-12
7.0,2016-01-16 00:00:00,,Bhf Buckau,Meilenstein - Bahnhof Buckau,2015-02-12
8.0,2016-01-16 00:00:00,,Bhf Südost,Meilenstein - Bahnhof Südost,2015-02-12
9.0,2016-01-16 00:00:00,12.00-16.00,Nicolaiplatz,Meilenstein der Demokratie,2015-11-19
10.0,2016-01-27 00:00:00,19.00-22.00,Domplatz + Aufzug,Demonstration gegen Politikversagen,2015-12-14
11.0,2016-01-16 00:00:00,10.00-20.00,Universitätsplatz,Meilenstein des Studierendenrates der Otto-von-Guericke-Universität ,2015-12-21
12.0,Jan 2016     bis         Dez 2016,19.00-22.00,Bei der Hauptwache + Aufzug,Magida,2015-12-22
13.0,2016-01-16 00:00:00,16.00-17.30,Aufzug,Magida - Gedenkspaziergang anlässlich der Zerstörung Magdeburgs am 16.01.1945 ,2015-12-29
14.0,2016-01-01 00:00:00,17.45-20.00,Aufzug,Gemeinsam für eine bessere Zukunft,2015-12-31
15.0,2016-01-04 00:00:00,18.30-21.00,Weitlingstraße,Ausländer willkommen; Demonstration der Besonnenheit,2016-01-04
16.0,2016-01-16 00:00:00,14.00-18.00,Hasselbachplatz,Refugees welcome - Braune Sümpfe trocken legen,2016-01-04
17.0,2016-01-16 00:00:00,11.00-20.00,OvG-Straße,Meilenstein der Demokratie,2016-01-05
18.0,2016-01-30 00:00:00,14.00-20.00,Bhf Neustadt + Aufzug,Perspektiven schaffen statt Masseneinwanderung zu akzeptieren,2016-01-07
19.0,2016-04-09 00:00:00,14.00-20.00,Domplatz + Aufzug,Gegen Asylbetrug und linke Gewalt,2016-01-07
20.0,2016-01-15 00:00:00,15.00-22.00,Bhf Buckau,Kein Trauermarsch in Magdeburg,2016-01-07
