Lfd. Nr. ,Datum der Vers,Uhrzeit der Vers,Ort der Vers,Thema der Versammlung,Datum der Anmeldung
21.0,2016-01-15 00:00:00,15.00-22.00,Hbf,Kein Trauermarsch in Magdeburg,2016-01-07
22.0,2016-01-11 00:00:00,18.00-22.00,Alter Markt,Trauer um Geistesarmut der deutschen Bevölkerung,2016-01-08
23.0,2016-01-15 00:00:00,15.00-22.00,Bhf Neustadt,Mahnwache,2016-01-08
24.0,2016-01-16 00:00:00,12.30-17.00,Hbf + Aufzug,16.000 unvergessen,2016-01-08
25.0,2016-01-15 00:00:00,15.00-22.00,Bhf SKET,Kundgebung gegen Rassismus und Menschenverachtung,2016-01-11
26.0,2016-01-15 00:00:00,15.00-22.00,Bhf Südost,Kundgebung gegen Rassismus und Menschenverachtung,2016-01-11
27.0,2016-01-15 00:00:00,15.00-22.00,Bhf Eichenweiler,Mahnwache gegen Krieg und Faschismus für ein demokratisches und weltoffenes Magdeburg im Bündnis gegen Rechts,2016-01-13
28.0,2016-01-16 00:00:00,10.00-16.00,"vor ehem. ""Palazzo""",Meilenstein gegen Krieg und Faschismus für ein demokratisches und weltoffenes Magdeburg im Bündnis gegen Rechts,2016-01-13
29.0,16.01.2016,12.00-17.00,Ambrosiusplatz + Aufzug,Magdeburg isst Kriege einfach auf,2016-01-02
30.0,2016-01-16 00:00:00,11.00-18.00,Bei der Hauptwache ,students for a future without racism,2016-01-13
31.0,2016-01-16 00:00:00,12.00-20.00,Westfriedhof + Aufzug,Braune Sümpfe trocken legen! Kein Trauerspiel für deutsche Täter!,2016-01-13
32.0,2016-01-16 00:00:00,10.00-22.00,Bhf Buckau,Kein Platz für Rassismus!,2016-01-14
33.0,2016-01-16 00:00:00,12.00-22.00,Bhf Eichenweiler,Mahnwache gegen Krieg und Faschismus für ein demokratisches und weltoffenes Magdeburg im Bündnis gegen Rechts,2016-01-14
34.0,2016-01-16 00:00:00,11.00-22.00,Bhf Südost,Kundgebung gegen Rassismus und Menschenverachtung,2016-01-14
35.0,2016-01-16 00:00:00,11.00-22.00,Bhf SKET,Kundgebung gegen Rassismus und Menschenverachtung,2016-01-14
36.0,2016-01-15 00:00:00,ab 18.00,Hasselbachplatz + Aufzug,Schulter an Schulter gegen Faschismus und imperialistische Kriege!,2016-01-14
37.0,2016-01-15 00:00:00,10.00-16.00,Bhf Eichenweiler,Trauer um die Geschichtsresistenz der Deutschen Bevölkerung,2016-01-14
38.0,2016-01-16 00:00:00,10.00-16.00,Bhf Eichenweiler,Trauer um die Geschichtsresistenz der Deutschen Bevölkerung,2016-01-14
39.0,2016-01-15 00:00:00,09.00-10.00,Domplatz,"Demonstration i.Z.m. öffentlicher Sitzung des Ausschusses Recht, Verfassung und Gleichstellung am 15.01.2016 im Landtag",2016-01-15
40.0,2016-01-16 00:00:00,,Westring 34,Kein Aufenthalt vor der GU,2016-01-15
41.0,2016-01-28 00:00:00,17.00-19.00,Domplatz,Arbeit des Landtages zum Landesabgabengesetz,2016-01-20
42.0,2016-02-12 00:00:00,11.00-15.00,Bei der Hauptwache,Frieden gibt es nur gemeinsam! / Handeln aus Überszeugung!,2016-01-21
43.0,2016-02-02 00:00:00,16.00-19.00,An der Steinkuhle,Kleingärtner,2016-01-21
44.0,2016-02-08 00:00:00,16.00-17.00,"MVB-Haltestelle ""Klinikum Olvenstedt""",Gedenken und Kranzniederlegung am Todestag von Frank Böttcher,2016-01-21
45.0,25.01.2016 bis 31.03.2016,18.30-21.30,Weitlingstraße,Ausländer willkommen; Demonstration der Besonnenheit,2016-01-20
46.0,2016-03-07 00:00:00,10.00-16.00,Alter Markt,16 Tage - 16 Bundesländer Gewalt gegen Frauen beenden!,2016-01-25
47.0,2016-01-27 00:00:00,18.00-22.00,Domplatz,Wehret den Anfängen - Mahnwache am Tag des Gedenkens an die Opfer des Nationalsozialismus,2016-01-25
48.0,2016-02-24 00:00:00,19.00-22.00,Domplatz + Aufzug,Demo für einen Politikwechsel!,2016-01-25
49.0,2016-01-28 00:00:00,09.00-11.00,Domplatz,Schutzweg für Senioren in Möser OT Lostau,2016-01-25
50.0,2016-02-01 00:00:00,17.45-20.00,Aufzug,Gemeinsam für eine bessere Zukunft,2016-01-27
51.0,2016-02-02 00:00:00,17.00-18.00,Roncalli-Haus + Aufzug,ver.di Jugend stellt Forderungen zur Landtagswahl,2016-02-01
52.0,2016-03-12 00:00:00,14.00-22.00,Bhf Neustadt + Aufzug,Das Licht ins Dunkle tragen,2016-02-01
53.0,2016-03-05 00:00:00,12.00,Bhf. Herrenkrug + Aufzug,"Für den Erhalt der 10%-Regel & gegen Gästefanverbote, bei jedem Spiel!",2016-02-18
54.0,2016-03-01 00:00:00,16.00-17.00,Flora Park,Gedenken an die ermordeten Sinti und Roma,2016-02-22
55.0,2016-03-05 00:00:00,12.00,Bhf. Herrenkrug + Aufzug,Gegen Gästefanverbote,2016-02-23
56.0,2016-03-05 00:00:00,11.00-15.00,Breiter Weg (Mc Donalds),Besser Verbandsklagerecht als Tierschutzbeauftragter,2016-02-23
57.0,2016-03-05 00:00:00,14.00-17.00,Hbf + Aufzug,Noten schreddern statt NSU-Akten - für eine emanzipatorische Bildungsreform!,2016-03-01
58.0,2016-03-04 00:00:00,15.30-19.00,Breiter Weg / E.-Reuter-Allee,Perspektiven statt Masseneinwanderung,2016-03-01
59.0,2016-04-02 00:00:00,13.00-15.00,Domplatz,Aufarbeitung von DDR-Unrecht,2016-03-03
60.0,2016-03-01 00:00:00,17.45-20.00,Aufzug,Gemeinsam für eine bessere Zukunft,2016-03-03
61.0,2016-03-11 00:00:00,10.00-11.30  12.00-13.30  14.00-15.30   16.00-17.30,Willy-Brandt-Platz    Alter Markt               Nikolaiplatz              Neustädter Platz,Mit Vollgas in den Landtag - NPD wählen,2016-03-07
62.0,2016-03-13 00:00:00,19.15-21.30,Domplatz,Für ein demokratisches und weltoffenes Magdeburg - Gegen Rassismus!,2016-03-07
63.0,2016-03-15 00:00:00,14.00-16.00,Frauenhoferstraße,Warnstreik bei der DT Kundenservice,2016-03-08
64.0,2016-03-17 00:00:00,11.00-13.00,Listemannstraße,Warnstreik zur Tarifrunde Telekom,2016-03-08
65.0,2016-04-16 00:00:00,12.00-18.00,Große Diesdorfer Straße,Billigfleisch in Discountern,2016-03-08
66.0,2016-03-11 00:00:00,17.30-19.30,Aufzug,Motivationswalk für die Qualifizierung der lokalen Bevölkerung zur Landtagswahl,2016-03-10
67.0,2016-03-19 00:00:00,13.30-15.30,Breiter Weg / E.-Reuter-Allee,"Flashmob ""Schrei nach Liebe""",2016-03-11
68.0,2016-03-23 00:00:00,11.30-12.30,Wörlitzer Straße,"Lebensmittelpreise, Es ist 5 nach 12",2016-03-16
69.0,2016-03-26 00:00:00,16.00-02.00,Breiter Weg,"Freiräume für Magdeburg schaffen, als Räume für Austausch, Mischung und Begegnung mit dem Fremden - frei von Konsum",2016-03-16
70.0,2016-03-19 00:00:00,14.00-16.00,Sternbrücke,Verschmutzung der Meere durch Plastikmüll,2016-03-17
71.0,2016-04-16 00:00:00,10.00-14.00,Alter Markt - BreiterWeg,Demo gegen das Hundegesetz LSA,2016-03-21
72.0,2016-04-09 00:00:00,18.00-22.00,Aufzug,Keine Alternative,2016-03-19
73.0,2016-04-01 00:00:00,17.45-20.00,Aufzug,Gemeinsam für eine bessere Zukunft,2016-04-01
74.0,2016-04-06 00:00:00,17.00-19.00,Domplatz,Nazis ankreiden!,2016-03-31
75.0,2016-04-05 00:00:00,07.30-13.00,Frauenhoferstraße,Warnstreik bei der DT Kundenservice,2016-03-31
76.0,2016-04-12 00:00:00,08.15-12.30,Aufzug,Warnstreik zur Tarifrunde Telekom,2016-04-01
77.0,2016-04-09 00:00:00,14.00-20.00,Aufzug,Stark wegbassen,2016-04-07
78.0,2016-04-09 00:00:00,12.00-13.30,Willy-Brandt-Platz,Gegen die rassistische Mobilisierung,2016-04-07
79.0,2016-04-09 00:00:00,14.00-18.00,Hasselbachplatz,Gegen die rassistische Mobilisierung,2016-04-08
80.0,2016-04-13 00:00:00,16.00-18.00,Aufzug,Gegen ISIS,2016-04-08
81.0,2016-04-13 00:00:00,11.00-13.00,Domplatz,Stärkung des ländlichen Raums - gegen Arbeitsplatzverluste durch die neue Landesregierung,2016-04-10
82.0,2016-06-18 00:00:00,10.00-12.30,Aufzug,6. Magdeburger Fahrrad-Aktionstag,2016-04-01
83.0,27.04.2016  28.04.2016  29.04.2016  30.04.2016  01.05.2016  02.05.2016,15.30-16.30  15.30-16.30  15.30-16.30  15.30-16.30  10.30-11.30  15.30-16.30 ,"Kleiner Stadtmarsch, Messeplatz           Max Wille",Für Tiere im Circus,2016-04-12
84.0,2016-04-26 00:00:00,16.00-19.00,Goldschmiedebrücke,Tschernobyl-Gedenktag - Gegen eine strahlende Zukunft,2016-04-14
85.0,2016-04-22 00:00:00,07.00-11.00,Bei der Hauptwache,Warnstreik TRöD,2016-04-21
86.0,2016-05-01 00:00:00,10.00-14.00,Alter Markt,"Maikundgebung ""Zeit für mehr Solidarität!""",2016-04-20
87.0,2016-05-03 00:00:00,13.00-15.00,Friedrich-List-Straße,Warnstreik / Tarifrunde Metall- und Elektro Sachsen-Anhalt,2016-04-21
88.0,2016-05-10 00:00:00,13.00-15.00,Friedrich-List-Straße,Warnstreik / Tarifrunde Metall- und Elektro Sachsen-Anhalt,2016-04-21
89.0,2016-11-05 00:00:00,11.30-22.00,Aufzug,"Für Frieden, Freiheit und Souveränität",2016-04-23
90.0,2016-04-30 00:00:00,18.00-21.00,"Kleiner Stadtmarsch, Messeplatz           Max Wille",Demo gegen Tierhaltungszustände im Zirkus,2016-04-25
91.0,2016-05-01 00:00:00,17.45-20.00,Aufzug,Gemeinsam für eine bessere Zukunft,2016-04-27
92.0,2016-05-01 00:00:00,13.00-17.00,Aufzug,Heraus zum revolutionären 1. Mai in Magdeburg! Kapitalismus bedeutet Krieg und Krise,2016-04-28
93.0,2016-05-17 00:00:00,17.00-18.30,Willy-Brandt-Platz,Rainbowflash zum internationalen Tag gegen Homo- und Transphobie,2016-04-28
94.0,2016-05-09 00:00:00,16.00-17.00,Brücke am Wasserfall,"Gedenken an Torsten Lamprecht anlässlich des Jahrestages des Angriffs auf die ""Elbterrassen""",2016-05-02
95.0,2016-06-02 00:00:00,10.00-13.00,Domplatz,Arbeit des Landtages zum Landesabgabengesetz,2016-05-13
96.0,2016-06-02 00:00:00,10.30-12.00,Otto-von-Guericke-Universität,Aktion gegen Tierversuche in der Lehre,2016-05-11
97.0,2016-05-22 00:00:00,11.00-12.30,Aufzug,"Freie Elbe, Schotter raus!",2016-05-17
98.0,2016-06-04 00:00:00,10.00-18.00,Breiter Weg,Verfolgung von Falun Gong,2016-05-20
99.0,2016-06-04 00:00:00,14.00-20.00,Ulrichplatz,Antirassismuskampagne,2016-05-26
100.0,2016-06-14 00:00:00,15.30-17.00,Liebknechtstraße,Gedenkveranstaltung für die ehemaligen Zwangsarbeiterinnen/-arbeiter des Polte-Werkes - am ehemaligen Frauen-KZ,2016-05-30
101.0,2016-06-25 00:00:00,14.00-17.00,Willy-Brandt-Platz + Aufzug,Noten schreddern statt NSU-Akten - für eine emanzipatorische Bildungsreform!,2016-06-02
102.0,2016-06-01 00:00:00,17.45-20.00,Aufzug,Gemeinsam für eine bessere Zukunft,2016-06-02
103.0,2016-06-09 00:00:00,13.00-14.00,Hasselbachstraße,Mitarbeiter der Firma AWS für den Erhalt ihrer Arbeitsplätze,2016-06-07
104.0,2016-06-13 00:00:00,09.00-14.00,Breiter Weg,Gegen Abschiebungen in sichere Herkunftsstaaten,2016-06-09
105.0,17.06.2016  bis        10.07.2016,19.45-21.00,Domplatz,Ziehe niemals in den Krieg!,2016-06-10
106.0,2016-06-18 00:00:00,13.00-16.00,Sternbrücke,Amazonaszerstörung durch Wasserkraftwerke,2016-06-14
107.0,2016-06-18 00:00:00,13.00-14.30,Breiter Weg /            E.-Reuter-Allee,Gedenken an die Opfer vom Anschlag auf LSBTTI* in Orlando,2016-06-15
108.0,2016-06-25 00:00:00,21.00-22.00,Aufzug,Wirr für Deutschland - Bedingungsloses Mindesthirn für alle!,2016-06-17
109.0,2016-10-22 00:00:00,15.00-20.00,Aufzug,"Deutsche Opfer, fremde Täter",2016-06-30
110.0,2016-08-16 00:00:00,16.00-17.00,Pallasweg/Hektorweg,Gedenken an Rick L. / Opfer rechter Gewalt in Sachsen-Anhalt,2016-06-30
111.0,2016-08-20 00:00:00,11.30-18.00,Willy-Brandt-Platz,Gehört der Islam zu Deutschland,2016-07-01
112.0,2016-07-01 00:00:00,17.45-20.00,Aufzug,Gemeinsam für eine bessere Zukunft,2016-07-01
113.0,2016-08-27 00:00:00,17.00-,Alter Markt,"Frieden, Politik",2016-07-02
114.0,2016-07-09 00:00:00,14.30-18.00,Aufzug,Gutmänschendemo,2016-07-07
115.0,2016-07-30 00:00:00,11.00-19.00,Bahnhofstraße,Tierschutz / gegen Massentierhaltung,2016-07-13
116.0,2016-07-25 00:00:00,17.00-22.00,Aufzug,Kulturelle Freiräume in der Stadt. Für den Erhalt des Abaton.,2016-07-21
117.0,2016-07-25 00:00:00,19.00-22.00,Aufzug,Magida,2016-07-23
118.0,2016-08-01 00:00:00,17.45-20.00,Aufzug,Gemeinsam für eine bessere Zukunft,2016-07-25
119.0,2016-07-30 00:00:00,17.00-20.00,Aufzug,Gegen ISIS,2016-07-29
120.0,2016-08-27 00:00:00,13.00-15.00,Aufzug,Demonstrations-Parade zum Christiopher Street Day,2016-08-01
121.0,2016-08-22 00:00:00,15.30-17.30,Domplatz,Beseitigung der Unteralimentation und Sicherstellung einer amtsangemessenen Alimentation,2016-08-04
122.0,2016-08-20 00:00:00,,Willy-Brandt-Platz,Speisetradtion,2016-08-16
123.0,2016-08-19 00:00:00,18.00-19.30,Willy-Brandt-Platz,Freiheit für Öcalan,2016-08-19
124.0,2016-09-01 00:00:00,18.00-21.00,Aufzug,Weltfriedenstag,2016-08-15
125.0,2016-09-16 00:00:00,15.00-20.00,Sternstraße,Freiräume statt Parkplätze,2016-08-29
126.0,2016-09-01 00:00:00,17.45-20.00,Aufzug,Gemeinsam für eine bessere Zukunft,2016-08-30
127.0,2016-09-09 00:00:00,18.00-22.00,Hasselbachplatz,Feiern wir lieber ohne Polizei,2016-08-30
128.0,2016-09-07 00:00:00,16.00-19.00,Aufzug,Tierschutz / gegen Massentierhaltung,2016-09-01
129.0,2016-09-11 00:00:00,10.00-11.00,Westfriedhof  ,"Tag der Erinnerung, Mahnung und Begegnung",2016-09-01
130.0,2016-09-16 00:00:00,15.30-18.00,Sternstraße,Parking Day: Für mehr Freiräume im öffentlichen Raum in Magdeburg,2016-09-06
131.0,2016-09-16 00:00:00,15.00-19.00,Sternstraße,Für mehr Freiräume im öffentlichen Raum in Magdeburg,2016-09-07
132.0,2016-09-16 00:00:00,15.00-19.00,Sternstraße,Internationaler PARKing Day,2016-09-08
133.0,2016-09-16 00:00:00,15.00-19.00,Sternstraße,Mehr Fahrradabstellanlagen statt KfZ-Parkplätze,2016-09-09
134.0,2016-09-16 00:00:00,13.00-16.00,Schweriner Straße,Für mehr Freiräume im öffentlichen Raum in Magdeburg,2016-09-09
135.0,2016-09-16 00:00:00,15.00-20.00,Otto-von-Guericke-Straße,Für mehr kulturelle Freiräume in Magdeburg,2016-09-13
136.0,2016-09-16 00:00:00,15.00-20.00,Breiter Weg,Für mehr kulturelle Vielfalt und Toleranz in Magdeburg,2016-09-13
137.0,2016-09-17 00:00:00,10.00-18.00,Breiter Weg,Verfolgung von Falun Gong,2016-09-15
138.0,2016-09-29 00:00:00,10.00-14.00,Domplatz,Für das Recht auf Bildung und Teilhabe von Kindern mit Behinderung in Sachsen-Anhalt,2016-09-17
139.0,2016-10-03 00:00:00,14.00-18.00,Olvenstedter Platz,Friede den Hütten! Krieg den Palasten! Kein Tag ohne soziale Freiräume - Mieten runter - Löhne rauf!,2016-09-26
140.0,2016-09-30 00:00:00,13.30-14.30,Domplatz,Gemeinsam Aktionsprogramm verteidigen,2016-09-26
141.0,2016-10-02 00:00:00,10.00-11.00,Roggengrund,Ruhestand für Robby - Magdburg sagt NEIN zu Tierdressuren!,2016-09-29
142.0,2016-10-01 00:00:00,17.45-20.00,Aufzug,Gemeinsam für eine bessere Zukunft,2016-09-30
143.0,2016-10-28 00:00:00,11.00-15.00,Aufzug + Domplatz,"Öffentlicher Dienst ist mehr Wert, Gekürzt, Gestrichen, Vergessen",2016-10-05
144.0,2016-10-27 00:00:00,08.30-11.00,Aufzug + Domplatz,Aktionstag Universitätsmedizin,2016-10-13
145.0,2016-11-09 00:00:00,19.00-22.00,Aufzug + Domplatz,Demonstration gegen Politikversagen,2016-10-13
146.0,2016-11-05 00:00:00,11.00-18.00,Aufzug + Hasselbachplatz,Radfahren gegen Reichsflugscheiben,2016-10-14
147.0,2016-10-29 00:00:00,10.00-18.00,Breiter Weg,Verfolgung von Falun Gong,2016-10-24
148.0,2016-10-26 00:00:00,16.00-17.30,Willy-Brandt-Platz,Syrien,2016-10-25
149.0,2016-11-09 00:00:00,14:00-17:00,Aufzug + Domplatz,Pogromgedenken,2016-10-27
150.0,2016-11-05 00:00:00,11.45-13.45,Aufzug + MDCC-Arena,Gegen Kollektivstrafen,2016-11-01
151.0,2016-11-09 00:00:00,18.30-22.00,Domplatz,students against racism,2016-11-02
152.0,2016-11-05 00:00:00,12.00-21.00,Domplatz,Zionistisches geheimes Besatztreffen - Weltregierung zum Anfassen und Diskutieren,2016-11-03
153.0,2016-11-09 00:00:00,18.00-22.30,Domplatz,Glühend löschen statt brennen,2016-11-03
154.0,2016-11-01 00:00:00,17.45-20.00,Aufzug,Gemeinsam für eine bessere Zukunft,2016-11-03
155.0,2016-11-05 00:00:00,18.30-20.00,Aufzug,Gegen die Festnahme der Abgeordneten in der Türkei,2016-11-04
156.0,2016-11-12 00:00:00,10.00-18.00,Breiter Weg,Verfolgung von Falun Dafa,2016-11-08
157.0,2016-11-12 00:00:00,11.55-14.30,Breiter Weg,Gemeinsam und kämpferisch für die Bewahrung unserer Lebensgrundlagen einstehen!,2016-11-07
158.0,2016-12-13 00:00:00,15.00-18.00,Aufzug,Rettet das Kaiser Otto Fest!,2016-11-24
159.0,2016-12-06 00:00:00,09.00-10.30,Staatskanzlei,Wahlversprechen - Nichts als heiße Luft und leere Pakete,2016-11-29
160.0,2016-12-01 00:00:00,17.45-20.00,Aufzug,Gemeinsam für eine bessere Zukunft,2016-12-02
161.0,2016-12-12 00:00:00,17.00-21.00,Breiter Weg / Julius-Brehmer-Straße,Werben für den Frieden,2016-12-06
162.0,2016-12-17 00:00:00,14.00-16.00,Aufzug + Friedensplatz,Beschluss der Länder und des Bundes der Bundesrepublik Deutschland zur Abschiebung der in Deutschland lebenden Asylbewerber afghanischer Herkunft,2016-12-12
163.0,2016-12-17 00:00:00,11.00-16.30,E.-Reuter-Allee / Breiter Weg,PARTEInachten - gegen das Vergessen christlicher Tradition und für den Konsum,2016-12-14
164.0,2016-12-16 00:00:00,15.00-16.30,Aufzug,Gemeinsam gegen Massenmorde in Aleppo,2016-12-14
165.0,2016-12-20 00:00:00,13.30-15.30,Birkenallee,Pflegenotstand in den Krankenhäusern,2016-12-15
166.0,2016-12-31 00:00:00,18.30-22.00,Aufzug,Kämpferisch ins Jahr 2017. Solidarität aufbauen!,2016-12-28
