Lfd. Nr. ,Datum der Vers,Uhrzeit der Vers,Ort der Vers,Thema der Versammlung,Datum der Anmeldung,Unnamed: 6,Unnamed: 7
,,,,,,TN angemeldet,TN anwesend
1.0,21.01.2023,12.00-22.00,Aufzug,Trauermarsch 16.000 unvergessen,2018-05-29 00:00:00,2500,
2.0,2023-01-14 00:00:00,09.00-21.00,Große Diesdorfer Straße,Themenveranstaltung gegen Faschismus und Kapital,2022-11-15 00:00:00,20,0
3.0,2023-01-21 00:00:00,09.00-21.00,Große Diesdorfer Straße,Themenveranstaltung gegen Faschismus und Kapital,2022-11-15 00:00:00,20,6
4.0,2023-01-09 00:00:00,18.00-20.00,Domplatz/Aufzug,"Preisexplosion stoppen – für Frieden, Freiheit und Wohlstand!",2022-11-28 00:00:00,1000,
5.0,2023-01-16 00:00:00,18.00-20.00,Domplatz/Aufzug,"Preisexplosion stoppen – für Frieden, Freiheit und Wohlstand!",2022-11-28 00:00:00,1000,
6.0,2023-01-23 00:00:00,18.00-20.00,Domplatz/Aufzug,"Preisexplosion stoppen – für Frieden, Freiheit und Wohlstand!",2022-11-28 00:00:00,1000,
7.0,2023-01-30 00:00:00,18.00-20.00,Domplatz/Aufzug,"Preisexplosion stoppen – für Frieden, Freiheit und Wohlstand!",2022-11-28 00:00:00,1000,
8.0,2023-02-06 00:00:00,18.00-20.00,Domplatz/Aufzug,"Preisexplosion stoppen – für Frieden, Freiheit und Wohlstand!",2022-11-28 00:00:00,1000,
9.0,2023-02-13 00:00:00,18.00-20.00,Domplatz/Aufzug,"Preisexplosion stoppen – für Frieden, Freiheit und Wohlstand!",2022-11-28 00:00:00,1000,
10.0,2023-02-20 00:00:00,18.00-20.00,Domplatz/Aufzug,"Preisexplosion stoppen – für Frieden, Freiheit und Wohlstand!",2022-11-28 00:00:00,1000,
11.0,2023-02-27 00:00:00,18.00-20.00,Domplatz/Aufzug,"Preisexplosion stoppen – für Frieden, Freiheit und Wohlstand!",2022-11-28 00:00:00,1000,
12.0,2023-03-06 00:00:00,18.00-20.00,Domplatz/Aufzug,"Preisexplosion stoppen – für Frieden, Freiheit und Wohlstand!",2022-11-28 00:00:00,1000,
13.0,2023-03-13 00:00:00,18.00-20.00,Domplatz/Aufzug,"Preisexplosion stoppen – für Frieden, Freiheit und Wohlstand!",2022-11-28 00:00:00,1000,
14.0,2023-03-20 00:00:00,18.00-20.00,Domplatz/Aufzug,"Preisexplosion stoppen – für Frieden, Freiheit und Wohlstand!",2022-11-28 00:00:00,1000,
15.0,2023-03-27 00:00:00,18.00-20.00,Domplatz/Aufzug,"Preisexplosion stoppen – für Frieden, Freiheit und Wohlstand!",2022-11-28 00:00:00,1000,
16.0,2023-01-01 00:00:00,16.00-22.00,Aufzug,Ein Funken Hoffnung,2022-12-13 00:00:00,300,185
17.0,2023-01-07 00:00:00,15.00-16.30,Lothar-Kreyssig-Straße,Recht auf Leben in Selbstbestimmung,2022-12-19 00:00:00,40,15
18.0,2023-01-16 00:00:00,18.00-19.30,Alter Markt/                    Bei der Hauptwache,"Auftakt zur Aktionswoche ""Eine Stadt für alle""",2022-11-18 00:00:00,3000,400
19.0,2023-01-21 00:00:00,13.00-21.00,Hasselbachplatz,Genug ist genug! Solidarität und Gemeinschaft als Antwort auf die Krise.,2022-11-25 00:00:00,100,4
20.0,2023-01-21 00:00:00,17.00-20.00,Breiter Weg/                   Ernst-Reuter-Allee,Eine Stadt für alle unterm Regenbogen,2022-11-26 00:00:00,30,32
