Lfd. Nr. ,Datum der Vers,Uhrzeit der Vers,Ort der Vers,Thema der Versammlung,Datum der Anmeldung
152.0,2018-10-20 00:00:00,10.00-18.00,Domplatz,Verfolgung von Falun-Dafa-Praktizierenden in China,2018-10-15 00:00:00
153.0,2018-10-20 00:00:00,14.00-18.00,Breiter Weg,Gegen die Rechtsentwicklung der Bundes- und Landesregierung,2018-10-15 00:00:00
154.0,2018-11-10 00:00:00,18.00-22.00,Aufzug,Ausgefackelt!,2018-10-25 00:00:00
155.0,2018-11-01 00:00:00,09.00-10.30,Domplatz,Giftmülleinlagerung Grube Teutschenthal,2018-10-26 00:00:00
156.0,2018-11-03 00:00:00,10.30-17.00,Willy-Brandt-Platz,Christliche Werte sind wertvoll für die Gesellschaft?!,2018-10-30 00:00:00
157.0,2018-11-10 00:00:00,18.30-00.00,Julius-Bremer-Straße,Gedenken der Opfer des Nationalsozialismus und Erinnerung der Novemberpogrome 1938,2018-11-01 00:00:00
158.0,2018-11-03 00:00:00,12:00-14:00,Tessenowstraße,"Tierschutz, mit Laptops, Guy Fawkes Masken",2018-11-02 00:00:00
159.0,2018-11-16 00:00:00,13.00-22.00,Jerichower Platz / Herrenkrugstraße,Studierende für Vielfalt und Toleranz,2018-11-05 00:00:00
160.0,2018-11-10 00:00:00,17.00-21.00,Hasselbachplatz,100 Jahre Novemberrevolution,2018-11-05 00:00:00
161.0,2018-11-11 00:00:00,14.30-16.00,Aufzug,Pogromgedenken,2018-11-05 00:00:00
162.0,2018-11-17 00:00:00,12.00-18.00,Aufzug,#ausgehetzt - Für ein solidarisches Europa,2018-11-01 00:00:00
163.0,2018-11-14 00:00:00,10.00-12.00,Alter Markt,Eye to Eye: erlebe die Welt mit anderen Augen,2018-11-09 00:00:00
164.0,2018-11-17 00:00:00,11.00-12.00,Alter Markt,Würde statt Waffen,2018-11-10 00:00:00
165.0,2018-11-22 00:00:00,18.30-22.00,Domplatz,Migrationspakt stoppen,2018-11-13 00:00:00
166.0,2018-11-22 00:00:00,18.45-20.30,Domplatz,Eure Worte morden - hier und anderswo,2018-11-20 00:00:00
167.0,2018-11-30 00:00:00,18.00-20.00,Alter Markt,"Tierschutz, mit Laptops, Guy Fawkes Masken",2018-11-23 00:00:00
168.0,2018-12-08 00:00:00,10.00-14.00,Ulrichsplatz,Weltklimaaktionstag,2018-11-19 00:00:00
169.0,2018-12-08 00:00:00,16.00-18.00,Domplatz,Licht der Hoffnung,2018-11-14 00:00:00
170.0,2018-12-08 00:00:00,10.00-18.00,Ulrichsplatz,Falun Dafa,2018-11-27 00:00:00
171.0,2018-12-05 00:00:00,15.30-17.30,Aufzug,freiefahrtfuerfreiwillige,2018-11-29 00:00:00
172.0,2018-12-13 00:00:00,09.30-10.00,Seepark,Protest der Beschäftigten gegen den Austritt des Altmark-Klinikum aus dem Kommunalen Arbeitgeberverband,2018-12-05 00:00:00
173.0,2018-12-07 00:00:00,18.00-20.00,Alter Markt,"Tierschutz, mit Laptops, Guy Fawkes Masken",2018-12-05 00:00:00
174.0,08.12.2018 bis  09.12.2018,16.00-19.00,Alter Markt,Aufmerksamkeit für Obdachlosenhilfe im Winter,2018-12-05 00:00:00
175.0,2018-11-17 00:00:00,10.00-14.00,Alter Markt,"Tierschutz, mit Laptops, Guy Fawkes Masken",2018-11-16 00:00:00
176.0,2018-12-22 00:00:00,13.30-17.00,Breiter Weg,Frieden,2018-12-17 00:00:00
177.0,2018-12-22 00:00:00,11.00-17.00,Ernst-Reuter-Allee / Breiter Weg,PARTEInachten - gegen das Vergessen christlicher Traditionen und für den Konsum,2018-12-18 00:00:00
178.0,2018-12-23 00:00:00,16.00-18.30,Alter Markt,"Tierschutz, mit Laptops, Guy Fawkes Masken",2018-12-21 00:00:00
