Unnamed: 0,Unnamed: 1,Unnamed: 2,Versammlungen 2023,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
Datum,Beginn,Ende,Thema,Ort,Aufzug,Teilnehmende,Absage
2023-01-19 00:00:00,17:00:00,21:00:00,WIR SIND BAUM,Kaiserstraße vor der kleinen Kirche,,25,
2023-01-19 00:00:00,18:00:00,19:00:00,"für das Grundgesetz - die RichterInnen am BVG sollten endlich einen Hauptverhandlungstermin ansetzen um zu klären, ob die Grundrechtseinschränkungen der letzten Jahre ungesetzlich waren - für Frieden - für die Würde des Menschen - für gute Arbeits- + Lebensbedingungen für alle - für Selbstverantwortung und Selbstbestimmung - Wir sind politisch unabhängige BürgerInnen und laden alle Demokraten zum friedlichen Meinungsaustausch ein.",Schlossbezirk ,,49,
2023-01-20 00:00:00,16:30:00,18:00:00,Fällung der Platanen in der Kaiserstraße,Kaiserstraße Höhe Marktplatz,,30,
2023-01-21 00:00:00,11:00:00,16:00:00,Freiheit- Religion,Schlossplatz,,10,
2023-01-24 00:00:00,18:00:00,20:00:00,Weil wir KLASSE sind: Tarifrunde ÖD 2023,Marktplatz (vor dem Rathaus),,50,
2023-01-26 00:00:00,17:00:00,21:00:00,Lichtwache für die 48 Kaiserplatanen in der Kaiserstraße,Kaiserstraße zwischen Marktplatz und Kreuzstraße,,20,
2023-01-26 00:00:00,18:00:00,19:00:00,"für das Grundgesetz - für die Würde des Menschen - nie mehr den Kindern sagen, dass Ihre bloße Anwesenheit die Eltern töten könnte - nie mehr alte Menschen, die für unseren Wohlstand geschuftet haben, einsperren - Wir sind Bürger mit unterschiedlichen politischen Präferenzen und laden alle Demokraten zum friedlichen Meinungsaustausch ein. ",Schlossbezirk ,,49,
2023-01-27 00:00:00,18:00:00,19:00:00,"Offenes Treffen Mehr Raum fürs Rad - Critical Mass Fahrradtour - Radfahrer fordern mit ihren Touren im Rahmen der weltweiten Critical-Mass-Bewegung mehr Rechte für Radfahrer, bessere Infrastruktur und mehr Platz im öffentlichen Verkehrsraum. Jeden letzten Freitag eines Monats. ","Kronenplatz, Kronenstraße, Zirkel, Waldhornstraße, Kaiserstraße, Durlacher Allee, Ernst-Friedrich-Straße, Killisfeldstraße, Ottostraße, Wolfartsweierer Straße, Oststadtkreisel, Ludwig-Erhard-Straße, Fritz-Erler-Straße, Markgrafenstraße, Waldhornstraße, Zähringerstraße, Kronenplatz ",x,150,
2023-01-27 00:00:00,17:30:00,20:45:00,Friedensverhandlungen im Ukraine Krieg / Sicherung bezahlbarer Energieversorgung / Erhalt des Bargeldes /Ende des Corona Impfexperiments / Für eine lebenswerte Gesellschaft,"Marktplatz, Kaiserstraße, Hirschstraße, Sophienstraße, Karlstraße, Kaiserstraße, Marktplatz",,75,
2023-01-27 00:00:00,13:00:00,16:00:00,Kundgebung zum Thema Klimagerechtigkeit im Rahmen der Räumung von Lützerath,Redtenbachstr. 9,,30,x
2023-01-28 00:00:00,13:00:00,15:15:00,Weltfrieden durch inneren Frieden,"Stephanplatz, Waldstraße, Kaiserstraße, Marktplatz und zurück zum Stephanplatz (gleiche Strecke)",x,30,
2023-01-28 00:00:00,14:00:00,17:00:00,Glaube,Friedrichsplatz,,50,
2023-01-30 00:00:00,17:00:00,18:00:00,Machtübertragung an den Nationalsozialismus am 30.01.1933,Marktplatz ,,50,
2023-01-30 00:00:00,06:00:00,14:00:00,Warnstreik/Tarifverhandlungen,Im Kleinen Bruch 1,,80,
2023-02-02 00:00:00,16:00:00,18:30:00,"Frieden, Freiheit",Wiesenstraße Grünwettersbach,,20,
2023-02-02 00:00:00,18:00:00,19:00:00,"für das Grundgesetz - für die Würde des Menschen - nie mehr den Kindern sagen, dass Ihre bloße Anwesenheit die Eltern töten könnte - nie mehr alte Menschen, die für unseren Wohlstand geschuftet haben, einsperren - Wir sind Bürger mit unterschiedlichen politischen Präferenzen und laden alle Demokraten zum friedlichen Meinungsaustausch ein. ",Schlossbezirk ,,49,
2023-02-02 00:00:00,17:00:00,20:00:00,WIR SIND BAUM,Kaiserstraße vor der kleinen Kirche,,25,
2023-02-04 00:00:00,14:00:00,16:00:00,Iran im Aufruhr,"Kronenplatz, Kaiserstraße, Waldstraße, Erbprinzenstraße, Rondellplatz, Marktplatz",x,150,
2023-02-04 00:00:00,15:00:00,16:30:00,Catcalls of Karlsruhe kreiden an,"Durlacher Tor,  Zeppelinstr. 7a",,2,
2023-02-05 00:00:00,13:40:00,16:00:00,Menschenrechtsverletzung,Marktplatz,,20,
2023-02-06 00:00:00,18:00:00,19:00:00,"Montagsdemo gegen die Hartz-Gesetze und Sozialabbau, Aktiver Widerstand für den Weltfrieden - gegen alle Kriegstreiber!",Marktplatz,,50,
2023-02-07 00:00:00,17:00:00,18:15:00,"Stille Mahnwache für Frieden, Demokratie und Menschenrechte","Schlossplatz, Ecke Pfinztalstraße / Marstallstraße in Durlach",,8,
2023-02-09 00:00:00,18:00:00,19:00:00,"für das Grundgesetz - für die Würde des Menschen - Diplomaten schicken statt tödliche Waffen - nie mehr den Kindern sagen, dass Ihre bloße Anwesenheit die Eltern töten könnte - nie mehr alte Menschen, die für unseren Wohlstand geschuftet haben, einsperren - Wir sind Bürger mit unterschiedlichen politischen Präferenzen und laden alle Demokraten zum friedlichen Meinungsaustausch ein.",Schlossbezirk ,,49,
2023-02-10 00:00:00,17:30:00,20:00:00,"Friedensverhandlungen im Ukraine Krieg / Sicherung bezahlbarer Energieversorgung / Erhalt des Bargeldes /
Ende des Corona Impfexperiments / Für eine lebenswerte Gesellschaft",Marktplatz zwischen Pyramide und Zähringerstraße,,75,
2023-02-11 00:00:00,10:30:00,13:30:00,"FÜR bezahlbare Energie- und Lebenshaltungskosten, FÜR den Erhalt des Bargeldes, FÜR die Entschädigung der Impf-Opfer der Corona-Lüge, FÜR Friedensverhandlungen und FÜR Politikerhaftung","Parkplatz Beiertheim, Hermann-Veit-Straße, Brauerstraße,  Reinhold-Frank-Straße, Bismarckstraße,  Wörthstraße, Stephanienstraße, Hirschstraße,  Kaiserstraße, Douglasstraße,  Amalienstraße, Hirschstraße, Kaiserstraße, Stephanienstraße, Reinhold-Frank-Straße, Hoffstraße,  Riefstahlstraße, Moltkestraße, Blücherstraße, Yorckstraße, Goethestraße, Uhlandstraße, Weinbrennerstraße, Gabelsbergerstraße,  Nelkenstraße, Goethestraße, Schillerstraße, Sophienstraße, Scheffelstraße, Kaiserallee (Höhe Grashofstr. wird gewendet) Kaiserallee, Kochstraße, Haydnplatz, Weberstraße, Moltkestraße, Erzbergerstraße, Alfons-Fischer-Allee, Friedrich-Wolff-Straße, Knielinger Allee, Damaschkestraße, Freydorfstraße, Moltkestraße, Blücherstraße, Kaiserallee, Reinhold-Frank-Straße, Kriegstraße, Ludwig-Erhard-Allee, Kapellenstraße, Karl-Wilhelm-Straße, Hölderlinstraße, Emil-Gött-Straße, Am Fasanengarten, Parkstraße, Karl-Wilhelm-Platz, Georg-Friedrich-Straße, Rintheimer Straße, Tullastraße, Haid-und-Neu-Straße, Hirtenweg Ernststraße, Forststraße, Rintheimer Hauptstraße, Mannheimer Straße, Rintheimer Straße, Tullastraße, Durlacher Allee, Wolfartsweierer Straße, Gottesauer Platz Buntestraße, Gottesauer Straße, Sommerstraße, Frühlingstraße, Ostendstraße, Henriette-Obermüller-Straße, Marie-Baum-Straße, ,Luise-Riegger-Straße, Hedwig-Kettler-Straße, Klara-Siebert-Straße, Luise-Riegger-Straße, Melitta-Schöpfer-Straße, Rahel-Straus-Straße, Klara-Siebert-Straße, Luise-Riegger-Straße, Hedwig-Kettler-Straße, Henriette-Obermüller-Straße, Scherrstraße, Augartenstraße, Rüppurrer Straße, Nebeniusstraße, Marienstraße, Winterstraße,  Ettlinger Straße, Hermann-Billing-Straße, Ritterstraße, Mathystraße, Karlstraße, Hohenzollernstraße, Gebhardstraße, Marie-Alexandra-Straße, Wartburgstraße,  Breite Straße, Neubruchweg, Hohenzollernstraße, Wartburgstraße, Parkplatz Beiertheim ",x,13,
2023-02-11 00:00:00,14:00:00,20:00:00,"FÜR bezahlbare Energie- und Lebenshaltungskosten, FÜR den Erhalt des
Bargeldes, FÜR die Entschädigung der Impf-Opfer der Corona-Lüge, FÜR
Friedensverhandlungen und FÜR Politikerhaftung“","Brauerstraße, Reinhold-Frank-Straße, Kaiserstraße, Marktplatz, Karl-Friedrich-Straße, Erbprinzenstraße, Waldstraße, Karlstraße, Sophienstraße, Reinhold-Frank-Straße,  Kriegsstraße, Karlstraße, Gebhardstraße, Welfenstraße, Ebertstraße, Hirschstraße, Brauerstraße und endet am Platz der Menschenrechte.",x,113,
2023-02-11 00:00:00,15:00:00,17:00:00,"""Nein zur deutschen Beteiligung am Krieg!""",Marktplatz,,250,x
2023-02-11 00:00:00,11:00:00,22:00:00,"Nie wieder Faschismus, nie wieder Krieg! AfD-Aufmarsch verhindern!","Marktplatz, Friedrichsplatz, Kronenplatz, Kirchplatz St. Stephan, Stephanplatz Schlossplatz",,500,x
2023-02-11 00:00:00,14:00:00,16:00:00,gegen Kuranverbrennung und Islamhass,Karlsruhe,,3000,x
2023-02-11 00:00:00,12:00:00,16:00:00,Klimaschutz,Kaiserstraße/ Ecke Waldstraße ,,20,
2023-02-14 00:00:00,11:30:00,13:00:00,Tarifrunde öffentlicher Dienst - Streikdemonstration,"Ettlinger Straße, Rondellplatz, Erbprinzenstraße, Ritterstraße, Kaiserstraße, Marktplatz ",,150,
2023-02-16 00:00:00,12:00:00,13:00:00,Tarifrunde öffentlicher Dienst,"Saumarkt Durlach, Am Zwinger",,30,
