Versammlungen 2023,Unnamed: 1,Unnamed: 2,Unnamed: 3
Datum,Veranstalter,Thema,Angemeldete Teilnehmerzahl
2023-02-11 00:00:00,,gegen Kuranverbrennung und Islamhass,3000
2023-02-11 00:00:00,Klimabündnis Karlsruhe,Klimaschutz,20
2023-02-10 00:00:00,,"Friedensverhandlungen im Ukraine Krieg / Sicherung bezahlbarer Energieversorgung / Erhalt des Bargeldes /
Ende des Corona Impfexperiments / Für eine lebenswerte Gesellschaft",75
2023-02-09 00:00:00,,"für das Grundgesetz - für die Würde des Menschen - Diplomaten schicken statt tödliche Waffen - nie mehr den Kindern sagen, dass Ihre bloße Anwesenheit die Eltern töten könnte - nie mehr alte Menschen, die für unseren Wohlstand geschuftet haben, einsperren - Wir sind Bürger mit unterschiedlichen politischen Präferenzen und laden alle Demokraten zum friedlichen Meinungsaustausch ein.",49
2023-02-07 00:00:00,,"Stille Mahnwache für Frieden, Demokratie und Menschenrechte",8
2023-02-24 00:00:00,Ukrainer in Karlsruhe. Deutsch-Ukrainischer Verein e.V.,Kundgebung anlässlich des Jahrestages des Angriefskrieges des Russlands auf die Ukraine,1500
2023-03-29 00:00:00,,Aktionstag gegen Rassismus,500
2023-02-14 00:00:00,,Tarifrunde öffentlicher Dienst - Streikdemonstration,150
2023-02-24 00:00:00,,Critical Lichter Mass,200
2023-02-16 00:00:00,,Tarifrunde öffentlicher Dienst,30
2023-03-07 00:00:00,Verein BPW e.V.,Infoveranstaltung zum Equal Pay Day 7.3.2023,50
2023-03-11 00:00:00,,Klimaschutz,20
2023-02-18 00:00:00,Dachverband islamischer Vereine in Karlsruhe und Umgebung e. V.,Gedenken und Unterstützung der Erdbebenopfer in der Türkei und Syrien,200
2023-02-16 00:00:00,,"für das Grundgesetz - für die Würde des Menschen - Diplomaten schicken statt tödliche Waffen - nie mehr den Kindern sagen, dass Ihre bloße Anwesenheit die Eltern töten könnte - nie mehr alte Menschen, die für unseren Wohlstand geschuftet haben, einsperren - Wir sind Bürger mit unterschiedlichen politischen Präferenzen und laden alle Demokraten zum friedlichen Meinungsaustausch ein.",49
2023-02-23 00:00:00,,Demonstration mit anschließender Kundgebung zur Tarifrunde 2023 der Eisenbahn- und Verkehrsgewerkschaft (EVG).,200
2023-03-07 00:00:00,,"Stille Mahnwache für Frieden, Demokratie und Menschenrechte",12
2023-02-24 00:00:00,,Friedensgebet,50
2023-02-23 00:00:00,,WIR SIND BAUM,50
2023-02-24 00:00:00,,"Autofahrer, die sich für ihre Rechte im Straßenverkehr einsetzen.",200
2023-02-25 00:00:00,,"Schluss mit der willkürlichen Untersuchungshaft von den politischen Gefangenen Özgül Emre, İhsan Cibelik,
Serkan Küpeli und Hasan Unutan! Freiheit für alle politischen Gefangenen !",50
2023-03-04 00:00:00,,Iran im Aufruhr,200
2023-03-01 00:00:00,,1. März - Gedenken an die Deportation von Julius Hirsch,20
2023-03-03 00:00:00,Verdi,Warnstreik öffentlicher Dienst - zusammen mit Fridays for Future,1000
2023-03-02 00:00:00,,Frieden,
2023-02-25 00:00:00,,Iran im Aufruhr,200
2023-04-01 00:00:00,,Freiheit- Religion,10
2023-02-24 00:00:00,,Ein Jahr Ukrainekrieg - Stopp der Vorbereitung eines 3. Weltkriegs,25
2023-02-24 00:00:00,Catcalls of Karlsruhe,Catcalls of Karlsruhe kreiden an,2
2023-03-25 00:00:00,,Bewegungsmeditation für den inneren und äußeren Frieden und gegen die Erstarrung der Herzen,80
2023-09-16 00:00:00,,Schiitisch Trauer Versammlung,150
2023-02-23 00:00:00,,"für das Grundgesetz - für die Würde des Menschen - nie mehr den Kindern sagen, dass Ihre bloße Anwesenheit die Eltern töten könnte - nie mehr alte Menschen, die für unseren Wohlstand geschuftet haben, einsperren - Die RichterInnen des BVG sollten endlich Ihre Aufgabe erfüllen + darüber urteilen, ob manche Grundrechtseinschränkungen Grundgesetzwidrig waren - Wir sind Bürger mit unterschiedlichen politischen Präferenzen und laden alle Demokraten zum friedlichen Meinungsaustausch ein.",49
2023-02-24 00:00:00,,Sofortige Friedenverhandlungen in der Ukraine / Die Bundesregierung muss ihre Haltung und 360 Grad drehen und dann noch einmal um 180 Grad,75
2023-03-09 00:00:00,Fuß- und Radentscheid Karlsruhe,Unterschriftensammlung für das Bürgerbegehren Fuß- und Radentscheid,7
2023-03-16 00:00:00,Fuß- und Radentscheid Karlsruhe,Unterschriftensammlung für das Bürgerbegehren Fuß- und Radentscheid,7
2023-03-08 00:00:00,ISAK (Iranian Student Association Karlsruhe),Campus Rally for the Brave Women of Iran on International Womens's Day,100
2023-03-15 00:00:00,,Streikdemonstrationen,500
2023-03-01 00:00:00,,Catcalls of Karlsruhe kreiden an,2
2023-03-02 00:00:00,,Wir sind Baum ,50
2023-03-25 00:00:00,,Peta Zwei Streetteam Karlsruhe Fische sind Freunde kein Essen,10
2023-03-02 00:00:00,,"Für das Grundgesetz - für die Würde des Menschen - nie mehr den Kindern sagen, dass Ihre bloße Anwesenheit die Eltern töten könnte - nie mehr alte Menschen, die für unseren Wohlstand geschuftet haben, einsperren - Die RichterInnen des BVG sollten endlich Ihre Aufgabe erfüllen + darüber urteilen, ob manche Grundrechtseinschränkungen Grundgesetzwidrig waren - Wir sind Bürger mit unterschiedlichen politischen Präferenzen und laden alle Demokraten zum friedlichen Meinungsaustausch ein.",49
2023-03-06 00:00:00,,"Montagsdemo gegen die Hartz-Gesetze und Sozialabbau, Aktiver Widerstand für den Weltfrieden - gegen alle Kriegstreiber!",50
2023-03-04 00:00:00,Catcalls of Karlsruhe,Catcalls of Karlsruhe kreiden an,2
2023-03-03 00:00:00,Gewerkschaft Erziehung und Wissenschaft,Gehaltserhöhung im öffentlichen Dienst,100
2023-04-09 00:00:00,,"Ostermarsch Karlsruhe 2023, Für Frieden in Europa, Frieden schaffen ohne Waffen, Nie wieder Krieg - Nie wieder Faschismus, Krieg ist ein Verbrechen an der Menschheit, Die Waffen nieder (Berta von Suttner), Kriegsdienst verweigern Art. 4 (3) Grundgesetz, Keine Rüstungsexporte in Kriegsgebiete",1000
2023-03-08 00:00:00,Verdi,Streikkundgebung zum Internationalen Frauentag,120
2023-03-04 00:00:00,Catcalls of Karlsruhe,Catcalls of Karlsruhe kreiden an,2
2023-03-08 00:00:00,Catcalls of Karlsruhe,Catcalls of Karlsruhe kreiden an,3
2023-03-08 00:00:00,Catcalls of Karlsruhe,Catcalls of Karlsruhe kreiden an,3
2023-03-08 00:00:00,Catcalls of Karlsruhe,Catcalls of Karlsruhe kreiden an,3
2023-03-18 00:00:00,,Freiheit für alle politischen Gefangenen,30
2023-03-07 00:00:00,verdi,Equal Pay Day,30
2023-03-17 00:00:00,,Wir bleiben widerständig! - Gegen die AfD!,200
2023-05-17 00:00:00,Queeres Jugendzentrum,IDAHO * - Internationaler Tag gegen Homophobie,120
2023-03-10 00:00:00,,"Frieden in der Ukraine, Probleme im Gesundheitswesen, Wirtschafts- und Finanzkrise",120
2023-03-11 00:00:00,,Freiheit-Religion,4
2023-03-11 00:00:00,,"Bilden einer Menschenkette für die Solidarität mit den vergifteten, jungen Mädchen in mehr als 100
Mädchenschulen im Iran",60
2023-03-15 00:00:00,Gewerkschaft ver.di,Demo der VBK Beschäftigten ,500
2023-03-17 00:00:00,,Für die Freiheit,100
2023-03-09 00:00:00,,für das Grundgesetz,49
2023-07-05 00:00:00,Gesellschaft für bedrohte Völker Region Karlsruhe,Gedenktag an das Massaker in Urumqui (Ostturkestan/China),50
2023-03-14 00:00:00,Catcalls of Karlsruhe,Catcalls of Karlsruhe kreiden an,2
2023-03-22 00:00:00,Catcalls of Karlsruhe,Catcalls of Karlsruhe kreiden an,2
2023-03-24 00:00:00,,Rassismus,25
2023-04-01 00:00:00,,Rassismus,20
2023-03-24 00:00:00,Arbeitskreis Migration & Integration Bündnis 90/Die Grünen,Nouruz ist das Neujahrsfest,10
