Versammlungen Potsdam 2021,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2021-04-13 00:00:00,16:00 - 18:00,Potsdam,Zeit für Taten - wir lassen uns nicht länger hinhalten,50,Steinstraße 104-106
2021-04-06 00:00:00,17:00 - 18:00,Potsdam,Autokorso - Driving 4 Future,150,Innenstadt Potsdam
2021-04-08 00:00:00,15:00 - 18:00,Potsdam,Mahnwache zum Thema Sichere Bildung und NoCovid,15,Alter Markt
2021-05-01 00:00:00,10:00 - 15:00,Potsdam,1. Mai Demo - Solidarität ist Zukunft,500,"Bassinplatz, Alter Markt, Luisenplatz"
2021-04-17 00:00:00,13:00 - 20:00,Potsdam,Ausübung uneingeschränkter Reloigionsfreiheit / Gottesdienste,50,Lustgarten
2021-03-31 00:00:00,15:00 - 18:00,Potsdam,Mahnwache zum Thema Sichere Bildung und NoCovid,15,Alter Markt
2021-03-30 00:00:00,17:00 - 18:00,Potsdam,Für den Erhalt der Kultur in der CORONA-Zeit,20,Mövenstraße 2a
2021-03-31 00:00:00,17:00 - 18:00,Potsdam,Für den Erhalt der Kultur in der CORONA-Zeit,20,Mövenstraße 2a
2021-04-01 00:00:00,17:00 - 18:00,Potsdam,Für den Erhalt der Kultur in der CORONA-Zeit,20,Mövenstraße 2a
2021-04-03 00:00:00,17:00 - 18:00,Potsdam,Für den Erhalt der Kultur in der CORONA-Zeit,20,Mövenstraße 2a
2021-04-05 00:00:00,17:00 - 18:00,Potsdam,Für den Erhalt der Kultur in der CORONA-Zeit,20,Mövenstraße 2a
2021-04-06 00:00:00,17:00 - 18:00,Potsdam,Für den Erhalt der Kultur in der CORONA-Zeit,20,Mövenstraße 2a
2021-04-07 00:00:00,17:00 - 18:00,Potsdam,Für den Erhalt der Kultur in der CORONA-Zeit,20,Mövenstraße 2a
2021-04-08 00:00:00,17:00 - 18:00,Potsdam,Für den Erhalt der Kultur in der CORONA-Zeit,20,Mövenstraße 2a
2021-04-09 00:00:00,17:00 - 18:00,Potsdam,Für den Erhalt der Kultur in der CORONA-Zeit,20,Mövenstraße 2a
2021-04-10 00:00:00,17:00 - 18:00,Potsdam,Für den Erhalt der Kultur in der CORONA-Zeit,20,Mövenstraße 2a
2021-04-06 00:00:00,16:45 - 18:00,Potsdam,Gegen die Abschiebung nach Afghanistan,80,Alter Markt / Steubenplatz
2021-04-15 00:00:00,15:00 - 18:00,Potsdam,Mahnwache zum Thema Sichere Bildung und NoCovid,15,Am Alten Markt 1 in 14467 Potsdam
2021-04-22 00:00:00,15:00 - 18:00,Potsdam,Mahnwache zum Thema Sichere Bildung und NoCovid,15,Am Alten Markt 1 in 14467 Potsdam
2021-04-29 00:00:00,15:00 - 18:00,Potsdam,Mahnwache zum Thema Sichere Bildung und NoCovid,15,Am Alten Markt 1 in 14467 Potsdam
2021-04-12 00:00:00,18:00 - 20:00,Potsdam,"Kundgebung für Frieden, Freiheit und Freundschaft",50,Freifläche am Filmmuseum
2021-04-19 00:00:00,18:00 - 20:00,Potsdam,"Kundgebung für Frieden, Freiheit und Freundschaft",50,Freifläche am Filmmuseum
2021-04-26 00:00:00,18:00 - 20:00,Potsdam,"Kundgebung für Frieden, Freiheit und Freundschaft",50,Freifläche am Filmmuseum
2021-05-03 00:00:00,18:00 - 20:00,Potsdam,"Kundgebung für Frieden, Freiheit und Freundschaft",50,Freifläche am Filmmuseum
2021-05-10 00:00:00,18:00 - 20:00,Potsdam,"Kundgebung für Frieden, Freiheit und Freundschaft",50,Freifläche am Filmmuseum
2021-05-17 00:00:00,18:00 - 20:00,Potsdam,"Kundgebung für Frieden, Freiheit und Freundschaft",50,Freifläche am Filmmuseum
2021-06-07 00:00:00,18:00 - 20:00,Potsdam,"Kundgebung für Frieden, Freiheit und Freundschaft",50,Freifläche am Filmmuseum
2021-06-14 00:00:00,18:00 - 20:00,Potsdam,"Kundgebung für Frieden, Freiheit und Freundschaft",50,Freifläche am Filmmuseum
2021-06-21 00:00:00,18:00 - 20:00,Potsdam,"Kundgebung für Frieden, Freiheit und Freundschaft",50,Freifläche am Filmmuseum
2021-06-28 00:00:00,18:00 - 20:00,Potsdam,"Kundgebung für Frieden, Freiheit und Freundschaft",50,Freifläche am Filmmuseum
2021-04-10 00:00:00,11:30 - 13:30,Potsdam,"Interreligiöse Aussenandacht ""Friedenslicht Falkensee zu Gast in Potsdam""",50,Vorplatz Brandenburger Tor
2021-04-13 00:00:00,17:00 - 20:30,Potsdam,Driving 4 Future,150,Innenstadt Potsdam
2021-04-17 00:00:00,13:00 - 17:00,Potsdam,Gegen die ungerechte CORONA-Politik und klare Kante gegen CORONA-Kritik,200,Filmmuseum/Breite Straße
2021-04-17 00:00:00,13:00 - 15:00,Potsdam,NoCovid trifft Sichere Bildung,50,Alter Markt 1
2021-04-24 00:00:00,13:00 - 15:00,Potsdam,NoCovid trifft Sichere Bildung,50,Alter Markt 2
2021-04-27 00:00:00,11:30 - 13:30,Potsdam,Protest wegen der Ausländerbehörde Potsdam,50,"F.-Ebert-Straße 79-81, Rathaus"
2021-04-15 00:00:00,,Potsdam,Spontandemo Mietendeckel in Potsdam,50,Rathaus Potsdam
2021-04-17 00:00:00,15:00 - 16:00,Potsdam,Mahnwache für einen getöteten Radfahrer,20-30,Am Nuthedamm / Am Buchhorst
