Versammlungen Potsdam 2022,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
02.07.2022,16:00 - 20:00,Potsdam,Pride Potsdam / Regenbogen-Fahhrad-Demonstration,300,Innenstadt Potsdam
13.08.2022,12:00 - 19:00,Potsdam,Gedenkveranstaltung in Erinnerung an den Bau der Berliner Mauer,150,NIKE / Glienicker Brücke Potsdam
03.01.2022,18:00 - 20:00,Potsdam,"Frieden, Freiheit und Freundschaft. Grundlage des Zusammenlebens.",100,Platz zwischen Filmmuseum und Haltestelle Schloß
10.01.2022,18:00 - 20:00,Potsdam,"Frieden, Freiheit und Freundschaft. Grundlage des Zusammenlebens.",100,Platz zwischen Filmmuseum und Haltestelle Schloß
17.01.2022,18:00 - 20:00,Potsdam,"Frieden, Freiheit und Freundschaft. Grundlage des Zusammenlebens.",100,Platz zwischen Filmmuseum und Haltestelle Schloß
24.01.2022,18:00 - 20:00,Potsdam,"Frieden, Freiheit und Freundschaft. Grundlage des Zusammenlebens.",100,Platz zwischen Filmmuseum und Haltestelle Schloß
31.01.2022,18:00 - 20:00,Potsdam,"Frieden, Freiheit und Freundschaft. Grundlage des Zusammenlebens.",100,Platz zwischen Filmmuseum und Haltestelle Schloß
07.01.2022,16:00 - 18:00,Potsdam,"Neuejahres-Auftaktaktion von FFF ""2022 und wir stehen immer noch hier""",100,Steubenplatz Potsdam
08.01.2022,15:00 - 17:00,Potsdam,Für ein Miteinander. Gesicht zeigen gegen gesellschaftliche Ausgrenzung [...],250,Platz der Einheit
03.01.2022,18:00 - 20:00,Potsdam,Demonstration gegen die geplante Impfpflicht gegn das SARS-CoV-2 Virus,700,Innenstadt Potsdam
03.01.2022,16:30 - 20:00,Potsdam,Gemeinsam für ein solidarisches Potsdam - Gemeinsam gegen Rechts und Schwurbelei,300,Innenstadt Potsdam
06.01.2022,15:00 -18:00,Potsdam,Sichere Bildung für Brandenburg,5,Am Alten Markt 1
13.01.2022,15:00 -18:00,Potsdam,Sichere Bildung für Brandenburg,5,Am Alten Markt 1
20.01.2022,15:00 -18:00,Potsdam,Sichere Bildung für Brandenburg,5,Am Alten Markt 1
27.01.2022,15:00 -18:00,Potsdam,Sichere Bildung für Brandenburg,5,Am Alten Markt 1
10.01.2022,17:00 - 20:00,Potsdam,Für eine solidarische Gesundheitspolitik - Pflegenotstand beenden!,200,Nauener Tor
08.01.2022,10:00 - 14:00,Potsdam,Bildergalerie Corona Informationen,20,Brandenburger Tor
10.01.2022,18:00 - 19:30,Potsdam,Potsdam für eine freie Impfentscheidung,300,Innenstadt Potsdam
30.01.2022,11:00 - 12:00,Potsdam Schwielowsee,"Klimaschutz, Walderhalt, Nachpflanzaktion, Rettet die Waldsiedlung",150,Marktplatz Schwielowsee
10.01.2022,18:00 - 20:00,Potsdam,Mit Solidarität und Aufklärung durch die Corona-Pandemie,100,Brandenburger Straße 18 -19
07.01.2022,10:30 - 12:30,Potsdam,Solidaritätsbekundung für die Bewohner*innen der Josephinen-Wohnanlage,20,"Burgstraße 6 A, 14467 Potsdam"
10.01.2022,19:00 - 21:00,Potsdam,Solidarisch aus der Pandemie - Mit Maske und Abstand gegen Coronaleugner*innen und rechte Propaganda,400,Steubenplatz Potsdam
17.01.2022,18:00 - 19:30,Potsdam,Potsdam für eine freie Impfentscheidung,400,Innenstadt Potsdam
