Versammlungen Potsdam 2020,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
2020-10-03 00:00:00,11:00 - 15:00,Potsdam,keinen öffentl. Cent für die Garnisonkirchenatrappe,1.000 - 3.000,Innenstadt Potsdam
2020-01-24 00:00:00,14:00 - 20:00,Potsdam,stille Mahnwache gegen Altersarmut,20,Luisenplatz
2020-01-06 00:00:00,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz
2020-01-13 00:00:00,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz
2020-01-20 00:00:00,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz
2020-01-27 00:00:00,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz
2020-02-03 00:00:00,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,10,Steubenplatz
2020-02-10 00:00:00,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz
2020-02-17 00:00:00,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz
2020-02-24 00:00:00,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz
2020-03-02 00:00:00,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz
2020-03-09 00:00:00,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz
2020-03-16 00:00:00,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz
2020-03-23 00:00:00,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz
2020-03-30 00:00:00,18:00 - 20:00,Potsdam,Mahnwache für Frieden und Solidarität,20,Steubenplatz
2020-01-01 00:00:00,14:00 - 17:00,Potsdam,Verkehrswende,30,Innenstadt Potsdam
2020-01-15 00:00:00,11:00 - 13:30,Potsdam,"Gewerkschaftlicher Protest für Transparenz, Mitbestimmung und entfriste…",30,Alter Markt (Fortunaportal)
2020-01-27 00:00:00,11:00 - 12:00,Potsdam,Gedenkveranstaltung,60,Willi-Frohwein-Platz
