Demonstrationen / Versammlungen / Aufzüge 2023,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Lfd Nr.,Datum der Veranstaltung,,Art,Thema,Versammlungsort,Erwartete TN
,,Uhrzeit,,,,
375,2023-11-27 00:00:00,08:00 - 12:00,Versammlung,Mahnwache Untersuchungsausschuss Flut,"Ernst-Ludwig-Platz, 55116 Mainz",10
376,2023-12-02 00:00:00,12:00 - 15:30,Versammlung mit Aufzug,Stoppt den Krieg! Schluss mit dem Bombardement! Nein zu Terror und Unterdrückung! Gegen Rassismus und Antisemitismus!,Strecke,400
377,2023-12-04 00:00:00,09:30 - 10:30,Aufzug,Tarifrunde der Länder,Strecke,300
378,2023-12-08 00:00:00,16:00 - 18:00,Versammlung,Mahnwache Menschenrechte im Iran,Schillerplatz,15-20
379,2023-12-11 00:00:00,15:30-18:30,Versammlung,Notwendigkeit eines guten Postgesetzes,Schillerplatz/Osteiner Hof,8-10
380,2023-12-13 00:00:00,12:30 - 14:00,Versammlung,Landesaufnahmeprogramm sofort,Ernst-Ludwig-Platz/Helmut-Kohl-Platz,10
381,2023-12-22 00:00:00,14:00 - 17:00,Versammlung mit Aufzug,Tierrechte/Massentierhaltung abschaffen!,Strecke,5-8
382,2023-12-08 00:00:00,16:45 - 20:00,Versammlung,"Massentierhaltung, Tierrechte, Tierethik, Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",Rebstockplatz,10
383,2023-12-09 00:00:00,14:30 - 17:00,Versammlung mit Aufzug,Frieden für Palästina,Strecke,200
384,2023-12-07 00:00:00,15:30 - 17:30,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,SWR,5
385,2023-12-14 00:00:00,15:30 - 17:30,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,SWR,5
386,2023-12-21 00:00:00,15:30 - 17:30,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,SWR,5
387,2023-12-28 00:00:00,15:30 - 17:30,Versammlung,Mahnwache für ehrliche und freie Berichterstattung,SWR,5
388,2023-12-15 00:00:00,09:00 - 11:00,Versammlung,"Warnstreik im Rahmen der betrieblichen Tarifbewegung bei der Sensitec GmbH (am Freitag, 15. Dezember 2023). Standort: Walter-Hallstein-Str. 24; 55130 Mainz",Walter-Hallstein-Str. 24; 55130 Mainz,35
389,2023-12-16 00:00:00,11.00 - 20.00,Versammlung mit Aufzug,Monatslauf für Frieden,Strecke,100
390,2023-12-15 00:00:00,15:00 -17:00,Versammlung,Spontanversammlung /Abschaffung Agrardiesel Subvention,Ernst-Ludwig-Platz,200
391,2023-12-30 00:00:00,13:00 - 16:30,Versammlung,Anonymous for the Voiceless - Tierrechtsaktion (Stationär),Betzelsstr./Seppel-Glückert-Str.,30
392,2023-12-30 00:00:00,13:00 - 15:30,Versammlung mit Aufzug,Friedensdemo für Palästina vom Mainzer Hauptbahnhof zum Staatstheater und abschießende Kundgebung vor dem Staatstheater,Strecke,500
393,2023-12-22 00:00:00,06:00 - 08:00,Versammlung,Kürzung der Bundesregierung im Bereich Agrardiesel + KFZ Steuer und entsprechende Äußerungen in der Presse,Diverse Autobahn Zu- u. Abfahrten,100
