Demonstrationen / Versammlungen / Aufzüge 2019,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Lfd Nr.,Datum,Art,Thema,Anmeldedatum,Versammlungsort,Erwartete TN
,,,,,,
1,2019-05-04 00:00:00,Aufzug,Global Mariuana March,2018-08-08 00:00:00,Strecke,400
2,2019-03-08 00:00:00,Aufzug,Womens March - Demo zum Weltfrauen*tag,2018-11-23 00:00:00,Strecke,
3,2019-01-07 00:00:00,Versammlung,Veganismus,2018-12-07 00:00:00,Gutenbergplatz (Denkmalseite),
4,2019-01-19 00:00:00,Versammlung,"Massentierhaltung, Tierrecht, Tierethik, 
Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2018-12-13 00:00:00,Hauptbahnhof,45
5,2019-01-18 00:00:00,Aufzug,#FridaysForFuture - Jugendbewegung: Demonstration gegen die aktuelle Klimapolitik ,2018-12-24 00:00:00,Strecke,400
6,2019-01-05 00:00:00,Aufzug,"Freiheit für Öcalan, Hungerstreik",2019-01-02 00:00:00,Strecke,200-300
7,2019-01-18 00:00:00,Versammlung,Veganismus,2019-01-03 00:00:00,Gutenbergplatz (Denkmalseite),20
8,2019-02-02 00:00:00,Versammlung,Veganismus,2019-01-03 00:00:00,Gutenbergplatz (Denkmalseite),20
9,2019-02-16 00:00:00,Versammlung,Veganismus,2019-01-03 00:00:00,,20
10,2019-01-26 00:00:00,Aufzug,Tierschutz,2019-01-03 00:00:00,Strecke,3-9
11,2019-01-09 00:00:00,Versammlung,"Wir lieben Deutschland - Migrantinnen und Migranten für Deutschland, gegen die AfD, Nachfeier Geburts",2019-01-04 00:00:00,Pfandhaussstraße Ecke Emmeransstraße,50
12,2019-01-12 00:00:00,Versammlung,Für Chinas Seidenstraße,2019-01-09 00:00:00,Seppel-Glückert-Passage Ecke Georg-Moller-Passage,3
13,2019-02-19 00:00:00,Aufzug,Einkommensrunde öD,2019-01-11 00:00:00,Strecke,1500
14,2019-01-23 00:00:00,Versammlung,dbb Jugend Einkommensrunde,2019-01-15 00:00:00,Mittlere Bleiche,7
15,2019-03-07 00:00:00,Versammlung,Menschenkette für Demokratie und Toleranz,2019-01-14 00:00:00,Strecke,30-500
16,2019-01-19 00:00:00,Versammlung,Abtreibungsgegner,2019-01-15 00:00:00,Strecke,6-12
17,2019-01-16 00:00:00,Versammlung,Nur Liebe für ein faires PJ – Aktionstag Mainz,2019-01-16 00:00:00,Unimedizin,200
18,2019-02-02 00:00:00,Aufzug,Recht auf Familiennachzug,2019-01-22 00:00:00,Strecke,50
19,2019-02-26 00:00:00,Aufzug,Warnstreik im Rahmen der Tariverhandlungen TV-L,2019-01-22 00:00:00,Strecke,1000
20,2019-02-16 00:00:00,Versammlung,"Massentierhaltung, Tierrecht, Tierethik, 
Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2019-01-23 00:00:00,Neubrunnenplatz,20
21,2019-02-26 00:00:00,Aufzug,Warnstreik im Rahmen der Tariverhandlungen TV-L,2019-01-25 00:00:00,Strecke,150
22,2019-02-26 00:00:00,Aufzug,Warnstreik im Rahmen der Tariverhandlungen TV-L,2019-01-25 00:00:00,Strecke,300
23,2019-05-01 00:00:00,Versammlung,1. Mai Kundgebung,2019-12-11 00:00:00,Liebfrauenplatz,1000
24,2019-03-01 00:00:00,Versammlung,Fluglärm,2019-01-28 00:00:00,Peter-Altmeier-Allee,40-50
25,2019-02-15 00:00:00,Aufzug,#FridaysForFuture - Jugendbewegung: Demonstration gegen die aktuelle Klimapolitik ,2019-01-28 00:00:00,Strecke,1000
26,2019-02-07 00:00:00,Versammlung,Verdi Warnstreik,2019-02-01 00:00:00,"KMW AG, Kraftwerkalleee 1",150
27,2019-03-16 00:00:00,Aufzug,Internationale Woche gegen Rassismus,2019-01-30 00:00:00,Strecke,30
28,2019-03-16 00:00:00,Versammlung,Veganismus,2019-02-01 00:00:00,Leichhof,15
29,2019-03-30 00:00:00,Versammlung,Veganismus,2019-02-01 00:00:00,Pfandhaussstraße Ecke Emmeransstraße,15
30,2019-02-26 00:00:00,Aufzug,Warnstreik im Rahmen der Tariverhandlungen TV-L,2019-02-04 00:00:00,Strecke,150
31,2019-02-18 00:00:00,Aufzug,"Schulgeldfreiheit für alle Gesundheitsfachberufe, Erhalt der Inklusion",2019-02-06 00:00:00,Strecke,200
32,2019-02-13 00:00:00,Versammlung,Mehr Fahrradwege in Mainz,2019-02-06 00:00:00,Gutenbergplatz (Theaterseite),200
33,2019-02-16 00:00:00,Versammlung,Solidarität mit Venezuela,2019-02-04 00:00:00,Hauptbahnhof,50
34,2019-02-22 00:00:00,Versammlung,Feministischer Streik und Demo Ankündigung,2019-02-06 00:00:00,Gutenbergplatz (Theaterseite),20
