Demonstrationen / Versammlungen / Aufzüge 2018,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Lfd Nr.,Datum,Art,Thema,Anmeldedatum,Versammlungsort,Erwartete TN
,,,,,,
1,2018-05-05 00:00:00,Aufzug,Global Mariuana March,2017-08-23 00:00:00,Strecke,600
2,2018-05-01 00:00:00,Versammlung,1. Mai Demonstration,2017-12-07 00:00:00,Leichhof,500
3,2018-01-06 00:00:00,Versammlung,Solidarität mit dem Iranischen Volk,2018-01-02 00:00:00,Bahnhofplatz,70-100
4,2018-01-06 00:00:00,Aufzug,Demo gegen Tierleid in der Textilindustrie,2018-01-02 00:00:00,Strecke,20
5,2018-01-12 00:00:00,Versammlung,Veganismus,2017-01-03 00:00:00,Gutenbergplatz,20
6,2018-02-09 00:00:00,Versammlung,Fluglärm,2017-01-03 00:00:00,Peter-Altmeier-Allee,40-50
7,2018-01-27 00:00:00,Aufzug,Tierschutz / Massentierhaltung,2018-01-04 00:00:00,Strecke,3-8
8,2018-05-19 00:00:00,Aufzug,Silent Climate Parade,2018-01-03 00:00:00,Strecke,
9,2018-01-08 00:00:00,Versammlung,"Aufklärung, Anerkennung, und Erforschung von ME/CFS",2018-01-03 00:00:00,Dr. Günther-Storch Platz,2-5
10,2018-01-15 00:00:00,Versammlung,"Aufklärung, Anerkennung, und Erforschung von ME/CFS",2018-01-03 00:00:00,Dr. Günther-Storch Platz,2-5
11,2018-01-22 00:00:00,Versammlung,"Aufklärung, Anerkennung, und Erforschung von ME/CFS",2018-01-03 00:00:00,Dr. Günther-Storch Platz,2-5
12,2018-01-29 00:00:00,Versammlung,"Aufklärung, Anerkennung, und Erforschung von ME/CFS",2018-01-03 00:00:00,Dr. Günther-Storch Platz,2-5
13,2018-02-05 00:00:00,Versammlung,"Aufklärung, Anerkennung, und Erforschung von ME/CFS",2018-01-03 00:00:00,Dr. Günther-Storch Platz,2-5
14,2018-02-19 00:00:00,Versammlung,"Aufklärung, Anerkennung, und Erforschung von ME/CFS",2018-01-03 00:00:00,Dr. Günther-Storch Platz,2-5
15,2018-02-26 00:00:00,Versammlung,"Aufklärung, Anerkennung, und Erforschung von ME/CFS",2018-01-03 00:00:00,Dr. Günther-Storch Platz,2-5
16,2018-01-13 00:00:00,Versammlung,Solidarität mit dem Iranischen Volk,2018-01-08 00:00:00,Bahnhofplatz,70-100
17,2018-01-20 00:00:00,Versammlung,Solidarität mit dem Iranischen Volk,2018-01-08 00:00:00,Bahnhofplatz,70-100
18,2018-01-27 00:00:00,Versammlung,Solidarität mit dem Iranischen Volk,2018-01-08 00:00:00,Bahnhofplatz,70-100
19,2018-02-03 00:00:00,Versammlung,Solidarität mit dem Iranischen Volk,2018-01-08 00:00:00,Bahnhofplatz,70-100
20,2018-02-10 00:00:00,Versammlung,Solidarität mit dem Iranischen Volk,2018-01-08 00:00:00,,70-100
21,2018-02-17 00:00:00,Versammlung,Solidarität mit dem Iranischen Volk,2018-01-08 00:00:00,Bahnhofplatz,70-100
22,2018-02-24 00:00:00,Versammlung,Solidarität mit dem Iranischen Volk,2018-01-08 00:00:00,Bahnhofplatz,70-100
23,2018-01-26 00:00:00,Versammlung,Veganismus,2018-01-14 00:00:00,Bahnhofplatz,20
24,2018-01-25 00:00:00,Versammlung,Frieden für Afrin,2018-01-23 00:00:00,Bahnhofplatz,50
25,2018-02-17 00:00:00,Versammlung,Veganismus,2018-01-27 00:00:00,Bahnhofplatz,20
26,2018-02-07 00:00:00,Versammlung,Gegen Krieg in Syrien/Afrin,2018-02-02 00:00:00,Ernst-Ludwig-Platz,100
27,2018-02-03 00:00:00,Versammlung,DEMO gegen salonfähigen Rechtsextremismus,2018-02-02 00:00:00,Gutenbergplatz,20-250
28,2018-02-07 00:00:00,Versammlung,Ja zum Bibelturm,2018-02-07 00:00:00,Jockel-Fuchs-Platz,15
29,2018-05-04 00:00:00,Versammlung,Werte in unserer Gesellschaft,2018-02-07 00:00:00,Bahnhofplatz,40-50
30,2018-05-05 00:00:00,Versammlung,Werte in unserer Gesellschaft,2018-02-07 00:00:00,Emmeransstraße Ecke Pfandhausstraße,40-50
31,2018-02-24 00:00:00,Aufzug,Tierschutz / Massentierhaltung,2018-02-07 00:00:00,Strecke,3-8
32,2018-03-08 00:00:00,Versammlung,Situation der Frauen im Iran,2018-02-20 00:00:00,Gutenbergplatz (Theaterseite),50-60
33,2018-03-09 00:00:00,Versammlung,Veganismus,2018-02-24 00:00:00,Gutenbergplatz (Denmakseite),20
34,2018-03-05 00:00:00,Versammlung,"Aufklärung, Anerkennung, und Erforschung von ME/CFS",2018-02-27 00:00:00,Dr. Günther-Storch Platz,2-5
35,2018-03-12 00:00:00,Versammlung,"Aufklärung, Anerkennung, und Erforschung von ME/CFS",2018-02-27 00:00:00,Dr. Günther-Storch Platz,2-5
