Demonstrationen / Versammlungen / Aufzüge 2020,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
Lfd Nr.,Datum der Veranstaltung,Art,Thema,Anmeldedatum,,Versammlungsort,Erwartete TN
,,,,,,,
26,2020-02-14 00:00:00,Versammlung ,"Massentierhaltung, Tierrecht, Tierethik, 
Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-01-15 00:00:00,,Bahnhofplatz,20
27,2020-02-15 00:00:00,Versammlung ,"Massentierhaltung, Tierrecht, Tierethik, 
Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-01-15 00:00:00,,Bahnhofplatz,20
28,2020-02-28 00:00:00,Versammlung ,"Massentierhaltung, Tierrecht, Tierethik, 
Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-01-15 00:00:00,,Bahnhofplatz,20
29,2020-02-29 00:00:00,Versammlung ,"Massentierhaltung, Tierrecht, Tierethik, 
Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-01-15 00:00:00,,Gutenbergplatz/Denkmalseite ,20
30,2020-02-21 00:00:00,Versammlung ,Fluglärm ,2020-01-15 00:00:00,,Peter-Altmeier-Allee,50-60
31,2020-01-27 00:00:00,Aufzug,Rheinland Pfalz Index zur Refinanzierung der Tariferhöhung im ÖPNV,2020-01-16 00:00:00,,Strecke ,400-500
32,2020-03-07 00:00:00,Versammlung ,Maria 2.0,2020-01-17 00:00:00,,Leichhof,ca. 50 -100
33,2020-04-04 00:00:00,Versammlung ,Maria 2.0,2020-01-17 00:00:00,,Leichhof,ca. 50 -100
34,2020-05-02 00:00:00,Versammlung ,Maria 2.0,2020-01-17 00:00:00,,Leichhof,ca. 50 -100
35,2020-06-06 00:00:00,Versammlung ,Maria 2.0,2020-01-17 00:00:00,,Leichhof,ca. 50 -100
36,2020-01-25 00:00:00,Versammlung ,Frieden ohne Gewalt,2020-01-17 00:00:00,,Bahnhofplatz im Anschluss Gutenbergplatz,ca. 100
37,2020-01-19 00:00:00,Versammlung ,Mahnwach für die Uiguren in China,2020-01-18 00:00:00,,Gutenbergplatz ,ca. 30 
38,2020-01-29 00:00:00,Versammlung ,Bauerndemo ,2020-01-13 00:00:00,,"Gutenbergplatz, Markt, Liebfrauenplatz, Rheinufer, Ernst-Ludwig-Platz",mehrere 100
39,2020-03-14 00:00:00,Aufzug,Bildung ,2020-02-03 00:00:00,,Strecke ab Dr.-Günther-Storch-Platz,200
40,2020-03-28 00:00:00,Aufzug,Bildung ,2020-02-03 00:00:00,,Strecke ab Dr.-Günther-Storch-Platz,200
41,2020-05-23 00:00:00,Versammlung ,"Massentierhaltung, Tierrecht, Tierethik, 
Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-02-04 00:00:00,,Bahnhofplatz,25
42,2020-05-22 00:00:00,Versammlung ,"Massentierhaltung, Tierrecht, Tierethik, 
Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-02-04 00:00:00,,Bahnhofplatz,25
43,2020-03-08 00:00:00,Aufzug,Demonstration zum Weltfrauenkampftag,2019-12-10 00:00:00,,Strecke,400
44,2020-02-27 00:00:00,Versammlung ,Die blutige Wahrheit über Leder,2020-01-31 00:00:00,,Augustinerstraße,8
45,2020-02-22 00:00:00,Versammlung ,Tierschutz/Gegen Massentierhaltung,2020-02-02 00:00:00,,Strecke,3-9
46,2020-02-15 00:00:00,Versammlung ,Nie wieder Faschismus - Nie wieder 33,2020-02-10 00:00:00,,Bahnhofplatz,200
47,2020-03-28 00:00:00,Versammlung ,Wohnen für Menschen statt für Profite,2020-02-06 00:00:00,,Gutenbergplatz,40
48,2020-03-02 00:00:00,Versammlung ,Unterschriftenübergabe Kardinal Marx,2020-02-17 00:00:00,,Markt ,200
49,2020-02-20 00:00:00,Versammlung ,Mahnwache wg. Hanau,2020-02-20 00:00:00,,Bahnhofplatz,50
50,2020-03-13 00:00:00,Aufzug,Fridays For Future - Klimaschutz,2020-02-23 00:00:00,,Strecke,1000
51,2020-03-13 00:00:00,Versammlung ,"Massentierhaltung, Tierrecht, Tierethik, 
Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-02-16 00:00:00,,Bahnhofplatz,20
52,2020-03-14 00:00:00,Versammlung ,"Massentierhaltung, Tierrecht, Tierethik, 
Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-02-16 00:00:00,,Gutenbergplatz Denkmalseite,20
53,2020-03-27 00:00:00,Versammlung ,"Massentierhaltung, Tierrecht, Tierethik, 
Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-02-16 00:00:00,,Bahnhofplatz,20
54,2020-03-28 00:00:00,Versammlung ,"Massentierhaltung, Tierrecht, Tierethik, 
Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-02-16 00:00:00,,Bahnhofplatz,20
