Demonstrationen / Versammlungen / Aufzüge 2020,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
,,,,,,,
Lfd Nr.,Datum der Veranstaltung,Art,Thema,Anmeldedatum,,Versammlungsort,Erwartete TN
,,,,,,,
180,2020-09-20 00:00:00,Versammlung,Maria 2.0,2020-08-17 00:00:00,,Markt,ca. 50 -100
181,2020-08-23 00:00:00,Versammlung,BLM,2020-08-19 00:00:00,,Markt,50
182,2020-09-04 00:00:00,Aufzug,Unterschriftenübergabe Feuerwehrzulage,2020-08-19 00:00:00,,Strecke,15
183,2020-08-28 00:00:00,Versammlung ,Fridays for Future Kundgebung - SOS Amazonas,2020-08-25 00:00:00,,Gutenbergplatz ,40
184,2020-08-30 00:00:00,Versammlung,BLM,2020-08-26 00:00:00,,Markt,50
185,2020-08-27 00:00:00,Versammlung,Bildung ,2020-08-26 00:00:00,,Umfeld Rheingoldhalle,5-10
186,2020-09-04 00:00:00,Aufzug,Gegen die Blockade ziviler Seenotrettung ,2020-08-26 00:00:00,,Strecke,150
187,2020-09-19 00:00:00,Aufzug,Wir sind gegen Streckensperrung und Fahrverbote für Motorräder,2020-08-26 00:00:00,,Strecke,700
188,2020-08-28 00:00:00,Versammlung ,Aktion Schulbus CDU Rheinland-Pfalz,2020-08-26 00:00:00,,Dr.-Günter-Storch-Platz,25
189,2020-09-05 00:00:00,Versammlung ,Hoffnung in der Krise,2020-08-27 00:00:00,,Bahnhofplatz/Gutenbergplatz,50-60
190,2020-09-04 00:00:00,Aufzug,"Radfahren ist siche, wenn viele Rad fahren - Wir sind der Verkehr ",2020-08-28 00:00:00,,Strecke,99
191,2020-09-12 00:00:00,Aufzug,Gegen Polizeigewalt ,2020-08-31 00:00:00,,Strecke ,250
192,2020-09-28 00:00:00,Versammlung,International Safe Abortion Day,2020-08-31 00:00:00,,Markt,50
193,2020-09-04 00:00:00,Versammlung,"Massentierhaltung, Tierrechte, Tierethik, Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-08-30 00:00:00,,Bahnhofplatz,15
194,2020-09-12 00:00:00,Versammlung,"Massentierhaltung, Tierrechte, Tierethik, Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-08-30 00:00:00,,Bahnhofplatz,15
195,2020-09-06 00:00:00,Versammlung,BLM,2020-08-26 00:00:00,,Markt,80
196,2020-09-26 00:00:00,Versammlung,Nachhaltigkeit und Demokratie ,2020-09-04 00:00:00,,Alte Universität,20-30
197,2020-09-09 00:00:00,"Versammlung, Aufzug",Moria brennt - holt die Menschen raus,2020-09-09 00:00:00,,"Gutenbergplatz, Ludwigstraße",50
198,2020-09-26 00:00:00,Versammlung ,Menschlichkeit erleben Gegen Rechts und Verschwörungshetzer ,2020-09-08 00:00:00,,Strecke,300
199,2020-09-16 00:00:00,Versammlung,Änderung des POG - Bodycams in Wohnungen zulassen,2020-09-09 00:00:00,,Rheinufer (gegenüber Rathaus),50
200,2020-09-13 00:00:00,Versammlung,BLM,2020-08-26 00:00:00,,Markt,80
201,2020-09-20 00:00:00,Aufzug ,Kidical Mass: Fahrrad-Demo in der Innenstadt von Mainz im Rahmen eines bundesweiten Aktionsprogramms des ADFC Bund an diesem Wochenende,2020-09-10 00:00:00,,Strecke,50
202,2020-09-18 00:00:00,Versammlung,Werte unserer Gesellschaft,2020-09-11 00:00:00,,Römerpassage,20
203,2020-09-19 00:00:00,Versammlung,Werte unserer Gesellschaft,2020-09-11 00:00:00,,Römerpassage,20
204,2020-09-19 00:00:00,Versammlung / Aufzug,Evakueriung Moria,2020-09-14 00:00:00,,Strecke,200
205,2020-09-18 00:00:00,Versammlung,"Massentierhaltung, Tierrechte, Tierethik, Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-09-14 00:00:00,,Bahnhofplatz,15
206,2020-09-26 00:00:00,Versammlung,"Massentierhaltung, Tierrechte, Tierethik, Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-09-14 00:00:00,,Bahnhofplatz,15
207,2020-09-18 00:00:00,Versammlung,Moria evakuieren,2020-09-14 00:00:00,,Gutenbergplatz,10
208,2020-09-25 00:00:00,Versammlung / Aufzug,Fridays For Future: Globaler Klimastreik,2020-08-01 00:00:00,,Adenauer-Ufer/Strecke,700
209,2020-09-17 00:00:00,Versammlung,Fehlende Haushaltsklarheit - Mehr Geld für Bildung,2020-09-16 00:00:00,,Bereich Rheingoldhalle,5-10
210,2020-09-20 00:00:00,Versammlung,BLM,2020-09-17 00:00:00,,Markt,80
211,2020-09-27 00:00:00,Versammlung,BLM,2020-09-22 00:00:00,,Markt,80
212,2020-09-26 00:00:00,Aufzug,"#Danni bleibt, Kundgebung gegen die Abrodung des Dannenröder Forstes",2020-09-23 00:00:00,,Strecke,6
213,2020-09-27 00:00:00,Versammlung,Solidarität mit der HDP,2020-09-26 00:00:00,,Bahnhofplatz,20
214,2020-09-29 00:00:00,Versammlung,Applaus ist nicht genug,2020-09-25 00:00:00,,Alte Universität,80
215,2020-09-29 00:00:00,Versammlung,Applaus ist nicht genug,2020-09-25 00:00:00,,Bahnhofvorplatz,40
216,2020-09-29 00:00:00,Versammlung,Applaus ist nicht genug,2020-09-25 00:00:00,,Dr.-Günter-Storch-Platz,200
217,2020-10-02 00:00:00,Versammlung,"Massentierhaltung, Tierrechte, Tierethik, Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-09-14 00:00:00,,Bahnhofplatz,15
218,2020-09-30 00:00:00,Versammlung,Mahnwache,2020-09-14 00:00:00,,Chana-Kahn-Str./Catharina-Lothary-Str.,10
219,2020-10-15 00:00:00,Versammlung,Mahnwache,2020-09-29 00:00:00,,Chana-Kahn-Str./Catharina-Lothary-Str.,10
220,2020-10-24 00:00:00,Versammlung,Gemeinsam für das GG,2020-09-10 00:00:00,,Volkspark,500
221,2020-10-11 00:00:00,Versammlung / Aufzug,Solifdarität mit Seenotrettern,2020-09-29 00:00:00,,Strecke,30
222,2020-10-24 00:00:00,Versammlung / Aufzug,"Friedlicher Herbst - Spaziergang für das Grundgesetz & die Menschenrechte und zur Stärkung des Immunsystems, gemeinsam gegen Covid-19/20/21 !",2020-10-01 00:00:00,,Strecke,1500
223,2020-10-01 00:00:00,Versammlung,Warnstreik,2020-10-01 00:00:00,,Gutenbergplatz,15-20
224,2020-10-20 00:00:00,Versammlung ,Warnstreik GEW,2020-10-01 00:00:00,,Schillerplatz,#
225,2020-10-04 00:00:00,Versammlung,BLM,2020-10-01 00:00:00,,Markt,80
226,2020-10-11 00:00:00,Versammlung,BLM,2020-10-01 00:00:00,,Markt,80
227,2020-10-07 00:00:00,Versammlung,Gegen Rückzug des Bistums als Schulträger,2020-10-04 00:00:00,,Bischofsplatz,85
228,2020-10-10 00:00:00,Versammlung,Gegen Hinrichtungen,2020-10-05 00:00:00,,Gutenbergplatz/Theaterseite,30-40
229,2020-10-10 00:00:00,Versammlung,"Massentierhaltung, Tierrechte, Tierethik, Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-10-05 00:00:00,,Rebstockplatz,15
230,2020-10-21 00:00:00,Versammlung / Aufzug,"Demo gegen Sexismus, Rassismus, Diskriminierung und Mobbing durch Lehrkraefte",2020-10-06 00:00:00,,Strecke,150
231,2020-10-29 00:00:00,Versammlung / Aufzug,Ausbildungsplätze im Gesundheitswesen planlos geopfert,2020-10-05 00:00:00,,ELP,50
232,2020-10-13 00:00:00,Versammlung,Tarifrunde Warnstreik,2020-10-09 00:00:00,,Grünanlage Kaiserstraße / Stadthaus,200
233,2020-11-07 00:00:00,Versammlung,Maria 2.0,2020-10-09 00:00:00,,Markt,ca. 50 -100
234,2020-10-16 00:00:00,Versammlung,"Massentierhaltung, Tierrechte, Tierethik, Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-10-11 00:00:00,,Markt,15
235,2020-10-24 00:00:00,Versammlung,"Massentierhaltung, Tierrechte, Tierethik, Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-10-11 00:00:00,,Rebstockplatz,15
236,2020-10-16 00:00:00,Versammlung / Aufzug,Parksituation,2020-10-12 00:00:00,,Lion-Feuchtwangerstr.,30
237,2020-10-18 00:00:00,Versammlung,BLM,2020-10-16 00:00:00,,Markt,80
238,2020-10-20 00:00:00,Versammlung,Gefahrenzone öffentlicher Dienst,2020-10-16 00:00:00,,Bahnhofvorplatz,30
239,2020-10-20 00:00:00,Versammlung,Medienberichterstattung über bürgerliche Opposition  - wir wollen reden!,2020-10-18 00:00:00,,Zufahrt ZDF,100
240,2020-10-20 00:00:00,Versammlung,mRNA-Impfstoff-Massenproduktion bei Biontech ohne Zulassung - wir wollen reden!,2020-10-18 00:00:00,,Grünfläche Jägerstraße,100
241,2020-10-21 00:00:00,Versammlung,Aufklärung zum Thema Corona Fakten,2020-10-18 00:00:00,,Busparkplatz Martin Luther King Weg,200-500
242,2020-10-25 00:00:00,Versammlung / Aufzug,Ja zur Citybahn,2020-08-28 00:00:00,,Strecke,99
243,2020-10-22 00:00:00,Versammlung,Solidarität mit Öcalan,2020-10-20 00:00:00,,Gutenbergplatz,30
244,2020-10-25 00:00:00,Versammlung,BLM,2020-10-22 00:00:00,,Markt,80
245,2020-10-24 00:00:00,Versammlung,Gegen Verschwörungstheorien und Antisimetismus,2020-10-22 00:00:00,,,
246,2020-11-02 00:00:00,Versammlung / Aufzug,Keine Maskenpflicht an Schulen,2020-10-26 00:00:00,,"Bauhofstraße, Ecke hintere Bleiche",50
247,2020-10-30 00:00:00,Versammlung,"Massentierhaltung, Tierrechte, Tierethik, Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-10-26 00:00:00,,Bahnhofvorplatz,15
248,2020-10-31 00:00:00,Versammlung,Protest der Frauen gegen Expansionskrieg in Berg-Karabagh,2020-10-26 00:00:00,,Schillerplatz Osteiner Hof,200
249,2020-10-31 00:00:00,Versammlung,Internationaler Kobane-Tag,2020-10-26 00:00:00,,Schillerplatz Osteiner Hof,60
250,2020-10-30 00:00:00,Versammlung,Weltspartag - klimaschädliche Investitionen,2020-10-28 00:00:00,,Ludwigsstraße 8 - 10,15 
251,2020-10-31 00:00:00,Versammlung,Clubsterben,2020-10-28 00:00:00,,Gutenbergplatz,40
252,2020-11-01 00:00:00,Versammlung,BLM,2020-10-29 00:00:00,,Markt,80
253,2020-11-09 00:00:00,Versammlung,Montagsmeditation ,2020-11-01 00:00:00,,Markt,50
254,2020-11-07 00:00:00,Versammlung,"Massentierhaltung, Tierrechte, Tierethik, Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-11-02 00:00:00,,Rebstockplatz,15
255,2020-11-07 00:00:00,Versammlung / Aufzug,"Lockdown light, Mittelstand zero",2020-11-02 00:00:00,,Strecke,500
256,2020-11-28 00:00:00,Versammlung,"""Lasst und nicht sterben"" - Aktion gegen das Wegsterben der Kulturbranche durch den Corona-Lockdown. Die Maßnahmen sind sinnvoll, aber leider gibt es keine Unterstützung für diese Branche",2020-11-04 00:00:00,,Gutenbergplatz,40
257,2020-11-09 00:00:00,Versammlung / Aufzug,Keine Maskenpflicht und schon gar nicht an Schulen!,2020-11-03 00:00:00,,Strecke,100
258,2020-12-12 00:00:00,Versammlung,40. Todestag von Erwin Tinz,2020-11-04 00:00:00,,Alte Universität,10
259,2020-11-08 00:00:00,Versammlung,BLM,2020-11-05 00:00:00,,Markt,80
260,2020-12-04 00:00:00,Versammlung,Mahnwache,2020-11-05 00:00:00,,Chana-Kahn-Str./Catharina-Lothary-Str.,10
261,15.11.- 16.11.2020,Versammlung,Migrationspakt verhindern ,2020-11-06 00:00:00,,Markt,20
262,2020-11-11 00:00:00,Versammlung,Maskenball statt Karneval - Freiheit trotz Corona,2020-11-09 00:00:00,,ELP,100
263,2020-11-13 00:00:00,Versammlung,"Massentierhaltung, Tierrechte, Tierethik, Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-11-09 00:00:00,,Bahnhofplatz,15
264,2020-11-21 00:00:00,Versammlung,"Massentierhaltung, Tierrechte, Tierethik, Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-11-09 00:00:00,,Rebstockplatz,15
265,2020-11-27 00:00:00,Versammlung,"Massentierhaltung, Tierrechte, Tierethik, Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-11-09 00:00:00,,Bahnhofplatz,15
266,2020-11-14 00:00:00,Versammlung,"Ein Denkmal für Frieden und Freiheit, sowie Volkstrauertag",2020-11-10 00:00:00,,Adenauer-Ufer,20
267,2020-11-28 00:00:00,Versammlung,Corona-Diktatur beenden. Demokratie bewahren. Existenzen sichern,2020-11-10 00:00:00,,An der Goldgrube,2000
268,2020-11-23 00:00:00,Versammlung,Spaziergang mit Kunstobjekten/Ausstellungsstücken zum Thema Klimagerechtigkeit am Rheinufer ,2020-11-06 00:00:00,,Gutenbergplatz,35
269,2020-11-16 00:00:00,Versammlung,Mahnwache/Kundgebung und Migration für Grund- und Menschenrechte,2020-11-11 00:00:00,,Markt,60
270,2020-11-15 00:00:00,Versammlung,BLM,2020-11-12 00:00:00,,Schillerplatz,80
271,2020-11-24 00:00:00,Versammlung,"Massentierhaltung, Tierrechte, Tierethik, Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-11-12 00:00:00,,Gutenbergplatz,35
272,2020-11-19 00:00:00,Versammlung / Aufzug,Für ein Lächeln und die Abschaffung der Maskenpflicht insb. an Schulen!,2020-11-16 00:00:00,,Strecke ,50
273,2020-11-21 00:00:00,Versammlung / Aufzug,Lockdown Light - Mittelstand Zero Erhaltung des Mittelstands,2020-11-16 00:00:00,,Strecke ,1000
274,2020-11-22 00:00:00,Versammlung,BLM,2020-11-17 00:00:00,,Markt,80
275,2020-11-21 00:00:00,Versammlung,Gegen das PKK-Verbot,2020-11-18 00:00:00,,Schillerplatz Osteiner Hof,50
276,2020-11-28 00:00:00,Versammlung,"Keine Bühne Verschwörungsideologen und Rechtsextremen: Abstand halten, Maske tragen & Hygieneregeln!",2020-11-18 00:00:00,,Platz der Mainzer Republik / Jupiter Säule (Gegenüber dem Ernst-Ludwig-Platz),50
277,2020-11-18 00:00:00,Versammlung,Frieden Freiheit Liebe,2020-11-18 00:00:00,,Ernst-Ludwig-Platz,15
278,2020-11-23 00:00:00,Versammlung,Räumung Dannenröder Forst,2020-11-19 00:00:00,,Schillerplatz,30
279,2020-11-24 00:00:00,Versammlung,"Massentierhaltung, Tierrechte, Tierethik, Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-11-19 00:00:00,,Bahnhofplatz,15
280,2020-11-23 00:00:00,Versammlung,Mahnwache/Kundgebung und Migration für Grund- und Menschenrechte,2020-11-20 00:00:00,,Markt,60
281,2020-11-26 00:00:00,Versammlung / Aufzug,Für ein Lächeln und die Abschaffung der Maskenpflicht insb. an Schulen!,2020-11-20 00:00:00,,Strecke,50
282,2020-11-28 00:00:00,Versammlung,Maske und Abstand! Keine Bühne den Verschwörungsmythen!,2020-11-23 00:00:00,,Kurfürstliches Schloss,150
283,2020-11-24 00:00:00,Versammlung,,2020-11-23 00:00:00,,Gutenbergplatz,50
284,2020-11-26 00:00:00,Versammlung,Die-In zum Thema Klimawandel,2020-11-17 00:00:00,,"Gutenbergplatz, Schillerplatz, Bahnhofvorplatz",12
285,2020-11-28 00:00:00,Versammlung,Trotz alledem! - Für einen antifaschistischen Widerstand auch während Covid-19,2020-11-26 00:00:00,,Petersplatz,50
286,2020-11-28 00:00:00,Versammlung,Kundgebung zur Rettung des Dannenröder Waldes,2020-11-26 00:00:00,,"Schillerplatz, Neubrunnenplatz, Römerpassage",15
287,2020-12-05 00:00:00,Versammlung,Alarmstufe rot - Demo der Veranstaltungswirtschaft RLP,2020-11-26 00:00:00,,ELP,200
288,2020-12-05 00:00:00,Aufzug,Traktordemo,2020-05-25 00:00:00,,Strecke,20-40
289,2020-12-05 00:00:00,Aufzug,Autodemo gegen Corona,2020-04-20 00:00:00,,Gutenbergplatz Theaterseite,100-1000
290,2020-11-30 00:00:00,Versammlung,Mahnwache/Kundgebung und Migration für Grund- und Menschenrechte,2020-11-27 00:00:00,,Markt,60
291,2020-12-10 00:00:00,Versammlung,Tag der Menschrechte/Wahrung der Menschenrechte,2020-11-27 00:00:00,,Liebfrauenplatz + evtl. Markt,40-60
292,2020-12-05 00:00:00,Versammlung,"Massentierhaltung, Tierrechte, Tierethik, Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-11-30 00:00:00,,Rebstockplatz,15
293,2020-12-11 00:00:00,Versammlung,"Massentierhaltung, Tierrechte, Tierethik, Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-11-30 00:00:00,,Bahnhofplatz,15
294,2020-12-19 00:00:00,Versammlung,"Massentierhaltung, Tierrechte, Tierethik, Umwelt, Klimawandel, Veganismus, Ernährung und Gesundheit",2020-11-30 00:00:00,,Rebstockplatz,15
295,2020-12-07 00:00:00,Versammlung,Kundgebung zur Räumung des Dannenröder Forst,2020-12-01 00:00:00,,Schillerplatz,30
296,2020-12-24 00:00:00,,Heilig Abend im Park mit und unter Freunden!,2020-12-01 00:00:00,,Volkspart,200
297,2020-12-11 00:00:00,Versammlung,FFF,2020-12-02 00:00:00,,Gutenbergplatz,30
298,2020-12-12 00:00:00,Versammlung,Mahnwache gegen Wahnmache,2020-12-02 00:00:00,,Schillerplatz,40
299,2020-12-12 00:00:00,Versammlung,"Mahnwache ""Kein Weihnachten in Moria"", eine Veranstaltung von PAX Christi in Kooperation mit Save me, MIA, BdKJ Mainz, KaJo",2020-12-03 00:00:00,,Petersplatz,30-50
300,2020-12-09 00:00:00,Versammlung,"Wärme für alle, Lager evakuieren",2020-12-08 00:00:00,,Bahnhof,5
301,2020-12-12 00:00:00,Versammlung,Gedenken Obdachlose,2020-05-05 00:00:00,,Staatstheater,15
302,2020-12-23 00:00:00,Versammlung,Greenpeace,2020-11-26 00:00:00,,Markt,10
303,,,,,,,
304,,,,,,,
305,,,,,,,
306,,,,,,,
307,,,,,,,
308,,,,,,,
309,,,,,,,
310,,,,,,,
311,,,,,,,
312,,,,,,,
