Demonstrationen / Versammlungen / Aufzüge 2022,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Lfd Nr.,Datum der Veranstaltung,Art,Thema,Anmeldedatum,Versammlungsort,Erwartete TN
,,,,,,
1,2022-01-03 00:00:00,Aufzug,Schilderlauf gegen gesellschaftliche Spaltung,2021-12-21 00:00:00,Strecke,200
2,2022-01-15 00:00:00,Versammlung,Greenpeace Waldschutz Mahnwache,2021-12-28 00:00:00,Markt,15
3,2022-01-10 00:00:00,Aufzug,Schilderlauf gegen gesellschaftliche Spaltung,2021-12-21 00:00:00,Strecke,200
4,2022-01-17 00:00:00,Aufzug,Schilderlauf gegen gesellschaftliche Spaltung,2021-12-21 00:00:00,Strecke,200
5,2022-01-24 00:00:00,Aufzug,Schilderlauf gegen gesellschaftliche Spaltung,2021-12-21 00:00:00,Strecke,200
6,2022-01-10 00:00:00,Versammlung mit Aufzug,Somalische Bürger,2021-12-30 00:00:00,ELP,200
7,2022-01-08 00:00:00,Versammlung,"Mahnwache für Lützerath -Für Klimagerechtigkeit und gegen Umweltzerstörung, Menschenverachtung und unverantwortliche Politik",2022-01-02 00:00:00,Bahnhofvorplatz,15
8,2022-01-10 00:00:00,Versammlung,"Gegen Schwurbeler:innen, Querdenker:innen. Esos, Faschos",2022-01-03 00:00:00,ELP,100
9,2022-01-17 00:00:00,Versammlung,"Gegen Schwurbeler:innen, Querdenker:innen. Esos, Faschos",2022-01-03 00:00:00,ELP,100
10,2022-01-24 00:00:00,Versammlung,"Gegen Schwurbeler:innen, Querdenker:innen. Esos, Faschos",2022-01-03 00:00:00,ELP,100
11,2022-01-31 00:00:00,Versammlung,"Gegen Schwurbeler:innen, Querdenker:innen. Esos, Faschos",2022-01-03 00:00:00,ELP,100
12,2022-01-03 00:00:00,Versammlung,.,2022-01-03 00:00:00,Gutenbergplatz/Theaterseite,20
13,2022-01-29 00:00:00,Versammlung,Frieden ohne Gewalt,2022-01-06 00:00:00,Bahnhofplatz,30
14,2022-01-28 00:00:00,Versammlung,"Ein Dank fürs Impfen - Wir sind eine studentische, zivilgesellschaftliche Versammlung, die sich für die Corona-Politik ausspricht.",2022-01-06 00:00:00,Volkspark,30
15,2022-02-15 00:00:00,Versammlung mit Aufzug,Erhöhung der Feuerwehrzulage,2022-01-10 00:00:00,ELP / Strecke ,50
16,2022-01-27 00:00:00,Versammlung,Gedenken an die ermordeten queeren Menschen durch das NS-Regime,2022-01-11 00:00:00,ELP,100
17,2022-02-18 00:00:00,Versammlung mit Aufzug,Antirassistische Demo anlässlich des Jahrestages von Hanau,2022-01-12 00:00:00,Strecke ,200
18,2022-05-01 00:00:00,Versammlung,1. Mai Kundgebung des DGB,2022-01-13 00:00:00,"Liebfrauenplatz, Markt, Leichhof",300-500
19,2022-01-17 00:00:00,Versammlung,Wider den Covidioten,2022-01-14 00:00:00,Gutenbergplatz,10
20,2022-03-11 00:00:00,Versammlung mit Aufzug,Taxonomie- Greenwashing von Atom- und Gasverstromung,2022-01-18 00:00:00,Strecke ,500
21,2022-01-24 00:00:00,Versammlung,"Solidarität in Zeiten der Pandemie, wider Fake und Verschwörungsmythen",2022-01-18 00:00:00,Gutenbergplatz/Theaterseite,30
22,2022-01-31 00:00:00,Versammlung,"Solidarität in Zeiten der Pandemie, wider Fake und Verschwörungsmythen",2022-01-18 00:00:00,Gutenbergplatz/Theaterseite,30
23,2022-02-07 00:00:00,Versammlung,"Solidarität in Zeiten der Pandemie, wider Fake und Verschwörungsmythen",2022-01-18 00:00:00,Gutenbergplatz/Theaterseite,30
24,2022-02-14 00:00:00,Versammlung,"Solidarität in Zeiten der Pandemie, wider Fake und Verschwörungsmythen",2022-01-18 00:00:00,Gutenbergplatz/Theaterseite,30
25,2022-02-21 00:00:00,Versammlung,"Solidarität in Zeiten der Pandemie, wider Fake und Verschwörungsmythen",2022-01-18 00:00:00,Gutenbergplatz/Theaterseite,30
