Demonstrationen / Versammlungen / Aufzüge 2021,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Lfd Nr.,Datum der Veranstaltung,Art,Thema,Anmeldedatum,Versammlungsort,Erwartete TN
,,,,,,
1,2021-01-24 00:00:00,Versammlung,Klimaentscheid Mainz,2020-12-11 00:00:00,Gutenbergplatz,30
2,2021-02-13 00:00:00,Versammlung,"Impfen-Kleiner Piks, große (Neben)Wirkung",2021-01-04 00:00:00,"An der Goldgrube 12, 55131 Mainz/Jägerstr.",200
3,2021-01-06 00:00:00,Versammlung,Lipa evakuieren,2021-01-04 00:00:00,Raimunditor,15
4,2021-01-07 00:00:00,Versammlung,Lipa evakuieren,2021-01-04 00:00:00,Raimunditor,15
5,2021-01-08 00:00:00,Versammlung,Lipa evakuieren,2021-01-04 00:00:00,Raimunditor,15
6,2021-01-11 00:00:00,Versammlung,Grundrecht,2020-12-17 00:00:00,Peter-Altmeier-Alle bis zum Platz der Republik,50
7,2021-01-28 00:00:00,Versammlung,Artenschutz Rheinland-Pfalz,2020-01-05 00:00:00,Ernst-Ludwig-Platz,10
8,2021-03-06 00:00:00,Versammlung,Pflegenotstand beenden! Gesundheitswesen verstaatlichen! Am 6.3.2021,2021-01-06 00:00:00,Gutenbergplatz/Theater,15
9,2021-03-06 00:00:00,Versammlung,Feministischer Kampftag,2021-01-11 00:00:00,Rebstockplatz,1000
10,2021-01-21 00:00:00,Versammlung,Solidarität mit dem ukrainischen Pazifisten Ruslan Kotsaba,2021-01-13 00:00:00,Schillerplatz,10
11,2021-01-23 00:00:00,Versammlung,Gebt die Patente frei - Corona Impfstoff für alle! 23.01.2021,2021-01-18 00:00:00,Jägerstr./An der Goldgrube (Grünfläche),100
12,2021-01-30 00:00:00,Versammlung,Gott bewegt sich in Zeiten von Corona ,2021-01-21 00:00:00,Gutenbergplatz ,15
13,2021-01-30 00:00:00,Versammlung,Pushbacks an den EU-Außengrenzen stoppen,2021-01-22 00:00:00,Bahnhofplatz ,10
14,2021-01-28 00:00:00,Versammlung,Klimapolitishce Mahnwache vor der Landtagssitzung,2021-01-18 00:00:00,,4
15,2021-01-29 00:00:00,Versammlung,Klimapolitishce Mahnwache vor der Landtagssitzung,2021-01-18 00:00:00,,4
16,2021-02-10 00:00:00,Versammlung,Schulen sicher machen! Lehrer*innen und Schüler*innen schützen!,2021-01-25 00:00:00,Dr.-Günther-Storch-Platz,20
17,2021-05-01 00:00:00,Versammlung,1. Mai Kundgebung des DGB,2020-10-14 00:00:00,"Liebfrauenplatz, Markt, Gutenbergplatz, Leichhof",300-500
18,2021-01-27 00:00:00,Aufzug,Aktuelle unausgewogene Berichterstattung in der AZ heute Morgen,2021-01-27 00:00:00,Vor der VRM,max. 200
19,2021-02-03 00:00:00,Versammlung,Die FDP und Ihre wirtschaftliche Verantwortung für Rheinland-Pfalz,2021-01-28 00:00:00,Ernst-Ludwig-Platz,30
20,2021-02-07 00:00:00,Versammlung,Sorge um die Gesundheit von Herrn Abdullah Öcalan,2021-01-29 00:00:00,Markt,100
21,2021-02-28 00:00:00,Versammlung mit Aufzug,KIDICAL MASS: Kinderfahrraddemo ,2021-01-31 00:00:00,Strecke,99
22,2021-02-06 00:00:00,Versammlung,Wir geben den Kindern eine starke Stimme! Bildung in Not! Unternehmer in Not!,2021-02-01 00:00:00,Ernst-Ludwig-Platz,100
23,2021-02-09 00:00:00,Versammlung mit Aufzug,"Demo gegen die Corona-Politik, insbesondere den Lockdown",2021-01-30 00:00:00,Strecke,100
24,2021-02-10 00:00:00,Versammlung," Schließung der Friseurbetriebe im Rahmen des 2. Corona-Lockdown und die daraus entstandene existenziell bedrohliche Situation für das Friseurhandwerk, auch bedingt durch das Ausbleiben finanzieller Unterstützung seitens der Politik",2021-02-02 00:00:00,Ernst-Ludwig-Platz,
25,2021-02-09 00:00:00,Versammlung,Maskenverweigerer stoppen ,2021-02-07 00:00:00,Allianzhaus/Mittlere Bleiche ,30
