lfd. Nr. ,Datum,Ort,Angemeldete Teilnehmer:innen,Thema/Motto
240,2023-04-20 00:00:00,Einkaufszentrum Blockdiek - Günther Hafemann Straße - Bottroper Straße - Recklinghauser Straße - Aachener Straße - Einkaufszentrum Blockdiek,20,Position der MLPD im Bürgerschaftswahlkampf
241,2023-04-20 00:00:00,Marktplatz,30,"Mahnwache für den Frieden, Versöhnung und Abrüstung"
242,2023-04-21 00:00:00,"Domsheide, vor der Hausnummer 8",10,Abrüstung in Bremen
243,2023-04-21 00:00:00,Gerhard-Rohlfs-Straße,30,1.059. Friedenskundgebung
244,2023-04-21 00:00:00,Busbahnhof Bremen-Vegesack ,30,Hat Hoffnung noch Wert?!
245,2023-04-21 00:00:00,"Straßenbahnhaltestelle Kattenturm Mitte - Alfred Faust Straße - Willi hundt Straße - Willhelm Holzmeier Straße - Alfred Faust Straße - Theodor Billroth Stroße beim ""Sonnenhaus""",20,Positionen der MLPD zur Bürgerschaftswahl
246,2023-04-22 00:00:00,"Bahnhofsvorplatz
Domsheide zwischen Glocke und Landgericht
Schlachte/Martinianleger",40,"Jesus ist der Weg, die Wahrheit und das Leben"
247,2023-04-22 00:00:00,Marktplatz,200,Position der MLPD im Bürgerschaftswahlkampf
248,2023-04-22 00:00:00,Vor den Domtreppen,12,Gerechter Frieden im Nahen Osten
249,2023-04-22 00:00:00,Marktplatz,150,Aktion zum internationalen Tag der Abschaffung der Tierversuche
250,2023-04-22 00:00:00,Vor den Domtreppen,50,"Meinen Frieden gebe ich euch, meinen Frieden lasse ich euch"
251,2023-04-22 00:00:00,Ansgarikirchhof,20,Gegen Menschenrechtsverletzung im Iran
252,2023-04-23 00:00:00,Bürgerweide - Altstadt - Neustadt - Marktplatz,1500,Fahrplan Verkehrswende
253,2023-04-25 00:00:00,Gerhard-Rohlfs-Straße / Ecke Sedanplatz,4,Friedensmahnwache
254,2023-04-25 00:00:00,"Sankt Jürgen Straße/ Lüneburger Straße an den Haltestellen (Auftakt_x0002_kundgebung) – Sachsenstraße – Fesenfeld - Friesenstraße – Horner Straße – Humboldtstraße – Wielandstraße (Zwischenkundgebung) – Vor dem Steintor – Fehrfeld – Humboldtstraße, am Dobben",20,Positionen der MLPD zur Bürgerschaftswahl
255,2023-04-25 00:00:00,"Gehweg und Grünstreifen Hollerallee, vor dem Restaurant Cahpeau la Vache",20,Tierqual hinter der Produktion von Stopfleber
256,2023-04-26 00:00:00,Marktplatz,3000,Diskriminierung der Schulen in freier Trägerschaft (monetärer Art) durch die Bremer Bürgerschaft
257,2023-04-26 00:00:00,Marktplatz,250,aktueller Betreuungsnotstand in den Kitas in Bremen
258,2023-04-26 00:00:00,"Wendekreis an der Haltestelle ""Weserwehr""",50,"Frieden, Freiheit, Selbstbestimmung"
259,2023-04-27 00:00:00,Marktplatz,30,"Mahnwache für den Frieden, Versöhnung und Abrüstung"
261,2023-04-28 00:00:00,Klattendiek 4/ Horner Heerstraße (28359 Bremen),10,Stau
262,2023-04-28 00:00:00,Delmemarkt - Lahnstraße - Donaustraße - Pappelstraße - Isarstraße - Lahnstraße - Langemarckstraße - Mainstraße - Delmemarkt,20,Positionen der MLPD zur Bürgerschaftswahl
263,2023-04-28 00:00:00,Gerhard-Rohlfs-Straße,30,1.060. Friedenskundgebung
264,2023-04-28 00:00:00,Domshof,3,Missstände und Versäumnisse in der Klima- und Finanzpolitik Bremens
260,2023-04-29 00:00:00,Bgm. Hildebrand Straße - Bgm. Deichmann Straße - Hansestraße,20,Positionen der MLPD zur Bürgerschaftswahl
265,2023-04-29 00:00:00,Vor den Domtreppen,12,Gerechter Frieden im Nahen Osten
266,2023-04-29 00:00:00,Grasmarkt,15,"Wählst du nicht, verschwinde ich. Deine Demokratie."
267,2023-04-29 00:00:00,Ansgarikirchhof,20,Gegen Menschenrechtsverletzung im Iran
268,2023-04-29 00:00:00,"Findorffmarkt (Auftaktkundgebung) – Eickedorfer Straße – Hollerallee –Am Stern – Schwachhauser Heerstraße – Kurfürstenallee – Kirchbachstr. – Bismarckstraße – Stresemannstraße – Malerstraße - Weserwehr (Zwi schenkundgebung) – Hastedter Osterdeich – Fährstraße – Auf der Hoh wisch – Georg Bitter-Straße – Hastedter Brückenstraße – Carl Castens Brücke – Habenhauser Brückenstraße – Habenhauser Landstraße – Hu ckelriede – Kornstraße – Friedrich Ebert Straße – Pappelstraße/ Delmemarkt (Zwischenkundgebung)– Hohentorsheerstraße – Hohentorstraße – Große Sortillienstraße – Oldenburger Straße – Stephanibrücke – Abfahrt zur Doventorcontrescarpe – Doventorstraße – Diepenau (Zwischenkund gebung) – Doventorstraße – Daniel-von-Büren-Str. – Landwehrstraße – Wartburgstraße – St. Magnus Straße – Utbremer Straße – Waller Heer straße – Waller Ring – Ostefeuerberger Ring – Utbremer Ring – Fürther 
Straße – Eickedorfer Straße – Findorffmarkt (Abschlusskundgebung)
",40,Bremen steht auf fordert
269,2023-04-30 00:00:00,Leibnizplatz - Wilhelm-Kaisen-Brücke - Goetheplatz - St. Jürgen-Straße,250,FLINTA* only Demonstration gegen patriarchale Gewalt
270,2023-05-01 00:00:00,Osterdeich - Viertel - Domshof,5000,1. Mai 2023 
271,2023-05-01 00:00:00,Osterdeich - Lüneburger Straße - Vor dem Steintor - Ostertor Steinweg - Ostertorstraße - Domsheide,100,1. Mai - Internationaler Kampftag der Arbeiterklasse
272,2023-05-01 00:00:00,Bahnhofsvorplatz - Domsheide - Leibnizplatzpark,800,Demonstration internationalistischer & revolutionärer 1. Mai 
273,2023-05-02 00:00:00,Gerhard-Rohlfs-Straße / Ecke Sedanplatz,4,Friedensmahnwache
274,2023-05-02 00:00:00,"Gehwege gegenüber dem Metropol Theaters (Richtweg Höhe Hnrn. 14, 16 und 18, 28195 Bremen)",30,Unterstützung Robert Habeck in der Klimapolitik im Bund
275,2023-05-03 00:00:00,Bahnhofsvorplatz - Aufzug - Marktplatz,1000,"Tarifrunde ""Zusammen geht mehr"""
276,2023-05-03 00:00:00,Berliner Freiheit - Aufzug - Berliner Freiheit,30,"Frieden, Freiheit, Selbstbestimmung"
277,2023-05-04 00:00:00,Marktplatz,3,„Direkte Demokratie/ Mitbestimmung/ Werbung für die Partei dieBasis zur Bürgerschaftswahl 2023
278,2023-05-04 00:00:00,Domshof,50-100,Priorität für Bildung
279,2023-05-04 00:00:00,Marktplatz,30,"Mahnwache für den Frieden, Versöhnung und Abrüstung"
280,2023-05-05 00:00:00,Platz rechts neben der Glocke,3,Direkte Demokratie/ Mitbestimmung/ Werbung für die Partei dieBasis zur Bürgerschaftswahl 2023
281,2023-05-05 00:00:00,"Platz vor dem „Haus des Reichs“, Rudolf Hilferding Platz – Platz vor der Senatorin für Gesundheit, Contrescarpe 72 – Herdentorsteinweg – Schüsselkorb – Violenstraße – Domsheide – Vor dem Haus der Bürgerschaft, Markt platz
",300,Europäischer Aktionstag gegen Diskriminierung und für Gleichstellung behinderter Menschen
282,2023-05-05 00:00:00,Gerhard-Rohlfs-Straße,30,1.061. Friedenskundgebung
283,2023-05-05 00:00:00,Bürgermeister-Koschnick-Platz (28237 Bremen) – Beim Ohlenhof – Köhlerhof – Morgenlandstraße – Seewenjestaße – Halmer Weg – Stralsunder Straße – Bürgermeister-Koschnick-Platz (28237 Bremen),20,Positionen der MLPD zur Bürgerschaftswahl
284,2023-05-06 00:00:00,Bahnhofsplatz Vegesack,40,"Verkehr, Bildung, Wohnen"
285,2023-05-06 00:00:00,Vor den Domtreppen,12,Für einen gerechten Frieden im Nahen Osten
286,2023-05-06 00:00:00,Contrescarpe/ Präsident-Kennedy-Platz,50,Bremer Btonklotz
287,2023-05-06 00:00:00,Rudolf-Hilferding Platz,50,Bildung in Bremen
288,2023-05-06 00:00:00,Grasmarkt,20,"Wir STEHEN FÜR eine demokratische, rechtsstaatliche und offene Gesellschaft, Respekt und Achtung gegenüber allen Menschen und den Erhalt der Grund- und Menschenrechte"
289,2023-05-06 00:00:00,Ansgarikirchhof,20,Tierrechte
290,2023-05-06 00:00:00,Verkehrsinsel vor dem Rembertiring 16 bis 23,15,"Gewoba, vonovia und Co vergesellschaften!"
291,2023-05-06 00:00:00,Vor den Domtreppen,7,Hoffnung und Frieden
292,2023-05-06 00:00:00,Ansgarikirchhof,20,Für Menschenrechte im Iran
293,2023-05-06 00:00:00,Domshof,100,"Bürgerschaftswahl, Klima und Nachhaltigkeit"
294,2023-05-06 00:00:00,Verkehrsinsel vor dem Rembertiring 16 bis 23,15,"Gewoba, vonovia und Co vergesellschaften! - Second Edition"
295,2023-05-07 00:00:00,"Osterdeich, Höhe Weserstation (Auftaktkundgebung) – Osterdeich –Tiefer – Martinistraße – Langenstraße – Marktplatz (Abschlusskund gebung)
",300,Kidical Mass - Straßen sind für alle da
296,2023-05-07 00:00:00,Bahrsplate (Weserstrandstraße 28779),20,Gedenken aus Anlass des 78. Jahrestages der Befreiung vom Krieg und Nazifaschismus
297,2023-05-07 00:00:00,Ulrichsplatz,15,Hanging the Climate
298,2023-05-08 00:00:00,"Grünfläche Osterdeich bei dem Restaurant ""Ahoi""",20,Tierleid der Fischerei
299,2023-05-08 00:00:00,Sedanplatz,3,„Direkte Demokratie/ Mitbestimmung/ Werbung für die Partei dieBasis zur Bürgerschaftswahl 2023
300,2023-05-08 00:00:00,Marktplatz,250,Wahlkampf-Kundgebung
301,2023-05-08 00:00:00,Manhmal an der Reitbrake,50,Gedenkveranstaltung 8. Mai 1945 - Tag der Befreiung
302,2023-05-08 00:00:00,Aufzug durch Gröpelingen,40,8. Mai - Tag der Befreiung vom Faschismus
303,2023-05-08 00:00:00,"Domsheide, rechts neben dem Konzerthaus ""Die Glocke""",30,"Fragen der Sozialpolitik, speziell Hartz IV und Sanktionen und Drangsalierungen, Nein zu Versuchen die Atompolitik wieder lebendig zu machen und den Umstieg auf erneuerbare Energien zu verzögern und zu verwässern. Nein zu Versuchen die Atombewaffnung der Bundeswehr durch die Hintertür durchzusetzen. Widerstand gegen die Aufrüstung zum III, Weltkrieg, Widerstand gegen die reaktionäre Migrationspoltik, für Recht auf Flucht und die solidarische Unterstützung der Geflüchteten auf Kosten der imperialistischen Profitwirtschaft"
304,2023-05-09 00:00:00,Gerhard-Rohlfs-Straße / Ecke Sedanplatz,4,Friedensmahnwache
305,2023-05-10 00:00:00,Grasmarkt,50,90. Jahrestag der Bücherverbrennung
306,2023-05-10 00:00:00,Berliner Freiheit,30,"Frieden, Freiheit, Selbstbestimmung"
307,2023-05-11 00:00:00,Hanseatenhof,3,Wahlkampf-Kundgebung
308,2023-05-11 00:00:00,Liebfrauenkirchhof / Ecke Sögestraße,30,"Mahnwache für den Frieden, Versöhnung und Abrüstung"
309,2023-05-12 00:00:00,Hillmannplatz,3,Wahlkampf-Kundgebung
310,2023-05-12 00:00:00,Gerhard-Rohlfs-Straße,30,1.062. Friedenskundgebung
311,2023-05-12 00:00:00,Ziegenmarkt,20,Tag der Pflege
312,2023-05-12 00:00:00,Wilhelm-Kaisen-Brücke,7,Oligarchen beim Namen nennen
313,2023-05-13 00:00:00,Ansgarikirchhof,3,„Direkte Demokratie/ Mitbestimmung/ Werbung für die Partei dieBasis zur Bürgerschaftswahl 2023
314,2023-05-13 00:00:00,Vor den Domtreppen,12,Für einen gerechten Frieden im Nahen Osten
315,2023-05-13 00:00:00,Ulrichsplatz,5,weltweite Menschenrechtsverletzungen mit Unterschriftensammlung
316,2023-05-13 00:00:00,Hanseatenhof,20,Hoffnung in herausfordernden Zeiten
317,2023-05-13 00:00:00,Fäche vor Kapitel 8,15,"Wählst du nicht, verschwinde ich. Deine Demokratie."
318,2023-05-13 00:00:00,Ansgarikirchhof,20,Für Menschenrechte im Iran
319,2023-05-16 00:00:00,Gerhard-Rohlfs-Straße / Ecke Sedanplatz,4,Friedensmahnwache
320,2023-05-17 00:00:00,Marktplatz – Obernstraße – Am Brill – Bürgermeister-Smidt-Straße –Breitenweg – Bahnhofsplatz – An der Weide – Bahnhofsplatz 22-28,400,Tarifrunden Einzelhandel & Groß- & Außenhandel
321,2023-05-17 00:00:00,Berliner Freiheit (28327),10,"Frieden, Freiheit, Selbstbestimmung"
322,2023-05-18 00:00:00,Bremer Marktplatz,50,Tag des Völkermordes an Eelam Tamilen
323,2023-05-18 00:00:00,Vor den Domtreppen,30,"Meinen Frieden gebe ich euch, meinen Frieden lasse ich euch"
324,2023-05-18 00:00:00,Liebfrauenkirchhof / Ecke Sögestraße,30,"Mahnwache für den Frieden, Versöhnung und Abrüstung"
325,2023-05-19 00:00:00,"Domsheide, vor der Hausnummer 8",10,Abrüstung in Bremen
326,2023-05-19 00:00:00,Bahnhofsplatz Vegesack,40,Hoffnung schöpfen / Vertrauen wagen / Freundlichkeit leben
327,2023-05-19 00:00:00,Ansgarikirchhof,15,Protest gg. Hinrichtungen im Iran
328,2023-05-19 00:00:00,Gerhard-Rohlfs-Straße,30,1.063. Friedenskundgebung
329,2023-05-20 00:00:00,Bürgerweide,20,Tierleid von Zirkustieren
333,2023-05-20 00:00:00,Sögestraße bei den Schweinen,20,Tierschutz
334,2023-05-20 00:00:00,Ansgarikirchhof,20,Für Menschenrechte im Iran
330,2023-05-21 00:00:00,Bürgerweide,20,Tierleid von Zirkustieren
331,2023-05-21 00:00:00,Yorckstraße/ Gastfeldstraße – Kornstraße – Kirchweg – Hardenberg straße – Kirchweg – Kornstraße – Yorckstraße/ Gastfeld,50,Tiere artgerecht halten!
335,2023-05-23 00:00:00,Oberschule an der Koblenzer Straße (28325 Bremen) – Pfälzer Weg – Otto-Brenner-Allee – Sankt-Gotthard-Straße – Schweizer Eck (Markt platz Osterholz) – Walliser Straße – Gesamtschule Bremen Ost – Wal liser Straße – Auf der Schevemoorer Heide – Otto-Brenner-Allee – Pfälzer Weg – Oberschule an der Koblenzer Straße (28325 Bremen),27,Vermeidung von Plastikmüll
336,2023-05-23 00:00:00,Gerhard-Rohlfs-Straße / Ecke Sedanplatz,4,Friedensmahnwache
337,2023-05-24 00:00:00,"Fläche zwischen ""Die Glocke"" und Landgericht",10,"Frieden, Freiheit, Selbstbestimmung"
338,2023-05-25 00:00:00,Marktplatz,5,Hinrichtungen im Iran
339,2023-05-25 00:00:00,Klinikum Links der Weser – Senator Weißling Straße – Theodor Billroth Straße – Senator Weißling Straße - Klinikum Links der Weser,100,Zukunftsperspektive des Klinikum Links der Weser
340,2023-05-25 00:00:00,Liebfrauenkirchhof / Ecke Sögestraße,30,"Mahnwache für den Frieden, Versöhnung und Abrüstung"
341,2023-05-26 00:00:00,Gerhard-Rohlfs-Straße,30,1.064. Friedenskundgebung
332,2023-05-27 00:00:00,Vor den Domtreppen,12,Für einen gerechten Frieden im Nahen Osten
342,2023-05-27 00:00:00,Bahnhofsvorplatz,30,"Restoration of Love, Unity and Peaceful Coexistence in the Community"
343,2023-05-27 00:00:00,Vor den Domtreppen,12,Für einen gerechten Frieden im Nahen Osten
344,2023-05-27 00:00:00,Hanseatenhof,20,Tierleid in der Milchindustrie
345,2023-05-27 00:00:00,Ansgarikirchhof,20,Für Menschenrechte im Iran
346,2023-05-30 00:00:00,Gerhard-Rohlfs-Straße / Ecke Sedanplatz,4,Friedensmahnwache
347,2023-05-30 00:00:00,Platz rechts neben der Glocke,10,"Frieden, Freiheit, Selbstbestimmung"
348,2023-05-31 00:00:00,Vor den Domtreppen,70,Flashmob zum 17. Ziel der UNESCO
349,2023-06-01 00:00:00,Domshof  – Violenstraße – Landgericht – Oster_x0002_torstraße – Ostertorsteinweg – Vor dem Steintor – Ziegenmarkt,50,Klimaschutz ist kein Verbrechen / Gegen die Kriminalisierung der Klimagerechtigkeitsbewegung / Solidarität mider der friedlichen Protestbewegung Letzte Generation
350,2023-06-01 00:00:00,Liebfrauenkirchhof / Ecke Sögestraße,30,"Mahnwache für den Frieden, Versöhnung und Abrüstung"
351,2023-06-02 00:00:00,Gewerkschaftshaus - Hanseatenhof,100,Tarifverhandlungen Einzelhandel
352,2023-06-02 00:00:00,Gerhard-Rohlfs-Straße,30,1.065. Friedenskundgebung
353,2023-06-03 00:00:00,Vor den Domtreppen,12,Mahnwache für einen gerechten Frieden im nahen Osten
354,2023-06-03 00:00:00,Bahnhofsvorplatz,50,Schluss mit dem Angriff auf Maxmur
355,2023-06-03 00:00:00,Grasmarkt,20,"Wir STEHEN FÜR eine demokratische, rechtsstaatliche und offene Gesellschaft, Respekt und Achtung gegenüber allen Menschen und den Erhalt der Grund- und Menschenrechte"
356,2023-06-03 00:00:00,Ansgarikirchhof,25,Gegen Menschenrechtsverletzung im Iran
357,2023-06-03 00:00:00,Platz rechts neben der Glocke,18,"Hoffnung, Lebensfreude"
358,2023-06-03 00:00:00,Domshof,50 - 100,Menschenrechtsverltzungen im Iran
359,2023-06-05 00:00:00,Marktplatz,20,"Weltkriegsgefahr, Umweltpolitik, Bürgergeld"
360,2023-06-06 00:00:00,Gerhard-Rohlfs-Straße / Ecke Sedanplatz,4,Friedensmahnwache
361,2023-06-06 00:00:00,Hollerallee (Gehweg und Grünstreifen),20,Tierqual hinter der Produktion von Stopfleber
362,2023-06-08 00:00:00,Fläche an der Domsheide zwischen dem Konzerthaus Die Glocke und dem Landgericht Bremen,30,"Mahnwache für den Frieden, Versöhnung und Abrüstung"
363,2023-06-09 00:00:00,Gerhard-Rohlfs-Straße,30,1.066. Friedenskundgebung
364,2023-06-10 00:00:00,Vor den Domtreppen,12,Mahnwache für einen gerechten Frieden im nahen Osten
365,2023-06-10 00:00:00,Ansgarikirchhof,20,Tierschutz
366,2023-06-10 00:00:00,"Domsheide zwischen Konzerthaus ""Die Glocke"" und Landgericht",25,Gegen Menschenrechtsverletzung im Iran
367,2023-06-10 00:00:00,Hillmannplatz,150,Marathon der Nächstenliebe
368,2023-06-13 00:00:00,Gerhard-Rohlfs-Straße / Ecke Sedanplatz,4,Friedensmahnwache
369,2023-06-14 00:00:00,"Berliner Freiheit, Platz zwischen Einkaufszentrum, Woolworth und Aalto-Hochhaus",30,Gedenken an die Opfer der NSU-Mordserie
370,2023-06-14 00:00:00,Fläche ggü. Vom Goetheplatz,20,Solidarität mit dem kubanischen Volk
371,2023-06-15 00:00:00,Marktplatz,30,"Mahnwache für den Frieden, Versöhnung und Abrüstung"
372,2023-06-16 00:00:00,Nelson-Mandela-Park,20,Andacht für zwei verstorbene ehemalige Klienten des Vereins für Innere Mission
373,2023-06-16 00:00:00,"Domsheide, vor der Hausnummer 8",10,Abrüstung in Bremen
374,2023-06-16 00:00:00,Bahnhofsplatz Vegesack,40,Hoffnung schöpfen / Vertrauen wagen / Freundlichkeit leben
375,2023-06-16 00:00:00,Gerhard-Rohlfs-Straße,30,1.067. Friedenskundgebung
376,2023-06-17 00:00:00,Vor den Domtreppen,12,Mahnwache für einen gerechten Frieden im nahen Osten
377,2023-06-17 00:00:00,Vor den Domtreppen,30,"Meinen Frieden gebe ich euch, meinen Frieden lasse ich euch"
378,2023-06-17 00:00:00,Ansgarikirchhof,25,Gegen Menschenrechtsverletzung im Iran
379,2023-06-20 00:00:00,Gerhard-Rohlfs-Straße / Ecke Sedanplatz,4,Friedensmahnwache
380,2023-06-21 00:00:00,Hillmannplatz – Bahnhofstr. – Herdentor – Sögestr. – Schüsselkorb – Violenstr. – Domsheide – Balgebrückstr. – Tiefer – Altenwall – Am Wall – Ostertorsteinweg – Vor dem Steintor – Ziegenmarkt ,300,Gegen die neue GEAS Reform (EU Asylrecht)
381,2023-06-22 00:00:00,Marktplatz,30,"Mahnwache für den Frieden, Versöhnung und Abrüstung"
382,2023-06-23 00:00:00,Osterdeich,50,"Klimakrise: Hitze, Dürre, Trinkwasserprobleme, gesundheitliche Folgen"
383,2023-06-23 00:00:00,"Domsheide zwischen Konzerthaus ""Die Glocke"" und Landgericht",50,Kundgebung anlässlich der Ermordung von drei kurdischen Aktivist*innen in Qamislo (Syrien/Rojava) am 19.06.2023 durch einen türkischen Drohnenangriff
384,2023-06-23 00:00:00,Gerhard-Rohlfs-Straße,30,1.068. Friedenskundgebung
385,2023-06-24 00:00:00,Hanseatenhof,10,Krieg in der Ukraine
386,2023-06-24 00:00:00,Vor den Domtreppen,12,Mahnwache für einen gerechten Frieden im nahen Osten
387,2023-06-24 00:00:00,Vor den Domtreppen,30,"Meinen Frieden gebe ich euch, meinen Frieden lasse ich euch"
388,2023-06-24 00:00:00,Ansgarikirchhof,25,Gegen Menschenrechtsverletzung im Iran
389,2023-06-24 00:00:00,Marktplatz,15,Demo gegen Atomwaffen in Belarus & Befreiung politischer Gefangener in Belarus
390,2023-06-26 00:00:00,Hanseatenhof,70,Tarifrunden Einzelhandel & Groß- & Außenhandel 2023
391,2023-06-26 00:00:00,Breitenweg 29-33 (Amt für Soziale Dienste),40,Gedenken an Celal Akan - AsylbLG abschaffen
392,2023-06-27 00:00:00,Gerhard-Rohlfs-Straße / Ecke Sedanplatz,4,Friedensmahnwache
393,2023-06-27 00:00:00,Delmemarkt,30,Gedenken an die Opfer der NSU-Mordserie
394,2023-06-29 00:00:00,Hinterhof DGB-Haus – Emil-Waldmann-Str. – Löningstr. – An der Weide – Bahnhofsplatz – Herdentorsteinweg – Herdentor – Sögestr. – Knochenhauerstr. – Spitzenkiel – Bürgermeister-Smidt-Str. – Obernstr. – Am Dom – Domsheide zwischen Konzert_x0002_haus „Die Glocke“ & Landgericht – Violenstr. – Schlüsselkorb – Sögestr. – Herdentor – Herdentorsteinweg – Bahnhofsplatz,150,Vier Fäuste für Prozente - Mehr Geld für die TÜV Nord-Beschäftigten
395,2023-06-29 00:00:00,Marktplatz,30,"Mahnwache für den Frieden, Versöhnung und Abrüstung"
396,2023-06-30 00:00:00,Gerhard-Rohlfs-Straße,30,1.069. Friedenskundgebung
397,2023-07-01 00:00:00,Vor den Domtreppen,12,Gerechter Frieden im Nahen Osten
398,2023-07-01 00:00:00,Grasmarkt,15,Aufstehen für Demokratie
399,2023-07-01 00:00:00,"Domsheide zwischen Konzerthaus ""Die Glocke"" und Landgericht",14,Hoffnung
400,2023-07-01 00:00:00,"Domsheide zwischen Konzerthaus ""Die Glocke"" und Landgericht",20,aktuelle Hinrichtungen im Iran
401,2023-07-03 00:00:00,Marktplatz,20,"verschiedene Themen: Atom-, Migrations- & Sozialpolitik und Aufrüstung Bundeswehr"
402,2023-07-04 00:00:00,Hollerallee (Gehweg und Grünstreifen),20,Tierqual hinter der Produktion von Stopfleber
403,2023-07-05 00:00:00,Marktplatz,15,Keine Absenkung der Standards in den Kitas
404,2023-07-06 00:00:00,Marktplatz,30,"Mahnwache für Versöhnung, Frieden und Abrüstung"
405,2023-07-07 00:00:00,Klinikum Bremen Ost / Haus im Park,100,Erhalt des Klinikums Links der Weser
406,2023-07-07 00:00:00,Marktplatz - Am Dom - Domsheide - Violenstr. - Schüsselkorb - Sögestr. - Herdentor - Herdentorsteinweg - Bahnhofsplatz - An der Weide,200,Tarifrunden Einzelhandel & Groß- & Außenhandel
407,2023-07-07 00:00:00,Wallanlagen - Innenstadt - Wallanlagen,150,Demo für mehr Trans* Rechte
408,2023-07-07 00:00:00,Gerhard-Rohlfs-Straße / Ecke Breite Straße,30,Friedensmahnwache
409,2023-07-08 00:00:00,Vor den Domtreppen,12,Gerechter Frieden im Nahen Osten
410,2023-07-08 00:00:00,Marktplatz,8,Krieg in der Ukraine
411,2023-07-08 00:00:00,Kreuzung Bahnhofsstraße/ Breitenweg,20,Negativer Einfluss von tierischen Lebensmitteln auf das Klima
412,2023-07-08 00:00:00,Hillmannplatz,80,Eid Al-Ghadir Fest
413,2023-07-13 00:00:00,Marktplatz,30,"Mahnwache für Versöhnung, Frieden und Abrüstung"
414,2023-07-14 00:00:00,Marktplatz,10,Krieg in der Ukraine
415,2023-07-14 00:00:00,Gerhard-Rohlfs-Straße / Ecke Breite Straße,30,Friedensmahnwache
416,2023-07-15 00:00:00,Vor den Domtreppen,10,Krieg in der Ukraine
417,2023-07-15 00:00:00,Vor den Domtreppen,12,Gerechter Frieden im Nahen Osten
418,2023-07-15 00:00:00,Flughafendamm (Gehweg und Grünstreifen),50,Unterbringung minderjähriger Geflüchteter in Bremen
419,2023-07-15 00:00:00,Sögestraße bei den Schweinen,7,Bewahrung und Förderung der christlichen Grundwerte
420,2023-07-19 00:00:00,Grasmarkt,10,Krieg in der Ukraine
421,2023-07-20 00:00:00,Grasmarkt,10,Krieg in der Ukraine
422,2023-07-20 00:00:00,Marktplatz,30,"Mahnwache für Versöhnung, Frieden und Abrüstung"
423,2023-07-21 00:00:00,"Domsheide zwischen Konzerthaus ""Die Glocke"" und Landgericht",10,Abrüstung in Bremen
424,2023-07-21 00:00:00,Grasmarkt,10,Krieg in der Ukraine
425,2023-07-21 00:00:00,Bahnhofstraße - Ziegenmarkt,50,Gedenktag Drogengebraucher:innen
426,2023-07-21 00:00:00,Gerhard-Rohlfs-Straße / Ecke Breite Straße,30,Friedensmahnwache
427,2023-07-22 00:00:00,Ulrichsplatz,4,Aktuelle Menschenrechtsverletzungen
428,2023-07-22 00:00:00,Vor den Domtreppen,12,Gerechter Frieden im Nahen Osten
429,2023-07-26 00:00:00,Achim - Mahndorfer Heerstr. - Bahnhof Bremen-Mahndorf,15,Antifa auf Rädern - Gegen die AfD in Verden und anderswo!
430,2023-07-27 00:00:00,Marktplatz,30,"Mahnwache für Versöhnung, Frieden und Abrüstung"
431,2023-07-28 00:00:00,Grasmarkt,10,Krieg in der Ukraine
432,2023-07-28 00:00:00,Bahnhofsplatz Vegesack,40,Hoffnung schöpfen / Vertrauen wagen / Freundlichkeit leben
433,2023-07-28 00:00:00,Gerhard-Rohlfs-Straße / Ecke Breite Straße,30,Friedensmahnwache
434,2023-07-29 00:00:00,Hillmannplatz,200,"Gedenken an den Tod von Husain ibn Ali, einem Enkel des Propheten Mohammed"
435,2023-07-29 00:00:00,Vor den Domtreppen,12,Gerechter Frieden im Nahen Osten
436,2023-07-29 00:00:00,Marktplatz,20,Tierrechte
437,2023-07-29 00:00:00,Ansgarikirchhof,25,Protest gegen Menschenrechtsverletzungen - Gefängnis und Hinrichtung von Regimegegnern im Iran
438,2023-07-29 00:00:00,Vor den Domtreppen,14,Hoffnung und Werte
439,2023-08-03 00:00:00,Marktplatz,30,"Mahnwache für Versöhnung, Frieden und Abrüstung"
440,2023-08-03 00:00:00,Marktplatz,150,Jahrestag des Genozids an den Ezid*innen
441,2023-08-04 00:00:00,"Domsheide zwischen Konzerthaus ""Die Glocke"" und Landgericht",20,Kritik an der Verdrängung christlicher Werte aus Bildung & Gesellschaft
442,2023-08-04 00:00:00,Gerhard-Rohlfs-Straße / Ecke Breite Straße,30,Friedensmahnwache
443,2023-08-05 00:00:00,Ulrichsplatz,10,Menschenrechte
444,2023-08-05 00:00:00,Vor den Domtreppen,12,Gerechter Frieden im Nahen Osten
445,2023-08-05 00:00:00,Grasmarkt,15,Aufstehen für Demokratie
446,2023-08-05 00:00:00,Domsheide - Violenstr. - Bischofsnadel - Wallanlagen - BGM-Mevissen-Weg - Präsident-Kennedy-Platz - Rembertistr. - Rembertiring - Auf den Häfen - Humboldtstr. - St.-Jürgen-Str. - Hamburger Str. - Auf dem Peterswerder - Unterführung Osterdeich - Alfred-Ries-Platz,60,Liebe durch Glauben
447,2023-08-06 00:00:00,Marktplatz,150,Gedenken an Atombombenabwurf auf Hiroshima
448,2023-08-07 00:00:00,Marktplatz,20,"verschiedene Themen: Atom-, Migrations- & Sozialpolitik und Aufrüstung Bundeswehr"
449,2023-08-09 00:00:00,Goetheplatz,50,3. Jahrestag der manipulierten Präsidentschaftswahlen in Belarus
450,2023-08-10 00:00:00,Marktplatz,10,Gemeinsam durch die Krisen der heutigen Zeit
