lfd. Nr. ,Datum,Ort,Angemeldete Teilnehmer:innen,Thema/Motto
60,2023-02-04 00:00:00,Gehwegfläche vor den Domtreppen,12,Mahnwache für einen gerechten Frieden in Palästina
61,2023-02-04 00:00:00,Hanseatenhof,200,Solidarität mit den Iraner:innen im Iran
62,2023-02-04 00:00:00,Goetheplatz - Obernstraße - Marktplatz,200,Bremer Galgomarsch
63,2023-02-04 00:00:00,Grasmarkt,20,"Wir STEHEN FÜR eine demokratische, rechtsstaatliche und offene Gesellschaft, Respekt und Achtung gegenüber allen Menschen und den Erhalt der Grund- und Menschenrechte"
64,2023-02-04 00:00:00,Ansgarikirchhof,20,Menschenrechtsverletzungen im Iran. Unterstützung des iranischen Volkes
65,2023-02-04 00:00:00,Marktplatz,16,Christliche Werte/Lebenssinn
66,2023-02-05 00:00:00,Waller Friedhof,150,Gedenkkundgebung zur Zerschlagung der Bremer Räterepublik
67,2023-02-07 00:00:00,Gerhard-Rohlfs-Straße / Ecke Sedanplatz,4,Friedensmahnwache
68,2023-02-09 00:00:00,Marktplatz,20,"Mahnwache für Frieden, Versöhnung und Abrüstung"
69,2023-02-10 00:00:00,Aufzug Gewerkschaftshaus - Kita Bremen,50,Tarifrunde im öffentlichen Dienst
70,2023-02-10 00:00:00,Marktplatz,150,Verkehrswende
71,2023-02-10 00:00:00,Gerhard-Rohlfs-Straße,30,1.049. Friedenskundgebung
72,2023-02-11 00:00:00,Marktplatz,20,Aufarbeitung der Verbrechen gegen die tamilische Bevölkerung – Anerkennung des Völkermords an den Tamilen
73,2023-02-11 00:00:00,Marktplatz,1000,Gedenkversammlung anlässlich der Erbebenkatastrophe in Syrien und in der Türkei
74,2023-02-11 00:00:00,Aufzug HBF - Marktplatz,50,Schluss mit Armutslöhnen - Sicherheit für uns und euch
75,2023-02-11 00:00:00,Gehwegfläche vor den Domtreppen,12,Mahnwache für einen gerechten Frieden in Palästina
76,2023-02-11 00:00:00,Hanseatenhof,50,Freilassung von Julian Assange
77,2023-02-11 00:00:00,vor den Domtreppen,30,"Meinen Frieden gebe ich euch, meinen Frieden lasse ich euch"
78,2023-02-11 00:00:00,Wartburgplatz,15,"8. März ist jeden Tag. Feminism fighty every crisis, everyday, everywhere"
79,2023-02-11 00:00:00,Aufzug durch Gröpelingen,50,Für eine gerechte Gesellschaft auf die Straße gehen
80,2023-02-11 00:00:00,Marktplatz,200,Solidarität mit den Protesten im Iran
81,2023-02-13 00:00:00,Aufzug um das KBM,75,Tarifverhandlungen TVöD
82,2023-02-13 00:00:00,Marktplatz,100,Sicherung des Verbesserungsversuchs im ersten juristischen Staats-examen - Protest gegen die geplante Einschränkung durch Änderung des Bremischen Gesetzes über die Juristenausbildung und die erste juristische Prüfung (JAPG)“
83,2023-02-14 00:00:00,Gerhard-Rohlfs-Straße / Ecke Sedanplatz,4,Friedensmahnwache
84,2023-02-14 00:00:00,Marktplatz,1000,Gleichberechtigung der Frauen weltweit - Aufstehen und tanzen gegen Gewalt an Frauen für Wertschätzung und Selbstbestimmung von Frauen
85,2023-02-16 00:00:00,Marktplatz,90,Warnstreik
86,2023-02-16 00:00:00,Marktplatz,20,"Mahnwache für Frieden, Versöhnung und Abrüstung"
87,2023-02-17 00:00:00,Domsheide vor Kapitel 8,10,Abrüstung in Bremen
88,2023-02-17 00:00:00,Gerhard-Rohlfs-Straße,30,1.050. Friedenskundgebung
89,2023-02-18 00:00:00,Gehwegfläche vor den Domtreppen,12,Mahnwache für einen gerechten Frieden in Palästina
90,2023-02-18 00:00:00,Aufzug Bhf - Marktplatz,50,Protest gegen senegalesischen Präsidenten Macky Sall
91,2023-02-18 00:00:00,Ulrichsplatz,15,"8. März ist jeden Tag. Feminism fighty every crisis, everyday, everywhere"
92,2023-02-19 00:00:00,Aufzug durch Gröpelingen,150,Gedenken an die rassistischen Morde in Hanau
93,2023-02-21 00:00:00,Gerhard-Rohlfs-Straße / Ecke Sedanplatz,4,Friedensmahnwache
94,2023-02-22 00:00:00,Marktplatz,50,JA zu besserer Bildung! NEIN zur Ausbildungsumlage!
95,2023-02-22 00:00:00,Jobcenter Bremen / Standort Doventorsteinweg,100,Aktive Mittagspause anlässlich der Tarifverhandlungen TVöD
96,2023-02-22 00:00:00,Aufzug durch Findorff,50,"Frieden, Freiheit, Selbstbestimmung"
97,2023-02-22 00:00:00,Beck's-Brauerei,200,Warnstreik Beck's
98,2023-02-23 00:00:00,"Wallanlagen, Höhe Justizzentrum am Wall",20,Demonstration gegen die queerfeindlichen Äußerungen des Pasoto-ren Latzel anlässlich der Gerichtverhandlung am 23.02.2023 vor dem Oberlandesgericht Bremen
99,2023-02-23 00:00:00,Beck's-Brauerei,200,Warnstreik Beck's
100,2023-02-23 00:00:00,Marktplatz,20,"Mahnwache für Frieden, Versöhnung und Abrüstung"
101,2023-02-24 00:00:00,Grasmarkt,30,Stoppt das Töten in der Ukraine!
