Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4
Datum,Uhrzeit,Thema,Standort,Personenzahl
2021-06-06 00:00:00,15.00-19.00,Verkehrswende,Reventlouwiese/Kiellinie,30
2021-06-07 00:00:00,17.00-18-00,Spaziergang für unsere Grundrechte,Aufzug/Exerzierplatz,30
2021-06-09 00:00:00,12.30-14.30,"FFF, Klimaschutz, Offener Brief der BI Klimanotstand Kiel und Unterstützer*innen an den OB",Rathausplatz,50
2021-06-09 00:00:00,11.30-13.30,IG Metall Warnstreik Kfz-Tarifrunde 2021,Edisonstraße 44/MAN,30-50
2021-06-10 00:00:00,15.30-17.00,Die Kosten der Krise fair und gerecht verteilen - Gleicher Lohn für alle Krankenhaus-Beschäftigten - Tariflohn auch für den Service,Schloßplatz,50
2021-06-12 00:00:00,13.00-18.00,Tag für die Abschaffung der Bundeswehr,Brandenburger Straße vor der Brandtauchermole,10-20
2021-06-12 00:00:00,17.30-21.00,Meine Stadt und kein Zuhaus. Obdachlosigkeit,Medusastraße 14,100
2021-06-14 00:00:00,17.00-18.00,Spaziergang für unsere Grundrechte,Aufzug/Exerzierplatz,40
2021-06-16 00:00:00,12.00-14.00,Protest anlässlich der Gesundheitsministerkonferenz,"Städtisches Krankenhaus, Chemnitzstr. 33",20
2021-06-18 00:00:00,16.00-18.00,Marineübungen Baltops/Defender,Vorplatz Flandernbunker und Gorch Fock-Mole,50
2021-06-18 00:00:00,12.00-14.00,Mahnwache FFF für mehr Klimaschutz,Landtag,20-30
2021-06-19 00:00:00,14.00-17.00,Menschenrechte sind unverhandelbar,Aufzug/Sophienblatt (CDU),300
2021-06-19 00:00:00,17.00 -20.00,Pride month-quer durchs Land-Grundgesetz für Alle,Fahrrademo,250
2021-06-19 00:00:00,13.00-19.00,"Gegen den Angriff des türkischen Mlilitärs  im irakischen Kurdistan, kurdische Lager (Mohmur) und Isolation Abdullah Öcalan",Platz der Kieler Matrosen,30
2021-06-19 00:00:00,13.00-19.00,"Gegen den Angriff des türkischen Mlilitärs  im irakischen Kurdistan, kurdische Lager (Mohmur) und Isolation Abdullah Öcalan",Platz der Kieler Matrosen,30
2021-06-19 00:00:00,11.00-13.30,Aufklärung Gefahren von 5G,Platz der Kieler Matrosen/Europaplatz/Holstenstraße/Holstenbrüc-ke,10-20
2021-06-20 00:00:00,11.00-12.30,Sozialpolitischer Frühschoppen des Sozialverbandes VdK Nord e. V.,MS Stadt Kiel,17
2021-06-21 00:00:00,17.00-18.00,Spaziergang für unsere Grundrechte,Aufzug/Exerzierplatz,30-50
2021-06-25 00:00:00,12.00-14.00,Dringlichkeit des Klimaschutzes und Kritik an unzureichender Klimapolitik,Landtag,5-50
2021-06-28 00:00:00,,Spaziergang für unsere Grundrechte,Aufzug/Exerzierplatz,40
2021-07-02 00:00:00,12.00-14.00,Mahnwache FFF für mehr Klimaschutz,Landtag,50
2021-07-03 00:00:00,15.00-17.30,Klimaschutz in Norddeutschland - Wir müssen jetzt handeln!,Kaistraße/Hauptbahnhof,20-40
2021-07-03 00:00:00,14.00-18.00,Lieber anders bleibt!,Aufzug/Vinetaplatz,250
2021-07-05 00:00:00,17.00-18.00,Spaziergang für unsere Grundrechte,Aufzug/Exerzierplatz,30-50
2021-07-09 00:00:00,12.00-22.00,Parks statt Parkplätze,Metzstraße,100
2021-07-09 00:00:00,14.00-22.00,Parks statt Parkplätze,Adalbertstraße,100
