Datum,Uhrzeit,Thema,Standort,Personenzahl
2022-04-23 00:00:00,11.00-15.00,Mahnwache zur Information zur Landtagswahl,Hörnbrücke/Blauer Engel,100-200
2022-04-24 00:00:00,15.00-16.30,"Gedenkmarsch zum Todesmarsch und ""Arbeitserziehungslager"" Nordmark","Gedenkstein ""Arbeitserziehungslager""",40-100
2022-04-24 00:00:00,15.30-16.30,Mit der Erde stehen - stiller und wahrnehmender Aktivismus (öffentliche Meditation),Hiroshimapark,20
2022-04-25 00:00:00,17.30-18.00,Mahnwache für den Frieden,Weinbergkirche,20-30
2022-04-25 00:00:00,18.00,Tükischer Angriff auf Kurdistan mit Chemiewaffen,Bahnhofsplatz,n. n.
2022-04-28 00:00:00,15.00-19.00,Fight Terror - Support Israel!,Beliner Platz/Wasserbecken,10-25
2022-04-29 00:00:00,17.00-22.00,Zum Feiern braucht Mensch kein Auto,Bergstraße,200-300
2022-04-29 00:00:00,17.00-19.00,Friedenssingen ,Lunaplatz,ca. 100
2022-04-29 00:00:00,08.45-10.15,Überreichung gemeinsamer agrarpolitischer Forderungen an Landtagsabgeordnete,Landeshaus,20-50
2022-04-30 00:00:00,10.00-12.00,"Am 08.05. wählen gehen, keine Stimme für Nazis",Exerzierplatz,10
2022-04-30 00:00:00,14.00-20.00,Wahlkampfhöhepunkt Grüne Jugend,Fördeblick-Park,70-80
2022-04-30 00:00:00,21.00-24.00,Schutz der Meere,Aufzug/Klosterplatz,100
2022-04-30 00:00:00,16.00-18.00,Stopp der Palästinenser-Unterdrückung und Angriffe auf die Al-Aqsa-Moschee in Jerusalem ,Aufzug/Bootshafen,400
2022-05-01 00:00:00,05.00-15.00,Tag der Arbeit,Legienstraße/Exerzierplatz,2.500-3.000
2022-05-01 00:00:00,08.30-10.00,Tag der Arbeit,Bootshafen,200
2022-05-01 00:00:00,15.00-16.00,Cinemare Ocean Parade,Welcome Center,100-500
2022-05-01 00:00:00,12.00-17.00,Feiertage auf werktags verschieben,Germaniahafen,100
2022-05-01 00:00:00,09.00-15.00,1. Mai IG Metall,Platz der Kieler Matrosen/Bahnhofsplatz,100
2022-05-02 00:00:00,17.30-18.00,Mahnwache für den Frieden,Weinbergkirche,20-30
2022-05-04 00:00:00,18.00-19.30,R.Lang/O. Nouripur/A. Toure/L. Petersdotter,Reventlouwiese,50-150
2022-05-04 00:00:00,16.00-16.30,Befreiung des AEL Nordmark,ehem. AEL Nordmark,20-30
2022-05-06 00:00:00,17.00.18.30,Wahlkampf SPD,Rathausplatz,500
2022-05-06 00:00:00,13.30-18.00,Landesweiter Klimastreik zur Landtagswahl,Aufzug/Exerzierplatz,7.500
2022-05-06 00:00:00,13.00-14.00,Zubringerdemo zur Fridays for future Kundgebung,CAU-Campus,20-50
2022-05-06 00:00:00,13:15-14.00,Zubringerdemo People for Future Kiel,Am Seefischmarkt 1-5,100-200
2022-05-06 00:00:00,13:15-14.00,Zubringer-Demo Waldorfschule/FFF,Cafe Knuust/Hofholzallee 22,300
2022-05-06 00:00:00,17.30-20.30,Wahlkampf-Abschluss Die Basis,Berliner Platz/Wasserbecken,100-150
2022-05-06 00:00:00,11.00-11.30,Für eine Mietpreisbremse,Landeshaus,10
2022-05-07 00:00:00,10.00-12.00,"Am 08.05. wählen gehen, keine Stimme für Nazis",Exerzierplatz,10
2022-05-07 00:00:00,11.00-12.30,FDP-Abschlussveranstaltung Landtagswahl 2022,Rathausplatz,200
2022-05-07 00:00:00,11.00-13.00,Bessere Bezahlung der Servicebeschäftigten am UKSH - Ver.di fordert von der neuen Landesregierung Rückkehr in den TV der Länder,Aufzug/Platz der Kieler Matrosen,200
2022-05-07 00:00:00,14.30-16.30,Den rechten Wahlkampf durchleuchten! Die Rechten sind nicht die Lösung der Krise!,Berliner Platz/Wasserbecken,30
2022-05-07 00:00:00,12.00-14.00,Tierschutz/gegen Massentierhaltung,Berliner Platz/Wasserbecken,10-25
2022-05-07 00:00:00,16.00-17.00,Gedenken an das Ende des 2. Weltkrieges,Kiel War Cemetry,5-10
2022-05-08 00:00:00,13.30-16.00,Seenotrettung als humanitäre Pflicht,Kiellinie A6/B1,5-10
2022-05-08 00:00:00,15.00-18.00,Frieden im Ukraine-Krieg/Auto-Corso,Aufzug/Exerzierplatz,1-3 Autos
2022-05-09 00:00:00,18.00-21.00,Gedenken an verstorbenen Menschen in Mannheim am 2. Mai,Aufzug/Platz der Kieler Matrosen,60
2022-05-12 00:00:00,10.00-12.00,Streik Sozial- und Erziehungsdienst,Aufzug/Gewerkschaftshaus,ca. 500
