Datum,Uhrzeit,Thema,Standort,Personenzahl
2022-09-23 00:00:00,14.00-19.00,"Klimagerechtigkeit, steigender Meeresspiegel, Fridays for Future",Reventlouwiese + Aufzug,3.000
2022-09-23 00:00:00,13.00-19.00,Lieber Wasser unterm Kiel als Kiel unter Wasser,Kiellinie,40
2022-09-23 00:00:00,13.15-14.00,Globaler Klimastreik,Auzug/Exerzierplatz,100
2022-09-24 00:00:00,14.00-15.00,Gemeinsam für Kinderrechte,Aufzug/Platz der Kinderrechte,25
2022-09-26 00:00:00,18.00-19.30,"""Friedensdemo""",Aufzug/Asmus Bremer-Platz,40
2022-09-27 00:00:00,18.00-20.00,Gegen steigende Energiepreise ,Platz der Kieler Matrosen,100
2022-09-28 00:00:00,17.00-19.00,Safe Abortion Day,Platz der Kieler Matrosen,50-150
2022-09-28 00:00:00,17.00-18.30,Frieden schaffen ohne Waffen,Holstenbrücke Ecke Bootshafen,3
2022-09-28 00:00:00,16.00-18.00,Menschenrechtssituation Iran,Landtag,150-200
2022-09-29 00:00:00,16.00-18.00,Ehrliche und ausgewogene Berichterstattung der Medien,NDR-Landesfunkhaus,20
2022-09-29 00:00:00,16.00-18.00,Ehrliche und ausgewogene Berichterstattung der Medien,Kieler Nachrichten,20
2022-10-01 00:00:00,12.00-18.00,Aufklärung über den politischen Islam,Rathausplatz,25-50
2022-10-01 00:00:00,15.00-17.00,Solidarität mit den Protesten gegen das Mullahregime im Iran,"Aufzug, Platz der Kieler Matrosen",100
2022-10-01 00:00:00,12.00-15.00,Silent Line - Abschaffung der Massentierhaltung,Berliner Platz Wasserbecken,20
2022-10-03 00:00:00,18.00 - 19.30,"""Friedensdemo""","Aufzug, Asmus-Bremer-Platz",50
2022-10-06 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",NDR-Landesfunkhaus,ca. 20
2022-10-06 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",Kieler Nachrichten,ca. 20
2022-10-10 00:00:00,12.30-14.00,Kundgebung OVN,Faluner Weg 2 (Veranstaltungszentrum),300-500
2022-10-12 00:00:00,13.00-17.00,Kurdische Genossen -  Zelt und Unterschriften sammeln,Schevenbrücke,ca. 20
2022-10-13 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",NDR-Landesfunkhaus,ca. 20
2022-10-13 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",Kieler Nachrichten,ca. 20
2022-10-14 00:00:00,17.00-19.00,Solidaritätsbekundung mit der Ukraine,Aufzug/Hauptbahnhof,300-600
2022-10-15 00:00:00,12.50-15.30,"Preise runter, löhne rauf!",Langer Rehm 22/REWE,10
2022-10-17 00:00:00,16.00-18.00,Preise runter - Die Reichen zur Kasse!,Kirchhofallee,5
2022-10-18 00:00:00,17:30-19.00,Gegen Chemiewaffeneinsaätze der Türkei,Hauptbahnhof,50
2022-10-19 00:00:00,13.00-17.00,Kurdische Genossen -  Zelt und Unterschriften sammeln,Asmus-Bremer-Platz,ca.20
2022-10-20 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",NDR-Landesfunkhaus,ca. 20
2022-10-20 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",Kieler Nachrichten,ca. 20
2022-10-21 00:00:00,17.00-19.00,Preise runter - Die Reichen zur Kasse!,Vinetaplatz,50
2022-10-21 00:00:00,14.00-18.00,Wärmewende regional voranbringen,Asmus Bremer-Platz,50
2022-10-22 00:00:00,13.00-16.00,Preise runter - die Reichen zur Kasse!,Aufzug/Schevenbrücke,200
2022-10-22 00:00:00,15.00-16.45,Politik führt uns in die Armut,Aufzug/Asmus Bremer-Platz,50
2022-10-22 00:00:00,15.00-17.00,"Friedensdemo ""die Basis""",Aufzug/Asmus Bremer-Platz,50
2022-10-24 00:00:00,18.00-19.45,Politik führt uns in die Armut,Aufzug/Asmus Bremer-Platz,90
2022-10-23 00:00:00,15:00-17.30,"Coronapolitik, Inflation, Außenpolitik, Deutsche Interessen",Aufzug/Rathausplatz,500
2022-10-26 00:00:00,13.00-17.00,Kurdische Genossen -  Zelt und Unterschriften sammeln,Schevenbrücke,ca.20
2022-10-27 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",NDR-Landesfunkhaus,ca. 20
2022-10-27 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",Kieler Nachrichten,ca. 20
2022-10-27 00:00:00,18.00-19.45,Politik führt uns in die Armut,Aufzug/Asmus Bremer-Platz,60
2022-10-29 00:00:00,16.00-20.00,Iran,Aufzug/Rathausplatz,200-600
2022-10-29 00:00:00,15.00-16.45,Politik führt uns in die Armut,Aufzug/Schevenbrücke,50
2022-10-29 00:00:00,16.00-18.00,Solidarität mit den Iraner*innen im Kampf gegen die Diktatur,Aufzug/Stresemannplatz,400
2022-10-31 00:00:00,18.00-19.45,Politik führt uns in die Armut,Aufzug/Asmus Bremer-Platz,50
2022-11-02 00:00:00,13.00-15.00,Campuskundgebung - Solidarität mit dem Iran,Christian Albrechts-Platz,400
2022-11-02 00:00:00,13.00-17.00,Kurdische Genossen -  Zelt und Unterschriften sammeln,Asmus-Bremer-Platz,ca. 20
2022-11-03 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",NDR-Landesfunkhaus,20-40
2022-11-03 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",NDR-Landesfunkhaus,20-40
2022-11-05 00:00:00,12.00-15.00,Tierwohl,Kichhofallee 68/LIDL,10
2022-11-05 00:00:00,15.00-16.45,Politik führt uns in die Armut,Aufzug/Hafenstraße,40
2022-11-06 00:00:00,15.00-18.00,"Coronapolitik, Inflation, Außenpolitik, Deutsche Interessen",Rathausplatz,500
2022-11-07 00:00:00,19.00-20.00,Mahnwache gegen queerfeindliche Gewalt,Ziegelteich/Hopfenstraße,50
2022-11-07 00:00:00,18.00-19.45,Politik führt uns in die Armut,Aufzug/Hafenstraße,40
2022-11-10 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",NDR-Landesfunkhaus,20-40
2022-11-10 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",Kieler Nachrichten,20-40
2022-11-10 00:00:00,18.00-19.45,Politik führt uns in die Armut,Aufzug/Andreas Gayk-Str./Hafenstr.,30
2022-11-12 00:00:00,15.00-18.00,Solidarität mit Iran,Aufzug/Platz der Kieler Matrosen,1.000-2.000
2022-11-12 00:00:00,15.00-16.45,Politik führt uns in die Armut,Aufzug/Hafenstraße,30
2022-11-14 00:00:00,18.00-19.45,Politik führt uns in die Armut,Aufzug/Exerzierplatz,40
2022-11-16 00:00:00,09.30-10.30,Warnstreik IG Metall,Aufzug/Adolf Westphal-Str.2,300
2022-11-16 00:00:00,09.30-10.30,Warnstreik IG Metall,Aufzug TKMS,1.000
2022-11-16 00:00:00,10.30-14.00,Warnstreik IG Metall,Sternmärsche/Aufzug Platz der Kieler Matrosen/Wilhelmplatz,2500
2022-11-17 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",NDR-Landesfunkhaus,20-40
2022-11-17 00:00:00,16.00-18.00,"Redlicher, unabhängiger und multipolarer Journalismus",NDR-Landesfunkhaus,20-40
