Datum,Uhrzeit,Thema,Standort/Strecke,Personenzahl
18.02.,14.00-17.00,Gegen die Blockade von hilfslieferungen durch die türkische und syrische Regierung - Spendet an den kurdischen roten Halbmond,Asmus Bremer-Platz,50
18.02.,15.00-17.45,Diplomaten statt Waffen,Aufzug/Exerzierplatz,40
19.02.,15.00-17.00,Hanau ist überall - Gedenkveranstaltung,Asmus Bremer-Platz,100
20.02.,18.00-19.45,Diplomaten statt Waffen,Aufzug/Exerzierplatz,30
21.02.,08.00-09.00,Unbefristete Übernahme jetzt oder die Stühle bleiben leer (Fotoaktion),"KAV SH, Reventlouallee 6",9
22.02.,18.00-20.00,Gedenken an die Opfer des Erdbebens in der Südtürkei und Nordsyrien,Rathausplatz,500
22.02.,17.00-18.30,Gegen Verschwörinungideologen Daniele Ganser,Schevenbrücke,50-80
22.02.,15.00-18.00,Hohe Energiekosten,Elisabethstraße 76,10
23.02.,16.30-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),NDR-Landesfunkhaus Schlossplatz,10-20
23.02.,16.30-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),"NDR-Landesfunkhaus
Wall",10-20
24.02.,16.30-19.00,Gedenken an den Beginn des russischen Angriffskrieges,Aufzug/Platz der Kieler Matrosen,1.000-1.500
24.02.,15.00-16.00,1 Jahr Krieg in der Ukraine - wachsende Weltkriegsgefahr,Schevenbrücke,15
24.02.,12.00-17.00,Gegen die Blockade von hilfslieferungen durch die türkische und syrische Regierung - Spendet an den kurdischen roten Halbmond,Asmus Bremer-Platz,10
24.02.,12.00-18.00,Ukraine-Krieg,Holstenplatz,max. 25
25.02.,15.00-18.00,Gehen bald die Lichter aus?,Aufzug/Exerzierplatz,100
27.02.,15.00-18.00,Diplomaten statt Waffen,Aufzug/Exerzierplatz,20
01.03.,07.45-13.00,TVöD Azubi-Streiktag,Rathausplatz,ca. 250
01.03.,17.00-18.30,Gegen Verschwörungsideologen Daniele Ganser,Schevenbrücke,50-80
02.03.,9.00-13.00,Einkommensrunde im öffentlichen Dienst,Aufzug/Wunderino-Arena,ca. 700
02.03.,16.30-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),NDR-Landesfunkhaus,10-20
02.03.,16.30-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),"NDR-Landesfunkhaus
Wall",10-20
02.03.,13.00-17.00,Spenden kurdischer roter Halbmond/Erdbebenhilfe/Internationale Solidarität,Asmus Bremer-Platz,10
03.03.,16.15-18.00,"Parade und Feier anlässlich des fünfjährigen Bestehens des Fantasiestaats ""United Republic of Obscurium""",Aufzug/Bushaltestelle Kastanienallee,ca. 10
03.03.,14.00-18.00,Klimagerechtigkeit,Aufzug/Exerzierplatz,2.000
03.03.,13.30-14.00,Klimagerechtigkeit,Aufzug/Audimax,10
03.03.,13.30-14.00,Klimagerechtigkeit,Aufzug//Melanchtonstraße/Kirch-hofallee,10
03.03.,13.15-14.00,Zubringerdemo People for Future Kiel zur Klimademo,Seefischmarkt 1-5,10
03.03.,13.15-14.00,Klimagerechtigkeit,Aufzug/Waldorfschule Hofholzallee,10
04.03.,12.00-15.00,Abschaffung der Massentierhaltung,Berliner Platz/Wasserbecken,15
04.03.,15.00-18.00,Diplomaten statt Waffen,Aufzug/Exerzierplatz,30
04.03.,08.00-13.00,Jahrestag der Reaktorkatastrophe in Fukushima,Exerzierplatz,20
05.03.,14.00-15.00,Abschiebungen in die Türkei stoppen,Berliner Platz/Wasserbecken,20-30
06.03.,18.00-19.45,Diplomaten statt Waffen,Aufzug/Exerzierplatz,ca. 25
08.03.,17.00-21.01,Wie gefährlich sind Verschwörungstheorien,Aufzug/Exerzierplatz,150
08.03.,16.00-18.30,Feministischer Kampftag/Weltfrauentag,Aufzug/Platz der Kinderrechte,ca. 500
08.03.,08.00-09.30,Lohnerhöhungen beim AWO-KV Kiel,Aufzug/AWO Preetzer Str. 35,120
08.03.,18.00-19.00,Initiative MieterInnen wehren sich,Ostring/H.C. Andersen-Schule,20-50
09.03.,16.30-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),NDR-Landesfunkhaus,10-20
09.03.,16.30-18.00,Ein Zeichen für Ehrlichkeit und Unabhängikeit in den Medien (ARD-Mahnwache),"NDR-Landesfunkhaus
Wall-Brücke",10-20
