Datum,Uhrzeit,Thema,Standort/Strecke,Personenzahl
14.07.,08.00-13.00,Gegen die Gewalt der AfD,Schützenwall 31-35 (vor dem Landgericht),50-100
14.07.,12.30-16.30,Kundgebung für freie Bildung und Bildungsvielfalt,Reventlouwiese an der Kiellinie,20-50
15.07.,15.30-17.30,"Renaturierung als Schlüssel zum Schutz von Küste, Klima und Natur",Kiellinie: Treppen hinter dem Landeshaus (Sektoren C3 + C 4),20-100 
15.07.,11.00-17.00,Verfolgung von Falun Dalfa und die Verbrechen der KP Chinas,Schevenbrücke,3-5
15.07.,15.00-17.45,Politik führt uns in die Armut,Aufzug/Exerzierplatz,30
16.07.,13.00-16.30,Umnutzung von Parkflächen/Kleidungstausch/Vernetzung  der Kielerinnen und Kieler,Exerzierplatz,ca. 30
17.07.,18.00-19.30,Die Ampel muss weg,Auffzug/Exerzierplatz,20
20.07.,16.00-18.00,"Ausgewogene, unabhängige Berichterstattung; Frieden; Freilassung von Julia Assange; grundlegende Reformen beim öffetlich-rechtlichen Rundfunk",NDR-Landesfunkhaus                   Wall-Brücke,max .20
20.07.,16.00-18.00,"Ausgewogene, unabhängige Berichterstattung; Frieden; Freilassung von Julia Assange; grundlegende Reformen beim öffetlich-rechtlichen Rundfunk",NDR-Landesfunkhaus                   Schlossplatz,max. 20
22.07.,15.00-17.30,Diplomaten statt Waffen,Aufzug/Exerzierplatz,30
24.07.,18.00-19.30,Flaschenpfand ist keine Rente,Aufzug/Exerzierplatz,20
27.07.,16.00-18.00,"Ausgewogene, unabhängige Berichterstattung; Frieden; Freilassung von Julia Assange; grundlegende Reformen beim öffetlich-rechtlichen Rundfunk",NDR-Landesfunkhaus                   Wall-Brücke,max .20
27.07.,16.00-18.00,"Ausgewogene, unabhängige Berichterstattung; Frieden; Freilassung von Julia Assange; grundlegende Reformen beim öffetlich-rechtlichen Rundfunk",NDR-Landesfunkhaus                   Schlossplatz,max. 20
28.07.,09:45-11.00,"Volksinitiative ""Rettet den Bürgerentscheid""",Asmus Bremer-Platz,30
29.07.,15.00-17.45,Stoppt Hass und Hetze,Aufzug/Exerzierplatz,30
30.07.,15.50-18.30,Behinderten Stolz Demo,Rathausplatz,500 (-1000)
31.07.,18.00-19.40,Die Ampel muss weg,Auffzug/Exerzierplatz,20
02.08.,08.00-16.00,Gegen die Gewalt der AfD,Schützenwall 31-35 (vor dem Landgericht),50-100
03.08.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie, Freiheit für Julian Assange",NDR-Landesfunkhaus               Schlossplatz,max. 20
03.08.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie, Freiheit für Julian Assange",NDR-Landesfunkhaus             Wall-Brücke,max. 20
05.08.,15.00-18.00,Hände weg von unseren Kindern!,Aufzug/Exerzierplatz,30
05.08.,12.00-15.00,Mahnwache gegen Massentierhaltung,Berliner Platz/Wasserbecken,15
07.08.,18.00-19.30,Die Ampel muss weg,Aufzug/Exerzierplatz,20
10.08.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie, Freiheit für Julian Assange",NDR-Landesfunkhaus               Schlossplatz,max. 20
10.08.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie, Freiheit für Julian Assange",NDR-Landesfunkhaus             Wall-Brücke,max. 20
10.08.,18.00-19.30,Abschiebung (einer queeren Geflüchteten) aus Klinik (nachts in Rickling) - geht's noch?,Aufzug/Schevenbrücke,200
10.08.,12.30-17.00,Gegen die Gewalt der AfD,Schützenwall 31-35 (vor dem Landgericht),50-100
11.08.,14.00-18.00,Gemeinsam durch die Krisen der heutigen Zeit,Bahnhofsplatz,10
11.08.,08.00-16.00,Gegen die Gewalt der AfD,Schützenwall 31-35 (vor dem Landgericht),50-100
12.08.,15.00-18.00,Frieden schaffen ohne Waffen,Aufzug/Exerzierplatz,30
14.08.,08.00-16.00,Gegen die Gewalt der AfD,Schützenwall 31-35 (vor dem Landgericht),50-100
14.08.,18.00-19.30,Flaschenpfand ist keine Rente,Aufzug/Exerzierplatz,20
15.08.,17.00-19.00,2 Jahre Machtübernahme der Taliban in Afghanistan,Aufzug/Wikingerstraße 11,200
17.08.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie, Freiheit für Julian Assange",NDR-Landesfunkhaus               Schlossplatz,max. 20
17.08.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie, Freiheit für Julian Assange",NDR-Landesfunkhaus             Wall-Brücke,max. 20
19.08.,15.00-17.45,Politik führt uns in die Armut,Aufzug/Exerzierplatz,30
19.08.,11.00-17.00,Verfolgung von Falun Dalfa und die Verbrechen der KP Chinas,Schevenbrücke,3-5
19.08.,18.00-19.30,WHO - Klares No,Aufzug/Exerzierplatz,20
23.08.,08.00-16.00,Gegen die Gewalt der AfD,Schützenwall 31-35 (vor dem Landgericht),50-100
24.08.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie, Freiheit für Julian Assange",NDR-Landesfunkhaus               Schlossplatz,max. 20
24.08.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie, Freiheit für Julian Assange",NDR-Landesfunkhaus             Wall-Brücke,max. 20
24.08.,17.00-20.15,Solidartätsbekundung anlässlich des Unabhängigkeitstages der Ukraine,Aufzug/Bahnhofsplatz,200-500
25.08.,14.00-15.30,"Fahrrad-Demo gegen Autobahnausbau, für mehr Fahrradweg und ÖPNV statt Autobahnen",Aufzug/Exerzierplatz,100-500
26.08.,15.00-16.00,Asylrecht verteidigen - Nein zum GEAS,Gartenstraße 27/Büro Luise Amtsberg,50
26.08.,15.00-18.30,WHO - Klares No,Aufzug/Exerzierplatz,30
28.08.,18.00-19.45,Die Ampel muss weg,Aufzug/Exerzierplatz,20
30.08.,17.00-18.00,Gedenktag an in Abscchiebehaft Verstorbene,Bahnhofsbrücke/Hörnbrücke,ca. 50
31.08.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie, Freiheit für Julian Assange",NDR-Landesfunkhaus               Schlossplatz,max. 20
31.08.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie, Freiheit für Julian Assange",NDR-Landesfunkhaus             Wall-Brücke,max. 20
01.09.,16.00-17.00,Gegen die wachsende Weltkriegsgefahr,Schevenbrücke,10
01.09.,15:50-18:30,Antikriegstag,Schevenbrücke,30
02.09.,15.00-18.30,Hände weg von unseren Kindern!,Aufzug/Exerzierplatz,30
02.09.,12.00-15.00,Silent Line - Abschaffung der Massentierhaltung,Holtenauer Str. 146-150,15
04.09.,18.00-19.30,Flaschenpfand ist keine Rente,Aufzug/Exerzierplatz,20
07.09.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie, Freiheit für Julian Assange",NDR-Landesfunkhaus               Schlossplatz,max. 20
07.09.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie, Freiheit für Julian Assange",NDR-Landesfunkhaus             Wall-Brücke,max. 20
09.09.,09.00-17.00,Fellows Ride - mit offenem Visier für Depressionshilfe und mentale Gesundheit,Motorradaufzug/Holsteinstadion,150
09.09.,15.00-17.30,WHO - Klares No,Aufzug/Exerzierplatz,30
11.09.,18.00-19.45,Politik führt uns in die Armut,Aufzug/Exerzierplatz,20
14.09.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie, Freiheit für Julian Assange",NDR-Landesfunkhaus               Schlossplatz,max. 20
14.09.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie, Freiheit für Julian Assange",NDR-Landesfunkhaus             Wall-Brücke,max. 20
15.09.,14.00-18.30,Klimagerechtigkeit,Aufzug/Exerzierplatz,2.000
15.09.,13.30-14.00,Zubringer-Demo anlässlich des Globalen Klimastreiks,Aufzug/Klaus Groth-Gemeinschaftsschule,100-500
15.09.,13.15-14.00,Zubringer-Demo anlässlich des Globalen Klimastreiks,Aufzug/CAU,30-200
15.09.,13.25-14.00,Zubringer-Demo anlässlich des Globalen Klimastreiks,Aufzug/Blücherplatz,20
15.09.,13.00-14.00,Zubringer-Demo anlässlich des Globalen Klimastreiks,Aufzug/Vinetaplatz,30
15.09.,15.00-18.00,Parks statt Parkplätze - Internationaler Parking Day,Jungfernstieg 28,20-30
15.09.,19.00-22.00,Chile: Vom Militärputsch 1973 bis zum Referendum 2023,Am Germaniahafen,50
16.09.,14.00-16.00,Erinnerung an Zhina Mahsa Amini,Aufzug/Bahnhofsplatz,150
16.09.,15.00-17.45,Hände weg von unseren Kindern!,Aufzug/Exerzierplatz,30
16.09.,12.30-14.00,Proteste im Iran und Ostkurdistan,Schevenbrücke,50
17.09.,11.00-16.00,"""Run for Rescue"" (Spendenlauf für die zivile Seenotrettung im Mittelmeer)",Kiellinie/Reventloubrücke,300
18.09.,18.00-19.30,Die Ampel muss weg,Aufzug/Exerzierplatz,20
19.09.,10.00-13.00,Reißt das Ruder rum - Agrarmarkt auf richtigen Kurs setzen,Aufzug/Eichhofstraße 27/29 (FDP),
20.09.,14.30-16.30,Mahnwache ehemaliger Heimkinder,Landeshaus,50
20.09.,11.30-13.00,Anbindehaltung beenden - Ausstiegsprämien für Landwit:innen,Landwirtschaftsministerium,7
21.09.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie, Freiheit für Julian Assange",NDR-Landesfunkhaus               Schlossplatz,max. 20
21.09.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie, Freiheit für Julian Assange",NDR-Landesfunkhaus             Wall-Brücke,max. 20
21.09.,10.00-14.00,Umbau statt Abbau (Tierwohlställe ermöglichen),Platz der Kieler Matrosen,300
21.09.,08.00-21.00,Unser Land - unsere Zukunft,Auguste Viktoria-Straße + Aufzug,1000
21.09.,?,Milchmarkt (BDM e. V.),vor Atlantic-Hotel,20-30
21.09.,10.00-13.00,Nationalpark Ostsee und Fischereizukunft,Innenförde/Platz der Kieler Matrosen,50
21.09.,09.55-12.30,Gegen den geplanten Nationalpark und für mehr Schutz der Ostsee,Kaistraße,70
21.09.,16:30-20.00,Stellungnahme gegen GEAS - Ratsversammlung/Die Linke,Fleethörne/Rathausplatz,100
21.09.,18.00-21.00,Ratsversammlungsthemen -Kulturelle und gemeinschaftsbildende Nutzung öffentlicher Räume,Waisenhofstraße/Rathaus,10
21./22.09.,14.00-14.00,Verband Deutscher Putenerzeuger - Agrarminister ,Bahnhofsbrücke/Hörnbrücke,300
22.09.,09.00-16.00,Gegen Tiertransporte in Nicht-EU-Staaten,Bahnhofspaltz,15
23.09.,14.00-19.00,Kidical Mass - Straßen sind für alle da!,Aufzug/Wilhelmplatz,200-300
23.09.,15.00-17.30,Grüne Energiewende - Die Zerstörung der deutschen Wirtschaft,Aufzug/Exerzierplatz,30
23.09.,12.05-14.30,Bildungswende jetzt!,Aufzug/Gewerkschaftshaus,500
24.09.,11.00-21.00,Aus grau und eng wird grün und entspannt (öffentlichen Raum erfahren),Teichstraße,100
26.09.,10.45-12.00,"Volksintitiative ""Rettet den Bürgerentscheid"" - Übergabe der Unterschriften",Landeshaus,50
27.09.,09.15-11.00,CCS,Landeshaus,30
27.09.,16.00-18.00,Gebet gegen Abtreibung,Pro Familia/Bergstraße 5,15
27.09.,13.00-14.30,Gewalt gegen Frauen verhindern,Landeshaus,20-30
27.09.,08.00-16.00,Gegen die Gewalt der AfD gegen Andersdenkende,Landgericht,50-100
27.09.,16.00-18.00,Selbstbestimmung über den eigenen Körper,Pro Familia/Bergstraße 7,20
28.09.,16.00-18.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
28.09.,11.30-13.00,IG Metall gestaltet Zukunft,Falckensteiner Str. 2 Höhe Tor 6,30
28.09.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie, Freiheit für Julian Assange",NDR-Landesfunkhaus               Schlossplatz,max. 20
28.09.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie, Freiheit für Julian Assange",NDR-Landesfunkhaus             Wall-Brücke,max. 20
28.09.,17.00-20.58,Safe Abortion Day,Asmus Bremer-Platz,100
29.09.,16.00-18.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
30.09.,18.00-20.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
30.09.,15.00-17.30,Politik führt uns in die Armut,Aufzug/Schevenbrücke,30
30.09.,15.00-20.00,Durchsetzung deutscher Interessen,Aufzug/Exerzierplatz,300
30.09.,14.15-18.00,Kein Platz für die AfD in Kiel,Hopfenstraße/Ziegelteich,100-200
01.10.,12.00-14.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
02.10.,18.00-20.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
03.10.,11.00-13.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
03.10.,13.00-19.49,Tag der deutschen Zweiheit,Exerzierplatz,100
04.10.,16.00-18.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
05.10.,18.00-20.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
05.10.,08.00-16.00,Kein Platz für die AfD in Kiel,Landgericht,50-100
05.10.,08.00-16.00,Gegen die Gewalt der AfD gegen Andersdenkende,Landgericht,50-100
05.10.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie, Freiheit für Julian Assange",NDR-Landesfunkhaus Schlossplatz,max. 20
05.10.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie, Freiheit für Julian Assange",NDR-Landesfunkhaus Wall-Brücke,max. 20
06.10.,18.00-20.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
07.10.,15.00-17.30,"Frieden, Freiheit, Selbstbestimmung",Aufzug/Exerzierplatz,30
07.10.,15.00-17.30,Gegen Isolation - Freiheit für Abdullah Öcalan,Aufzug/Platz der Kieler Matrosen,200
07.10.,18.00-20.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
08.10.,11.00-17.00,Verfolgung von Falun Dalfa und die Verbrechen der KP Chinas,Holstenstraße 108 neben Rolltreppe,3 bis 5
08.10.,12.00-14.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
09.10.,18.00-20.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
10.10.,12:30-17.00,Mittelkürzungen in den Freiwilligendiensten,Kirchhofallee (Lidl/Rewe),200
10.10. ,17.30-20.00,"Gegen jeden Antisemitismus, Solidartät mit Israel",Asmus Bremer-Platz,150
10.10.,18.00-20.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
11.10.,16.00-18.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
12.10.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie, Freiheit für Julian Assange",NDR-Landesfunkhaus Schlossplatz,max. 20
12.10.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie, Freiheit für Julian Assange",NDR-Landesfunkhaus Wall-Brücke,max. 20
12.10.,18.00-20.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
13.10.,17.00-19.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
13.10.,15.00-18.00,"Gegen jeden Antisemitismus, Solidartät mit Israel",Rathausplatz,ca. 50
14.10.,15.00-17.30,WHO - Klares No,Aufzug/Exerzierplatz,30
14.10.,12.00-14.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
14.10.,12.00-14.00,Abschaffung der Massentierhaltung,Kirchhofallee 68 (Lidl/Rewe),10
15.10.,12.00-15.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
16.10.,17.00-19.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
17.10.,16.00-18.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
18.10.,16.00-18.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
19.10.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie, Freiheit für Julian Assange",NDR-Landesfunkhaus Schlossplatz,max. 20
19.10.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie, Freiheit für Julian Assange",NDR-Landesfunkhaus Wall-Brücke,max. 20
19.10.,12.00-19.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
20.10.,17.00-19.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
21.10.,12.00-14.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
21.10.,15.00-17.30,Bezahlbare Mieten/Bezahlbares Leben,Aufzug/Exerzierplatz,30
22.10.,12.00-14.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
23.10.,17.00-19.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
24.10.,17.00-19.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
25.10.,13.00-15.00,Waffenstillstand im Gazastreifen,Rathausplatz,250
25.10.,16.00-18.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
26.10.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie, Freiheit für Julian Assange",NDR-Landesfunkhaus Schlossplatz,max. 20
26.10.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie, Freiheit für Julian Assange",NDR-Landesfunkhaus Wall-Brücke,max. 20
26.10.,17.00-19.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
27.10.,17.00-19.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
27.10.,17.00-21.00,Kein Interesse für die AfD,Ziegelteich/Hopfenstraße,150
27.10.,08.00-15.00,Solidarität mit den Opfern von Henstedt-Ulzburg,Landgericht,30
28.10.,12.00-14.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
28.10.,15.00-17.30,Die Ampel muss weg,Aufzug/Exerzierplatz,30
28.10.,16.00-18.00,Don't forget Afghanistan,Schevenbrücke,ca. 50
29.10.,12.00-14.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
30.10.,17.00-19.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
31.10.,12.00-14.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
01.11.,16.00-18.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
02.11.,16.00-18.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
02.11.,12.00-13.00,Tarifrunde der Länder 2023,Polizeizentrum Eichhof,200
02.11.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie mit echter Gewaltenteilung, Freiheit für Julian Assange",NDR-Landesfunkhaus Schlossplatz,max. 20
02.11.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie mit echter Gewaltenteilung, Freiheit für Julian Assange",NDR-Landesfunkhaus Wall-Brücke,max. 20
03.11.,16.00-18.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
04.11.,16.00-18.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
04.11.,12.00-22.00,Die große Meuterei,Aufzug/Wilhelmplatz,5000
04.11.,11.00-13.00,Solidarität mit den palästinensischen Zivilisten,Asmus Bremer-Platz,250
04.11.,12.00-15.00,Silent Line - Abschaffung der Massentierhaltung,Park Dreiecksplatz,20
05.11.,12.00-14.00,Gebet gegen Abtreibung,Bergstraße ggü. Hausnummer 5 (Wiese IHK),15
06.11.,13.00-15.00,"Freiwilligendienste stärken, Kürzungen verhindern",Asmus Bremer-Paltz,50
08.11.,18.00-21.00,Frieden im Nahen Osten,Aufzug/Vinetaplatz,100
09.11.,18.00-18.45,Unser Stadtteil leuchtet - Gedenken an Nazi-Progrome 1938,Bernhard Minetti-Platz,70
09.11.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie mit echter Gewaltenteilung, Freiheit für Julian Assange",NDR-Landesfunkhaus Schlossplatz,max. 20
09.11.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie mit echter Gewaltenteilung, Freiheit für Julian Assange",NDR-Landesfunkhaus Wall-Brücke,max. 20
11.11.,13.45-16.30,Tag gegen Gewalt an Frauen,Schevenbrücke,30
11.11.,15.00-17.30,Bezahlbare Mieten/Bezahlbares Leben,Aufzug/Exerzierplatz,30
11.11.,11.00-17.00,Verfolgung von Falun Dalfa und die Verbrechen der KP Chinas,Schevenbrücke,3-5
12.11.,14.00-16.00,Stop den Krieg im Nahen Osten,Platz der Kieler Matrosen ,500
12.11.,17.00-19.00,Solidarität mit Rojava,Platz der Kieler Matrosen,20
12.11.,16.00-18.30,Laternelaufen fürs Klima,Aufzug/Schützenpark,50
13.11.,08.00-16.00,Gegen die Gewalt der AfD gegen Andersdenkende,Schützenwall 31-35 (vor dem Landgericht),50-100
15.11.,17.00-19.00,Solidarität mit den palästinensischen Zivilist*innen,Christian Albrechts-Platz,250
16.11.,08.00-16.00,Gegen die Gewalt der AfD gegen Andersdenkende,Schützenwall 31-35 (vor dem Landgericht),50-100
16.11.,09:30-13.00,Streik der GDL Ortsgruppe Kiel,Hauptbahnhof/Kaisertreppe,40
16.11.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie mit echter Gewaltenteilung, Freiheit für Julian Assange",NDR-Landesfunkhaus Schlossplatz,max. 20
16.11.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie mit echter Gewaltenteilung, Freiheit für Julian Assange",NDR-Landesfunkhaus Wall-Brücke,max. 20
17.11.,07.45-08.15,Tarifrunde TVL,Aufzug/UKSH,250
17.11.,10.00-13.00,Streik Tarifrunde Länder,Aufzug/Gewerkschaftshaus,450
18.11.,14.00-17:00,Solidarität mit den palästinensischen Zivilisten,Platz der Kieler Matrosen,350
18.11.,15.00-17.30,WHO - Klares No,Aufzug/Exerzierplatz,30
19.11.,10.00-18.00,Mobilisierung zur StopGEAS-Demonstration,Kielinie B4,15
22.11.,14.00-15.15,Einkommensrunde im öffentlichen Dienst,Finanzministerium,6 bis 10
23.11.,14.30-15.30,Einkommensrunde im öffentlichen Dienst,Finanzministerium,6 bis 10
23.11.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie mit echter Gewaltenteilung, Freiheit für Julian Assange",NDR-Landesfunkhaus Schlossplatz,max. 20
23.11.,08.00-16.00,Gegen die Gewalt der AfD gegen Andersdenkende,Schützenwall 31-35 (vor dem Landgericht),50-100
23.11.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie mit echter Gewaltenteilung, Freiheit für Julian Assange",NDR-Landesfunkhaus Wall-Brücke,max. 20
23.11.,18.00-20.30,Brandanschlag in Mölln 1992,Bahide Arslan-Platz,ca. 100
24.11.,07.45-08.15,Tarifrunde TVL,Aufzug/UKSH,250
24.11.,09.30-11.00,Tarifrunde TVL,Aufzug/Gewerkschaftshaus,250
24.11.,08.00-15.00,Demonstration und Kundgebung anlässlich der Einkommensrunde im öffentlichen Dienst,Aufzug/Ostseekai,1000
25.11.,13.00-16.00,Schilderwald Feministisches Bündnis + Kundgebung,Holstenstraße,150
25.11.,15.00-17.30,Diese Politik führt uns in die Armut,Aufzug/Exerzierplatz,30
25.11.,16.00-17.00,Internationaler Tag zur Beseitigung von Gewalt gegen Frauen,Holstenstraße,100
25.11.,16.00-18.00,Holodomor - Genozid durch Hungertod am ukrainischen Volk 1932/33,Klosterplatz,100-150
26.11.,14.00-17.00,Stopp der GEAS-Reform,Aufzug/Exerzierplatz,ca. 300
30.11.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie mit echter Gewaltenteilung, Freiheit für Julian Assange",NDR-Landesfunkhaus Schlossplatz,max. 20
30.11.,16.00-18.00,"Befreiung des NDR aus den Klauen der Politik und vom Einfluss der transatlantischen Presseagenturen, weltweiter, dauerhafter Frieden, echte Demokratie mit echter Gewaltenteilung, Freiheit für Julian Assange",NDR-Landesfunkhaus Wall-Brücke,max. 20
