Datum,Ort,Art,ang. TN-Zahl
2022-02-10 00:00:00,Platz von Xí'an - Kleppingstraße - Katharinenstraße,Aufzug,150
2022-02-11 00:00:00,Platz Schlanke Mathilde,Stationär,4-6
2022-02-12 00:00:00,RKP,Stationär,20
2022-02-12 00:00:00,Kampstraße,Stationär,3-15
2022-02-12 00:00:00,Platz der Deutschen Einheit,Stationär,5-10
2022-02-12 00:00:00,Platz von Buffalo - Kampstraße - Platz von Buffalo,Aufzug,30
2022-02-12 00:00:00,Reinoldikirche,Stationär,5
2022-02-14 00:00:00,Willy-Brandt-Platz,Stationär,50 - 100
2022-02-14 00:00:00,Kleppingstraße/Ostenhellweg,Stationär,40
2022-02-14 00:00:00,Friedensplatz,Stationär,400
2022-02-14 00:00:00,Friedensplatz - Markgrafenstraße - Friedensplatz,Aufzug,749
2022-02-14 00:00:00,Möllerbrücke/ Ecke Hollestraße,Stationär,100
2022-02-14 00:00:00,Parkplatz am Heinz-Hilpert-Theater - Willy Brandt-Platz,Aufzug,6-100
2022-02-14 00:00:00,Willy-Brandt-Platz Lünen (Rundweg),Aufzug,100 - 200
2022-02-16 00:00:00,RKP,Stationär,20
2022-02-16 00:00:00,Reinoldikirche,Stationär,10-20
2022-02-16 00:00:00,Platz der Deutschen Einheit,Stationär,30-40
2022-02-16 00:00:00,Huckarder Marktplatz (Rundweg),Aufzug,40
2022-02-17 00:00:00,Friedensplatz,Stationär,50
2022-02-17 00:00:00,Westfalenhallen Halle 2,Stationär,3-10
2022-02-18 00:00:00,Ostenhellweg Ecke Brückstraße,Stationär,15
2022-02-19 00:00:00,Friedensplatz,Stationär,150-300
2022-02-19 00:00:00,Katharinentreppen - Friedensplatz - Reinoldikirche/Willy-Brandt-Platz,Aufzug,100 - 200
2022-02-19 00:00:00,Katharinensraße,Stationär,20
2022-02-19 00:00:00,Hansaplatz,Stationär,100
2022-02-19 00:00:00,Reinoldikirche,Stationär,10 - 20
2022-02-19 00:00:00,Reinoldikirche,Stationär,5
2022-02-21 00:00:00,Kleppingstraße/Ostenhellweg,Stationär,40
2022-02-21 00:00:00,Friedensplatz - Saarlandstraße - Friedensplatz,Aufzug,749
2022-02-21 00:00:00,Marktplatz - Im Engelbrauck - Marktplatz (Lünen),Aufzug,100-200
2022-02-21 00:00:00,Parkplatz Hilpert Theater Lünen - Willy-Brandt-Platz,Aufzug,6 - 50
2022-02-21 00:00:00,Möllerbrücke/ Ecke Hollestraße,Stationär,100
2022-02-23 00:00:00,RKP,Stationär,20
2022-02-23 00:00:00,Reinoldikirche,Stationär,20
2022-02-23 00:00:00,Westfalendamm / Hotel Wittekindshof,Stationär,50
2022-02-23 00:00:00,Huckarder Marktplatz - Schulenburgstraße - Huckarder Marktplatz,Aufzug,35
2022-02-24 00:00:00,RKP Kleppingstraße,Stationär,30
2022-02-25 00:00:00,Eberstr. - Nordstadt - Innenstadt - Eberstr.,Aufzug,50
2022-02-25 00:00:00,Friedensplatz,Stationär,100
2022-02-25 00:00:00,Katharinentreppen - Reinoldikirche - Hansaplatz,Aufzug,40
2022-02-26 00:00:00,Platz der Deutschen Einheit,Stationär,10
2022-02-26 00:00:00,Platz der Deutschen Einheit - Kampstraße - Reinoldikirche,Aufzug,40 - 50
2022-02-26 00:00:00,Katharinenstraße,Stationär,100
2022-02-26 00:00:00,Borsigstraße 2,Stationär,7
2022-02-26 00:00:00,Platz von Bufallo - Innenstadt - Platz von Bufallo,Aufzug,70
2022-02-26 00:00:00,Reinoldikirche,Stationär,80
2022-02-26 00:00:00,Friedensplatz,Stationär,200
2022-02-26 00:00:00,Platz der Deutschen Einheit,Stationär,10
2022-02-27 00:00:00,Friedrich Ebert Denkmal,Stationär,50
2022-02-28 00:00:00,Kleppingstraße/Ostenhellweg,Stationär,40
2022-02-28 00:00:00,Eving ggü Bergstraße,Stationär,30
2022-02-28 00:00:00,Willy-Brandt-Platz (Lünen) - Bismarckstraße - Willy-Brandt-Platz (Lünen),Aufzug,70 - 80
2022-02-28 00:00:00,Parkplatz Hilpert Theater Lünen - Willy-Brandt-Platz,Aufzug,6 - 50
2022-02-28 00:00:00,Willy-Brandt-Platz Lünen  ,Stationär,50 - 200
2022-03-02 00:00:00,Reinoldikirche,Stationär,10 - 20
2022-03-02 00:00:00,RKP,Stationär,20
2022-03-02 00:00:00,Huckarde,Aufzug,25
2022-03-03 00:00:00,Voßkuhle - Körne - Voßkuhle,Aufzug,600
2022-03-03 00:00:00,Kapmstraße/ DSW-21 Center,Stationär,150
2022-03-04 00:00:00,RKP,Stationär,25-35
2022-03-04 00:00:00,Gerichtsstraße,Stationär,10 - 15
2022-03-05 00:00:00,Parkplatz Westcenter Rheinische Straße,Stationär,10 - 15
2022-03-05 00:00:00,Friedensplatz - Münsterstraße - Nordmarkt,Aufzug,500
2022-03-05 00:00:00,Kaiserstr. - Westpark,Aufzug,100
2022-03-05 00:00:00,RKP 2,Stationär,15
2022-03-05 00:00:00,RKP,Stationär,10 - 20
2022-03-05 00:00:00,Friedensplatz,Stationär,100 - 200
2022-03-05 00:00:00,Saarlandstraße,Stationär,4 - 6
2022-03-05 00:00:00,Westenhellweg - DSW21-Kundencenter,Aufzug,60 - 70
2022-03-06 00:00:00,Friedensplatz,Stationär,100
2022-03-06 00:00:00,Amtshauspark Mengede,Stationär,150 - 200
2022-03-07 00:00:00,Kleppingstraße/Ostenhellweg,Stationär,40
2022-03-07 00:00:00,Friedensplatz,Stationär,400
2022-03-07 00:00:00,Friedensplatz - Kreuzviertel - Friedensplatz,Aufzug,749
