Datum,Ort,Art,ang. TN-Zahl
2021-01-07 00:00:00,Dortmund Eving,Stationär,10-20
2021-01-07 00:00:00,Dortmund Eving,Stationär,10-20
2021-01-09 00:00:00,Phoenixsee,Aufzug,50
2021-01-10 00:00:00,Phoenixsee,Aufzug,50
2021-01-11 00:00:00,Kleppingstraße/Ostenhellweg,Stationär,40
2021-01-14 00:00:00,Ruhrallee/ Arbeitsgericht DO,Stationär,10
2021-01-16 00:00:00,"Hombruch, Harkortstraße",Stationär,20
2021-01-16 00:00:00,Platz der Deutschen Einheit,Stationär,40-50
2021-01-17 00:00:00,Aplerbeck,Aufzug,99
2021-01-18 00:00:00,Kleppingstraße/Ostenhellweg,Stationär,40
2021-01-23 00:00:00,"Hombruch, Harkortstraße",Stationär,20
2021-01-23 00:00:00,Dortmund - Herdecke ,Aufzug,20
2021-01-23 00:00:00,Dortmunder Hauptbahnhof,Stationär,7
2021-01-23 00:00:00,Westenhellweg,Stationär,3-8
2021-01-24 00:00:00,Hansaplatz - Innenstadt - Hansaplatz,Aufzug,99
2021-01-25 00:00:00,Kleppingstraße/Ostenhellweg,Stationär,40
2021-01-27 00:00:00,Katharinenstraße,Stationär,5 - 10
2021-01-27 00:00:00,Weißenburger/ Gronaustraße,Stationär,30
2021-01-29 00:00:00,Münsterstr. St. Josephs Kirche,Stationär,20
2021-01-30 00:00:00,Reinoldikirchplatz,Stationär,20
2021-01-30 00:00:00,Dortmunder Hauptbahnhof,Stationär,7
2021-01-30 00:00:00,Cinestar-Vorplatz - Katharinenstraße,Aufzug,100
2021-02-01 00:00:00,Kleppingstraße/Ostenhellweg,Stationär,40
2021-02-03 00:00:00,Westfalenhallen,Stationär,20-30
2021-02-06 00:00:00,Reinoldikirchplatz,Stationär,20
2021-02-06 00:00:00,Dortmunder Hauptbahnhof,Stationär,7
2021-02-06 00:00:00,Katharinenstraße,Stationär,50-70
2021-02-06 00:00:00,Westenhellweg,Stationär,3-8
2021-02-08 00:00:00,Kleppingstraße/Ostenhellweg,Stationär,40
2021-02-11 00:00:00,Westfalenhallen,Stationär,50
2021-02-11 00:00:00,Westfalenhallen,Stationär,100
2021-02-13 00:00:00,Dortmunder Hauptbahnhof,Stationär,7
2021-02-15 00:00:00,Kleppingstraße/Ostenhellweg,Stationär,40
2021-02-18 00:00:00,Platz der Deutschen Einheit,Stationär,10-15
2021-02-18 00:00:00,Katharinenstraße,Stationär,25 - 30
2021-02-19 00:00:00,"Willy-Brandt-Platz, Dortmund",Stationär,50
2021-02-19 00:00:00,Ruhrallee/ Arbeitsgericht DO,Stationär,10
2021-02-20 00:00:00,Friedensplatz,Stationär,50-100
2021-02-20 00:00:00,Phoenixsee,Aufzug,70
2021-02-20 00:00:00,Westenhellweg/Petrikirche,Stationär,3 - 8
2021-02-21 00:00:00,Westfalenhallen - Wall,Aufzug,600-800
2021-02-21 00:00:00,Fredenbaumpark,Stationär,5-10
2021-02-22 00:00:00,Kleppingstraße/Ostenhellweg,Stationär,40
2021-02-23 00:00:00,Innenstadt,Aufzug,250
2021-02-24 00:00:00,Viktoriastraße 30,Stationär,10
2021-02-27 00:00:00,Dortmund Hörde,Stationär,3-6
2021-02-27 00:00:00,Innenstadt und Wall,Stationär,40
2021-02-27 00:00:00,Platz von Netanya,Stationär,3-8
2021-02-28 00:00:00,Süggelweg (Eving),Stationär,16
2021-03-01 00:00:00,Kleppingstraße/Ostenhellweg,Stationär,40
2021-03-01 00:00:00,Innenstadt,Aufzug,150
2021-03-02 00:00:00,Innenstadt,Aufzug,200
2021-03-02 00:00:00,Westfalenhallen,Stationär,250
2021-03-02 00:00:00,Platz der Deutschen Einheit,Stationär,2-15
2021-03-03 00:00:00,Platz der Deutschen Einheit,Stationär,2-15
2021-03-05 00:00:00,Münsterstr. ,Stationär,12
2021-03-05 00:00:00,Hagen - Dortmund,Aufzug,50
2021-03-06 00:00:00,Reinoldikirche - Nordmarkt,Aufzug,500
2021-03-06 00:00:00,Platz von Netanya,Stationär,12
2021-03-06 00:00:00,Platz von Netanya,Stationär,3 - 8
2021-03-06 00:00:00,Katharinenstraße,Stationär,10 - 25
2021-03-08 00:00:00,Kleppingstraße/Ostenhellweg,Stationär,40
2021-03-08 00:00:00,Münsterstr.,Stationär,3-4
2021-03-08 00:00:00,Beurhausstraße U-Bahn,Stationär,5
