Datum,Ort,Art,ang. TN-Zahl,Thema
2023-01-16 00:00:00,"Ecke Lange Straße/Bäckerstraße, Lünen",Stationär,20 - 35,Wir fordern den sofortigen Rücktritt der Bundesregierung und zurück zur Volkssouveränität
2023-01-21 00:00:00,Friedensplatz - Platz der Deutschen Einheit (ohne Königswall),Aufzug,500,Day of Unity of Ukraine
2023-01-21 00:00:00,Friedensplatz,Stationär,200,Unterstützung der Revolution im Iran
2023-01-23 00:00:00,Kleppingstraße,Stationär,40,"Hartz IV, Sozial- und Regierungspolitik, Flüchtlingsfrage, Internationale Solidarität, Corona Pandemie, Für den
Weltfrieden"
2023-01-23 00:00:00,"Ecke Lange Straße/Bäckerstraße, Lünen",Stationär,20 - 30,Wir fordern den sofortigen Rücktritt der Bundesregierung und zurück zur Volkssouveränität
2023-01-24 00:00:00,Westfalenhallen Nordeingang,Stationär,3 - 15,Ob Fuchs oder Löwe: Jagd ist Mord!
2023-01-25 00:00:00,Kampstraße,Stationär,20,Gegen Militarisierung und Krieg
2023-01-25 00:00:00,Huckarder Marktplatz - Huckarder Marktplatz,Aufzug,35,Frieden schaffen ohne Waffen! Leben muss bezahlbar sein! Info!
2023-01-26 00:00:00,"Ecke Lange Straße/Bäckerstraße, Lünen",Stationär,3,Galerie des Schreckens
2023-01-26 00:00:00,Gerichtsplatz,Stationär,5 - 10,Klimaschützen ist kein Verbrechen
2023-01-26 00:00:00,Revierstraße 14,Stationär,30,Warnstreik Deutsche Post AG
2023-01-27 00:00:00,Platz von Netanya SP 1,Stationär,10 - 20,Gegen die Jagd
2023-01-27 00:00:00,Kreuzung Hansastraße/Hohe Straße,Stationär,3 - 4,Gegen die Jagd
2023-01-27 00:00:00,Reinoldikirche SP 3,Stationär,50,Holocaust – Gedenken
2023-01-27 00:00:00,Kaiserstraße 34 - Landgericht Dortmund ,Stationär,5 - 10,Klimaschützen ist kein Verbrechen
2023-01-27 00:00:00,Rheinische Straße - REWE,Stationär,5 - 10,Energiepreise stoppen!
2023-01-28 00:00:00,Platz von Netanya SP 1,Stationär,10,Gegen Fleisch/Veganstart
2023-01-28 00:00:00,Alter Markt,Stationär,50,"Wir sind krisenmüde! Stoppt die lnflation, stoppt den Ukraine-Krieg!"
2023-01-28 00:00:00,Westfalenhallen,Stationär,10,"Protest gegen die Messe ""Jagd und Hund"""
2023-01-28 00:00:00,Heinrich-Schmitz-Platz,Stationär,25,Die Preise müssen runter!
2023-01-28 00:00:00,Olpe 1,Stationär,250,Abdullohi Shamsiddin ist verschwunden
2023-01-28 00:00:00,Platz der Deutschen Einheit,Stationär,10,Freiheit für den Musiker Ishan Cibelik
