Datum,Ort,Art,ang. TN-Zahl,Thema
2023-05-01 00:00:00,Nordmarkt,Stationär,100,Gegen rechte Gewalt in Dortmund und anderswo
2023-05-01 00:00:00,S-Bahnhof Dortmund-Dorstfeld,Stationär,70,Wir arbeiten nicht für euren Klima-Wahn - Arbeit und gerechte Löhne für uns Deutsche!
2023-05-01 00:00:00,Münsterstraße 29,Stationär,70,Wir arbeiten nicht für euren Klima-Wahn - Arbeit und gerechte Löhne für uns Deutsche!
2023-05-01 00:00:00,Ecke Wittener Straße/Hochstraße,Stationär,50,Gegen Rechte Gewalt in Dortmund-Dorstfeld
2023-05-01 00:00:00,"Ecke Lange Straße/Bäckerstraße, Lünen",Stationär,100,Gegenpotrest
2023-05-01 00:00:00,"Gartenstraße an der Kreuzung zur Münsterstraße, Lünen",Stationär,50,Gegen Nazis und für ein schönes Leben!
2023-05-01 00:00:00,"Florianstraße, Vorplatz zum Haupteingang Westfalenpark",Stationär,10 - 20,"Flughafen Dortmund, Absage des DGB zur Durchführung eines Informationsstandes"
2023-05-01 00:00:00,Ecke Rheinische Straße/Ottostraße - Ecke Dorstfelder Hellweg/Wörthstraße,Aufzug,70,Die Meinungs- und Versammlungsfreiheit gilt auch am 1. Mai – Arbeit und gerechte Löhne für uns Deutsche!
2023-05-01 00:00:00,Rheinische Straße 135,Stationär,50,Kein Naziaufmarsch in Dortmund Dorstfeld! Gegen die Instrumentalisierung der Rheinischen Straße 135!
2023-05-03 00:00:00,DSW21-Vorplatz,Stationär,20,Gegen Militarisierung und Krieg
2023-05-03 00:00:00,Rahmer Straße,Stationär,12,"Für den Frieden in aller Welt, für ein bezahlbares Leben. Info"
2023-05-04 00:00:00,Park der Partnerstädte,Stationär,50,Der türkische Gelehrte Alparslan Kuytul wurde zu Unrecht in eine kleine Arrestzelle gepackt
2023-05-05 00:00:00,Platz von Xi'an - Innenstadt - Platz von Xi'an,Aufzug,650,Tarifrunde im Einzelhandel 2023
2023-05-05 00:00:00,Rheinische Straße 76 - Platz von Buffalo,Aufzug,25,Freiheit für Alparslan Kuytul
2023-05-06 00:00:00,Cinestar Vorplatz - Tremoniapark,Aufzug,500,Kidical Mass Dortmund: Platz für Menschen statt Autos!
2023-05-06 00:00:00,Evinger Platz - Cinestar Vorplatz,Aufzug,30,Kidical Mass Dortmund
2023-05-06 00:00:00,Mehrzweckplatz Pothecke - Cinestar Vorplatz,Aufzug,60,Kidical Mass Dortmund
2023-05-06 00:00:00,Schlanke Mathilde - Cinestar Vorplatz,Aufzug,100,Kidical Mass Dortmund
2023-05-06 00:00:00,Marktplatz Haumannstraße - Cinestar Vorplatz,Aufzug,30,Kidical Mass Dortmund
2023-05-06 00:00:00,Katharinenstraße 14,Stationär,2,Demonstration für Straßenmusik mit elektronischer Verstärkung
2023-05-06 00:00:00,Olpe 1,Stationär,20,Mahnwache Free Abdullohi Shamsedin
2023-05-08 00:00:00,Kurt-Piehl-Platz,Stationär,20 - 30,Gedenken an Mouhamed
2023-05-08 00:00:00,Platz der Deutschen Enheit,Stationär,40,"Hartz IV, Sozial- und Regierungspolitik, Flüchtlingfrage, Internationale Solidarität, Für den Weltfrieden"
2023-05-08 00:00:00,"Ecke Lange Straße/Bäckerstraße, Lünen (Rundweg)",Aufzug,20 - 35,Infos über aktuelle Themen
2023-05-10 00:00:00,DSW21-Vorplatz,Stationär,20,Gegen Militarisierung und Krieg
2023-05-11 00:00:00,"Ecke Kurt-Schumacher-Straße/Münsterstraße, Lünen",Stationär,15 - 20,Gute Kriege - Schlechte Kriege
2023-05-11 00:00:00,Reinoldikirche Standplatz Nr. 3,Stationär,3,Klimanotstand
2023-05-12 00:00:00,Rosental bis Kleppingstraße,Stationär,100,Warnstreik Lieferando Dortmund
2023-05-12 00:00:00,Wittekindstraße 96 - 100a,Stationär,30,Tag der Pflegenden
2023-05-13 00:00:00,Platz von Xi'an,Stationär,10,Gemeinsam durch die Kriesen von den heutigen Zeit
2023-05-13 00:00:00,Katharinenstraße - Westpark,Aufzug,500,Global Marijuana March Dortmund 2023
2023-05-13 00:00:00,Rheinische Straße 76 - Platz von Buffalo,Aufzug,40 - 50,Freiheit für Alparslan Kuytul
2023-05-14 00:00:00,Münsterstraße 33,Stationär,20,Talk with the Solikreis Justice4Mouhamed
2023-05-15 00:00:00,Kleppingstraße,Stationär,40,"Hartz IV, Sozial- und Regierungspolitik, Flüchtlingfrage, Internationale Solidarität, Für den Weltfrieden"
2023-05-15 00:00:00,"Ecke Lange Straße/Bäckerstraße, Lünen (Rundweg)",Aufzug,25 - 35,Infos über aktuelle Themen
2023-05-17 00:00:00,Friedensplatz - Möllerstraße 3,Aufzug,100,Demo zu IDAHOBIT
2023-05-17 00:00:00,DSW21-Vorplatz,Stationär,20,Gegen Militarisierung und Krieg
2023-05-17 00:00:00,Huckarder Marktplatz - Ecke Hülshof/Parsevalstraße,Aufzug,15,"Für den Frieden in aller Welt, für ein bezahlbares Leben. Info"
2023-05-17 00:00:00,Friedensplatz,Stationär,10,Krieg in der Ukraine
2023-05-17 00:00:00,"Westfalenhallen, Halle 2",Stationär,10,Krieg in der Ukraine
2023-05-18 00:00:00,Platz der Deutschen Einheit (Rundweg),Aufzug,500,"Marsch der Solidarität ""Stand with Ukraine"", gewidmet dem Tag des Wyshywankas"
2023-05-22 00:00:00,"Ecke Lange Straße/Bäckerstraße, Lünen (Rundweg)",Aufzug,20 - 35,Infos über aktuelle Themen
2023-05-23 00:00:00,Friedensplatz - Ecke Leni-Rommel-Straße/Oberdorfstraße,Aufzug,150,Aufstellen eines Ghostbikes an der Unfallstelle Leni-Rommel-Straße nördlich Oberdorfstraße
2023-05-24 00:00:00,DSW21-Vorplatz,Stationär,20,Gegen Militarisierung und Krieg
2023-05-25 00:00:00,Willy-Brandt-Platz,Stationär,15 - 20,Rohstoffwende/ Handelsverträge mit südamerikanischen Staaten
2023-05-25 00:00:00,Rheinische Straße 47,Stationär,5 - 10,Energiepreise stoppen!
2023-05-29 00:00:00,Remydamm - Hörder Bahnhofstraße 48,Aufzug,8 (Fahrzeuge),"Wir klagen an: Die Politik führt Krieg gegen das Volk! Wir klagen an: Die Medien, als 4te Gewalt, existieren nicht mehr! - Nein Zum Pandemievertrag - Nein zu jedem Krieg - Nein zu Politikern in Medienvorständen - Nein, Nein und nochmal nein!"
2023-05-30 00:00:00,DSW21-Vorplatz,Stationär,30,"Genug ist Genug! Preise runter, Löhne und Sozialleistungen rauf! Solidarität mit allen Streikenden"
2023-05-31 00:00:00,DSW21-Vorplatz,Stationär,20,Gegen Militarisierung und Krieg
2023-05-31 00:00:00,Sonnenplatz,Stationär,50,Solidaritätskundgebung zum Antifa-Ost Prozess
2023-06-01 00:00:00,Hansaplatz - Prinz-Friedrich-Karl-Straße 28,Aufzug,650,Tarifrunde im Einzelhandel 2023
2023-06-03 00:00:00,"Unionsstraße 2, Dortmund (Parkplatz) - Burgplatz, Düsseldorf",Aufzug,8 (Fahrzeuge),"Wir klagen an: Die Politik führt Krieg gegen das Volk! Wir klagen an: Die Medien, als 4te Gewalt, existieren nicht mehr! - Nein Zum Pandemievertrag - Nein zu jedem Krieg - Nein zu Politikern in Medienvorständen - Nein, Nein und nochmal nein!"
2023-06-03 00:00:00,Platz der Deutschen Einheit,Stationär,200,Zum Weltkindertag #SaveUkrainianChildren
2023-06-03 00:00:00,Rheinische Straße - Platz von Buffalo,Aufzug,30,Freiheit für Alparslan Kuytul
2023-06-05 00:00:00,Kurt-Piehl-Platz,Stationär,20 - 30,Gedenken an Mouhamed
2023-06-05 00:00:00,"Lange Straße, Lünen (Rundweg)",Aufzug,25 - 35,Infos über aktuelle Themen
2023-06-05 00:00:00,Kreuzstraße 145,Stationär,3 - 5 ,Bannerprotest geen den Abriss der Kreuzgrundschule
2023-06-07 00:00:00,Rahmerstraße 244 - 290,Stationär,10 - 20,"Schilder Aktion für den Frieden, Infos"
2023-06-07 00:00:00,Körner Hellweg 119,Stationär,3 - 5,Schutz der Menschenrechte auf Leben für ALLE - geborene wie ungeborene Menschen
2023-06-07 00:00:00,DSW21-Kundencenter,Stationär,20,Gegen Militarisierung und Krieg
2023-06-07 00:00:00,Platz der Deutschen Einheit (Rundweg),Aufzug,200,#SaveUkraine #StopEcocideUkraine
2023-06-10 00:00:00,Rheinische Straße - Platz von Buffalo,Aufzug,30,Freiheit für Alparslan Kuytul
2023-06-12 00:00:00,Kleppingstraße,Stationär,40,"Hartz IV, Sozial- und Regierungspolitik, Flüchtlingfrage, Internationale Solidarität, Für den Weltfrieden"
2023-06-14 00:00:00,Rahmer Straße 312 (Rundweg),Aufzug,50 - 100,"Der Grüne Weg ist nicht unser Weg, Infos"
2023-06-14 00:00:00,DSW21-Kundencenter,Stationär,20,Gegen Militarisierung und Krieg
2023-06-14 00:00:00,Friedensplatz (Rundweg),Aufzug,400,Apothekenprotesttag
2023-06-15 00:00:00,Ecke Flautweg/ Walther-Kohlmann-Straße,Stationär,25,Warnstreik im Rahmen der Tarifverhandlungen Mineralbrunnenindustrie NRW
2023-06-15 00:00:00,Platz von Buffalo,Stationär,30 - 50,"Freiheit für Alparslan Kuytul und seine Inhaftierten Freunde und das Unrecht, was diesen Menschen angetan wird"
2023-06-17 00:00:00,Platz von Buffalo - Platz der alten Synagoge,Aufzug,500 - 1000,Friedensmarsch Srebenica 2023
2023-06-17 00:00:00,Reinoldikirchplatz,Stationär,4 - 10,Die Verfolgung der Falun Dafa in China
2023-06-19 00:00:00,Kleppingstraße,Stationär,40,"Hartz IV, Sozial- und Regierungspolitik, Flüchtlingfrage, Internationale Solidarität, Für den Weltfrieden"
2023-06-19 00:00:00,"Ecke Lange Straße/Bäckerstraße, Lünen (Rundweg)",Aufzug,20 - 35,Infos über aktuelle Themen
2023-06-20 00:00:00,Brüderweg 10-12,Stationär,10,Protest gegen den EU-Asylkompromiss
2023-06-20 00:00:00,Königswall 8,Stationär,10,Protest gegen den EU-Asylkompromiss
2023-06-21 00:00:00,DSW21-Kundencenter,Stationär,20,Gegen Militarisierung und Krieg
2023-06-22 00:00:00,Westfalenhallen Vorplatz Messezentrum,Stationär,50 - 100,Gedenken zum Überfall der Deutschen Wehrmacht auf die Sowjetunion am 22. Juni 1941
2023-06-24 00:00:00,Platz der Deutschen Einheit,Stationär,10,Mit christlichen Werten durch die Krisenzeiten
2023-06-24 00:00:00,Platz der Deutschen Einheit,Aufzug,200,Parade der Vielfalt
2023-06-26 00:00:00,Kleppingstraße,Stationär,40,"Hartz IV, Sozial- und Regierungspolitik, Flüchtlingfrage, Internationale Solidarität, Für den Weltfrieden"
2023-06-28 00:00:00,DSW21-Kundencenter,Stationär,20,Gegen Militarisierung und Krieg
2023-06-29 00:00:00,Europabrunnen,Stationär,5-10,Christliche Werte in Bezug auf das Grundgesetz
2023-07-03 00:00:00,Kurt-Piehl-Platz,Stationär,20 - 30,Gedenken an Mouhamed
2023-07-03 00:00:00,"Ecke Lange Straße/Bäckerstraße, Lünen (Rundweg)",Aufzug,25 - 35,Infos über aktuelle Themen
2023-07-03 00:00:00,Kleppingstraße,Stationär,40,"Hartz IV, Sozial- und Regierungspolitik, Flüchtlingsfrage, Internationale Solidarität, Für den Weltfrieden"
2023-07-05 00:00:00,Ostermärsch/Borsigplatz,Stationär,10,Gegen die Kriminalisierung der Nordstadt durch unverhältnismäßige Polizeikontrollen!
2023-07-05 00:00:00,Vorplatz DSW 21-Kundencenter,Stationär,20,Gegen Militarisierung und Krieg
2023-07-05 00:00:00,Heroldstraße 13a (Vorplatz St. Josephskirche),Stationär,50,Gerechtigkeit für Nahel
2023-07-06 00:00:00,Katharinenstraße ,Stationär,3 - 4,Be Vegan - Make Peace (Vegan für den Frieden)
2023-07-06 00:00:00,Olpe 1,Stationär,12,Free Abdullohi Shamsedin
2023-07-10 00:00:00,Kleppingstraße,Stationär,40,"Hartz IV, Sozial- und Regierungspolitik, Flüchtlingsfrage, Internationale Solidarität, Für den Weltfrieden"
2023-07-12 00:00:00,Vorplatz DSW 21-Kundencenter,Stationär,20,Gegen Militarisierung und Krieg
2023-07-15 00:00:00,Platz der Deutschen Einheit (Rundweg),Aufzug,150,Kundgebung und Solidaritätsmarsch zur Unterstützung der Ukraine #UkraineNato33
2023-07-17 00:00:00,"Ecke Lange Straße/Bäckerstraße, Lünen (Rundweg)",Aufzug,20 - 35,Infos über aktuelle Themen
2023-07-19 00:00:00,Vorplatz DSW 21-Kundencenter,Stationär,20,Gegen Militarisierung und Krieg
2023-07-21 00:00:00,Stadtgarten (Gedenkstein),Stationär,80,Nationaler Gedenktag für die verstorbenen Drogenabhängigen
2023-07-24 00:00:00,Kleppingstraße,Stationär,40,"Hartz IV, Sozial- und Regierungspolitik, Flüchtlingsfrage, Internationale Solidarität, Für den Weltfrieden"
2023-07-24 00:00:00,"Ecke Lange Straße/Bäckerstraße, Lünen (Rundweg)",Aufzug,20 - 35,Infos über aktuelle Themen
2023-07-26 00:00:00,Vorplatz DSW 21-Kundencenter,Stationär,20,Gegen Militarisierung und Krieg
2023-07-26 00:00:00,Ecke Bothestraße/Jungferntalstraße (Libellenwiese),Stationär,5 - 10,Galerie der Impfopfer mit erweiterten Themen und Info
2023-07-28 00:00:00,Friedensplatz - Park der Partnerstädte,Aufzug,15,Demo gegen Vorverurteilung des Dortmunder KOD
2023-07-29 00:00:00,Europabrunnen,Stationär,50,Kundgabe christlicher / biblischer / evangelistischer Botschaften
2023-07-31 00:00:00,Kleppingstraße,Stationär,40,"Hartz IV, Sozial- und Regierungspolitik, Flüchtlingsfrage, Internationale Solidarität, Für den Weltfrieden"
2023-08-02 00:00:00,Ecke Weißenburger Straße / Gronaustraße,Stationär,80,"Den ermordeten Sinti und Roma zum Gedenken, den Lebenden zur Mahnung"
2023-08-02 00:00:00,Kampstraße,Stationär,20,Gegen Militarisierung und Krieg
2023-08-03 00:00:00,Gerichtsstraße,Stationär,20 - 30,Übergriffe Ostermarsch 2022
2023-08-03 00:00:00,Vorplatz DSW21-Kundencenter,Stationär,30,Veranstaltung zum neunten Jahrestag des Genozids und Femizids an YezidInnen im Senegal
2023-08-04 00:00:00,Friedensplatz (Rundweg),Aufzug,120,Fahrraddemonstration zur Verkehrswende in Dortmund und deutschlandweit
2023-08-05 00:00:00,Wilhelmplatz - Dortmund-Dorstfeld (S-Bahnhof),Aufzug,200,Bringin' it down - AfD Büro dichtmachen
2023-08-05 00:00:00,Hansastraße - Friedensplatz,Aufzug,50 - 60,Gedenken an den Atombombenabwurf in Hiroshima 1945
2023-08-07 00:00:00,Kleppingstraße,Stationär,40,"Hartz IV, Sozial- und Regierungspolitik, Flüchtlingsfrage, Internationale Solidarität, Für den Weltfrieden"
2023-08-07 00:00:00,"Ecke Lange Straße/ Bäckerstraße, Lünen",Stationär,20 - 35,Infos über aktuelle Themen
2023-08-08 00:00:00,Kurt-Piehl-Platz,Stationär,20 - 30,Gedenken an Mouhamed
2023-08-08 00:00:00,Missundestraße,Stationär,30 - 40,Gedenken an Mouhamed Lamine Dramé
2023-08-08 00:00:00,Goebenstraße 14,Stationär,30,Kundgebung gegen die Aberkennung lesbischer Elternschaft in Italien
2023-08-09 00:00:00,Platz der Deutschen Einheit,Stationär,20,Gegen Militarisierung und Krieg
2023-08-11 00:00:00,"Ecke Lange Straße/Bäckerstraße, Lünen",Stationär,2-3,Galerie der Fakten
2023-08-12 00:00:00,Platz der Deutschen Einheit - Platz von Xi'an,Aufzug,500,Justice4Mouhamed / 1 Year Later
2023-08-12 00:00:00,Kurt-Piehl-Platz (Rundweg),Aufzug,200 - 300,Gedenken an Mouhamed Lamine Dramé und Protest gegen Flüchtlingspolitik der Regierung
2023-08-12 00:00:00,Katharinenstraße,Stationär,3 - 5,"Erinnerung an die Opfer der Brände von 2021,2022 und 2023 in Algerien und wieso jedes Mal das Volk bezahlt eine dicke Rechnung. Unterdrückung der Meinungsfreiheit in Algerien"
2023-08-13 00:00:00,Minister-Stein-Allee - Speicherstraße,Aufzug,500,"Forderung von mehr kulturelen, musikalischen und gastronomischen Angeboten in Dortmund Eving und interkulturelle Zusammenarbeit in Eving und Nordstadt"
2023-08-14 00:00:00,Kleppingstraße,Stationär,40,"Hartz IV, Sozial- und Regierungspolitik, Flüchtlingsfrage, Internationale Solidarität, Für den Weltfrieden"
2023-08-16 00:00:00,Kampstraße,Stationär,20,Gegen Militarisierung und Krieg
2023-08-19 00:00:00,Rheinische Straße - Platz von Buffalo,Aufzug,30,3 Mitglieder der Furkan Bewegung in der Türkei sitzen weiterhin zu Unrecht im Gefängnis und Ihnen werden Ihre Rechte verwehrt oder müssen immer wieder eingeklagt werden.
2023-08-19 00:00:00,Europabrunnen,Stationär,4 - 10,Die Verfolgung der Falun Dafa in China
2023-08-19 00:00:00,Stadtgarten,Stationär,5,Mahnwache gegen die Verdrängung von obdachlosen Menschen aus der Innenstadt
2023-08-20 00:00:00,Freiherr-vom-Stein-Platz,Stationär,10 - 50,Mahnwache und Diskussion über/für Versammlungsrecht im öffentlichen Raum
2023-08-21 00:00:00,Kleppingstraße,Stationär,40,"Hartz IV, Sozial- und Regierungspolitik, Flüchtlingsfrage, Internationale Solidarität, Für den Weltfrieden"
2023-08-21 00:00:00,"Ecke Lange Straße/Bäckerstraße, Lünen",Stationär,25 - 35,Infos über aktuelle Themen
2023-08-21 00:00:00,Reinoldikirche (Rundweg),Aufzug,20 - 30,"Kampagnenauftakt ""Begegnung verändert"", Angebote Dortmunder Begegnungsstätten bekannt machen, Einsamkeit bekämpfen"
2023-08-21 00:00:00,Vorplatz DSW21-Kundencenter - Europabrunnen,Stationär,30,Wo sind die Wurzeln unserer christlichen Grundwerte?
2023-08-23 00:00:00,Kampstraße,Stationär,20,Gegen Militarisierung und Krieg
2023-08-23 00:00:00,Europabrunnen,Stationär,25 - 50,Frieden und Freiheit für Mensch und Gesellschaft
2023-08-23 00:00:00,Huckarder Marktplatz (Rundweg),Aufzug,30 - 50,"Spaziergang, Thema werdet wach und Info"
2023-08-24 00:00:00,Platz der Deutschen Einheit,Aufzug,500,Solidaritätskundgebung und Marsch zum Tag der Unahängigkeit der Ukraine #Independenceinmyheart
2023-08-27 00:00:00,Platz der Alten Synagoge - Prinz-Friedrich-Karl-Straße,Aufzug,100,Weg der Verbundenheit - Zeichen gegen Antisemitismus
2023-08-27 00:00:00,Ecke Studtstraße/Roseggerstraße,Stationär,100 - 150,Informationsveranstaltung Nachbarschaftsinitiative (Kundgebung). Information und Beurteilung der Entwicklungen in der Nachbarschaft
2023-08-28 00:00:00,Kleppingstraße,Stationär,40,"Hartz IV, Sozial- und Regierungspolitik, Flüchtlingsfrage, Internationale Solidarität, Für den Weltfrieden"
2023-08-28 00:00:00,"Ecke Lange Straße/Bäckerstraße, Lünen (Rundweg)",Aufzug,25 - 35,Infos über aktuelle Themen
2023-08-28 00:00:00,Platz der Deutschen Einheit,Stationär,150,"Gegen das Massaker, das der türkische Staat in Kurdistan gegen Zivilisten und Journalisten verübt"
2023-08-30 00:00:00,Kampstraße,Stationär,20,Gegen Militarisierung und Krieg
2023-08-30 00:00:00,Mergelteichstraße 80 (Zoo),Stationär,3 - 10,Tiergefängnisse abschaffen!
2023-09-01 00:00:00,Quadbeckstraße,Stationär,100,Antikriegstag 2023
2023-09-01 00:00:00,Katharinenstraße ,Stationär,10 - 30,Menschenrechte
2023-09-01 00:00:00,Rheinische Straße 76 - Platz von Buffalo,Aufzug,30,Freiheit für die weiterhin infahtierten Mitglieder der Furkan Bewegung in der Türkei
2023-09-02 00:00:00,Platz von Xi'an - Friedensplatz,Aufzug,8000,CSD Dortmund
2023-09-02 00:00:00,Platz der Deutschen Einheit,Stationär,50,Kindesentziehung durch den Staat
2023-09-02 00:00:00,Vorplatz DSW21-Kundencenter,Stationär,30,Gegendemonstration zum CSD/Kundgebung des Evangeliums
2023-09-03 00:00:00,Hansaplatz (Rundweg),Aufzug,500,Wendet den Verkehr: Radwege bauen statt ankündigen!
2023-09-04 00:00:00,Kleppingstraße,Stationär,40,"Hartz IV, Sozial- und Regierungspolitik, Flüchtlingsfrage, Internationale Solidarität, Für den Weltfrieden"
2023-09-04 00:00:00,Kurt-Piehl-Platz,Stationär,20 - 30,"Gedenken an Mouhamed, Diskussion und Austausch"
2023-09-04 00:00:00,"Ecke Lange Straße/Bäckerstraße, Lünen",Stationär,2 - 3,Galerie der Fakten
2023-09-04 00:00:00,Vorplatz DSW21-Kundencenter,Stationär,20 - 30,Aufmerksamkeit für den Bedarf mehr Ressourcen zur Förderung Sexueller Gesundheit
2023-09-06 00:00:00,Kampstraße,Stationär,20,Gegen Militarisierung und Krieg
2023-09-06 00:00:00,Rahmer Straße 312 (Rundweg),Aufzug,20 - 50,Aktuelle Situation und Infos
2023-09-09 00:00:00,Westpark - Blücherpark,Aufzug,100,Für ein selbstbestimmtes Leben
2023-09-09 00:00:00,Europabrunnen,Stationär,10,Christliche Werte in Bezug auf das Grundgesetz
2023-09-11 00:00:00,Kleppingstraße,Stationär,40,"Hartz IV, Sozial- und Regierungspolitik, Flüchtlingsfrage, Internationale Solidarität, Für den Weltfrieden"
2023-09-11 00:00:00,"Ecke Lange Straße/Bäckerstraße, Lünen (Rundweg)",Aufzug,25 - 35,Infos über aktuelle Themen
2023-09-11 00:00:00,Hörder Burgplatz,Stationär,15,"""Da liegt sie, die Schönheit…/das Ende der Stille"" - Gedenken an die im Nationalsozialismus ermordeten Sintezze* und Romanja*"
2023-09-13 00:00:00,Kampstraße,Stationär,20,Gegen Militarisierung und Krieg
2023-09-14 00:00:00,Olpe 1,Stationär,6 - 7,Free Abdullohi Shamsedin
2023-09-15 00:00:00,Friedensplatz - Platz der Deutschen Einheit,Aufzug,900,Globaler Klimastreik 15.09.2023
2023-09-15 00:00:00,Uhlandstraße 62 - 64,Stationär,15,Internationaler Parking Day: Umfunktionierung von Parkplätzen zu Räumen des öffentlichen Lebens
2023-09-15 00:00:00,"Spormeckerplatz 5, Lünen",Stationär,20,Demonstration
2023-09-15 00:00:00,Gildenstraße - Friedensplatz,Aufzug,20,Zubringer zur Demonstration von Fridays For Future
2023-09-15 00:00:00,Petrikirche - Reinoldikirche,Aufzug,15,Geh-Meditation
2023-09-16 00:00:00,Platz der Deutschen Einheit,Stationär,100 - 200,Solidarität mit Frauenbewegung im Iran
2023-09-16 00:00:00,Europabrunnen,Stationär,4 - 10,Die Verfolgung der Falun Dafa in China
2023-09-16 00:00:00,Platz der Deutschen Einheit,Stationär,100,Kundgebung zum ersten  Jahrestag des Femizids an Jina Amini 
2023-09-17 00:00:00,Reinoldikirche,Stationär,15,"""Da liegt sie, die Schönheit…/das Ende der Stille"" - Gedenken an die im Nationalsozialismus ermordeten Sintezze* und Romanja*"
2023-09-18 00:00:00,Ecke Lange Straße/Bäckerstraße,Stationär,2 - 3,Gute Kriege/Schlechte Kriege
2023-09-19 00:00:00,Stefan-Engel-Platz,Stationär,50,Für menschliche Krankenhäuser
2023-09-19 00:00:00,Harkortstraße 58,Stationär,20 - 30,"Niederlegung eines Blumengebindes zum Gedenken an vier Hombrucher Widerstandskämpfer, die während der NS-Zeit ermordet wurden: Hans Grüning, Wilhelm Knöchel, Fritz Husemann, Wilhelm Oberhaus"
2023-09-20 00:00:00,Kampstraße,Stationär,20,Gegen Militarisierung und Krieg
2023-09-20 00:00:00,Huckarder Marktplatz,Stationär,5 - 10,Galerie der Impfopfer mit erweiterten Themen und Infos
2023-09-21 00:00:00,Steinstraße 39,Stationär,100,Aktive Mittagspause - Keine Sparmaßnahmen auf Kosten junger Menschen
2023-09-22 00:00:00,Vorplatz DSW21-Kundencenter,Stationär,5 - 10,UmSTEUERN - Holen wir uns den Reichtum zurück
2023-09-22 00:00:00,"Ecke Lange Straße/Bäckerstraße, Lünen",Stationär,100 - 200,bunt statt braun
2023-09-23 00:00:00,Europabrunnen,Stationär,20,"Auf die menschenrechtslage in Sri Lanka aufmerksam machen und dem tamilischen Vordenker Thileepan gedenken, der durch einen Hungerstreik für die Rechte der Tamilen sein Leben ließ."
2023-09-23 00:00:00,Heinrich-Sondermann-Platz - Bärenbruch,Aufzug,20 - 30,Bahnunterführung am Bärenbruch
2023-09-23 00:00:00,Amtsgericht - Vorplatz DSW21-Kundencenter,Aufzug,50,Kindesentziehung durch den staatliche Institutionen
2023-09-24 00:00:00,Hansaplatz - Hoeschpark,Aufzug,600,"Kidical Mass Dortmund. Wir wollen eine Stadt, in der Kinder sicher Rad fahren können!"
2023-09-24 00:00:00,Evinger Platz - Hansaplatz,Aufzug,30,Kidical Mass Dortmund
2023-09-24 00:00:00,Schlanke Mathilde - Hansaplatz,Aufzug,50,Kidical Mass Dortmund
2023-09-24 00:00:00,Mehrzweckplatz Pothecke - Hansaplatz,Aufzug,50,Kidical Mass Dortmund
2023-09-24 00:00:00,Marktplatz Haumannstraße - Hansaplatz,Aufzug,30,Kidical Mass Dortmund
2023-09-25 00:00:00,Kleppingstraße,Stationär,40,"Hartz IV, Sozial- und Regierungspolitik, Flüchtlingsfrage, Internationale Solidarität, Für den Weltfrieden"
2023-09-25 00:00:00,"Ecke Lange Straße/Bäckerstraße, Lünen (Rundweg)",Aufzug,25 - 35,Infos über aktuelle Themen
2023-09-26 00:00:00,Dortmunder U (Leonie-Reygers-Terasse),Stationär,15,"Kundgebung ""Tag der Weiterbildung"""
2023-09-27 00:00:00,Kampstraße,Stationär,20,Gegen Militarisierung und Krieg
2023-09-27 00:00:00,Freiherr-vom-Stein-Platz - Heiligegartenstraße 18,Aufzug,40,In Gedenken an Lea Turteltaub
2023-09-28 00:00:00,Gleiwitzstraße (U-Bahnunterführung),Stationär,10 - 15,Informationen über aktuelle Themen
2023-09-30 00:00:00,Körner Hellweg / Berliner Str.,Stationär,10 - 20,Schluss mit Mogelmilch
2023-09-30 00:00:00,Platz der Deutschen Einheit ,Stationär,150,Stand with Ukraine
2023-10-02 00:00:00,Kurt-Piehl-Platz,Stationär,20 - 30,"Gedenken an Mouhamed, Diskussion und Austausch"
2023-10-02 00:00:00,"Lange Straße/Bäckerstraße, Lünen",Stationär,2 - 3,Galerie der Fakten
2023-10-04 00:00:00,Vorplatz DSW21-Kundencenter,Stationär,20,Gegen Militarisierung und Krieg
2023-10-05 00:00:00,Sonnenplatz - Kampstraße 51,Aufzug,100 - 200,Mitbestimmung bei der Erneuerung/Renovierung der Innenhöfe und Vorgärten
2023-10-05 00:00:00,Platz von Netanya,Stationär,20,"Anlässlich des Internationalen Tags gegen Prostitution möchten wir darauf aufmerksam machen, dass das System Prostitution die Gleichstellung der Geschlechter behindert und Gewalt gegen Frauen Vorgesehene(r) fördert."
2023-10-07 00:00:00,Europabrunnen,Stationär,10,Christliche Werte in Bezug auf das Deutsche Grundgesetz
2023-10-09 00:00:00,Lange Straße - Tobias-Park (Rundweg),Aufzug,25 - 35,Infos über aktuelle Themen
2023-10-10 00:00:00,Reinoldikirche Ecke Ostenhellweg/Brückstr.,Stationär,100,Solidarität mit Isreal - Gegen Antisemitismus und Terror
2023-10-11 00:00:00,Vorplatz DSW21-Kundencenter,Stationär,20,Gegen Militarisierung und Krieg
2023-10-13 00:00:00,Vinckeplatz - Westpark,Aufzug,400,Gracias a la vida. DANK an das Leben. Mittel um Senzibilisierung unserer Gesellschaft. Das Leben ist kostbar. Kunst verbindet.
2023-10-13 00:00:00,Münsterstraße 54 (Vorplatz St. Josephskirche),Stationär,6,"""Sozialer Krieg …"""
2023-10-14 00:00:00,Platz der Deutschen Einheit,Stationär,10,Mit christlichen Werten durch die Krisenzeiten
2023-10-16 00:00:00,"Lange Straße/Bäckerstraße, Lünen",Stationär,2 - 3,WHO-Pandemievertrag
