Datum,Ort,Art
2020-01-04 00:00:00,Westfalenhallen,Stationär
2020-01-04 00:00:00,Platz von Netanya,Stationär
2020-01-06 00:00:00,Kleppingstraße Europabrunnen,Stationär
2020-01-09 00:00:00,Friedensplatz,Stationär
2020-01-10 00:00:00,Märkische Straße 8-14,Stationär
2020-01-11 00:00:00,Friedensplatz - Kampstraße DSW21,Aufzug
2020-01-11 00:00:00,Europaplatz,Stationär
2020-01-11 00:00:00,Platz von Netanya,Stationär
2020-01-11 00:00:00,Platz der Deutschen Einheit,Stationär
2020-01-11 00:00:00,Platz von Netanya,Stationär
2020-01-13 00:00:00,Kleppingstraße Europabrunnen,Stationär
2020-01-13 00:00:00,Betenstraße,Stationär
2020-01-13 00:00:00,Reinoldikirchplatz,Stationär
2020-01-13 00:00:00,Märkische Straße 8-12,Stationär
2020-01-15 00:00:00,Ostenhellweg,Stationär
2020-01-16 00:00:00,Friedensplatz,Stationär
2020-01-16 00:00:00,Europabrunnen,Stationär
2020-01-17 00:00:00,Friedensplatz - Innenstadt,Aufzug
2020-01-18 00:00:00,Katharinenstraße,Stationär
2020-01-20 00:00:00,Kleppingstraße Europabrunnen,Stationär
2020-01-23 00:00:00,Friedensplatz,Stationär
2020-01-24 00:00:00,Platz an der Schlanken Mathilde,Stationär
2020-01-24 00:00:00,Reinoldikirchplatz,Stationär
2020-01-25 00:00:00,Platz von Netanya,Stationär
2020-01-25 00:00:00,Ritterhausstr./Möllerstr.,Stationär
2020-01-25 00:00:00,Europabrunnen,Stationär
2020-01-25 00:00:00,Hohe Straße 28 A,Stationär
2020-01-27 00:00:00,Kleppingstraße Europabrunnen,Stationär
2020-01-27 00:00:00,Heiliger Weg Ecke Südbahnhof,Stationär
2020-01-27 00:00:00,Weißenburgerstr./Gronau Straße,Stationär
2020-01-28 00:00:00,Westfalenhallen Halle 5,Stationär
2020-01-30 00:00:00,Friedensplatz,Stationär
2020-01-31 00:00:00,Reinoldikirchplatz,Stationär
2020-02-01 00:00:00,Westfalenhallen,Stationär
2020-02-01 00:00:00,Reinoldikirchplatz,Stationär
2020-02-01 00:00:00,Hauptbahnhof Lünen,Stationär
2020-02-01 00:00:00,Willy-Brandt-Platz,Stationär
2020-02-01 00:00:00,Willy-Brandt-Platz,Stationär
2020-02-03 00:00:00,Europabrunnen,Stationär
2020-02-04 00:00:00,Ostenhellweg,Stationär
2020-02-05 00:00:00,Europabrunnen,Stationär
2020-02-06 00:00:00,Friedensplatz,Stationär
2020-02-06 00:00:00,Reinoldikirche - Petrikirche,Aufzug
2020-02-08 00:00:00,Friedensplatz - Petrikirche,Aufzug
2020-02-08 00:00:00,Platz von Netanya,Stationär
2020-02-08 00:00:00,Europabrunnen,Stationär
2020-02-08 00:00:00,Platz von Netanya,Stationär
2020-02-08 00:00:00,Gutenbergstr. - RKP,Aufzug
2020-02-08 00:00:00,Platz der Deutschen Einheit,Stationär
2020-02-10 00:00:00,Europabrunnen,Stationär
2020-02-10 00:00:00,Betenstraße,Stationär
2020-02-11 00:00:00,Petrikirchhof,Stationär
2020-02-13 00:00:00,Friedensplatz,Stationär
2020-02-14 00:00:00,Willy-Brandt-Platz,Stationär
2020-02-14 00:00:00,Friedensplatz - Innenstadt,Aufzug
2020-02-15 00:00:00,Reinoldikirchplatz,Stationär
2020-02-15 00:00:00,Schlanke Mathilde Hörde,Stationär
2020-02-15 00:00:00,Petrikirchhof ,Stationär
2020-02-15 00:00:00,Reinoldikirchplatz Stand 4,Stationär
2020-02-15 00:00:00,Platz der Deutschen Einheit,Stationär
2020-02-16 00:00:00,Petrikirchhof ,Stationär
2020-02-17 00:00:00,Europabrunnen,Stationär
2020-02-18 00:00:00,Königswall - AOK,Aufzug
2020-02-18 00:00:00,Petrikirchhof ,Stationär
2020-02-19 00:00:00,Europabrunnen,Stationär
2020-02-20 00:00:00,Friedensplatz,Stationär
2020-02-20 00:00:00,Petrikirchhof ,Stationär
2020-02-20 00:00:00,Katharinenstraße,Stationär
2020-02-20 00:00:00,Nordstadt - Innenstadt,Aufzug
2020-02-21 00:00:00,Kampstraße DSW 21,Stationär
2020-02-21 00:00:00,Kampstraße DSW 22,Stationär
2020-02-22 00:00:00,Platz von Netanya,Stationär
2020-02-22 00:00:00,Platz der Deutschen Einheit,Stationär
2020-02-22 00:00:00,Platz von Netanya,Stationär
2020-02-22 00:00:00,Kampstraße DSW 21,Stationär
2020-02-22 00:00:00,Kampstraße DSW 21,Stationär
2020-02-23 00:00:00,Petrikirchhof ,Stationär
2020-02-23 00:00:00,Kampstraße DSW 21,Stationär
2020-02-25 00:00:00,Petrikirchhof ,Stationär
2020-02-26 00:00:00,Reinoldikirche,Stationär
2020-02-27 00:00:00,Friedensplatz,Stationär
2020-02-27 00:00:00,Petrikirchhof ,Stationär
2020-02-27 00:00:00,Kleyer Weg/Brandschachtstraße,Stationär
2020-02-27 00:00:00,DSW21-Kampstraße,Stationär
2020-02-29 00:00:00,Reinoldikirchplatz,Stationär
2020-02-29 00:00:00,Mehmet Kubsik Platz - Freiherr-vom-Stein-Platz,Aufzug
2020-02-29 00:00:00,Platz von Netanya,Stationär
2020-02-29 00:00:00,Platz von Netanya,Stationär
2020-02-29 00:00:00,Innenstadt,Aufzug
2020-03-01 00:00:00,Petrikirchhof,Stationär
2020-03-02 00:00:00,Europabrunnen,Stationär
2020-03-03 00:00:00,Reinoldikirchplatz,Stationär
2020-03-04 00:00:00,Reinoldikirchplatz,Stationär
2020-03-04 00:00:00,Reinoldikirchplatz,Stationär
2020-03-05 00:00:00,Friedensplatz,Stationär
2020-03-05 00:00:00,Petrikirchhof,Stationär
2020-03-07 00:00:00,Reinoldikirchplatz,Stationär
2020-03-07 00:00:00,Reinoldikirchplatz,Stationär
2020-03-07 00:00:00,Europabrunnen,Stationär
2020-03-07 00:00:00,Cinestar - RKP,Aufzug
2020-03-07 00:00:00,Reinoldikirchplatz,Stationär
2020-03-07 00:00:00,Kampstraße DSW 21,Stationär
2020-03-08 00:00:00,Friedensplatz,Aufzug
2020-03-09 00:00:00,Europabrunnen,Stationär
2020-03-11 00:00:00,"Lippebrücke, Lünen",Stationär
2020-03-11 00:00:00,Reinoldikirchplatz,Stationär
2020-03-12 00:00:00,Friedensplatz,Stationär
2020-03-13 00:00:00,Platz der Deutschen Einheit,Stationär
2020-03-14 00:00:00,Friedensplatz - Innenstadt,Stationär
2020-03-14 00:00:00,DSW21-Kampstraße,Stationär
2020-03-14 00:00:00,Platz von Netanya,Stationär
2020-03-14 00:00:00,Platz der Deutschen Einheit ,Stationär
2020-03-16 00:00:00,Europabrunnen,Stationär
2020-03-17 00:00:00,Friedensplatz - Friedensplatz,Aufzug
2020-03-18 00:00:00,Friedensplatz,Stationär
2020-03-18 00:00:00,Reinoldikirchplatz,Stationär
2020-03-19 00:00:00,Friedensplatz,Stationär
2020-03-20 00:00:00,Europabrunnen,Stationär
2020-03-20 00:00:00,Friedensplatz - Innenstadt,Aufzug
2020-03-20 00:00:00,DSW21 bis Körnebachstraße,Aufzug
2020-03-20 00:00:00,Schlanke Mathilde Hörde,Stationär
2020-03-21 00:00:00,Europabrunnen,Stationär
2020-03-21 00:00:00,Platz von Netanya,Stationär
2020-03-21 00:00:00,Sonnenplatz,Stationär
2020-03-21 00:00:00,Platz der Deutschen Einheit - Platz von Netanya,Aufzug
2020-03-22 00:00:00,Friedensplatz - Westpark,Aufzug
2020-03-23 00:00:00,Europabrunnen,Stationär
2020-03-25 00:00:00,Reinoldikirchplatz,Stationär
2020-03-26 00:00:00,Friedensplatz,Stationär
2020-03-27 00:00:00,Aplerbecker Grundschule - Aplerbecker Marktplatz,Aufzug
2020-03-28 00:00:00,U-Bahnhaltestelle Kampstraße,Stationär
2020-03-28 00:00:00,U-Bahnhaltestelle Kampstraße,Stationär
2020-03-28 00:00:00,Kampstraße - Platz der Alten Synagoge,Aufzug
2020-03-28 00:00:00,Westenhellweg,Stationär
2020-03-30 00:00:00,Europabrunnen,Stationär
2020-04-02 00:00:00,Propsteihof - Platz von Netanya,Aufzug
2020-04-04 00:00:00,Europabrunnen,Stationär
2020-04-04 00:00:00,Platz von Netanya,Stationär
2020-04-06 00:00:00,Europabrunnen,Stationär
11.04. - 13.04.2020,Wilhelmplatz - Stollenstraße,Aufzug
2020-04-11 00:00:00,Ostwall/Brüderweg ,Aufzug
2020-04-18 00:00:00,Europabrunnen,Stationär
2020-04-18 00:00:00,Platz von Netanya,Stationär
2020-04-20 00:00:00,Europabrunnen,Stationär
2020-04-24 00:00:00,Friedensplatz,Stationär
2020-04-24 00:00:00,Platz von Netanya,Stationär
2020-04-24 00:00:00,Schlanke Mathilde Hörde,Stationär
2020-04-24 00:00:00,Friedensplatz,Stationär
2020-04-25 00:00:00,Friedensplatz,Stationär
2020-04-27 00:00:00,Europabrunnen,Stationär
2020-04-29 00:00:00,Friedensplatz,Stationär
2020-05-01 00:00:00,Alte Synagoge - Westfallenpark,Aufzug
2020-05-01 00:00:00,Dorstfeld- Felherrenstraße,Aufzug
2020-05-01 00:00:00,Platz der Alten Synagoge,Stationär
2020-05-01 00:00:00,Katharinenstraße,Stationär
2020-05-01 00:00:00,Sonnenplatz,Stationär
2020-05-02 00:00:00,Friedensplatz - Hoeschpark,Aufzug
2020-05-02 00:00:00,Kleppingstraße ,Stationär
2020-05-03 00:00:00,Platz der Deutschen Einheit,Stationär
2020-05-03 00:00:00,Freistuhl,Stationär
2020-05-06 00:00:00,Friedensplatz,Stationär
2020-05-07 00:00:00,Hansaplatz,Stationär
2020-05-08 00:00:00,St. Josephkirche/Münsterstraße ,Stationär
2020-05-08 00:00:00,Friedensplatz,Stationär
2020-05-08 00:00:00,Rombergpark/Hörde/Phönixsee,Stationär
2020-05-08 00:00:00,Friedensplatz,Stationär
2020-05-08 00:00:00,Reinoldikirchplatz,Stationär
2020-05-08 00:00:00,Reinoldikirchplatz,Stationär
2020-05-09 00:00:00,Brauhausstraße/Hansaplatz,Stationär
2020-05-09 00:00:00,Friedensplatz,Stationär
2020-05-09 00:00:00,"Lippebrücke, Lünen",Stationär
