Datum,Ort,Art
2019-04-09 00:00:00,Wittener Straße,Stationär
2019-04-09 00:00:00,Aufzug Innenstadt,Stationär
2019-04-10 00:00:00,Aufzug Innenstadt,Aufzug
2019-04-10 00:00:00,Reinoldikirche,Stationär
2019-04-11 00:00:00,Centrum Propsteihof/Westerbleichstraße,Aufzug
2019-04-11 00:00:00,Reinoldikirche,Stationär
2019-04-11 00:00:00,Gerichtsstraße,Stationär
2019-04-11 00:00:00,Friedensplatz,Stationär
2019-04-12 00:00:00,Aufzug Innenstadt,Aufzug
2019-04-12 00:00:00,Reinoldikirche,Stationär
2019-04-12 00:00:00,Wittener Straße,Stationär
2019-04-13 00:00:00,Platz von Netanya,Stationär
2019-04-13 00:00:00,Aufzug Innenstadt,Aufzug
2019-04-13 00:00:00,Aufzug Innenstadt,Aufzug
2019-04-15 00:00:00,Europabrunnen,Stationär
2019-04-17 00:00:00,Aufzug Innenstadt,Aufzug
2019-04-18 00:00:00,Wittener Straße,Stationär
2019-04-18 00:00:00,Friedensplatz,Stationär
2019-04-18 00:00:00,Platz von Netanya,Stationär
2019-04-19 00:00:00,Aufzug Innenstadt,Aufzug
20.04. - 22.04.2019,Ostermarsch 2019,Aufzug
2019-04-20 00:00:00,Aufzug Innenstadt,Aufzug
2019-04-20 00:00:00,Aufzug Innenstadt,Aufzug
2019-04-25 00:00:00,Friedensplatz,Stationär
2019-04-26 00:00:00,Aufzug Innenstadt,Aufzug
2019-04-26 00:00:00,Reinoldikirchplatz,Stationär
2019-04-27 00:00:00,Platz von Netanya,Stationär
2019-04-27 00:00:00,Platz von Netanya,Stationär
2019-04-27 00:00:00,Aufzug Innenstadt,Aufzug
2019-04-27 00:00:00,Reinoldikirchplatz,Stationär
2019-04-28 00:00:00,Flurstr. 39,Aufzug
2019-04-29 00:00:00,Reinoldikirchplatz,Stationär
2019-04-30 00:00:00,Reindoldikirchplatz,Stationär
2019-05-01 00:00:00,Aufzug Westpark - Innenstadt - Scharnhorststr.,Aufzug
2019-05-01 00:00:00,Innenstadt - Westfalenpark,Aufzug
2019-05-02 00:00:00,Reinoldikirchplatz,Stationär
2019-05-02 00:00:00,Friedensplatz,Stationär
03.05.-05.05.2019,Aufzug Innenstadt - Westfalenhalle,Aufzug
2019-05-03 00:00:00,Aufzug Do-Dorstfeld,Aufzug
2019-05-03 00:00:00,Reinoldikirchplatz,Stationär
2019-05-03 00:00:00,Wilhelmplatz,Stationär
2019-05-04 00:00:00,Aufzug Innenstadt - Westfalenhalle,Aufzug
2019-05-04 00:00:00,Reinoldikirchplatz,Stationär
2019-05-04 00:00:00,Reinoldikirchplatz,Stationär
2019-05-04 00:00:00,Platz von Netanya,Stationär
2019-05-04 00:00:00,Platz von Netanya,Stationär
2019-05-04 00:00:00,Aufzug Innenstadt,Aufzug
