"Tabelle Übersicht Versammlungen 2022 (Kundgebungen und Demonstrationszüge)
Datum             KW     Beginn Uhr Ende Uh  Thema                                                                Demonstrationszug                                             Kundgebungsort                                                Min. Teilnah Max. Teilnehm Absage",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
2022-01-21 00:00:00,,,3,11:00,,,13:00 Augsburg muss tierversuchsfrei bleiben!,,,,,,,,,,,,,,,,,,,,,,,Werner-von-Siemens-Str.,,,,,,,,20,,,,,,,30,,,,,,
2022-01-21 00:00:00,,,3,15:00,,,"18:00 3 Jahre Fridays For Future Augsburg, wir",,,,,,,,,,,,,,,,,,,,,,,Rathausplatz,,,,,,,,300,,,,,,,300,,,,,,
"protestieren weiter bis die Stadtregierung ausreichende Klimaschutzmaßnahmen
umsetzt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.01.2022     3              12:30      17:30 Eine Gesellschaft im Widerspruch                                                                                                   Königsplatz - gegenüber Deutsche Bank                             2                      10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22.01.2022     3              14:00      17:00 Cube of Truth - Tierrechte/-befreiung,                                                                                           Königsplatz - Manzú-Brunnen                                              8                      20
Aufklärung über Tierausbeutung(sindustrie), Abschaffung/Überwindung von Karnismus & Speziesismus, vegane Lebensweise",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22.01.2022     3              17:00      19:00 Freie Impfentscheidung / Wahrung der
Grundrechte / Sichere Gesundheitsversorgung / Wahrheit mit belegbaren Zahlen",,,,,,,,,,,,,,,,,,,"Plärrergelände, Badstr., Klinkerberg, Schaezlerstr., Prinzregentenstr., Viktoriastr., Bahnhofstr., Schaezlerstr., Schießgrabenstr., Treppe zu Konrad-Adenauer-Allee, Hallstr., Maximilianstr., Karolinenstr., Karlstr., Ludwigstr., Grottenau, Kennedy-Platz, Volkhartstr., Gesundbrunnenstr., Badstr., Plärrgergelände",,,,,,,,,,,Plärrergelände                                                              5.000                 5.000,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"22.01.2022     3              18:00      21:00 Solidarisch durch die Krise: Geradeaus                                                                                           Königsplatz - kurze Bahnhofstraße                                    50                      50
denken. Der Wissenschaft vertrauen!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23.01.2022     3                7:15        7:45 Klimaschutz und Mobilitätswende statt
autogerechte Städte, wir zeigen auf, wo die Politik versagt: Innerstädtisch Tempo 30 und Reduktion der vierspurigen Straßen auf zweispurige statt Flächenversiegelung und Fokus auf den Automobilverkehr: Mobilitätswende Statt Antriebswende: Auf jeder vierspurigen Straße ist Platz für eine Tram und unter jeder Brücke Platz für ein Spruchband für Klimaschutz und Mobilitätswende.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moritzplatz                                                                         30                      30                          22.01.2022,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"23.01.2022     3                8:00        8:30 Spruchbänder an Autobahnbrücken sind kein                                                                                Autobahnbrücke Neuburger Str.                                       20                      20
Verbrechen - im Gegensatz zu der fatalen Verkehrspolitik von Stadt, Land und Bund, die trotz Klimakrise und Verkehrstoten immer noch kein Tempolimit von 60 km/h auf der A8 und von 50 km/h auf der B17 beschließt - Klimaschutz und Mobilitätswende statt Autostädte: A8 und B17 als Symbole einer fatalen Verkehrspolitik, die unverzüglich eine Mobilitätswende statt einer Antriebswende benötigt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-23 00:00:00,,,3,10:15,,,11:45 s. Anzeige,,,,,,,,,,,,"Rathausplatz, Karlstraße, Ludwigstraße,",,,,,,,,,,,Rathausplatz,,,,,,,,300,,,,,,,300,,,,,,
,,,,,,,,,,,,,,,,,,,"Grottenau, Kennedy-Platz, Am Alten Einlaß,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Schaezlerstraße, Schießgrabenstraße, Theodor-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Heuss-Platz, Eserwallstraße, Rote-Torwall-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Straße, Friedberger Straße (Bundesstraße B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"300), Berliner Allee (Bundesstraße B2),",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Amagasaki-Allee, Nagahama-Allee,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Provinostraße, Forsterstraße, Oberer Graben,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,"Leonhardsberg, Karolinenstraße, Rathausplatz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-23 00:00:00,,,3,12:00,,,"14:30 Offene Kommunikation mit Bürgern der
Stadt zu Themen die uns bewegen",,,,,,,,,,,,,,,,,,,,,,,Wittelsbacher Park,,,,,,,,10,,,,,,,20,,,,,,
2022-01-23 00:00:00,,,3,14:30,,,"16:00 Mahnwache gegen geplante Tierversuchslabore im Sigma Technopark ab 2022/2023, Motto: Augsburg muss
tierversuchsfrei bleiben",,,,,,,,,,,,,,,,,,,,,,,Ecke Stenglinstr./Virchowstr.,,,,,,,,2,,,,,,,20,,,,,,
2022-01-23 00:00:00,,,3,11:30,,,12:30 Bessere Unterstützung für Frauen im Schwangerschaftskonflikt; Lebensschutz,,,,,,,,,,,,,,,,,,,,,,,Rathausplatz,,,,,,,,10,,,,,,,20,,,,,,
2022-01-24 00:00:00,,,4,17:00,,,"18:00 Impfpflicht in Gesundheitsbranche +
Sozialberufe",,,,,,,,,,,,,,,,,,,,,,,Rathausplatz,,,,,,,,250,,,,,,,400,,,,,,2022-01-24
2022-01-24 00:00:00,,,4,17:30,,,18:00 gemeinsames Singen,,,,,,,,,,,,,,,,,,,,,,,Holbeinplatz,,,,,,,,35,,,,,,,100,,,,,,
2022-01-24 00:00:00,,,4,18:00,,,20:00 Freie Impfentscheidung / Wahrung der Grundrechte / Sichere Gesundheitsversorgung / Wahrheit mit belegbaren Zahlen,,,,,,,,,,,,"Plärrergelände, Badstr., Klinkerberg, Schaezlerstr., Prinzregentenstr., Viktoriastr., Bahnhofstr., Schaezlerstr., Schießgrabenstr., Treppe zu Konrad-Adenauer-Allee, Hallstr., Maximilianstr., Karolinenstr., Karlstr., Ludwigstr., Grottenau, Kennedy-Platz, Volkhartstr., Gesundbrunnenstr., Badstr., Plärrgergelände",,,,,,,,,,,Plärrergelände,,,,,,,,5,,,,,,,5,,,,,,
2022-01-24 00:00:00,,,4,18:30,,,20:00 Für Solidarität und Zusammenhang,,,,,,,,,,,,,,,,,,,,,,,Rathausplatz,,,,,,,,100,,,,,,,120,,,,,,
2022-01-26 00:00:00,,,4,17:00,,,"20:00 Cube of Truth - Tierrechte/-befreiung, Aufklärung über Tierausbeutung(sindustrie), Abschaffung/Überwindung von Karnismus & Speziesismus, vegane Lebensweise",,,,,,,,,,,,,,,,,,,,,,,Königsplatz - Manzú-Brunnen,,,,,,,,8,,,,,,,20,,,,,,
2022-01-28 00:00:00,,,4,16:00,,,"19:00 50 Jahre Radikalenerlass - für einen besseren
Schutz unserer Demokaratie",,,,,,,,,,,,,,,,,,,,,,,Ecke Jesuitengasse / Frauentorstraße,,,,,,,,15,,,,,,,15,,,,,,
2022-01-29 00:00:00,,,4,11:00,,,17:00 Die Wahrheitserklärung von Falun Dafa:,,,,,,,,,,,,,,,,,,,,,,,Königsplatz vor Anwesen Bgm.-Fischer-Str.,,,,,,,,3,,,,,,,10,,,,,,
,,,,,,,"Wahrhaftigkeit, Barmherzigkeit und",,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Nachsicht. Gegen die Verfolgung von Falun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Gong-Praktizierende und Organraub an Falun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Gong-Praktizierende in China. Petition mit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,der Unterschriftensammlung an die deutsche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Bundesregierung: Gegen Organraub an den,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,lebenden Menschen. Zur sofortigen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Beendigung der erzwungenen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Organentnahmen von Falun Gong-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Praktizierenden in der Volksrepublik China.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-01-29 00:00:00,,,4,12:30,,,17:30 Eine Gesellschaft im Widerspruch,,,,,,,,,,,,,,,,,,,,,,,Königsplatz - gegenüber Deutsche Bank,,,,,,,,2,,,,,,,10,,,,,,
2022-01-29 00:00:00,,,4,17:00,,,"20:00 Wir gedenken der Corona-Toten von
Augsburg",,,,,,,,,,,,,,,,,,,,,,,Rathausplatz,,,,,,,,300,,,,,,,300,,,,,,
2022-01-29 00:00:00,,,4,17:00,,,"19:00 Für freie Impfentscheidung / für die Zukunft unserer Kinder / für ein besseres, stabileres Gesundheitssystem / gegen Spaltung / für bessere, wertschätzendere Bezahlung d.",,,,,,,,,,,,"Plärrergelände, Badstr., Klinkerberg, Schaezlerstr., Hermanstr., Stettenstr., Theodor- Heuss-Platz, Konrad-Adenauer-Allee, Hallstr., Maximilianstr., Karolinenstr., Karlstr., Ludwigstr., Grottenau, Kennedy-Platz, Volkhartstr., Gesundbrunnenstr., Badstr.
Plärrergelände",,,,,,,,,,,Plärrergelände,,,,,,,,5,,,,,,,5,,,,,,
2022-01-30 00:00:00,,,4,12:00,,,"14:30 Offene Kommunikation mit Bürgern der
Stadt zu Themen die uns bewegen",,,,,,,,,,,,,,,,,,,,,,,Wittelsbacher Park,,,,,,,,10,,,,,,,20,,,,,,
2022-01-30 00:00:00,,,4,11:30,,,12:30 Bessere Unterstützung für Frauen im Schwangerschaftskonflikt; Lebensschutz,,,,,,,,,,,,,,,,,,,,,,,Rathausplatz,,,,,,,,10,,,,,,,20,,,,,,
2022-01-30 00:00:00,,,4,15:00,,,"17:00 Solidarität mit den 11 politischen
Gefangenen in Griechenland",,,,,,,,,,,,,,,,,,,,,,,Königsplatz - Manzú-Brunnen,,,,,,,,30,,,,,,,30,,,,,,
2022-01-31 00:00:00,,,5,17:00,,,"18:00 Impfpflicht in Gesundheitsbranche +
Sozialberufe",,,,,,,,,,,,,,,,,,,,,,,Rathausplatz,,,,,,,,250,,,,,,,400,,,,,,
2022-01-31 00:00:00,,,5,18:00,,,"20:00 Für freie Impfentscheidung / für die Zukunft unserer Kinder / für ein besseres, stabileres Gesundheitssystem / gegen Spaltung / für bessere, wertschätzendere Bezahlung d.",,,,,,,,,,,,"Plärrergelände, Badstr., Klinkerberg, Schaezlerstr., Hermanstr., Stettenstr., Theodor- Heuss-Platz, Konrad-Adenauer-Allee, Hallstr., Maximilianstr., Karolinenstr., Karlstr., Ludwigstr., Grottenau, Kennedy-Platz, Volkhartstr., Gesundbrunnenstr., Badstr.
Plärrergelände",,,,,,,,,,,Plärrergelände,,,,,,,,5,,,,,,,5,,,,,,
2022-01-31 00:00:00,,,5,17:30,,,18:00 gemeinsames Singen,,,,,,,,,,,,,,,,,,,,,,,Holbeinplatz,,,,,,,,35,,,,,,,100,,,,,,
2022-02-04 00:00:00,,,5,15:00,,,"18:00 Schlachthof-Mahnwache mit Ampelaktion an
der Kreuzung",,,,,,,,,,,,,,,,,,,,,,,"Am alten Schlachthof, Kreuzung Berliner
Allee",,,,,,,,5,,,,,,,10,,,,,,
2022-02-05 00:00:00,,,5,12:30,,,17:30 Eine Gesellschaft im Widerspruch,,,,,,,,,,,,,,,,,,,,,,,Königsplatz - gegenüber Deutsche Bank,,,,,,,,2,,,,,,,10,,,,,,
"05.02.2022     5              14:00      17:00 Cube of Truth - Tierrechte/-befreiung,
Aufklärung über Tierausbeutung(sindustrie), Abschaffung/Überwindung von Karnismus & Speziesismus, vegane Lebensweise",,,,,,,,,,,,,,,,,Willy-Brandt-Platz                                                                8                      20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-05 00:00:00,,,5,17:00,,,19:00 Für freie Impfentscheidung / für die Zukunft,,,,,,,,,,,,"Plärrergelände, Badstr., Klinkerberg,",,,,,,,,,,,Plärrergelände,,,,,,,,5,,,,,,,5,,,,,,
,,,,,,,"unserer Kinder / für ein besseres, stabileres",,,,,,,,,,,,"Schaezlerstr., Hermanstr., Stettenstr., Theodor-",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Gesundheitssystem / gegen Spaltung / für,,,,,,,,,,,,"Heuss-Platz, Konrad-Adenauer-Allee, Hallstr.,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"bessere, wertschätzendere Bezahlung d.",,,,,,,,,,,,"Maximilianstr., Karolinenstr., Karlstr.,",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
