region,city,date,organizer,topic,participants_registered,participants_actual
Baden-Württemberg,Karlsruhe,2023-01-27,,"Offenes Treffen Mehr Raum fürs Rad - Critical Mass Fahrradtour - Radfahrer fordern mit ihren Touren im Rahmen der weltweiten Critical-Mass-Bewegung mehr Rechte für Radfahrer, bessere Infrastruktur und mehr Platz im öffentlichen Verkehrsraum. Jeden letzten Freitag eines Monats. ",150.0,
Baden-Württemberg,Karlsruhe,2023-01-27,,Friedensverhandlungen im Ukraine Krieg / Sicherung bezahlbarer Energieversorgung / Erhalt des Bargeldes /Ende des Corona Impfexperiments / Für eine lebenswerte Gesellschaft,75.0,
Baden-Württemberg,Karlsruhe,2023-01-28,,Weltfrieden durch inneren Frieden,30.0,
Baden-Württemberg,Karlsruhe,2023-01-28,,Glaube,50.0,
Baden-Württemberg,Karlsruhe,2023-01-28,,Weltfrieden durch inneren Frieden,30.0,
Baden-Württemberg,Karlsruhe,2023-01-28,,Glaube,50.0,
Baden-Württemberg,Karlsruhe,2023-01-30,,Machtübertragung an den Nationalsozialismus am 30.01.1933,50.0,
Baden-Württemberg,Karlsruhe,2023-01-30,,Warnstreik/Tarifverhandlungen,80.0,
Baden-Württemberg,Karlsruhe,2023-01-30,,Machtübertragung an den Nationalsozialismus am 30.01.1933,50.0,
Baden-Württemberg,Karlsruhe,2023-01-30,,Warnstreik/Tarifverhandlungen,80.0,
Baden-Württemberg,Karlsruhe,2023-02-02,,"Frieden, Freiheit",20.0,
Baden-Württemberg,Karlsruhe,2023-02-02,,"für das Grundgesetz - für die Würde des Menschen - nie mehr den Kindern sagen, dass Ihre bloße Anwesenheit die Eltern töten könnte - nie mehr alte Menschen, die für unseren Wohlstand geschuftet haben, einsperren - Wir sind Bürger mit unterschiedlichen politischen Präferenzen und laden alle Demokraten zum friedlichen Meinungsaustausch ein. ",49.0,
Baden-Württemberg,Karlsruhe,2023-02-02,,WIR SIND BAUM,25.0,
Baden-Württemberg,Karlsruhe,2023-02-02,,"Frieden, Freiheit",20.0,
Baden-Württemberg,Karlsruhe,2023-02-02,,"für das Grundgesetz - für die Würde des Menschen - nie mehr den Kindern sagen, dass Ihre bloße Anwesenheit die Eltern töten könnte - nie mehr alte Menschen, die für unseren Wohlstand geschuftet haben, einsperren - Wir sind Bürger mit unterschiedlichen politischen Präferenzen und laden alle Demokraten zum friedlichen Meinungsaustausch ein. ",49.0,
Baden-Württemberg,Karlsruhe,2023-02-02,,WIR SIND BAUM,25.0,
Baden-Württemberg,Karlsruhe,2023-02-04,,Iran im Aufruhr,150.0,
Baden-Württemberg,Karlsruhe,2023-02-04,,Catcalls of Karlsruhe kreiden an,2.0,
Baden-Württemberg,Karlsruhe,2023-02-04,,Iran im Aufruhr,150.0,
Baden-Württemberg,Karlsruhe,2023-02-04,,Catcalls of Karlsruhe kreiden an,2.0,
Baden-Württemberg,Karlsruhe,2023-02-05,,Menschenrechtsverletzung,20.0,
Baden-Württemberg,Karlsruhe,2023-02-05,,Menschenrechtsverletzung,20.0,
Baden-Württemberg,Karlsruhe,2023-02-06,,Galerie der Gesellschaft,,
Baden-Württemberg,Karlsruhe,2023-02-06,,"Montagsdemo gegen die Hartz-Gesetze und Sozialabbau, Aktiver Widerstand für den Weltfrieden - gegen alle Kriegstreiber!",50.0,
Baden-Württemberg,Karlsruhe,2023-02-06,,"Montagsdemo gegen die Hartz-Gesetze und Sozialabbau, Aktiver Widerstand für den Weltfrieden - gegen alle Kriegstreiber!",50.0,
Baden-Württemberg,Karlsruhe,2023-02-06,,Galerie der Gesellschaft,,
Baden-Württemberg,Karlsruhe,2023-02-07,,"Stille Mahnwache für Frieden, Demokratie und Menschenrechte",8.0,
Baden-Württemberg,Karlsruhe,2023-02-07,,"Stille Mahnwache für Frieden, Demokratie und Menschenrechte",8.0,
Baden-Württemberg,Karlsruhe,2023-02-09,,"für das Grundgesetz - für die Würde des Menschen - Diplomaten schicken statt tödliche Waffen - nie mehr den Kindern sagen, dass Ihre bloße Anwesenheit die Eltern töten könnte - nie mehr alte Menschen, die für unseren Wohlstand geschuftet haben, einsperren - Wir sind Bürger mit unterschiedlichen politischen Präferenzen und laden alle Demokraten zum friedlichen Meinungsaustausch ein.",49.0,
Baden-Württemberg,Karlsruhe,2023-02-09,,"für das Grundgesetz - für die Würde des Menschen - Diplomaten schicken statt tödliche Waffen - nie mehr den Kindern sagen, dass Ihre bloße Anwesenheit die Eltern töten könnte - nie mehr alte Menschen, die für unseren Wohlstand geschuftet haben, einsperren - Wir sind Bürger mit unterschiedlichen politischen Präferenzen und laden alle Demokraten zum friedlichen Meinungsaustausch ein.",49.0,
Baden-Württemberg,Karlsruhe,2023-02-10,,"Friedensverhandlungen im Ukraine Krieg / Sicherung bezahlbarer Energieversorgung / Erhalt des Bargeldes /
Ende des Corona Impfexperiments / Für eine lebenswerte Gesellschaft",75.0,
Baden-Württemberg,Karlsruhe,2023-02-10,,Tierrechtsmarsch,200.0,
Baden-Württemberg,Karlsruhe,2023-02-10,,"Friedensverhandlungen im Ukraine Krieg / Sicherung bezahlbarer Energieversorgung / Erhalt des Bargeldes /
Ende des Corona Impfexperiments / Für eine lebenswerte Gesellschaft",75.0,
Baden-Württemberg,Karlsruhe,2023-02-11,,"FÜR bezahlbare Energie- und Lebenshaltungskosten, FÜR den Erhalt des Bargeldes, FÜR die Entschädigung der Impf-Opfer der Corona-Lüge, FÜR Friedensverhandlungen und FÜR Politikerhaftung",13.0,
Baden-Württemberg,Karlsruhe,2023-02-11,,"FÜR bezahlbare Energie- und Lebenshaltungskosten, FÜR den Erhalt des
Bargeldes, FÜR die Entschädigung der Impf-Opfer der Corona-Lüge, FÜR
Friedensverhandlungen und FÜR Politikerhaftung“",113.0,
Baden-Württemberg,Karlsruhe,2023-02-11,,"""Nein zur deutschen Beteiligung am Krieg!""",250.0,
Baden-Württemberg,Karlsruhe,2023-02-11,,"Nie wieder Faschismus, nie wieder Krieg! AfD-Aufmarsch verhindern!",500.0,
Baden-Württemberg,Karlsruhe,2023-02-11,,gegen Kuranverbrennung und Islamhass,3000.0,
Baden-Württemberg,Karlsruhe,2023-02-11,,Klimaschutz,20.0,
Baden-Württemberg,Karlsruhe,2023-02-11,,"FÜR bezahlbare Energie- und Lebenshaltungskosten, FÜR den Erhalt des Bargeldes, FÜR die Entschädigung der Impf-Opfer der Corona-Lüge, FÜR Friedensverhandlungen und FÜR Politikerhaftung",13.0,
Baden-Württemberg,Karlsruhe,2023-02-11,,"FÜR bezahlbare Energie- und Lebenshaltungskosten, FÜR den Erhalt des
Bargeldes, FÜR die Entschädigung der Impf-Opfer der Corona-Lüge, FÜR
Friedensverhandlungen und FÜR Politikerhaftung“",113.0,
Baden-Württemberg,Karlsruhe,2023-02-11,,Klimaschutz,20.0,
Baden-Württemberg,Karlsruhe,2023-02-14,,Tarifrunde öffentlicher Dienst - Streikdemonstration,150.0,
Baden-Württemberg,Karlsruhe,2023-02-14,,Tarifrunde öffentlicher Dienst - Streikdemonstration,150.0,
Baden-Württemberg,Karlsruhe,2023-02-16,,Tarifrunde öffentlicher Dienst,30.0,
Baden-Württemberg,Karlsruhe,2023-02-16,,"für das Grundgesetz - für die Würde des Menschen - Diplomaten schicken statt tödliche Waffen - nie mehr den Kindern sagen, dass Ihre bloße Anwesenheit die Eltern töten könnte - nie mehr alte Menschen, die für unseren Wohlstand geschuftet haben, einsperren - Wir sind Bürger mit unterschiedlichen politischen Präferenzen und laden alle Demokraten zum friedlichen Meinungsaustausch ein.",49.0,
Baden-Württemberg,Karlsruhe,2023-02-16,,Tarifrunde öffentlicher Dienst,30.0,
Baden-Württemberg,Karlsruhe,2023-02-16,,"für das Grundgesetz - für die Würde des Menschen - Diplomaten schicken statt tödliche Waffen - nie mehr den Kindern sagen, dass Ihre bloße Anwesenheit die Eltern töten könnte - nie mehr alte Menschen, die für unseren Wohlstand geschuftet haben, einsperren - Wir sind Bürger mit unterschiedlichen politischen Präferenzen und laden alle Demokraten zum friedlichen Meinungsaustausch ein.",49.0,
Baden-Württemberg,Karlsruhe,2023-02-18,,3 Jahre Hanau. Erinnern heißt kämpfen,100.0,
Baden-Württemberg,Karlsruhe,2023-02-18,,Gedenken und Unterstützung der Erdbebenopfer in der Türkei und Syrien,200.0,
Baden-Württemberg,Karlsruhe,2023-02-18,,3 Jahre Hanau. Erinnern heißt kämpfen,100.0,
Baden-Württemberg,Karlsruhe,2023-02-18,,Gedenken und Unterstützung der Erdbebenopfer in der Türkei und Syrien,200.0,
Baden-Württemberg,Karlsruhe,2023-02-20,,Situation der Studierenden in  Baden-Württemberg,50.0,
Baden-Württemberg,Karlsruhe,2023-02-20,,Situation der Studierenden in  Baden-Württemberg,50.0,
Baden-Württemberg,Karlsruhe,2023-02-22,,DES-Urteil,25.0,
Baden-Württemberg,Karlsruhe,2023-02-22,,DES-Urteil,25.0,
Baden-Württemberg,Karlsruhe,2023-02-23,,Demonstration mit anschließender Kundgebung zur Tarifrunde 2023 der Eisenbahn- und Verkehrsgewerkschaft (EVG).,200.0,
Baden-Württemberg,Karlsruhe,2023-02-23,,WIR SIND BAUM,50.0,
Baden-Württemberg,Karlsruhe,2023-02-23,,"für das Grundgesetz - für die Würde des Menschen - nie mehr den Kindern sagen, dass Ihre bloße Anwesenheit die Eltern töten könnte - nie mehr alte Menschen, die für unseren Wohlstand geschuftet haben, einsperren - Die RichterInnen des BVG sollten endlich Ihre Aufgabe erfüllen + darüber urteilen, ob manche Grundrechtseinschränkungen Grundgesetzwidrig waren - Wir sind Bürger mit unterschiedlichen politischen Präferenzen und laden alle Demokraten zum friedlichen Meinungsaustausch ein.",49.0,
Baden-Württemberg,Karlsruhe,2023-02-23,,Demonstration mit anschließender Kundgebung zur Tarifrunde 2023 der Eisenbahn- und Verkehrsgewerkschaft (EVG).,200.0,
Baden-Württemberg,Karlsruhe,2023-02-23,,WIR SIND BAUM,50.0,
Baden-Württemberg,Karlsruhe,2023-02-23,,"für das Grundgesetz - für die Würde des Menschen - nie mehr den Kindern sagen, dass Ihre bloße Anwesenheit die Eltern töten könnte - nie mehr alte Menschen, die für unseren Wohlstand geschuftet haben, einsperren - Die RichterInnen des BVG sollten endlich Ihre Aufgabe erfüllen + darüber urteilen, ob manche Grundrechtseinschränkungen Grundgesetzwidrig waren - Wir sind Bürger mit unterschiedlichen politischen Präferenzen und laden alle Demokraten zum friedlichen Meinungsaustausch ein.",49.0,
Baden-Württemberg,Karlsruhe,2023-02-24,,Gedenken des Jahrestages des russischen Angriffkrieges auf die Ukraine,50.0,
Baden-Württemberg,Karlsruhe,2023-02-24,,Radfahren for Justice (Den Haag nach Genf),4.0,
Baden-Württemberg,Karlsruhe,2023-02-24,,Anerkennung des Genozids an den Tamil*innen,10.0,
Baden-Württemberg,Karlsruhe,2023-02-24,,Gemeinsam für den Frieden,200.0,
Baden-Württemberg,Karlsruhe,2023-02-24,,Kundgebung anlässlich des Jahrestages des Angriefskrieges des Russlands auf die Ukraine,1500.0,
Baden-Württemberg,Karlsruhe,2023-02-24,,Critical Lichter Mass,200.0,
Baden-Württemberg,Karlsruhe,2023-02-24,,Friedensgebet,50.0,
Baden-Württemberg,Karlsruhe,2023-02-24,,"Autofahrer, die sich für ihre Rechte im Straßenverkehr einsetzen.",200.0,
Baden-Württemberg,Karlsruhe,2023-02-24,,Ein Jahr Ukrainekrieg - Stopp der Vorbereitung eines 3. Weltkriegs,25.0,
Baden-Württemberg,Karlsruhe,2023-02-24,,Catcalls of Karlsruhe kreiden an,2.0,
Baden-Württemberg,Karlsruhe,2023-02-24,,Sofortige Friedenverhandlungen in der Ukraine / Die Bundesregierung muss ihre Haltung und 360 Grad drehen und dann noch einmal um 180 Grad,75.0,
Baden-Württemberg,Karlsruhe,2023-02-24,,Gedenken des Jahrestages des russischen Angriffkrieges auf die Ukraine,50.0,
Baden-Württemberg,Karlsruhe,2023-02-24,,Kundgebung anlässlich des Jahrestages des Angriefskrieges des Russlands auf die Ukraine,1500.0,
Baden-Württemberg,Karlsruhe,2023-02-24,,Critical Lichter Mass,200.0,
Baden-Württemberg,Karlsruhe,2023-02-24,,Friedensgebet,50.0,
Baden-Württemberg,Karlsruhe,2023-02-24,,Ein Jahr Ukrainekrieg - Stopp der Vorbereitung eines 3. Weltkriegs,25.0,
Baden-Württemberg,Karlsruhe,2023-02-24,,Catcalls of Karlsruhe kreiden an,2.0,
