Anzahl Vers.,Datum ,SB,Thema,Versammlungen Ort,Uhrzeit,erwartete Teilnehmerzahl,Vermerk,interner Vermerk,Anzahl Aufzüge,Datum,SB.1,Thema.1,Anzahl Teilnehmer,Vermerk.1
24.0,2022-02-12 00:00:00,fo,Spaziergänger und Gegenaktion d. Linken Szene,vor Karstadt,16:00 Uhr ,,Versacht einer Versammlungslage aber keine Durchführung,,,,,,,
25.0,2022-02-13 00:00:00,fo,Stehen bleiben für mehr Solidarität,GRP,14:30 Uhr - 16:30 Uhr,60,,erl.,20,2022-02-13 00:00:00,fo,Wir sagen nein zur Impfpflicht. Schluss mit der Spaltung unserer Gesellschaft,3000,
26.0,2022-02-14 00:00:00,fo,One billion Rising,Tbilisser Platz,17:00 Uhr - 17:45 Uhr,200 - 300,,erl.,21,2022-02-14 00:00:00,fo,One billion Rising,5 bis 10,kleiner Aufzug vom SJM über Saarstraße zum Tbilisser Platz
,,,,,,,,,22,2022-02-14 00:00:00,fo,Querdenkerszene,1900-01-18 00:00:00,Aktion wurde von der Polizei nicht als Aufzug deklariert. Es erfolgte KEIN Kooperationsgespräch
27.0,2022-02-15 00:00:00,fo,Tarifrunde Sparkassen,Ludwigsplatz,9:30 Uhr - 11:30 Uhr,200,,erl.,,,,,,
28.0,2022-02-15 00:00:00,fo,,Markt Dudweiler,14:30 Uhr - 16:00 Uhr,25,,erl.,,,,,,
28.0,2022-02-19 00:00:00,fo,Kreidebilder zur Erinnerung an die Opfer des Gestapo-Lagers Neue Bremm in Saarbrücken,"diverse Plätze: Berliner Promenade (unterhalb der Treppe am Rabbiner-Rülf-Platz), Staatstheater (zw. Tiblisser Platz und alte Brücke), Landwehrplatz, St. Johanner Markt (in Höhe Kulturcafé),Berliner Promenade (unterhalb der Treppe am Rabbiner-Rülf-Platz), Staatstheater (zw. Tiblisser Platz und alte Brücke), Landwehrplatz, St. Johanner Markt (in Höhe Kulturcafé)",14:00 Uhr - 18:00 Uhr,je ca. 5,abgesagt,abgesagt,,,,,,
29.0,2022-02-19 00:00:00,fo,Gedenktag zum Anlass des zweiten Jahrestag des Anschlags in Hanau,vor ECE an Mauer,15:00 Uhr - 19:00 Uhr,20,,erl.,,,,,,
30.0,2022-02-19 00:00:00,fo,Botschaft der Bibel,vor Thalia,11:30 Uhr - 16:30 Uhr,10,,erl.,,,,,,
31.0,2022-02-20 00:00:00,fo,"Spazis raus, mit Nazis spaziert man nicht",Gustav-Regler-Platz,14:30 Uhr - 16:30 Uhr,60,,erl.,23,2022-02-20 00:00:00,fo ,Wir sagen nein zur Impfpflicht. Wir wollen keine Zweiklassengesellschaft,3000,
32.0,2022-02-24 00:00:00,sa,Mahnwache Ukraine,Tbilisser Platz,19:00 Uhr - 20:00 Uhr,50,Eilversammlung,,24,2022-02-25 00:00:00,sa,Autokorso,10-20 Fahrzeuge,
33.0,2022-02-24 00:00:00,fo,Spontanversammlung gegen den Einmarsch Russland in die Ukraine,vor ECE  ,18:00 Uhr - 18:35,,Spontanversammlung,,,,,,,
34.0,2022-02-26 00:00:00,sa,Symbolische Menschenkette ,Bahnhofstraße,14:00 Uhr - 16:00 Uhr,100,,erl.,25,25.02./26.02.2022,fo,Radfahren for Justice,,
35.0,2022-02-26 00:00:00,sa,"Mahnwache - Tierrechte, Veganismus",vor Thalia,14:00 Uhr - 18:00 Uhr,20,,erl.,,,,,,
36.0,2022-02-26 00:00:00,sa,"Verkündung der frohen Botschaft, des Evangeliums, zum kommenden Osterfestes",vor Primark,10:00 Uhr - 15:00 Uhr,5 bis 10,,erl.,,,,,,
37.0,2022-02-26 00:00:00,sa,Kundgebung gegen Kriege und Aufrüstung! Sofortiger Stopp aller Eskalationen!,Tbilisser Platz,11:55 Uhr - 13:30 Uhr,100,,erl.,,,,,,
38.0,2022-02-26 00:00:00,sa,Justice for Kurds zur Streichung der PKK von der Terrorliste. Freiheit für Öcalan,ECE vor der Mauer,14:00 Uhr - 17:00 Uhr,30,,erl.,,,,,,
39.0,2022-02-26 00:00:00,sa,Maßnahmen gegen die Maßnahmen,vor Lego,15:00 Uhr - 17:00 Uhr,5,,erl.,,,,,,
40.0,2022-02-27 00:00:00,sa,"Spazis raus, mit Nazis spaziert man nicht",GRP,14:30 Uhr - 16:30 Uhr,60,,,26,2022-02-27 00:00:00,fo,Wir sagen nein zur Impfpflicht. Wir wollen keine Zweiklassengesellschaft,3000,
41.0,2022-03-02 00:00:00,sa,Kriegsgeschehen in der Ukraine. Unterstützung der Einheit der souveränen Ukraine.,Tbilisser Platz,19:00 Uhr - 21:00 Uhr,300-500,,erl.,,,,,,
42.0,2022-03-02 00:00:00,sa,Friedensgebet anlässlich des Ukrainekonflikts,Ludwigsplatz,19:30 Uhr - 21:30 Uhr,500,,erl.,,,,,,
43.0,2022-03-03 00:00:00,sa,Justice for Kurds zur Streichung der PKK von der Terrorliste.Unterschrift Action,ECE vor der Mauer,14:00 uhr - 18:00 Uhr,20,,erl.,,,,,,
44.0,2022-03-05 00:00:00,sa,Kundgebung und Menschenkette über die Saar: Die Waffen nieder - Rückzug der russischen Truppen aus der Ukraine - Brücken bauen für den Frieden - Abrüsten und Klima retten statt Aufrüsten,Tbilisser Platz und Alte Brücke,11:55 Uhr - 13:00 Uhr,200,,erl.,,,,,,
45.0,2022-03-05 00:00:00,fo,Maßnahmen gegen die Maßnahmen,vor Lego-Store,15:00Uhr - 17:00 Uhr,6,,erl.,,,,,,
46.0,2022-03-05 00:00:00,fo,"Unüberlegte angeschaffte Hunde, mehr Aufklärung vor dem Hundekauf, Kompetenzförderung für bestimmte Rassen, spezielle Hunderassen im Tierschutz – Skangalös – Ein Hund ist kein Statussymbol und Nicht.Einfach.Hund",vor ECE an der Mauer,15:30 Uhr - 16:30 Uhr,30-50, ,erl., , , , ,,
47.0,2022-03-05 00:00:00,fo,Mahnwache zum Ukraine-Konflikt,Max-Ophüls-Platz,20:00 Uhr - 22:00 Uhr,100,,erl.,27,erl.05.03.2022,fo,"Unterstützung ""Wir werden Laut""",50,
48.0,2022-03-06 00:00:00,fo,"Spazis raus, mit Nazis spaziert man nicht",GRP,14:30 Uhr - 16:30 Uhr,60,,erl.,28,erl.06.03.2022,fo,Wir sagen Nein zur Impfpflicht-Gegen die Spaltung unserer Gesellschaft,3000,
49.0,2022-03-06 00:00:00,sa,"Kriegsgeschehen in der Ukraine, Unterstützung der Einheit der souveränen Ukraine",Tbilisser Platz,13:00 uhr - 15:00 Uhr,300-500,,erl.,,,,,,
50.0,2022-03-07 00:00:00,sa,Montagsdemo,vor ECE 2,18:00 uhr - 19:15 Uhr,20,,erl.,,,,,,
