Anzahl Vers.,Datum ,SB,Versammlungen Ort,Vermerk,Unnamed: 5,Anzahl Aufzüge,Datum,SB.1,Vermerk.1,Unnamed: 10
55.0,2020-05-21 00:00:00,fr,Festplatz Güdingen,,,,,,,
56.0,2020-05-22 00:00:00,fr,Europagalerie,,,,,,,
57.0,2020-05-23 00:00:00,fr,Tbilisser Platz,,,,,,,
58.0,2020-05-23 00:00:00,fo,Tbilisser Platz,abgesagt,,,,,,
59.0,2020-05-23 00:00:00,fr,vor ECE Höhe Karl-Marx-Straße,,,,,,,
60.0,2020-05-24 00:00:00,fr,Tbilisser Platz,,,,,,,
61.0,2020-05-25 00:00:00,fo,vor ECE Höhe Karl-Marx-Straße,,,,,,,
62.0,2020-05-27 00:00:00,fr,Tbilisser Platz,,,,,,,
63.0,2020-05-28 00:00:00,fo,Franz-Josef-Röder-Straße vor Wirtschaftsministerium,,,,,,,
64.0,2020-05-29 00:00:00,fr,Vorplatz Schloss SB,,,,,,,
65.0,2020-05-29 00:00:00,fo,Parkplatz Calypso,abgesagt,,,,,,
66.0,2020-05-30 00:00:00,fo,Tbilisser Platz,,,,,,,
67.0,2020-05-30 00:00:00,fr,Europagalerie,,,,,,,
68.0,2020-05-30 00:00:00,fr,vor ECE Höhe Karl-Marx-Straße,,,,,,,
69.0,2020-05-30 00:00:00,fo,66130 Saarbrücker Straße 122,,,,,,,
70.0,2020-05-31 00:00:00,fo,Tbilisser Platz,,,,,,,
71.0,2020-06-02 00:00:00,,SJM,Eilversammlung über PI angemeldet,,,,,,
72.0,2020-06-03 00:00:00,fo,Gustav-Regler-Platz,,,,,,,
73.0,2020-06-06 00:00:00,fo,Menschenkette,,,,,,,
74.0,2020-06-06 00:00:00,fo,Tbilisser Platz,,,,,,,
75.0,2020-06-06 00:00:00,fo,vor ECE Höhe Karl-Marx-Straße,,,,,,,
76.0,2020-06-06 00:00:00,fo,Congresshalle,,,,,,,
77.0,2020-06-06 00:00:00,fr,vor ECE   ,,,,,,,
78.0,2020-06-07 00:00:00,fr,Tbilisser Platz,abgesagt,,27,2020-06-07,,abgesagt vom Anmelder wg. Corona-Krise,
79.0,2020-06-07 00:00:00,fr,Tbilisser Platz,,,,,,,
80.0,2020-06-08 00:00:00,fr,vor ECE Höhe Karl-Marx-Straße,,,,,,,
81.0,2020-06-11 00:00:00,fr,,,,,,,,
82.0,2020-06-12 00:00:00,fr,,,,,,,,
83.0,2020-06-12 00:00:00,fo,Landtag,,,,,,,
84.0,2020-06-12 00:00:00,fo,vor ECE,,,,,,,
85.0,2020-06-13 00:00:00,fr,Heinestraße,abgesagt vom Anmelder wg. Corona-Krise,,,,,,
86.0,2020-06-13 00:00:00,fr,Heinestraße,,,,,,,
87.0,2020-06-13 00:00:00,fo,Tbilisser Platz,,,,,,,
88.0,2020-06-13 00:00:00,fr,,,,,,,,
89.0,2020-06-13 00:00:00,fo,Congresshalle,,,,,,,
90.0,2020-05-14 00:00:00,fo,Congresshalle,,,,,,,
91.0,2020-06-14 00:00:00,fr,Tbilisser Platz,abgesagt,,,,,,
92.0,2020-06-14 00:00:00,fo,Franz-Josef-Röder-Straße vor Wirtschaftsministerium,,,,,,,
93.0,2020-06-14 00:00:00,fr,,,,,,,,
94.0,2020-06-15 00:00:00,fo,vor ECE,Eilversammlung   ,,,,,,
95.0,2020-06-19 00:00:00,fo,Tbilisser Platz,,,,,,,
96.0,2020-06-19 00:00:00,fo,vor ECE,,,,,,,
97.0,2020-06-20 00:00:00,fo,Tbilisser Platz,,,,,,,
98.0,2020-06-20 00:00:00,fo,,abgesagt vom Anmelder wg. Corona-Krise,,,,,20.06.2020 Fahrradbörse auf Tbilisser Platz,
99.0,2020-06-20 00:00:00,fo,vor ECE,,,,,,,
100.0,2020-06-21 00:00:00,fr,Tbilisser Platz,abgesagt,,,,,,
101.0,2020-06-22 00:00:00,fo,Tbilisser Platz,,,,,,,
102.0,2020-06-24 00:00:00,fo,Gersweiler bei Fa. Woll,,,,,,,
103.0,2020-06-26 00:00:00,fo,vor ECE,,,,,,,
104.0,2020-06-27 00:00:00,fo,Bahnhofstraße vor Legostor,,,,,,,
105.0,2020-06-28 00:00:00,fr,Tbilisser Platz,abgesagt,,,,,,
106.0,2020-07-01 00:00:00,fo,Tbilisser Platz,,,,,,,
107.0,2020-07-02 00:00:00,fo,vor Saarbrücker Schloss,,,,,,,
108.0,2020-07-02 00:00:00,fr,Europagalerie,,,,,,,
109.0,2020-07-03 00:00:00,fo,Max-Braun-Platz (neben LWP),,,,,,,
110.0,2020-07-03 00:00:00,fr,vor ECE,,,,,,,
111.0,2020-07-04 00:00:00,fo,Goldene Bremm,abgesagt,,,,,,
112.0,2020-07-04 00:00:00,fr,Bahnhofstraße vor Legostor,,,,,,,
113.0,2020-07-04 00:00:00,fo,vor ECE,,,,,,,
114.0,2020-07-04 00:00:00,fr,Europagalerie,,,,,,,
115.0,2020-07-06 00:00:00,fr,Europagalerie,,,,,,,
116.0,2020-07-08 00:00:00,fo,Rathausplatz,,,  ,,,,
117.0,2020-07-10 00:00:00,fo,vor Congresshalle,,,,,,,
118.0,2020-07-11 00:00:00,fo,Tbilisser Platz,,,,,,,
119.0,2020-07-11 00:00:00,fr,Tbilisser Platz,,,,,,,
120.0,2020-07-11 00:00:00,fo,vor ECE,,,,,,,
121.0,2020-07-11 00:00:00,fo ,Heinestraße,,,,,,,
122.0,2020-07-17 00:00:00,fo,vor ECE,,,,,,,
123.0,2020-07-18 00:00:00,fr,Bahnhofstraße,,,,,,,
124.0,2020-07-18 00:00:00,fr,Europagalerie,,,,,,,
125.0,2020-07-18 00:00:00,fr,Ludwigsparkstadion,,,,,,,
126.0,2020-07-18 00:00:00,fo,vor ECE,,,,,,,
127.0,2020-07-25 00:00:00,fr,vor ECE,,,,,,,
128.0,2020-07-25 00:00:00,fo,Rathaus Menschenkette,,,,,,,
129.0,2020-07-25 00:00:00,,Spontanversammlung im Rewe Markt,,,,,,,
130.0,2020-08-01 00:00:00,fr,Europagalerie,,,,,,,
131.0,2020-08-01 00:00:00,fr,Bahnhofstraße Legostore,,,,,,,
132.0,2020-08-03 00:00:00,fr,Europagalerie,,,,,,,
133.0,2020-08-03 00:00:00,fr,Europagalerie,,,,,,,
134.0,2020-08-06 00:00:00,fr,Landtag,,,28,2020-08-06,xa,Autokorso/Tbilisser Platz,
135.0,2020-08-08 00:00:00,fo,Heinestraße,,,,,,,
136.0,2020-08-13 00:00:00,fo,vor ECE,,,,,,,
137.0,2020-08-14 00:00:00,fr,Europagalerie,,,,,,,
138.0,2020-08-15 00:00:00,fr,Europagalerie,,,,,,,
139.0,2020-08-15 00:00:00,fr,Europagalerie,,,,,,,
140.0,2020-08-19 00:00:00,fo,Europagalerie,,,,,,,
141.0,2020-08-20 00:00:00,fo,Gersweiler bei Fa. Woll,ohne Anmeldung,,29,2020-08-20,fo,Ohne Anmeldung,
142.0,2020-08-22 00:00:00,fr,Bahnhofstraße 77,,,,,,,
143.0,2020-08-22 00:00:00,fo,vor Karstadt,,,,,,,
144.0,2020-08-22 00:00:00,fo,vor ECE,,,,,,,
145.0,2020-08-22 00:00:00,fo,Tbilisser Platz,,,,,,,
146.0,2020-08-26 00:00:00,fo,CCS vor Congresshalle,,,,,,,
147.0,2020-08-28 00:00:00,fo,vor ECE,,,,,,,
148.0,2020-08-28 00:00:00,fo,vor Congresshalle,,,,,,,
149.0,2020-08-29 00:00:00,fo,Cora-Eppstein-Platz,,,,,,,
150.0,2020-08-29 00:00:00,fo,St. Johanner Markt,,,,,,,
151.0,2020-09-01 00:00:00,fo,SJM Brunnen,,,,,,,
152.0,2020-09-02 00:00:00,fo,Hermann-Löns Weg,"Keine Versammlung, nur Filmtermin",,,,,,
153.0,2020-09-05 00:00:00,fo,vor Karstadt,,,,,,,
154.0,2020-09-07 00:00:00,fr,ECE,,,,,,,
155.0,2020-09-10 00:00:00,fo,vor ECE,Eilversammlung,,,,,,
156.0,2020-09-12 00:00:00,fo,Heinestraße,,,,,,,
157.0,2020-09-12 00:00:00,fo,Bahnhofstraße 77,,,,,,,
158.0,2020-09-12 00:00:00,fo,vor ECE,,,,,,,
159.0,2020-09-13 00:00:00,fo, ,,,,,,,
160.0,2020-09-15 00:00:00,fo,Alte Brücke,abgesagt,,,,,,
161.0,2020-09-17 00:00:00,fo,Tbilisser Platz,abgesagt,,,,,,
162.0,2020-09-17 00:00:00,fr,Reichsstraße Ecke Karl-Marx-Straße,,,,,,,
163.0,2020-09-18 00:00:00,fo,divers,,,,,,,Flohmarkt Franz-Josef-Röder-Straße
164.0,2020-09-18 00:00:00,fo,Landtag,abgesagt,,,,,,14.03.; 11.04.;09.05.;13.06.;18.07.
165.0,2020-09-18 00:00:00,fo,vor Ludwigskirche,,,,,,,22.08.;12.09.;10.10.;14.11. 8bis16Uhr
166.0,2020-09-19 00:00:00,fr,Reichsstraße Ecke Karl-Marx-Straße,abgesagt,,,,,,
167.0,2020-09-23 00:00:00,fo,Reichsstraße Ecke Karl-Marx-Straße,,,,,,,
168.0,2020-09-25 00:00:00,fo,Stengelstraße,,,30,2020-09-25,fo, nicht angemeldeter Aufzug,
169.0,2020-09-26 00:00:00,fr,vor Legostore,,,,,,,
170.0,2020-09-26 00:00:00,fr,Bahnhofstraße 91-93,,,,,,,04.10.2020 Verkaufsoffener Sonntag
171.0,2020-09-30 00:00:00,fo,vor ECE,,,,,,,
172.0,2020-10-02 00:00:00,fo,Ahrstraße 3 ,,,,,,,
173.0,2020-10-02 00:00:00,fo,vor Karstadt,,,,,,,
174.0,2020-10-05 00:00:00,fr,ECE 2,,,,,,,
175.0,2020-10-04 00:00:00,fo,Tbilisser Platz,,,,,,,
176.0,2020-10-06 00:00:00,fo,vor Congresshalle,,,,,,,
177.0,2020-10-10 00:00:00,fo,Heinestraße,,,,,,,
178.0,2020-10-10 00:00:00,fo,vor ece,,,,,,,
179.0,2020-10-10 00:00:00,fr,Bahnhofstraße 77,,,,,,,
180.0,2020-10-10 00:00:00,fo,,,,,,,,
181.0,2020-10-12 00:00:00,fo,Rathausinnenhof,,,,,,,
182.0,2020-10-12 00:00:00,fo,ZKE - Am Holzbrunnen,fällt nicht unter das Versammlungsrecht,,,,,,
183.0,2020-10-13 00:00:00,fo,St. Johanner straße 46-48,,,,,,,
184.0,2020-10-14 00:00:00,fo,vor ECE,,,,,,,
185.0,2020-10-15 00:00:00,fo,Mainzer Straße 261,,,,,,,
186.0,2020-10-16 00:00:00,fo,Wendel-Schorr-Straße,,,,,,,
187.0,2020-10-17 00:00:00,fr,Bahnhofstraße 77,,,,,,,
188.0,2020-10-17 00:00:00,fo,Tbilisser Platz,,,,,,,
189.0,2020-10-22 00:00:00,fo ,vor Saarbrücker Schloss,nicht im Sinne d. Versammlungsrechts angemeldet,,,,,,
190.0,2020-10-24 00:00:00,fo,Bahnhofstraße 77,,,,,,,
191.0,2020-10-30 00:00:00,fo,an Naussauer Str. vor Sparkasse,,,,,,,
192.0,2020-10-31 00:00:00,fo,vor Karstadt,abgesagt,,,,,,
193.0,2020-10-31 00:00:00,fr,Waldstraße 21 66125 Saarbrücken,,,,,,,
,2020-11-01 00:00:00,,,,,,2020-11-01,,Versammlungsverbot Sonn- und Feiertagsgestetz siehe § 8,
,2020-11-02 00:00:00,,Versammlungsverbot bis 18:00 nach § 8 Sonn- und Feiertagsgesetz ,,,,2020-11-02,,Versammlungsverbot Sonn- und Feiertagsgestetz siehe § 8,
194.0,2020-11-02 00:00:00,fr,ECE 2,,,,,,,
195.0,2020-11-05 00:00:00,fo,vor CCS,,,,,,,
196.0,2020-11-05 00:00:00,fo,vor ECE,,,,,,,
197.0,2020-11-06 00:00:00,fo,vor ECE,,,,,,,
198.0,2020-11-07 00:00:00,fo,Bahnhofstraße 77,,,,,,,
199.0,2020-11-07 00:00:00,fo,vor ECE,,,,,,,
200.0,2020-11-08 00:00:00,fo,Bahnhofstraße 77,,,,,,,
201.0,2020-11-09 00:00:00,fo,Garten Landtag,,,,,,,
202.0,2020-11-11 00:00:00,fo ,Bildungsministerium,,,,,,,
203.0,2020-11-14 00:00:00,fo,Heinestraße,,,,,,,CitySkyliner Tbilisser Platz Nov. Dez.
204.0,2020-11-14 00:00:00,fo,ECE  ,abgesagt,,,,,,
205.0,2020-11-14 00:00:00,fo,Heinestraße,abgesagt,,,,,,08.11.2020 Verkaufsoffener Sonntag - ABGESAGT
206.0,2020-11-14 00:00:00,fo,vor ECE,,,,,,,
,2020-11-15 00:00:00,,,,,,2020-11-15,,Versammlungsverbot Sonn- und Feiertagsgestetz siehe § 8,
207.0,2020-11-15 00:00:00,fo,Rathausplatz,zurückgewiesen/untersagt - Gerichtsentschreidung,,,,,,
208.0,2020-11-15 00:00:00,fo,E-Werk,Eilversammlung,,,,,,
209.0,2020-11-15 00:00:00,fo,E-Werk,Eilversammlung,,,,,,
210.0,2020-11-15 00:00:00,fo,E-Werk,Eilversammlung,,,,,,
211.0,2020-11-15 00:00:00,fo,E-Werk,Eilversammlung,,,,,,
212.0,2020-11-15 00:00:00,fo,E-Werk,Eilversammlung,,,,,,
213.0,2020-11-15 00:00:00,fo,E-Werk,Eilversammlung,,,,,,
214.0,2020-11-15 00:00:00,fo,E-Werk,Eilversammlung,,,,,,
215.0,2020-11-15 00:00:00,fo,E-Werk,Eilversammlung,,,,,,
216.0,16.11-19.11.2020,fo,Saarlandweit ,Scheinanmeldung,,,,,,
217.0,16.11-19.11.2020,fo,Saarlandweit ,Scheinanmeldung,,,,,,
218.0,16.11-19.11.2020,fo,Saarlandweit ,Scheinanmeldung,,,,,,
219.0,16.11-19.11.2020,fo,Saarlandweit ,Scheinanmeldung,,,,,,
220.0,2020-11-16 00:00:00,fo,vor Staatskanzlei,Spontanversammlung,,,,,,
,2020-11-18 00:00:00,,,,,,2020-11-18,,Versammlungsverbot Sonn- und Feiertagsgestetz siehe § 8,
221.0,2020-11-18 00:00:00,fo,Franz-Josef-Röder-Straße  ,abgesagt,,,,,,
222.0,2020-11-18 00:00:00,fo,Franz-Josef-Röder-Straße,"neu angemeldet, Verfügung ab 18:00 Uhr",,,,,,
223.0,2020-11-21 00:00:00,fr,Bahnhofstraße 77,,,,,,,
224.0,2020-11-21 00:00:00,fo,vor ECE bis 15:00,,,,,,,
225.0,2020-11-21 00:00:00,fo,SJM,"INFOVERSANSTALTUNG Klärung, Bearbeitung 32.3",,,,,,
226.0,2020-11-21 00:00:00,fo,vor ECE ab 16:00,,,,,,,
,2020-11-22 00:00:00,,,,,,2020-11-22,,Versammlungsverbot Sonn- und Feiertagsgestetz siehe § 8,
227.0,2020-11-24 00:00:00,fo,Eilversammlung,,,,,,,
228.0,2020-11-25 00:00:00,fo,SJM,,,,,,,
229.0,2020-11-25 00:00:00,fo,Rathausplatz,,,,,,,
230.0,2020-11-26 00:00:00,fo,vor ECE,Eilversammlung,,,,,,
231.0,2020-11-28 00:00:00,fr,Bahnhofstraße Höhe Galeria Kaufhof,,,,,,,
232.0,2020-11-28 00:00:00,fo,Landwehrplatz,,,,,,,
233.0,2020-11-30 00:00:00,fo,Ludwigsplatz,NICHT ANGEMELDET,,,,,,
234.0,2020-12-05 00:00:00,fr,Bahnhofstraße 77,,,,,,,
235.0,2020-12-05 00:00:00,fr,Gustav-Regler-Platz,,,,,,,
236.0,2020-12-05 00:00:00,fr,St. Johanner Markt,abgesagt,,,,,,
237.0,2020-12-05 00:00:00,fo,Tbilisser Platz,,,,,,,
238.0,2020-12-05 00:00:00,fo,vor ECE,,,,,,,
239.0,2020-12-05 00:00:00,fo,vor ECE,,,,,,,
240.0,2020-12-07 00:00:00,fo,Ludwigsplatz,,,,,,,
241.0,2020-12-07 00:00:00,fr,Reichsstraße Ecke Karl-Marx-Straße,,,,,,,
242.0,2020-12-08 00:00:00,fo,vor ECE,NUR WERBESTAND,,,,,,
243.0,2020-12-10 00:00:00,fo,vor MDI,,,,,,,
244.0,2020-12-11 00:00:00,fr,GRP,,,,,,,
245.0,2020-12-12 00:00:00,fo,Tbilisser Platz,,,,,,,
246.0,2020-12-12 00:00:00,fr,Heinestraße,,,,,,,
247.0,2020-12-12 00:00:00,fo,Gustav-Regler-Platz,,,,,,,
248.0,2020-12-12 00:00:00,fo,Tbilisser Platz,,,,,,,
249.0,2020-12-13 00:00:00,fo,Schloßplatz,Klärung Versammlung od. Wortgottesdienst ->Wortgottesdienst,,,,,,
250.0,2020-12-14 00:00:00,fo,Ludwigsplatz vor Staatskanzlei,,,,,,,
251.0,2020-12-14 00:00:00,fo,vor ECE,Spontanversammlung/Eilversammlung über Polizei,,,,,,
252.0,2020-12-17 00:00:00,fr,Ludwigsplatz,abgesagt,,,,,,
253.0,2020-12-19 00:00:00,fr,GRP,,,,,,,
254.0,2020-12-19 00:00:00,fr,Bahnhofstraße 54,,,,,,,
255.0,2020-12-19 00:00:00,fo,vor ECE,Spontanversammlung,,,,,,
256.0,2020-12-30 00:00:00,xa,Krughütterstraße-Richtung,,,,,,,12.12.2020 Lange Einkaufsnacht
,,,Schöneck“ in Saarbrücken-Gersweiler,,,,,,,
,2020-12-24 00:00:00,,,,,,2020-12-24,,Versammlungsverbot Sonn- und Feiertagsgestetz siehe § 8,
