Anzahl Vers.,Datum ,Versammlungen Ort,Vermerk,Unnamed: 4,Anzahl Aufzüge,Datum,Vermerk.1,Unnamed: 8,Unnamed: 9,Unnamed: 10
31.0,2019-03-20 00:00:00,Landwehrplatz,,,22.0,2019-03-20 00:00:00,,,,
32.0,2019-03-20 00:00:00,St. Johanner Markt,abgesagt,,,,,,,
33.0,2019-03-21 00:00:00,Gustav-Regler-Platz,,,,,,,,
34.0,2019-03-23 00:00:00,vor ECE,,,23.0,2019-03-23 00:00:00,,,,
,,,,,24.0,2019-03-24 00:00:00,abgesagt,,,
,,,,,25.0,2019-03-24 00:00:00,,,,
35.0,2019-03-25 00:00:00,Vor ECE,,,,,,,,
36.0,2019-03-26 00:00:00,Vor ECE,,,,,,,,
,,,,,26.0,2019-03-27 00:00:00,Eilversammlung,,,
37.0,2019-03-30 00:00:00,Bahnhofstraße 72/74 - 77/79,verlegt auf den 06.04.2019,,,,,,,
,,,,,27.0,2019-04-01 00:00:00,,,,
38.0,2019-04-06 00:00:00,St. Johanner Markt,,,,,11.03.-31.05.19 Fläche vor Thalia ist Baufeld,,,
37.0,2019-04-06 00:00:00,Bahnhofstraße 72/74 - 77/79,,,,,11.03.-31.05.19 Fläche vor Thalia ist Baufeld,,,
39.0,2019-04-06 00:00:00,ECE 3,,,,,11.03.-31.05.19 Fläche vor Thalia ist Baufeld,,,
40.0,2019-04-06 00:00:00,Reichsstraße in Höhe Karl-Marx-Str.,,,,,11.03.-31.05.19 Fläche vor Thalia ist Baufeld,,,
,,,,,28.0,2019-04-09 00:00:00,11.03.-31.05.19 Fläche vor Thalia ist Baufeld,,,
,,,,,29.0,2019-04-10 00:00:00,11.03.-31.05.19 Fläche vor Thalia ist Baufeld,,,
41.0,2019-04-13 00:00:00,St. Johanner Markt,,,30.0,2019-04-13 00:00:00,abgesagt,,,
42.0,2019-04-13 00:00:00,vor ECE,,,31.0,2019-04-13 00:00:00,abgesagt,,,
43.0,2019-04-13 00:00:00,Heinestraße 2-4,nicht angemeldet,,,,,,,
44.0,2019-04-16 00:00:00,vor Staatskanzlei,,,,,,,,
,2019-04-19 00:00:00,,,,,2019-04-19 00:00:00,Versammlungsverbot Sonn- und Feiertagsgestetz siehe § 8,,,
45.0,2019-04-20 00:00:00,Bahnhofstraße 72/74 - 77/79,zeitlich nicht voneinander tangiert,,32.0,2019-04-20 00:00:00,11.03.-31.05.19 Fläche vor Thalia ist Baufeld,,,
46.0,2019-04-20 00:00:00,Vor ECE,,,,,,,,
,,,,,33.0,2019-04-23 00:00:00,,,,
