Anzahl Vers.,Datum ,Thema der Versammlung,Uhrzeit,erwartete Teilnehmerzahl,Anzahl Aufzüge,Datum,Thema des Aufzuges
39.0,2023-02-19 00:00:00,Mahnwache: Gedenken an den 3. Jahrestag der rassistischen Anschläge in Hanau ,15:00 Uhr - 18:00 Uhr ,300,, ,
,,,,,9.0,2023-02-21 00:00:00,Tarifrunde öffentlicher Dienst Bereich Krankenhäuser
40.0,2023-02-23 00:00:00,Mahnwache im Rahmen der Aktion Leuchtturm ARD,16:00 Uhr - 18:00 Uhr,5 bis 8,10.0,2023-02-23 00:00:00,Radfahren for Justice (Den Haag nach Genf)
41.0,2023-02-23 00:00:00,Protestaktion: Energie- und Ölkonzerne enteignen! Krisengewinne umverteilen! Genug ist genug,16:30 Uhr - 17:30 Uhr,20,,,
42.0,2023-02-24 00:00:00,Ein Jahr Russland-Ukraine-Krieg: Die Waffen nieder! Kriege beenden! Brücken bauen für den Frieden,15:00 Uhr - 17:00 Uhr ,50,11.0,2023-02-24 00:00:00,UkraineFreundeSaar i.Gr.e.V - Kriegsgeschehen in der Ukraine - Unterstützung der Einheit der souveränen Ukraine
43.0,2023-02-25 00:00:00,Gedenktreffen für die Opfer des Erdbebens in der Türkei und Syrien,15:00 Uhr - 18:00 Uhr,,,,
44.0,2023-02-25 00:00:00,"Veganismus, Tierrechte",15:00 Uhr - 19:00 Uhr,20,,,
45.0,2023-02-25 00:00:00,Kampagne für eine vegane Lebensweise,13:30 Uhr - 16:30 Uhr,10,,,
46.0,2023-02-25 00:00:00,Organraub an lebenenden Falun Gong-Praktizierenden in China,12:00 Uhr - 17:00 Uhr ,12,,,
47.0,2023-02-28 00:00:00,Tarifrunde Öffentlicher Dienst ,10:00 Uhr - 11:30 Uhr,300,,,
48.0,2023-02-28 00:00:00,Letzte Generation - Klebeaktion - ,,,,,
49.0,2023-03-02 00:00:00,Mahnwache im Rahmen der Aktion Leuchtturm ARD,16:00 Uhr - 18:00 Uhr,5 bis 8,12.0,2023-03-02 00:00:00,Gehzeugspaziergang FFF
,,,,,13.0,2023-03-03 00:00:00,Klimaschutz im Saarland - Gesetz und Geld jetzt!
50.0,2023-03-04 00:00:00,"Warum Ostern? Verkündung der frohen Botschaft, dem Evangelium",10:00 Uhr - 15:00 Uhr,5 bis 10,,,
51.0,2023-03-04 00:00:00,"Aktuelle Preiskrise (Heizen, Strom, Lebensmittel und Bus/Bahn) und Misstände in Burbach",9:30 Uhr - 12:00 Uhr,max- 5,14.0,2023-03-05 00:00:00,"Keine Waffenlieferung, für Friedensverhanldung, für den Frieden"
,,,,,15.0,2023-03-06 00:00:00,Montagsdemo Saarbrücken gegen die Hartz-gesetze/Bürgergeld
52.0,2023-03-07 00:00:00,Equal Pay Day - Die Kunst der gleichen Bezahlung,12:00 Uhr - 17:00 Uhr,10,,,
53.0,2023-03-08 00:00:00,Internationaler Frauentag,11:00 Uhr -14:00 Uhr,15,16.0,2023-03-08 00:00:00,Frauenkampftag - Frauen kämpfen international!
54.0,2023-03-08 00:00:00,Kundgebung TVöD-Tarifrunde 2023,11:00 Uhr - 13:00 Uhr,800,,,
55.0,2023-03-09 00:00:00,"Stahl-Aktionstag ""Bezahlbare Energie für uns""",18:30 Uhr - 20:00 Uhr,100 bis 150,,,
56.0,2023-03-09 00:00:00,Mahnwache im Rahmen der Aktion Leuchtturm ARD,16:00 Uhr - 18:00 Uhr,4 bis 8,,,
57.0,2023-03-11 00:00:00,"Mahnwache - Tierrechte, Veganismus",15:00 Uhr - 18:00 Uhr,20,,,
58.0,2023-03-11 00:00:00,Anti Atom Frühling,11:00 Uhr - 14:00 Uhr,2 bis 5,,,
,,,,,17.0,2023-03-12 00:00:00,Frieden schaffen ohne Waffen
59.0,2023-03-15 00:00:00,Aktive Mittagspause der Gewerkschaften GdS/Verdi bei der IKK Südwest,11:55 Uhr bis 13:00 Uhr,200,,,
60.0,2023-03-16 00:00:00,Mahnwache im Rahmen der Aktion Leuchtturm ARD,16:00 Uhr - 18:00 Uhr,4 bis 8,18.0,2023-03-14 00:00:00,Tarifrunde öffentlicher Dienst Bereich Krankenhäuser
61.0,2023-03-18 00:00:00,Sühne- und Bittgebet für die Ungeborenen ,11:00 Uhr - 11:30 Uhr,14 - 24 ,,,
62.0,2023-03-18 00:00:00,Fischen tut weh - für die Abschaffung der Fischerei,14:30 Uhr - 17:00 Uhr,10,,,
63.0,2023-03-19 00:00:00,Pferde sind keine Entertainer,12:15 Uhr - 13:45 Uhr ,15,19.0,2023-03-19 00:00:00,"Wehrt Euch, die ruinieren uns"
64.0,2023-03-20 00:00:00,Yekiti Verein - Schweigeminute für Erdbebenopfer in Syrien,17:00 Uhr - 20:00 Uhr,150,20.0,2023-03-20 00:00:00,Kurdisches Neujahrs- und Widerstandsfest- Newroz
65.0,2023-03-23 00:00:00,Mahnwache im Rahmen der Aktion Leuchtturm ARD,16:00 Uhr - 18:00 Uhr,4 bis 8,21.0,2023-03-23 00:00:00,Tarifrunde öffentlicher Dienst
66.0,2023-03-25 00:00:00,"Mahnwache - Tierrechte, Veganismus",15:00 Uhr - 18:00 Uhr,20,,,
67.0,2023-03-25 00:00:00,"Aktionstag ""Haltung zeigen"" - Internationale Wochen gegen Rassismus",14:00 Uhr - 17:00 Uhr,200,,,
68.0,2023-03-30 00:00:00,Warnstreik der Ärztinnen und Ärzte an kommunalen Kliniken,11:00 Uhr - 13:00 Uhr,50-70,,,
69.0,2023-03-30 00:00:00,Mahnwache im Rahmen der Aktion Leuchtturm ARD,16:00 Uhr - 18:00 Uhr,4 bis 8,,,
70.0,2023-04-01 00:00:00,Gegen die Tötung von Zivilisten in Jinderes / Syrien durch Türkische Söldner Banden ,15:00 Uhr - 17:00 Uhr,fünfzig,,,
71.0,2023-04-01 00:00:00,Mach dich Ei-frei,14:30 Uhr - 17:00 Uhr,10,,,
72.0,2023-04-01 00:00:00,"Verkündigung der Frohen Botschaft, dem Evangelium Jesu Christi",10.00 Uhr - 15:00 Uhr,5,,,
73.0,2023-04-02 00:00:00,"Mahnwache - Tierrechte, Veganismus",15:00 Uhr - 19:00 Uhr,20,,,
,,,,,22.0,2023-04-03 00:00:00,Montagsdemo Saarbrücken gegen Armut durch Bürgergeld
74.0,2023-04-08 00:00:00,"Mahnwache - Tierrechte, Veganismus",15:00 Uhr - 18:00 Uhr,20,23.0,2023-04-08 00:00:00,Ostermarsch
75.0,2023-04-08 00:00:00,Organraub an lebenenden Falun Gong-Praktizierenden in China,12:00 Uhr - 16:30 Uhr,10,,,
76.0,2023-04-08 00:00:00,Mach dich Ei-frei,12:45 Uhr - 14:15 Uhr,8,,,
77.0,2023-04-13 00:00:00,Mahnwache im Rahmen der Aktion Leuchtturm ARD,16:00 Uhr - 18:00 Uhr,4bis8,,,
78.0,2023-04-15 00:00:00,Sühne- und Bittgebet für die Ungeborenen,11:00 Uhr - 11:30 Uhr,14-24,,,
,,,,,,,
,,,,,24.0,2023-04-18 00:00:00,Warnstreik bei der IKK Südwest
79.0,2023-04-19 00:00:00,Warnstreik MDK,7:50 Uhr - 12:00 Uhr,fünfzehn,,,
80.0,2023-04-21 00:00:00,Mahnwache im Rahmen der Aktion Leuchtturm ARD,15:00 Uhr - 17:00 Uhr,4 bis 8 ,,,
