Anzahl Vers.,Datum ,Thema der Versammlung,Uhrzeit,erwartete Teilnehmerzahl,Anzahl Aufzüge,Datum,Thema des Aufzuges
162.0,2023-08-19 00:00:00,"Evangeliumsverkündung, was sagt die Bibel über Endzeit?",10:00 Uhr bis 15:00 Uhr,5 -10,,,
163.0,2023-08-19 00:00:00,Tiertransporte Stoppen!,14:30 Uhr - 17:00 Uhr,10,,,
164.0,2023-08-20 00:00:00,"Putin is a killer- international action about Putin, about oil",,5-50,,,
165.0,2023-08-24 00:00:00,Mahnwache im Rahmen der Aktion Leuchtturm ARD,17:00 Uhr bis 19:00 Uhr,4-8,41.0,2023-08-24 00:00:00,Demonstrationszug für die Ukraine: Unabhängigkeit - Wohlstand - Zusammenarbeit
166.0,2023-08-25 00:00:00,Die Stimme der saarländischen Menschen mit internationaler Geschichte stärken,14:00 Uhr - 18:00 Uhr,5 + 100,,,
167.0,2023-08-26 00:00:00,Stoppt türkische Angriffe auf Kurdistan,18:00 Uhr bis 19:00 Uhr,50,,,
168.0,2023-08-28 00:00:00,Die Stimme der saarländischen Menschen mit internationaler Geschichte stärken,08:00 Uhr - 12:30 Uhr,5+ 100,,,
169.0,2023-08-31 00:00:00,Mahnwache im Rahmen der Aktion Leuchtturm ARD,17:00 Uhr bis 19:00 Uhr,4-8,42.0,2023-09-01 00:00:00,Klimademo
170.0,2023-09-02 00:00:00,"Evangeliumsverkündung, was sagt die Bibel über Endzeit?",10:00 Uhr bis 15:00 Uhr,5-10,43.0,2023-09-01 00:00:00,"Fahrraddemo ""Den Frieden gewinnen-nicht den krieg1- Waffenstillstand und Verhandlungen sofort!"" zum Antikriegstag 2023"
171.0,2023-09-02 00:00:00,Organraub an lebenenden Falun Gong-Praktizierenden in China,11:00 Uhr - 16:00 Uhr,12,,,
,,,,,44.0,2023-09-03 00:00:00,Solidarität mit Aktion: Keine Bestrafung für friedlichen zivilen Widerstand
,,,,,45.0,2023-09-04 00:00:00,Montagsdemo
172.0,2023-09-05 00:00:00,Tiere sind keine Ware!,14:00 Uhr - 17:00 Uhr,5,,,
173.0,2023-09-07 00:00:00,Mahnwache im Rahmen der Aktion Leuchtturm ARD,17:00 Uhr - 19:00 Uhr,4-8,46.0,2023-09-07 00:00:00,Radfahren for Justice
,,,,,47.0,2023-09-08 00:00:00,Klimademo
,,,,,48.0,2023-09-08 00:00:00,Die Stimme der saarländischen Menschen mit internationaler Geschichte stärekn!
,,,,,49.0,2023-09-09 00:00:00,"Ausbau der Radwege und Öffis, grünes Saarbrücken"
174.0,2023-09-14 00:00:00,Mahnwache im Rahmen derAktion Leuchtturm ARD,17:00 Uhr - 19:00 Uhr,3-8,,,
175.0,2023-09-15 00:00:00,Parking Day,14:00 Uhr - 18:00 Uhr,30-35,50.0,2023-09-15 00:00:00,13.Globaler Klimastreik-Verkehrswende für das Saarland
176.0,15.-18.09.2023,Mahnwache wegen mangelhafter Klimapolitik aller Regierungen und Workshops zur klimapolitischen Bildung der Gesellschaft,13:00 Uhr bis 12:00 Uhr,50,,,
177.0,2023-09-16 00:00:00,In wessen Haut steckst Du?,14:30 Uhr - 17:00 Uhr,10,51.0,2023-09-16 00:00:00,Wir sind mit der Arbeit der Politik unzufrieden!
178.0,2023-09-16 00:00:00,"Verkündigung der Frohen Botschaft, dem Evangelium Jesu Christi",10:00 Uhr - 15:00 Uhr,2-5,,,
179.0,2023-09-16 00:00:00,"Nachhaltigkeit und Klimagerechtigkeit, anhand fairem Kaffee und fairer Schokolade…",11:00 Uhr - 15:00 Uhr,2,,,
180.0,2023-09-16 00:00:00,Sühne- und Bittgebet für die Ungeborenen,11:00 Uhr - 11:30 Uhr,14-24,,,
181.0,2023-09-16 00:00:00,frau.leben.freiheit Das Jahr der Ermordung von Mahsa Amini,12:00 Uhr - 14:00 Uhr,100-150,,,
182.0,2020-09-16 00:00:00,Mobilität Flächenvergleich,10:00 Uhr - 12:00 Uhr,120,,,
,,,,,52.0,2023-09-17 00:00:00,Fancy Women Bike Ride
183.0,2023-09-20 00:00:00,Finanzielle Notlage der Krankenhäuser,13:00 Uhr - 14:00 Uhr,500,,,
184.0,2023-09-21 00:00:00,Mahnwache im Rahmen der Aktion Leuchtturm ARD,17:00 Uhr - 19:00 Uhr,3-8,,,
185.0,2023-09-22 00:00:00,Music for Peace,18:00 Uhr - 22:00 Uhr,150,53.0,2023-09-22 00:00:00,Die Stimme der saarländischen Menschen mit internationaler Geschichte stärekn!
186.0,2023-09-23 00:00:00,Eilversammlung,10:00 Uhr - ?,5-10,,,
187.0,2023-09-23 00:00:00,"Mahnwache - Tierrechte, Veganismus",15:00 Uhr - 19:00 Uhr,20,,,
188.0,2023-09-23 00:00:00,GEW Bildungsprotesttag,11:00 Uhr - 14:00 Uhr,100,,,
189.0,2023-09-23 00:00:00,Organraub an lebenenden Falun Gong-Praktizierenden in China,11:00 Uhr -16:00 Uhr,12,,,
190.0,2023-09-27 00:00:00,Streikstunden der Apotheken bundesweit,13:00 Uhr - 16:00 Uhr,2,,,
191.0,2023-09-28 00:00:00,Mahnwache im Rahmen der Aktion Leuchtturm ARD,17:00 Uhr - 19:00 Uhr,3-8,,,
192.0,2023-09-30 00:00:00,Anti Jagd Demo,12:00 Uhr bis 15:00 Uhr,50,,,
193.0,2023-09-30 00:00:00,In wessen Haut steckst Du?,14:30 Uhr - 17:00 Uhr,10,,,
194.0,2023-09-30 00:00:00,Verkündigung der Frohen Botschaft von Jesus Christus,10:00 Uhr - 15:00 Uhr,2-5,,,
195.0,2023-10-02 00:00:00,"Mahnwache ""Den Frieden gewinnen - nicht den Krieg! Waffenstillstand und Verhandlungen sofort!""",16:00 Uhr - 18:00 Uhr,15,54.0,2023-10-02 00:00:00,Montagsdemo Saarbrücken / Bürgergeld = Armut
196.0,2023-10-03 00:00:00,Die Waffen nieder! Nein zum Krieg! Kundgebung für Frieden und Abrüstung,14:00Uhr - 16:00 Uhr,50,,,
197.0,2023-10-05 00:00:00,Spontanversammlung türkische Angriffe auf Syrien,18:00 Uhr - 18:35 Uhr,20,,,
198.0,2023-10-06 00:00:00,Mahnwache im Rahmen der Aktion Leuchtturm ARD,17:00 Uhr - 19:00 Uhr,3-8,,,
199.0,2023-10-07 00:00:00,Freiheit für Abdulla Öcalan,15:00 Uhr - 16:00 Uhr,60,55.0,2023-10-07 00:00:00,Solidarität mit den Eltern und der Familie von Matthis (5)“
200.0,2023-10-07 00:00:00,"Mahnwache - Tierrechte, Veganismus",15:00 Uhr - 19:00 Uhr,20,,,
201.0,2023-10-07 00:00:00,Infoveranstaltung zum Neubauvorhaben Knappenroth,14:00 Uhr - 17:00 Uhr,200,,,
202.0,2023-10-09 00:00:00,Spontanversammlung KGZ - Gegen die Angriffe auf Nordsyrien,18:00 Uhr - 18:50 Uhr,40,,,
,,,,,56.0,2023-10-10 00:00:00,Schweigemarsch für Israel
203.0,2023-10-12 00:00:00,Mahnwache im Rahmen der Aktion Leuchtturm ARD,17:00 Uhr - 19:00 Uhr,3-8,57.0,2023-10-13 00:00:00,Tarifrunde Einzelhandel Saarland
204.0,2023-10-11 00:00:00,In Gedenken an Mathis,17:30 Uhr - ?,200,,,
205.0,2023-10-14 00:00:00,Gegen moderne Sklaverei und Menschenhandel,11:00 Uhr - 14:00 Uhr,2 - 5 ,58.0,2023-10-14 00:00:00,Wir sind mit der Arbeit der Politik unzufrieden!
206.0,2023-10-14 00:00:00,Gänse leiden für Daunen,14:30 Uhr - 17:00 Uhr,8,59.0,2023-10-14 00:00:00,Letzte Generation
207.0,2023-10-17 00:00:00,Der 17.Oktober ist der internationale Tag für die Beseitigung der Armut……,14:00 bis 17:00,50-100,,,
208.0,2023-10-17 00:00:00,Wohnen ist ein Menschenrecht (im Rahmen des Welttags zur Beseitigung der Armut - UNO),16:00 Uhr - 18:00 Uhr,50,,,
209.0,2023-10-18 00:00:00,Stoppt den Völkermord ,11:20 Uhr - 12:01 Uhr ,35,,,
210.0,2023-10-19 00:00:00,Nahostkonflikt 2023,16:15 Uhr - 16:25 Uhr,lt. Zeugenaussage 50,,,
211.0,2023-10-19 00:00:00,Mahnwache im Rahmen der Aktion Leuchtturm ARD,16:00 Uhr - 18:00 Uhr,3-8,,,
212.0,2023-10-21 00:00:00,Verkündigung der Frohen Botschaft von Jesus Christus,10:00 Uhr - 15:00 Uhr,2-5,60.0,2023-10-21 00:00:00,Schluss mit dem türkischen Angriffskrieg auf die kurdischen Regionen in Nordsyrien
213.0,2023-10-21 00:00:00,"Mahnwache - Tierrechte, Veganismus",15:00 Uhr - 19:00 Uhr,20,,,
214.0,2023-10-21 00:00:00,Palästina pro,17:30 Uhr - 19:00 Uhr,500-1.000,,,
215.0,2023-10-28 00:00:00,Tiere leiden für Wolle,14:30 Uhr - 17:00 Uhr,8,,,
216.0,2023-10-28 00:00:00,gegen Gasprojekte,10:00 Uhr - 16:00 Uhr,10,,,
217.0,2023-10-28 00:00:00,Schweigende Trauerversammlung,18:00 Uhr - 20:00 Uhr,500 - 1.000,,,
218.0,2023-10-28 00:00:00,Stoppt den Krieg - pro-Palästina,16:00 Uhr - 18:00 Uhr,unbekannt,,,
219.0,2023-10-31 00:00:00,Das Leben nach dem Tod,18:00 Uhr - 21:00 Uhr,5-10,61.0,2023-10-31 00:00:00,Tarifrunde Einzel- und Versandhandel
220.0,2023-11-04 00:00:00,Verkündigung der Frohen Botschaft von Jesus Christus,10:00 Uhr - 15:00 Uhr,2-5,,,
221.0,2023-11-04 00:00:00,"Mahnwache - Tierrechte, Veganismus",15:00 Uhr - 19:00 Uhr,20,62.0,2023-11-04 00:00:00,Baumparade:Bäume schaffen Lebensräume - mehr Bäume statt Asphalt in den Straßen
222.0,2023-11-04 00:00:00,Organraub an lebenenden Falun Gong-Praktizierenden in China,11:00 Uhr - 16:00 Uhr,12,63.0,2023-11-04 00:00:00,Pro Palästina
,,,,,64.0,2023-11-06 00:00:00,Montagsdemo Saarbrücken / Bürgergeld = Armut
,,,,,,,
223.0,2023-11-09 00:00:00,Gedenken an das Novemberprogrom in der Nacht vom 9. zum 10. November 1938,18:00 Uhr - 19:30 Uhr,30,,,
224.0,2023-11-09 00:00:00,Freiheit für Abdulla Öcalan,13:00 - 16:00 Uhr,60,,,
225.0,2023-11-11 00:00:00,Sichere Schwangerschaftsabbrüche,12:00 Uhr - 22:00 Uhr,150,65.0,2023-11-11 00:00:00,Marsch für das Leben
226.0,2023-11-11 00:00:00,"Gegendemonstration: ""Wir feiern das Leben!""",11:00 Uhr bis 14:00 Uhr,250,66.0,2023-11-11 00:00:00,Hier laufen die Narren - Gegendemonstration Marsch für das Leben
,,,,,67.0,2023-11-11 00:00:00,Friedensmarsch pro-Palästina
227.0,2023-11-12 00:00:00,Schutzpatron für Spaßtöter,09:00 Uhr - 12:00 Uhr,50,,,
228.0,2023-11-13 00:00:00,Landesbeschäftigte abgehängt?,11:45 Uhr - 13:30 Uhr,150,,,
229.0,2023-11-15 00:00:00,Streiktag der Apotheken,08:00 - 19:00 Uhr,3-4,,,
230.0,2023-11-18 00:00:00,Sühne- und Bittgebet für die Ungeborenen,11:00 Uhr - 11:35 Uhr,20,,,
231.0,2023-11-18 00:00:00,Verkündigung der Frohen Botschaft von Jesus Christus,10:00 Uhr - 15:00 Uhr,2-5,77.0,2023-11-18 00:00:00,"Diese Regierung zerstört unser Land, das Saarland leistet Widerstand"
232.0,2023-11-18 00:00:00,"Mahnwache - Tierrechte, Veganismus",15:00 Uhr - 19:00 Uhr,20,78.0,2023-11-18 00:00:00,Friedensmarsch für die Toten in Palestina
233.0,2023-11-25 00:00:00,"Int. Tag gegen Gewalt an Frauen und Mädchen - Kleine Gedenkveranstaltung ""Licht ins Dunkel der Gewalt""",17:30 Uhr - 18:30 Uhr,100,79.0,2023-11-25 00:00:00,Friedensmarsch-Gemeinsam gegen den Krieg und die Gewalt
234.0,2023-11-25 00:00:00,Aktion für Tierrechte,14:30 Uhr - 17:00 Uhr,8,80.0,2023-11-25 00:00:00,30 Jahre Repressions- und Verleugnungspolitik
235.0,2023-11-25 00:00:00,Verdi Internationaler Tag gegen Gewalt an Frauen und Mädchen,10:00 Uhr - 18:00 Uhr ,10,,,
236.0,2023-11-25 00:00:00,Weihnachten,10:00 Uhr - 19:00 Uhr,30,,,
237.0,2023-11-25 00:00:00,Aktion über die Lage der Kinder in Gaza,12:00 Uhr - 15:00 Uhr,3,,,
,,,,,81.0,2023-12-01 00:00:00,Friedensmarsch-Gemeinsab gegen den Krieg und die Gewalt in Palästina
,,,,,82.0,2023-12-01 00:00:00,LKW Maut
238.0,2023-12-02 00:00:00,"Mahnwache - Tierrechte, Veganismus",15:00 Uhr - 19:00 Uhr,20,83.0,2023-12-02 00:00:00,Friedensmarsch-Gemeinsam gegen den Krieg und die Gewalt in Palästina
239.0,2023-12-02 00:00:00,Verkündigung der Frohen Botschaft von Jesus Christus,10:00 Uhr - 15:00 Uhr,2-5,,,
240.0,2023-12-02 00:00:00,Weihnachten,10:00 Uhr - 19:00 Uhr,30,,,
241.0,2023-12-02 00:00:00,Aktion über die Lage der Kinder in Gaza,11:00 Uhr - 15:00 Uhr,3,,,
242.0,2023-12-02 00:00:00,Versammlung ohne Anmeldung zum Thema Klima,18:10 Uhr - 18:46 Uhr,4,,,
,,,,,84.0,2023-12-04 00:00:00,Montagsdemo Saarbrücken / Bürgergeld = Armut
,,,,,85.0,2023-12-05 00:00:00,Tarif und Besoldungsrunde der Lländer
243.0,2023-12-08 00:00:00,Nahost-Konflikt,16:00 Uhr - 19:00 Uhr,2,,,
244.0,2023-12-09 00:00:00,Aktion für Tierrechte,14:30 Uhr - 17:00 Uhr,8,86.0,2023-12-09 00:00:00,Friedensmarsch Gemeinsam für den Frieden gegen den Krieg für die Gerechtigkeit
245.0,2023-12-09 00:00:00,Freiheit für Abdullah Öcalan,15:00 Uhr - 16:00 Uhr,30,,,
246.0,2023-12-09 00:00:00,Umweltaktionstag - Was tun angesichts der haufziehenden Umweltkatasptophe,10:30 Uhr 15:00 Uhr,50,87.0,2023-12-09 00:00:00,COP28: Gegen fossilen Einfluss auf die Weltklimakonferenz
247.0,2023-12-09 00:00:00,Aktion über die Lage der Kinder in Gaza.,15:00 Uhr -17:30 Uhr,3,,,
248.0,2023-12-12 00:00:00,Zukunft der Saarländischen Stahlindustrie - Eilversammlung,08:00 Uhr - 9:00 Uhr,200,,,
,,,,,88.0,2023-12-13 00:00:00,Spontanversammlung Letzte Generation
249.0,2023-12-15 00:00:00,Tiere sind keine Weihnachtsgeschenke,14:00 Uhr - 16:00 Uhr,6,,,
250.0,2023-12-15 00:00:00,Nahost-Konflikt,16:00 Uhr - 19:00 Uhr,10,,,
251.0,2023-12-16 00:00:00,"Mahnwache - Tierrechte, Veganismus",15:00 Uhr - 19:00 Uhr,20,89.0,2023-12-16 00:00:00,Friedensmarsch Gemeinsam für den Friden gegen den Krieg für die Gerechtigkeit
252.0,2023-12-16 00:00:00,Verkündigung der Frohen Botschaft von Jesus Christus,10:00 Uhr - 15:00 Uhr,2-5,,,
253.0,2023-12-16 00:00:00,Sühne- und Bittgebet für die Ungeborenen,11:00 Uhr - 11:35 Uhr ,20,,,
254.0,2023-12-16 00:00:00,Missstände in Burbach,9:30 Uhr - 12:00 Uhr,5,,,
,,,,,90.0,2023-12-18 00:00:00,Agrardiesel und KFZ Steuerbefreiung erhalten. Wir ziehen an einem Strang!
255.0,2023-12-21 00:00:00,SOS Kita,12:00 Uhr - 14:00 Uhr,50,,,
256.0,2023-12-22 00:00:00,Nah Ost Konflikt,16:00 Uhr bis 19:00 Uhr,6,,,
257.0,2023-12-23 00:00:00,Andenken an die in Paris ermordeten 3 kurdischen Aktivisten,15:00 Uhr - 16:00 Uhr,60,91.0,2023-12-23 00:00:00,Friedensmarsch-Gemeinsam gegen den Krieg und die Gewalt in Palästina. Wir fordern einen Waffenstillstand
258.0,2023-12-23 00:00:00,Aktion über die Lage der Kinder in Gaza,12:30 Uhr - 16:30 Uhr,3,92.0,2023-12-23 00:00:00,Verdi: Tarifrunde Einzelhandel Saarland
,,,,,93.0,2023-12-30 00:00:00,Friedensmarsch-Gemeinsam gegen den Krieg und die Gewalt in Palästina. Wir fordern einen Waffenstillstand
