Datum,Von,Bis,Thema,Strasse,Nr,PLZ,Aufzugsstrecke,Teilnehmende (angemeldet),Teilnehmende (tatsächlich)
01.01.2022,08:00,20:00,"""Abour Zamani / Familiennachholung aus Afghanistan"" (vom 10.12.2021 bis 10.02.2022 - täglich)",Werderscher Markt,,10117.0,,30.0,
01.01.2022,09:00,12:30,"""Climate""",Platz der Republik,1,10557.0,,200.0,
01.01.2022,12:00,14:00,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",Jannowitzbrücke,,10179.0,,10.0,4.0
01.01.2022,14:00,17:30,"""Kein US-Krieg gegen Venezuela USA Unblock Venezuela USA Unblock Kuba Gegen Intervention und Blockade Solidarität mit Sandinistischen Revolution …"" (vom 20.11.2021 bis 12.02.2022 - jeweils Sa.)",Pariser Platz,,10117.0,,50.0,
01.01.2022,15:15,17:10,´ Coronakritische Versammlung Treffpunkt Blankenburger Chaussee´,Blankenburger Chaussee,86,13125.0,"Blankenburger Ch - Alt-Karow - Bucher Chaussee - Achillesstraße - Strömannstaße, Straße 74 - Alt-Karow - Frundsbergstrße - Hubertusdamm - Bahnhofstraße - Blankenburger Ch",43.0,43.0
02.01.2022,08:00,20:00,"""Abour Zamani / Familiennachholung aus Afghanistan"" (vom 10.12.2021 bis 10.02.2022 - täglich)",Werderscher Markt,,10117.0,,30.0,
02.01.2022,12:00,14:00,"""Sunday for Peace (...).""",Pariser Platz,1,10117.0,,50.0,8.0
02.01.2022,12:00,14:00,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",Jannowitzbrücke,,10179.0,,10.0,4.0
02.01.2022,14:00,17:00,Unterstützung der algerischen Revolution,Pariser Platz,1,10117.0,,10.0,8.0
02.01.2022,16:00,17:00,Mahnwache für getötete Fußgängerin,Sundgauer Str.,109,14167.0,,20.0,60.0
02.01.2022,18:00,19:00,"´coronakritische Versammlungen, Zeichen gegen die Spaltung der Gesellschaft´",Bölschestr.,108,12587.0,,50.0,
03.01.2022,08:00,20:00,"""Abour Zamani / Familiennachholung aus Afghanistan"" (vom 10.12.2021 bis 10.02.2022 - täglich)",Werderscher Markt,,10117.0,,30.0,
03.01.2022,10:30,13:00,"""Stoppt die Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2022 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",Jannowitzbrücke,,10179.0,,10.0,2.0
03.01.2022,14:00,20:00,"""Recht auf Wohnen - Willkommen der neuen Nachbar*innen""",Habersaathstr.,40-48,10115.0,,100.0,100.0
03.01.2022,17:00,18:30,"""Mahnwache für Frieden und Menschenrechte"" (vom 03.01. bis 28.03.2022 - jeweils Mo.)",Pariser Platz,,10117.0,,10.0,4.0
