Datum,Von,Bis,Thema,Strasse,Nr,PLZ,Aufzugsstrecke,Teilnehmende (angemeldet),Teilnehmende (tatsächlich)
2023-01-02,0 days 18:00:00,0 days 19:00:00,"""Antikriegsmahnwache - Kein Krieg und keine Kriegshetze gegen Russland! NATO-Hände weg von der Ukraine und anderen Ländern, die in ihrem Fadenkreuz stehen!"" (vom 02.01. bis 27.03.2023 - jeweils Mo.)",Alexanderplatz,9,10178.0,,10.0,12.0
2023-01-02,0 days 18:00:00,0 days 19:30:00,"""Antikapitalistische Kundgebungen gegen Krieg und Teuerungen""",Anton-Saefkow-Platz,,10369.0,,12.0,20.0
2023-01-02,0 days 18:00:00,0 days 19:45:00,"""Nachbarschaftlich verbunden für uneingeschränkte Grundrechte und Friedenspolitik, gegen ID 2020, Agenda 2030, und das globale WHO Pandemie-Diktat!"" (vom 03.10.2022 bis 24.04.2023 - jeweils Mo.)",,,,Rathaus Schöneberg - Belziger Str. - Heinrich-Lasse Park - Hauptstr. - Akazienstr. - vor der Apostel-Paulus-Kirche (ZK) - Goltzstr. - Winterfeldtplatz - Maaßenstr. - Nollendorfplatz - Maaßenstr. - Winterfeldtplatz,45.0,55.0
2023-01-02,0 days 18:00:00,0 days 20:30:00,"""Für die sofortige und bedingungslose Wiederherstellung aller Grundrechte, - für eine unbeschwerte Kindheit unserer Kinder, - für faire Arbeitsbedingungen und Löhne statt Impfpflicht für Pflegeberufe, - für ein sofortiges Ende jeglicher Impfpflichtbestrebungen, - für die vollständige und unabhängige Aufklärung der Corona-Maßnahmen, - für den sofortigen Stopp der politisch erzeugten Kostenexplosionen; - für eine Politik frei von Lobbyismus und Korruption."" (vom 02.01. bis 01.05.2023 - jeweils Mo.)",,,,Alt-Tegel 2 (am Schinkelbrunnen) - Bernstorffstr. - Buddestr. - Gorkistr. - Ziekowstr. - Tile-Brügge-Weg - Bollestr. - Gorkistr. - Buddestr. - Brunowstr. - Treskowstr. - Alt-Tegel 2 (am Schinkelbrunnen),55.0,36.0
2023-01-02,0 days 18:00:00,0 days 20:30:00,"""Spaziergang für Frieden, Freiheit, Selbstbestimmung und Demokratie""",,,,Wilmersdorfer Str. / Krumme Str. - Wilmersdorfer Str. - Schillerstr. - Leibnitzstr. - Kantstr. - Savignyplatz (ZK) - Knesebeckstr. - Kurfürstendamm - Kurfürstendamm/ Giesebrechtstr. (ZK) - Kurfürstendamm - Adenauerplatz - Wilmerdorfer Str. - Wilmersdorfer Str. / Krumme Str.,80.0,
2023-01-02,0 days 18:00:00,0 days 20:30:00,"""Antikapitalistische Kundgebungen gegen Krieg und Teuerungen""",Marzahner Promenade,01:00:00,12679.0,,,15.0
2023-01-02,0 days 18:00:00,0 days 21:00:00,"""Kieztreffen für AnwohnerInnen und Anwohner zur Steigerung der Lebensqualität""",Greifenhagener Str.,,10437.0,,200.0,
2023-01-02,0 days 18:00:00,0 days 21:00:00,"""Tegel geht auf die Straße"" (vom 03.10.2022 bis 27.03.2023 - jeweils Mo.)",,,,Alt-Tegel 2 (am Schinkelbrunnen) - Bernstorffstr. - Buddestr. - Gorkistr. - Ziekowstr. - Oeserstr. - Prendener Zeile - Gorkistr. - Basdorfer Zeile - Tile-Brügge-Weg - Havelmüllerweg - Rohrbrunnner Str. - Kehrwieder - Am Rosenweg - Myrtenweg - Bollestr. - Tile-Brügge-Weg - Ziekowstr. - Gorkistr. - Buddestr. - Bernstoffstr. - Alt-Tegel 2 (am Schinkelbrunnen),100.0,
2023-01-02,0 days 19:00:00,0 days 20:00:00,"""Mahnwache: FLUGLÄRM UND FEINSTAUB MACHEN KRANK! Konsequentes Nachtflugverbot von 22 Uhr bis 6 Uhr am Flughafen BER. Kurzstreckenflüge gehören auf die Schiene. Alle Messdaten der Ultrafeinstaubmessung am Flughafen BER müssen öffentlich werden. Die Subventionierung des Flughafens und der Billigairlines muss beendet werden, denn wer fliegt oder Flüge anbietet, muss die tatsächlichen Kosten zahlen."" (vom 08.08.2022 bis 07.08.2023 - jeweils Mo.)",Bölschestr.,,12587.0,,40.0,50.0
2023-01-03,0 days 00:00:00,0 days 23:59:00,"""Revolutionsgarden des Islamischen Regime auf die Terrorliste der EU einsetzen"" (vom 23.12.2022 bis 20.01.2023 - täglich)",Platz der Republik,1,10557.0,,4.0,
2023-01-03,0 days 00:00:00,1 days 00:00:00,"""Zuschließung der Iranischen Botschaft"" sic! (vom 17.11.2022 bis 15.01.2023 - täglich)",Podbielskiallee,67,14195.0,,2.0,3.0
2023-01-03,0 days 10:30:00,0 days 13:00:00,"""Stoppt die Verfolgung von FALUN DAFA / FALUN-GONG Praktizierenden und anderen unschuldigen Menschen in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2023 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",Jannowitzbrücke,,10179.0,,10.0,8.0
2023-01-03,0 days 15:00:00,0 days 18:00:00,"""Menschenrechtsverletzungen und Hinrichtungen stoppen.""",Wilmersdorfer Str.,,10627.0,,10.0,30.0
2023-01-03,0 days 17:00:00,0 days 18:30:00,"""Menschen mit Schildern"" (vom 03.01. bis 26.12.2023 - jeweils Di.)",Schloßstr.,,12163.0,,30.0,22.0
2023-01-03,0 days 18:30:00,0 days 19:30:00,"""Erhaltung des Hundeauslaufgebiets Arkenberge""",Fröbelstr.,17,10405.0,,50.0,75.0
2023-01-03,0 days 20:00:00,0 days 21:00:00,"""Tag X - Lutz bleibt !""",Invalidenstr.,49,10115.0,,15.0,3.0
2023-01-04,0 days 00:00:00,0 days 23:59:00,"""Revolutionsgarden des Islamischen Regime auf die Terrorliste der EU einsetzen"" (vom 23.12.2022 bis 20.01.2023 - täglich)",Platz der Republik,1,10557.0,,4.0,
2023-01-04,0 days 00:00:00,1 days 00:00:00,"""Zuschließung der Iranischen Botschaft"" sic! (vom 17.11.2022 bis 15.01.2023 - täglich)",Podbielskiallee,67,14195.0,,2.0,
2023-01-04,0 days 08:02:00,0 days 08:36:00,"""Essen retten, Leben retten - Aufstand der letzten Generation""",Invalidenstr.,44,10115.0,"VA 2 – Invalidenstr. 44, im Bereich des Bundesministeriums für Digitales und Verkehr",3.0,
2023-01-04,0 days 08:05:00,0 days 08:33:00,"""Essen retten, Leben retten - Aufstand der letzten Generation""",Seestraßenbrücke nördlich,,13353.0,"BAB 100 in Richtung Seestraße AS Seestr., VA 1",8.0,
2023-01-04,0 days 08:12:00,0 days 08:36:00,"""Essen retten, Leben retten - Aufstand der letzten Generation""",Friedrich-Gerlach-Brücke,,10829.0,"BAB 103, Sachsendamm/Friedrich-Gerlach-Brücke, Ausfahrt Sachsendamm, VA 3",6.0,
2023-01-04,0 days 10:00:00,0 days 18:00:00,"""Gegen Mieterverdrängung durch sogenannte energetische Sanierung und Luxussanierung für unverfälschte Denkmalpflege. Verstoß gegen den Kaufvertrag."" (vom 24.12.2022 bis 25.03.2023 - jeweils Mi.,Sa.,So.)",Kehrwieder,,13509.0,,6.0,3.0
2023-01-04,0 days 10:30:00,0 days 13:00:00,"""Stoppt die Verfolgung von FALUN DAFA / FALUN-GONG Praktizierenden und anderen unschuldigen Menschen in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2023 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",Jannowitzbrücke,,10179.0,,10.0,50.0
2023-01-04,0 days 12:00:00,0 days 14:00:00,"""#SaveMisha - Global rally in support of former president of Georgia, Mikheil Saakashvili""",Rauchstr.,11,10787.0,,40.0,10.0
2023-01-04,0 days 12:00:00,0 days 15:00:00,"""Stimmt gegen Krieg! Wählt SGP!""",U-Bhf. Haselhorst,,13599.0,,50.0,10.0
2023-01-04,0 days 13:30:00,0 days 17:00:00,"""Stopp der Hinrichtung und Folterung im Iran""",Pariser Platz,,10117.0,,50.0,170.0
2023-01-04,0 days 16:00:00,0 days 18:00:00,"""Aufgrund der begonnen Räumung Lützeraths, im Rheinland wurde der Tag X ausgerufen - wir fordern ein sofortiges Abrissmoratorium. Die 1,5 Grad Grenze Deutschlands muss verteidigt werden!""",Scharnhorststr.,34-37,10115.0,,50.0,
2023-01-04,0 days 16:00:00,0 days 19:00:00,"""Umgestaltung des Hermannplatzes und der Abriss von Karstadt"" (vom 04.01. bis 27.12.2023 - jeweils Mi.)",Hasenheide,3,10967.0,,40.0,
2023-01-04,0 days 17:30:00,0 days 20:30:00,"""RESPECT CYCLISTS - Die Fahrraddemo für sichere Radwege""",,,,Am Falkplatz - Gleimstr. - Rügener Str. - Brunnenstr. - Badstr. Höhe Hanne-Sobek-Platz (ZK) - Pankstr. - Reinickendorfer Str. - Reinickendorfer Str. Höhe Hausnr. 122 Ecke Schönwalder Str (ZK) - Fennstr. - Müllerstr. - Seestr. - Osloer Str - Osloer Str. Höhe Hausnr. 85 Ecke Schwedenstr.) - Prinzenallee - Wollankstr. - Wollankstr./Steeger Str. (ZK) - Florastr. - Mühlenstr. - Berliner Str. - Westerlandstr. Vinetastr. - Neumannstr. - Neumannstr. Höhe Hausnr. 5 Ecke Wisbyer Str. (ZK) - Wisbyer Str. - Prenzlauer Allee - Danziger Str. - Eberswalder Str. - Bernauer Str. - Mauerpark an der Skaterfläche (EK),100.0,4.0
2023-01-04,0 days 17:30:00,0 days 20:30:00,"""Animal Rights Square: Video-Aktion zur Aufklärung über die Tierindustrie""",Alexanderplatz,9,10178.0,,15.0,70.0
2023-01-04,0 days 17:30:00,0 days 23:00:00,"""Für Frieden Freiheit Souveränität und Selbstbestimmung gehen die Freien Geister 4Gs - Alexanderplatz &#128330;&#65039; Wir zusammen Spazierengegen: - für den zusammenhalt in der Gesellschaft - für unsere Kinder und deren Zukunft - für Frieden auf DER ganzen WELT - gegen die Berufsbezogenene / allgemein Impfpflicht - gegen die Inflation und Wirtschaftskrise in unserem Land! WIR WOLLEN DEUTSCHLAND NICHT GEGEN DIE WAND FAHREN SEHEN!""",,,,Alexanderplatz (Weltzeituhr) - Rathausstr. - Spandauer Str. - Anna-Louisa-Karsch-Str. - An der Spandauer Brücke - An der Spandauer Brücke - Hackescher Markt (ZK) - Rosenthaler Str. - Neue Schönhauser Str. - Münzstr. - Memhardstr. - Alexanderstr. - Grunerstr. - Dircksenstr. – Alexanderplatz (Weltzeituhr),250.0,4.0
