Datum,Von,Bis,Thema,Strasse,Nr,PLZ,Aufzugsstrecke,Teilnehmende (angemeldet),Teilnehmende (tatsächlich)
02.01.2021,11:00,12:00,"""Mahnwache für Toleranz und ein friedliches Miteinander""",Marktstr.,,13597.0,,20.0,
02.01.2021,11:00,13:30,Armut und Obdachlosigkeit während Covid-19 und allgemein.,Marzahner Promenade,1A,12679.0,,10.0,7.0
02.01.2021,12:00,14:30,"""Stoppt die Verfolgung von FALUN DAFA / FALUN-GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 02.01. bis 31.12.2021 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",Jannowitzbrücke,,10179.0,,10.0,3.0
02.01.2021,14:00,15:00,"""Solidarität mit Menschenrechte in Saudi""",Tiergartenstr.,33,10785.0,,10.0,10.0
02.01.2021,14:00,20:00,"""Querdenken 30 - Berlin bewegt""",Alexanderplatz,,10178.0,,100.0,60.0
02.01.2021,15:00,17:00,"""Freiheit für Grup Yorum""",Oranienplatz,,10999.0,,20.0,
02.01.2021,16:00,17:00,"""Hauptstadtfussball wertschätzen: Keine weitere Herabwürdigung durch abgewirtschaftete Kommerzvereine""",Coubertinplatz,,14053.0,,12.0,12.0
02.01.2021,18:00,18:30,"""Hauptstadtfussball wertschätzen: Keine weitere Herabwürdigung durch abgewirtschaftete Kommerzvereine""",Olympischer Platz,,14053.0,,12.0,17.0
03.01.2021,11:45,13:15,"""Jahrestag der Ermordung von Friedensgeneral Qassem Soleimani""",Pariser Platz,2,10117.0,,10.0,6.0
03.01.2021,12:00,14:30,"""Stoppt die Verfolgung von FALUN DAFA / FALUN-GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 02.01. bis 31.12.2021 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",Jannowitzbrücke,,10179.0,,10.0,3.0
03.01.2021,13:00,17:00,Stoppt die Verfolgung von FALUN DAFA / FALUN-GONG Praktizierenden und anderen unschuldigen Menschen in China. Beendet die Diktatur der Kommunistischen Partei.,Treptower Park,,12435.0,,20.0,
03.01.2021,14:00,16:00,"""Freiheit für Julian Assange! Pressefreiheit, Meinungsfreiheit, Grundlage von Demokratie und Frieden.""",,,,Pariser Platz (AK in Nähe der Botschaft USA) - Unter den Linden/Wilhelmstraße (in Nähe zur Botschaft GB) - Pariser Platz (EK in Nähe der Botschaft USA),60.0,45.0
03.01.2021,14:00,17:00,"""Unterstützung der algerischen friedlichen Revolution in Algerien."" (vom 03.01. bis 30.05.2021 - jeweils So.)",Pariser Platz,,10117.0,,20.0,10.0
04.01.2021,00:00,00:00,Montagsspaziergänge „Berlin steht auf“,Alt-Marzahn,61,12685.0,nicht bekannt,,
04.01.2021,10:30,13:00,"""Stoppt die Verfolgung von FALUN DAFA / FALUN-GONG Praktizierenden in China. Beendet die Diktatur der Kommunistischen Partei."" (vom 02.01. bis 31.12.2021 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",Jannowitzbrücke,,10179.0,,10.0,2.0
04.01.2021,12:00,13:00,"""Demonstration against the suspicious Dead of BNM leader Karima Baloch in Toronto Canada.""",Leipziger Platz,17,10117.0,,30.0,23.0
04.01.2021,15:00,17:00,"""Meinungskundgebung zum medizinischen Hintergrund von Corona. Aufklärung der Bevölkerung mit dem Ziel, Ängste zu nehmen.""",Am Treptower Park,14,12435.0,,10.0,8.0
04.01.2021,18:00,19:00,"""Mahnwache zur Erinnerung an die Opfer des atomaren Super-Gau im japanischen Fukushima, für den weltweiten Frieden UND soziale Gerechtigkeit"" (vom 21.09.2020 bis 15.03.2021 - jeweils Mo.)",Willy-Brandt-Str.,1,10557.0,,20.0,3.0
04.01.2021,18:00,19:00,"""Berlin steht auf (Spaziergang mit Kerzen)""",Kirchstr.,4,12555.0,,,23.0
04.01.2021,18:00,19:00,"""Antikriegsmahnwache"" (vom 04.01. bis 29.03.2021 - jeweils Mo.)",Alexanderplatz,1,10178.0,,10.0,3.0
