Datum,Von,Bis,Thema,Strasse,Nr,PLZ,Aufzugsstrecke,Teilnehmende (angemeldet),Teilnehmende (tatsächlich)
2024-02-01,0 days 00:00:00,0 days 23:59:00,"""DAUERMAHNWACHE VOR DEM BMJ IN BERLIN. HUNGERSTREIK GEGEN PARAGRAPH 129. FRE&#304;HE&#304;T FÜR POLITISCHE GEFANGENE IN DEUTSCHLAND! WEG M&#304;T DEM PARAGRAPHEN 129!"" (vom 21.01. bis 29.02.2024 - täglich)",Mohrenstr.,37,10117.0,,10.0,
2024-02-01,0 days 00:00:00,0 days 23:59:00,"""Mahnwache der Landwirte, Spediteure, Handwerker und des Mittelstands gegen die Mißstande der aktuellen Regierung sowie zur Unterstützung der weiteren kommenden Demonstrationen und Proteste"" (vom 28.01. bis 12.02.2024 - täglich)",Straße des 17. Juni,,10557.0,,100.0,
2024-02-01,0 days 00:00:00,1 days 00:00:00,"""Gerechtigkeit für unsere Bauern, unterstützen der freien Bauern. Mahnwache der Freien Bauern und Bürger des Mittelstandes"" (vom 31.01. bis 15.02.2024 - täglich)",Straße des 17. Juni,100,10557.0,,100.0,10.0
2024-02-01,0 days 08:30:00,0 days 09:30:00,"""Aufklärung rechter Straftaten"" (vom 04.01. bis 19.12.2024 - jeweils Do.)",Tempelhofer Damm,12,12101.0,,15.0,2.0
2024-02-01,0 days 09:00:00,0 days 15:00:00,"""Festigung der Demokratie durch öffentliches Schreiben des Art. 20 GG in Holz""",Kirchstr.,5,10557.0,,15.0,100.0
2024-02-01,0 days 10:00:00,0 days 12:00:00,"""Sicherere Straßen um unseren Schulstandort""",,,,NEU Sybelstr. 20 (Paula Fürst Gemeinschaftsschule) – Dahlmannstr. – Kurfürstendamm – Roscherstr. – Sybelstr. – Droysenstr. – Damaschkestr. – Leniner Platz (ZK) – Roscherstr. – Sybelstr. 20 (Paula Fürst Gemeinschaftsschule) ALT Sybelstr.20/21 (an der Schule) - Dahlmannstr. - Kurfürstendamm - Leinener Platz - Roscherstr. - Sybelstr. - Damaschkestr. - Leinener Platz (ZK) - Roscherstr. - Sybelstr.20/21 (an der Schule),100.0,3.0
2024-02-01,0 days 10:00:00,0 days 18:00:00,"""Hinrichtungswelle im Iran stoppen/ Anhaltende Menschenrechtsverletzungen verurteilen / Solidarität mit den Bürgerprotesten im Iran""",Paul-Löbe-Allee,,10557.0,,10.0,2.0
2024-02-01,0 days 10:30:00,0 days 13:00:00,"""Beendet die Verfolgung von FALUN DAFA / FALUN-GONG Praktizierenden und anderen unschuldigen Menschen in China. Stoppt die Diktatur der Kommunistischen Partei."" (vom 01.01. bis 31.12.2024 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",Jannowitzbrücke,,10179.0,,10.0,
2024-02-01,0 days 10:45:00,0 days 14:00:00,"""Unter dem Motto: Kriegsverrat ist Friedenstag – Pazifismus ist kein Verbrechen. - Wider der Aushöhlung der Menschenrechte von Friedensaktivisten auf Kriegsdienstverweigern in der Ukraine Wiederaufnahme der Dauermahnwache vor der Ukrainischen Botschaft Solidarität mit Pazifisten und Pazifisten aus Osteuropa - Pazifismus ist keine Verbrechen Wir er warten in den nächsten Tagen eine weiteren Hausarrest des gewaltfreien Friedensaktivisten Yurii Sheliazhenko (siehe ..https://de.connection-ev.org/article-3988, ""https://ebco-beoc.org/node/613"" u.m.) und weitere Massnahmen gegen Kriegsdienstgegner und Kriegsdienstverweigerung"" (vom 29.01. bis 28.02.2024 - täglich)",Albrechtstr.,26,10117.0,,20.0,10.0
2024-02-01,0 days 11:00:00,0 days 15:00:00,"""Demonstration gegen Ablehnungsbescheid für wegweisendes klimaneutrales Energieprojekt.""",Rykestr.,,10405.0,,30.0,300.0
2024-02-01,0 days 12:00:00,0 days 15:00:00,"""Protest gegen Rechtsextremismus""",Alice-Salomon-Platz,1,12627.0,,500.0,30.0
2024-02-01,0 days 12:45:00,0 days 14:00:00,"""Grundgesetz achten""",Platz der Republik,1,10557.0,,25.0,5.0
2024-02-01,0 days 13:00:00,0 days 14:30:00,"""Wahlkundgebung zur Wiederholungswahl""",Daimlerstr.,143,12277.0,,6.0,100.0
2024-02-01,0 days 13:30:00,0 days 16:00:00,"""3. Jahrestag Militärputsch in Myanmar""",Thielallee,19,14195.0,,80.0,2.0
2024-02-01,0 days 16:00:00,0 days 18:30:00,"""Friedliche und freundliche Unterstützung des Nachbarschaftsdialogs. Entgegenwirken von Spaltung und Diskriminierung jeder Art, durch Förderung von friedlicher Kommunikation miteinander, Gleichberechtigung und fundiertem Verständnis für alle Mitmenschen."" (vom 04.01. bis 26.12.2024 - jeweils Do.)",Wilmersdorfer Str.,,10585.0,,19.0,9.0
2024-02-01,0 days 17:00:00,0 days 18:30:00,"""Menschen mit Schildern stehen wegen der aktuellen Lage, der Gesundheitsdiktatur, der Berichterstattungen der Medien, der Kriegstreiberei der Politik, der Verfolgung Unschuldiger, der Korruption und der unkontrollierten Migration ..."" (vom 04.01. bis 26.12.2024 - jeweils Do.)",Tempelhofer Damm,,12101.0,,20.0,5.0
