Datum,Von,Bis,Thema,Strasse,Nr,PLZ,Aufzugsstrecke,Teilnehmende (angemeldet),Teilnehmende (tatsächlich)
01.07.2020,00:00,24:00,"""Mahnwache zum Thema Kohleausstiegsgesetz - Gegen die Förderung der Kohleindustrie in Deutschland"" (vom 26.06. bis 03.07.2020 - täglich)",Invalidenpark,,10115.0,,100.0,15.0
01.07.2020,05:12,00:00,"""CDU: Dunkle Geschäfte mit der Kohleindustrie""",Klingelhöferstr.,8,10785.0,,45.0,
01.07.2020,06:30,15:41,"""Kohleverlängerungsgesetz""",Wilhelmstr.,140,10963.0,,200.0,
01.07.2020,07:00,10:00,"""Für eine #GreenRecovery""",Willy-Brandt-Str.,1,10557.0,,20.0,20.0
01.07.2020,08:00,14:00,"""Anti-Kohlekraft Mahnwache""",Wilhelmstr.,7-9,10963.0,,100.0,8.0
01.07.2020,08:15,09:15,"""#KohlegesetzFällen; Freiheit für Kurdistan, gegen Kriegsverbrecher Erdogan""",,,,U Hallesches Tor (AK) - Hallesches-Tor-Brücke - Tempelhofer Ufer - Mehringbrücke - Wilhelmstr. - Wilhelmstr. 140 (AK),100.0,25.0
01.07.2020,08:30,11:00,"""Kundgebung gegen das klimafeindliche Kohleausstiegsgesetz. Kohleausstieg jetzt.""",Stresemannstr.,29,10963.0,,300.0,110.0
01.07.2020,08:30,12:00,"""PKK gib mir meine Tochter zurück"" (vom 01.07. bis 30.09.2020 - jeweils Mi.)",Willy-Brandt-Str.,1,10557.0,,20.0,13.0
01.07.2020,10:30,13:00,"„Verfolgung von FALUN DAFA / FALUN GONG Praktizierenden in China beenden“ (vom 01.02. bis 31.07.2020 - jeweils Mo.,Di.,Mi.,Do.,Fr.,Sa.,So.)",Jannowitzbrücke,,10179.0,,5.0,2.0
01.07.2020,11:00,11:30,„Kundgebung zur Eröffnung der Pride Weeks und Hissen der Regenbogenflagge 2020 mit dem Regierenden Bürgermeister von Berlin“,Rathausstr.,15,10178.0,,50.0,30.0
01.07.2020,11:00,12:00,"""Freiheit für Grup Yorum / Freiheit für die Anwälte""",Tiergartenstr.,20,10785.0,,20.0,4.0
01.07.2020,12:00,13:00,"""Grünes für Europa""",Bundeskanzleramt,,10117.0,,200.0,100.0
01.07.2020,12:00,18:00,"""Mahnwache gegen die beabsichtigte Annexion Politik Israels in Palästina""",Wittenbergplatz,1,10789.0,,20.0,
01.07.2020,14:00,15:00,"""Gerechtigkeit für Dr. Ariel Ruiz Urquida""",Stavangerstr.,20,10439.0,,20.0,7.0
01.07.2020,15:00,16:00,"""Künstlerische Aufmerksamkeitmachung auf die Umstände an den Europäischen Außengrenzen und in den Flüchtlingslagern.""",Pariser Platz,,10117.0,,6.0,4.0
01.07.2020,16:00,18:00,"""Eine Solidaritätskundgebung und ein Protest gegen das Strafverfahren gegen Julia Tsvetkova?""",Unter den Linden,63,10117.0,,50.0,50.0
01.07.2020,16:00,20:00,"""Die Veranstaltungsbranche schafft das - so nicht! „Wir haben keine Umsatzeinbuße, wir haben gar nichts mehr.“""",,,,"NEU (AP) Olympischer Platz – Olympische Str. – re. Reichsstr. – Theodor-Heuss-Platz – re. Kaiserdamm – Bismarckstr. – Ernst-Reuter-Platz – re. Straße des 17. Juni – Großer Stern – Straße des 17. Juni (ZK vor Platz des 18. März) – li. Ebertstr. – li. Scheidemannstr. – John-Foster-Dulles-Allee – li. Spreeweg – Großer Stern – re. Straße des 17. Juni – Ernst-Reuter-Platz – re. Bismarckstr. – Kaiserdamm – Theodor-Heuss-Platz – re. Reichsstr. – li. Olympische Str. – Olympischer Platz (EP) ALT: (AP) Olympischer Platz – Trakehner Allee – li. Flatowallee – li. Heerstr. – Theodor-Heuss-Platz – Kaiserdamm – Bismarckstr. – Ernst-Reuter-Platz – Straße des 17. Juni – Großer Stern – Straße des 17. Juni – Ebertstr. – Potsdamer Platz – li. Leipziger Str. – Gertraudenstr. – Mühlendamm – Grunerstr. – li. Alexanderstr. – li. Karl-Liebknecht-Str. – Schloßplatz – Unter den Linden – re. Wilhelmstr. – li. Dorotheenstr. – Scheidemannstr. – John-Foster-Dulles-Allee – li. Spreeweg – Großer Stern – re. Straße des 17. Juni – Ernst-Reuter-Platz – re. Bismarckstr. – Kaiserdamm – Theodor-Heuss-Platz – re. Heerstr. – re. Flatowallee – re. Trakehner Allee – li. Olympischer Platz (EP) ALT (abgelehnt von Grün Berlin): Tempelhofer Feld um die Fahrzeuge zu sammeln. Tempelhofer Damm, Mehringdamm, Wilhelmstrasse, Leipziger Strasse, Gertraudenstrasse, Mühlendamm, Grunerstrasse, Alexanderplatz, Karl-Liebrecht-Strasse, Unter den Linden, Wilhelmstraße, Scheidemannstraße, John-Foster-Dulles-Allee, Spreeweg, Großer Stern, Straße des 17. Juni, Brandenburger Tor, Ebertstrasse, Potsdamer Platz, Stresemannstrasse, Wilhelmstrasse, Mehringdamm, Tempelhofer Damm, Tempelhofer Feld",1000.0,118.0
01.07.2020,17:00,19:00,"""Merkel muss weg"" (vom 22.11.2019 bis 21.11.2020 - jeweils Mi.)",Willy-Brandt-Str.,1,10557.0,,50.0,6.0
01.07.2020,17:00,20:00,"""Demonstration gegen die Verfassungsänderung in Russland""",,,,"Pariser Platz - Unter den Linden 63-65 (Botschaft Russland), auf der nördl. Seite der Mittelinsel",50.0,60.0
01.07.2020,18:00,19:00,"""Merkel muß weg Mittwoch"" (vom 08.01. bis 23.12.2020 - jeweils Mi.)",Willy-Brandt-Straße,1,10557.0,,30.0,20.0
01.07.2020,19:00,21:00,„Kerzen für Assange“ (vom 01.01. bis 30.12.2020 - jeweils Mi.),Pariser Platz,,10117.0,,50.0,15.0
